PSIP,PPS_MPa
  0.00000000E+00,  0.22974405E+01
  0.26496535E-01,  0.22944710E+01
  0.11100256E+00,  0.22850068E+01
  0.26428449E+00,  0.22679157E+01
  0.49941573E+00,  0.22421110E+01
  0.83145916E+00,  0.22072091E+01
  0.12734567E+01,  0.21640029E+01
  0.18356087E+01,  0.21127002E+01
  0.25230684E+01,  0.20537472E+01
  0.33382578E+01,  0.19876270E+01
  0.42815604E+01,  0.19145470E+01
  0.53546038E+01,  0.18346710E+01
  0.65596867E+01,  0.17484192E+01
  0.78978081E+01,  0.16577554E+01
  0.93670282E+01,  0.15667131E+01
  0.10961244E+02,  0.14769471E+01
  0.12671050E+02,  0.13890051E+01
  0.14491280E+02,  0.13015532E+01
  0.16436655E+02,  0.12035985E+01
  0.18513239E+02,  0.10923491E+01
  0.20719482E+02,  0.97143537E+00
  0.23127697E+02,  0.84612036E+00
  0.25801092E+02,  0.74246079E+00
  0.28669102E+02,  0.66562557E+00
  0.31644140E+02,  0.60405439E+00
  0.34654079E+02,  0.55430406E+00
  0.37681904E+02,  0.51359487E+00
  0.40731270E+02,  0.47654685E+00
  0.43799023E+02,  0.44218287E+00
  0.46882534E+02,  0.41027552E+00
  0.49980667E+02,  0.38052383E+00
  0.53092495E+02,  0.35252964E+00
  0.56217171E+02,  0.32619762E+00
  0.59353901E+02,  0.30148041E+00
  0.62501408E+02,  0.27848789E+00
  0.65658081E+02,  0.25723821E+00
  0.68822678E+02,  0.23758380E+00
  0.71993378E+02,  0.21876547E+00
  0.75167824E+02,  0.20027408E+00
  0.78354172E+02,  0.18158856E+00
  0.81557510E+02,  0.16131687E+00
  0.84740219E+02,  0.13885595E+00
  0.87949692E+02,  0.83550148E-01
  0.91358337E+02,  0.00000000E+00
