PSIP,TTS_Wb
  0.00000000E+00,  0.29466034E+03
  0.26496535E-01,  0.29469241E+03
  0.11100256E+00,  0.29479462E+03
  0.26428449E+00,  0.29497870E+03
  0.49941573E+00,  0.29525391E+03
  0.83145916E+00,  0.29561588E+03
  0.12734567E+01,  0.29604285E+03
  0.18356087E+01,  0.29653134E+03
  0.25230684E+01,  0.29707742E+03
  0.33382578E+01,  0.29767572E+03
  0.42815604E+01,  0.29832495E+03
  0.53546038E+01,  0.29902136E+03
  0.65596867E+01,  0.29975906E+03
  0.78978081E+01,  0.30051755E+03
  0.93670282E+01,  0.30125696E+03
  0.10961244E+02,  0.30196255E+03
  0.12671050E+02,  0.30263147E+03
  0.14491280E+02,  0.30327707E+03
  0.16436655E+02,  0.30398892E+03
  0.18513239E+02,  0.30478638E+03
  0.20719482E+02,  0.30562418E+03
  0.23127697E+02,  0.30621481E+03
  0.25801092E+02,  0.30610089E+03
  0.28669102E+02,  0.30605518E+03
  0.31644140E+02,  0.30632593E+03
  0.34654079E+02,  0.30658398E+03
  0.37681904E+02,  0.30678030E+03
  0.40731270E+02,  0.30695163E+03
  0.43799023E+02,  0.30710492E+03
  0.46882534E+02,  0.30724213E+03
  0.49980667E+02,  0.30736530E+03
  0.53092495E+02,  0.30747684E+03
  0.56217171E+02,  0.30757770E+03
  0.59353901E+02,  0.30766849E+03
  0.62501408E+02,  0.30774905E+03
  0.65658081E+02,  0.30781976E+03
  0.68822678E+02,  0.30788168E+03
  0.71993378E+02,  0.30793872E+03
  0.75167824E+02,  0.30799344E+03
  0.78354172E+02,  0.30804889E+03
  0.81557510E+02,  0.30811313E+03
  0.84740219E+02,  0.30818927E+03
  0.87949692E+02,  0.30840048E+03
  0.91358337E+02,  0.30875574E+03
