PSIP,RLEN_m
  0.00000000E+00,  0.00000000E+00
  0.26496535E-01,  0.34749681E+00
  0.11100256E+00,  0.70230091E+00
  0.26428449E+00,  0.10646721E+01
  0.49941573E+00,  0.14292077E+01
  0.83145916E+00,  0.17945496E+01
  0.12734567E+01,  0.21591897E+01
  0.18356087E+01,  0.25241685E+01
  0.25230684E+01,  0.28910575E+01
  0.33382578E+01,  0.32617948E+01
  0.42815604E+01,  0.36378076E+01
  0.53546038E+01,  0.40197749E+01
  0.65596867E+01,  0.44078236E+01
  0.78978081E+01,  0.48022861E+01
  0.93670282E+01,  0.52036209E+01
  0.10961244E+02,  0.56116295E+01
  0.12671050E+02,  0.60258951E+01
  0.14491280E+02,  0.64474020E+01
  0.16436655E+02,  0.68761792E+01
  0.18513239E+02,  0.73080182E+01
  0.20719482E+02,  0.77459369E+01
  0.23127697E+02,  0.81856136E+01
  0.25801092E+02,  0.85925922E+01
  0.28669102E+02,  0.89742947E+01
  0.31644140E+02,  0.93626842E+01
  0.34654079E+02,  0.97649384E+01
  0.37681904E+02,  0.10180040E+02
  0.40731270E+02,  0.10609132E+02
  0.43799023E+02,  0.11053415E+02
  0.46882534E+02,  0.11513856E+02
  0.49980667E+02,  0.11991832E+02
  0.53092495E+02,  0.12489002E+02
  0.56217171E+02,  0.13007339E+02
  0.59353901E+02,  0.13549393E+02
  0.62501408E+02,  0.14118447E+02
  0.65658081E+02,  0.14719014E+02
  0.68822678E+02,  0.15357484E+02
  0.71993378E+02,  0.16042562E+02
  0.75167824E+02,  0.16786139E+02
  0.78354172E+02,  0.17610441E+02
  0.81557510E+02,  0.18553337E+02
  0.84740219E+02,  0.19688328E+02
  0.87949692E+02,  0.21167933E+02
  0.91358337E+02,  0.22764166E+02
