PSIP,QPS
  0.00000000E+00,  0.18321248E+01
  0.26496535E-01,  0.18108323E+01
  0.11100256E+00,  0.17448092E+01
  0.26428449E+00,  0.16464664E+01
  0.49941573E+00,  0.15295767E+01
  0.83145916E+00,  0.14154637E+01
  0.12734567E+01,  0.13193580E+01
  0.18356087E+01,  0.12502177E+01
  0.25230684E+01,  0.12067158E+01
  0.33382578E+01,  0.11848392E+01
  0.42815604E+01,  0.11772953E+01
  0.53546038E+01,  0.11770792E+01
  0.65596867E+01,  0.11823469E+01
  0.78978081E+01,  0.11944414E+01
  0.93670282E+01,  0.12142736E+01
  0.10961244E+02,  0.12409844E+01
  0.12671050E+02,  0.12756618E+01
  0.14491280E+02,  0.13137543E+01
  0.16436655E+02,  0.13372042E+01
  0.18513239E+02,  0.13572389E+01
  0.20719482E+02,  0.13832487E+01
  0.23127697E+02,  0.12923945E+01
  0.25801092E+02,  0.11291578E+01
  0.28669102E+02,  0.11002512E+01
  0.31644140E+02,  0.11650212E+01
  0.34654079E+02,  0.12485168E+01
  0.37681904E+02,  0.13362558E+01
  0.40731270E+02,  0.14329640E+01
  0.43799023E+02,  0.15390830E+01
  0.46882534E+02,  0.16550735E+01
  0.49980667E+02,  0.17824992E+01
  0.53092495E+02,  0.19227798E+01
  0.56217171E+02,  0.20781658E+01
  0.59353901E+02,  0.22517192E+01
  0.62501408E+02,  0.24479480E+01
  0.65658081E+02,  0.26730206E+01
  0.68822678E+02,  0.29352899E+01
  0.71993378E+02,  0.32442625E+01
  0.75167824E+02,  0.36151865E+01
  0.78354172E+02,  0.40771904E+01
  0.81557510E+02,  0.46868978E+01
  0.84740219E+02,  0.56021891E+01
  0.87949692E+02,  0.62657537E+01
  0.91358337E+02,  0.75044794E+01
