PSIP,SPS_m2
  0.00000000E+00,  0.00000000E+00
  0.26496535E-01,  0.18689613E+02
  0.11100256E+00,  0.37759777E+02
  0.26428449E+00,  0.57212101E+02
  0.49941573E+00,  0.76746437E+02
  0.83145916E+00,  0.96283325E+02
  0.12734567E+01,  0.11573846E+03
  0.18356087E+01,  0.13516432E+03
  0.25230684E+01,  0.15464034E+03
  0.33382578E+01,  0.17426263E+03
  0.42815604E+01,  0.19409818E+03
  0.53546038E+01,  0.21417314E+03
  0.65596867E+01,  0.23448384E+03
  0.78978081E+01,  0.25503732E+03
  0.93670282E+01,  0.27584781E+03
  0.10961244E+02,  0.29689627E+03
  0.12671050E+02,  0.31815491E+03
  0.14491280E+02,  0.33966614E+03
  0.16436655E+02,  0.36141266E+03
  0.18513239E+02,  0.38316928E+03
  0.20719482E+02,  0.40508749E+03
  0.23127697E+02,  0.42694006E+03
  0.25801092E+02,  0.44717752E+03
  0.28669102E+02,  0.46619366E+03
  0.31644140E+02,  0.48545703E+03
  0.34654079E+02,  0.50528442E+03
  0.37681904E+02,  0.52561035E+03
  0.40731270E+02,  0.54646777E+03
  0.43799023E+02,  0.56789777E+03
  0.46882534E+02,  0.58992596E+03
  0.49980667E+02,  0.61259363E+03
  0.53092495E+02,  0.63595209E+03
  0.56217171E+02,  0.66006274E+03
  0.59353901E+02,  0.68500812E+03
  0.62501408E+02,  0.71089722E+03
  0.65658081E+02,  0.73788544E+03
  0.68822678E+02,  0.76619897E+03
  0.71993378E+02,  0.79614758E+03
  0.75167824E+02,  0.82815417E+03
  0.78354172E+02,  0.86304102E+03
  0.81557510E+02,  0.90221655E+03
  0.84740219E+02,  0.94850946E+03
  0.87949692E+02,  0.10074877E+04
  0.91358337E+02,  0.10686957E+04
