PSIP,RRMIN_m,RRMAX_m,ZZMIN_m,ZZMAX_m,BBMIN_T,BBMAX_T
  0.00000000E+00,  0.85609226E+01,  0.85609226E+01,  0.88825232E+00,  0.88825232E+00,  0.54779897E+01,  0.54779897E+01
  0.26496535E-01,  0.85184011E+01,  0.86016903E+01,  0.82051724E+00,  0.95530808E+00,  0.54526758E+01,  0.55059814E+01
  0.11100256E+00,  0.84728985E+01,  0.86424608E+01,  0.75221431E+00,  0.10236624E+01,  0.54290371E+01,  0.55376182E+01
  0.26428449E+00,  0.84241896E+01,  0.86832247E+01,  0.68298793E+00,  0.10927575E+01,  0.54073558E+01,  0.55733867E+01
  0.49941573E+00,  0.83727951E+01,  0.87239923E+01,  0.61435223E+00,  0.11613528E+01,  0.53878918E+01,  0.56132770E+01
  0.83145916E+00,  0.83192120E+01,  0.87647591E+01,  0.54635841E+00,  0.12292950E+01,  0.53706832E+01,  0.56570501E+01
  0.12734567E+01,  0.82640772E+01,  0.88055296E+01,  0.47918624E+00,  0.12962464E+01,  0.53554091E+01,  0.57040029E+01
  0.18356087E+01,  0.82076654E+01,  0.88462934E+01,  0.41243762E+00,  0.13628583E+01,  0.53420453E+01,  0.57539577E+01
  0.25230684E+01,  0.81500664E+01,  0.88870611E+01,  0.34552827E+00,  0.14294829E+01,  0.53304691E+01,  0.58067946E+01
  0.33382578E+01,  0.80910540E+01,  0.89278326E+01,  0.27804363E+00,  0.14967016E+01,  0.53205223E+01,  0.58625727E+01
  0.42815604E+01,  0.80304079E+01,  0.89685955E+01,  0.20959505E+00,  0.15648587E+01,  0.53121591E+01,  0.59214406E+01
  0.53546038E+01,  0.79680300E+01,  0.90093632E+01,  0.14011328E+00,  0.16339567E+01,  0.53053622E+01,  0.59835110E+01
  0.65596867E+01,  0.79038258E+01,  0.90501308E+01,  0.69676384E-01,  0.17040323E+01,  0.52999988E+01,  0.60488200E+01
  0.78978081E+01,  0.78376083E+01,  0.90908976E+01, -0.18647760E-02,  0.17751478E+01,  0.52956419E+01,  0.61172266E+01
  0.93670282E+01,  0.77693758E+01,  0.91316643E+01, -0.74639656E-01,  0.18473507E+01,  0.52913194E+01,  0.61879225E+01
  0.10961244E+02,  0.76994681E+01,  0.91724319E+01, -0.14853619E+00,  0.19206599E+01,  0.52865601E+01,  0.62604551E+01
  0.12671050E+02,  0.76278977E+01,  0.92131996E+01, -0.22370577E+00,  0.19954041E+01,  0.52810202E+01,  0.63349190E+01
  0.14491280E+02,  0.75548310E+01,  0.92539673E+01, -0.30086207E+00,  0.20717890E+01,  0.52758689E+01,  0.64113889E+01
  0.16436655E+02,  0.74798799E+01,  0.92947350E+01, -0.37886402E+00,  0.21485419E+01,  0.52734199E+01,  0.64926715E+01
  0.18513239E+02,  0.74028549E+01,  0.93354931E+01, -0.45649022E+00,  0.22258768E+01,  0.52725325E+01,  0.65793824E+01
  0.20719482E+02,  0.73243613E+01,  0.93762856E+01, -0.53730887E+00,  0.23057859E+01,  0.52745523E+01,  0.66699305E+01
  0.23127697E+02,  0.72437191E+01,  0.94170465E+01, -0.61606097E+00,  0.23816211E+01,  0.52816792E+01,  0.67646861E+01
  0.25801092E+02,  0.71689014E+01,  0.94578304E+01, -0.68486577E+00,  0.24504948E+01,  0.52778759E+01,  0.68529892E+01
  0.28669102E+02,  0.71005874E+01,  0.94985352E+01, -0.75100350E+00,  0.25177925E+01,  0.52681389E+01,  0.69280100E+01
