PSIP,BBMIN_T,BBMAX_T
  0.00000000E+00,  0.54779897E+01,  0.54779897E+01
  0.26496535E-01,  0.54526758E+01,  0.55059814E+01
  0.11100256E+00,  0.54290371E+01,  0.55376182E+01
  0.26428449E+00,  0.54073558E+01,  0.55733867E+01
  0.49941573E+00,  0.53878918E+01,  0.56132770E+01
  0.83145916E+00,  0.53706832E+01,  0.56570501E+01
  0.12734567E+01,  0.53554091E+01,  0.57040029E+01
  0.18356087E+01,  0.53420453E+01,  0.57539577E+01
  0.25230684E+01,  0.53304691E+01,  0.58067946E+01
  0.33382578E+01,  0.53205223E+01,  0.58625727E+01
  0.42815604E+01,  0.53121591E+01,  0.59214406E+01
  0.53546038E+01,  0.53053622E+01,  0.59835110E+01
  0.65596867E+01,  0.52999988E+01,  0.60488200E+01
  0.78978081E+01,  0.52956419E+01,  0.61172266E+01
  0.93670282E+01,  0.52913194E+01,  0.61879225E+01
  0.10961244E+02,  0.52865601E+01,  0.62604551E+01
  0.12671050E+02,  0.52810202E+01,  0.63349190E+01
  0.14491280E+02,  0.52758689E+01,  0.64113889E+01
  0.16436655E+02,  0.52734199E+01,  0.64926715E+01
  0.18513239E+02,  0.52725325E+01,  0.65793824E+01
  0.20719482E+02,  0.52745523E+01,  0.66699305E+01
  0.23127697E+02,  0.52816792E+01,  0.67646861E+01
  0.25801092E+02,  0.52778759E+01,  0.68529892E+01
  0.28669102E+02,  0.52681389E+01,  0.69280100E+01
  0.31644140E+02,  0.52563319E+01,  0.70014577E+01
  0.34654079E+02,  0.52396674E+01,  0.70765305E+01
  0.37681904E+02,  0.52226233E+01,  0.71527824E+01
  0.40731270E+02,  0.52052836E+01,  0.72315941E+01
  0.43799023E+02,  0.51874471E+01,  0.73131733E+01
  0.46882534E+02,  0.51693692E+01,  0.73982258E+01
  0.49980667E+02,  0.51511278E+01,  0.74866166E+01
  0.53092495E+02,  0.51327772E+01,  0.75784531E+01
  0.56217171E+02,  0.51143389E+01,  0.76748853E+01
  0.59353901E+02,  0.50958118E+01,  0.77751522E+01
  0.62501408E+02,  0.50771265E+01,  0.78806434E+01
  0.65658081E+02,  0.50583067E+01,  0.79907813E+01
  0.68822678E+02,  0.50393925E+01,  0.81067848E+01
  0.71993378E+02,  0.50202966E+01,  0.82290916E+01
  0.75167824E+02,  0.50013647E+01,  0.83583164E+01
  0.78354172E+02,  0.49839773E+01,  0.84962444E+01
  0.81557510E+02,  0.49653368E+01,  0.86456528E+01
  0.84740219E+02,  0.49435334E+01,  0.88076611E+01
  0.87949692E+02,  0.49379754E+01,  0.89988089E+01
  0.91358337E+02,  0.49435821E+01,  0.92354326E+01
