PSIP,AVERR2_m2
  0.00000000E+00,  0.73285751E+02
  0.26496535E-01,  0.73259064E+02
  0.11100256E+00,  0.73175552E+02
  0.26428449E+00,  0.73042191E+02
  0.49941573E+00,  0.72874748E+02
  0.83145916E+00,  0.72687248E+02
  0.12734567E+01,  0.72489639E+02
  0.18356087E+01,  0.72281288E+02
  0.25230684E+01,  0.72057838E+02
  0.33382578E+01,  0.71811684E+02
  0.42815604E+01,  0.71540375E+02
  0.53546038E+01,  0.71243484E+02
  0.65596867E+01,  0.70920357E+02
  0.78978081E+01,  0.70574829E+02
  0.93670282E+01,  0.70211861E+02
  0.10961244E+02,  0.69836426E+02
  0.12671050E+02,  0.69458153E+02
  0.14491280E+02,  0.69055817E+02
  0.16436655E+02,  0.68617081E+02
  0.18513239E+02,  0.68182854E+02
  0.20719482E+02,  0.67710808E+02
  0.23127697E+02,  0.67472961E+02
  0.25801092E+02,  0.67809616E+02
  0.28669102E+02,  0.67764679E+02
  0.31644140E+02,  0.67434242E+02
  0.34654079E+02,  0.67086304E+02
  0.37681904E+02,  0.66699051E+02
  0.40731270E+02,  0.66285172E+02
  0.43799023E+02,  0.65847649E+02
  0.46882534E+02,  0.65380173E+02
  0.49980667E+02,  0.64880013E+02
  0.53092495E+02,  0.64345398E+02
  0.56217171E+02,  0.63771866E+02
  0.59353901E+02,  0.63154564E+02
  0.62501408E+02,  0.62486801E+02
  0.65658081E+02,  0.61759670E+02
  0.68822678E+02,  0.60958912E+02
  0.71993378E+02,  0.60070328E+02
  0.75167824E+02,  0.59071522E+02
  0.78354172E+02,  0.57898674E+02
  0.81557510E+02,  0.56511585E+02
  0.84740219E+02,  0.54755173E+02
  0.87949692E+02,  0.52810860E+02
  0.91358337E+02,  0.49978420E+02
