PSIP,AVEIR2_per_m2
  0.00000000E+00,  0.13645217E-01
  0.26496535E-01,  0.13650835E-01
  0.11100256E+00,  0.13668457E-01
  0.26428449E+00,  0.13697035E-01
  0.49941573E+00,  0.13733875E-01
  0.83145916E+00,  0.13776536E-01
  0.12734567E+01,  0.13823275E-01
  0.18356087E+01,  0.13874258E-01
  0.25230684E+01,  0.13930447E-01
  0.33382578E+01,  0.13993487E-01
  0.42815604E+01,  0.14064132E-01
  0.53546038E+01,  0.14142859E-01
  0.65596867E+01,  0.14230152E-01
  0.78978081E+01,  0.14325562E-01
  0.93670282E+01,  0.14428473E-01
  0.10961244E+02,  0.14538158E-01
  0.12671050E+02,  0.14652659E-01
  0.14491280E+02,  0.14776971E-01
  0.16436655E+02,  0.14915940E-01
  0.18513239E+02,  0.15059618E-01
  0.20719482E+02,  0.15216028E-01
  0.23127697E+02,  0.15338637E-01
  0.25801092E+02,  0.15333002E-01
  0.28669102E+02,  0.15404096E-01
  0.31644140E+02,  0.15537522E-01
  0.34654079E+02,  0.15678592E-01
  0.37681904E+02,  0.15835509E-01
  0.40731270E+02,  0.16004331E-01
  0.43799023E+02,  0.16184878E-01
  0.46882534E+02,  0.16379612E-01
  0.49980667E+02,  0.16589873E-01
  0.53092495E+02,  0.16816970E-01
  0.56217171E+02,  0.17062936E-01
  0.59353901E+02,  0.17330015E-01
  0.62501408E+02,  0.17620962E-01
  0.65658081E+02,  0.17939204E-01
  0.68822678E+02,  0.18289873E-01
  0.71993378E+02,  0.18679259E-01
  0.75167824E+02,  0.19115973E-01
  0.78354172E+02,  0.19620068E-01
  0.81557510E+02,  0.20208266E-01
  0.84740219E+02,  0.20907879E-01
  0.87949692E+02,  0.21878323E-01
  0.91358337E+02,  0.23165418E-01
