PSIP,AVEBB2_T2
  0.00000000E+00,  0.30009838E+02
  0.26496535E-01,  0.30029154E+02
  0.11100256E+00,  0.30090117E+02
  0.26428449E+00,  0.30193451E+02
  0.49941573E+00,  0.30336109E+02
  0.83145916E+00,  0.30513025E+02
  0.12734567E+01,  0.30716875E+02
  0.18356087E+01,  0.30947643E+02
  0.25230684E+01,  0.31206461E+02
  0.33382578E+01,  0.31495441E+02
  0.42815604E+01,  0.31816107E+02
  0.53546038E+01,  0.32169548E+02
  0.65596867E+01,  0.32556049E+02
  0.78978081E+01,  0.32969723E+02
  0.93670282E+01,  0.33399628E+02
  0.10961244E+02,  0.33840275E+02
  0.12671050E+02,  0.34285084E+02
  0.14491280E+02,  0.34750484E+02
  0.16436655E+02,  0.35277939E+02
  0.18513239E+02,  0.35844692E+02
  0.20719482E+02,  0.36456184E+02
  0.23127697E+02,  0.37019321E+02
  0.25801092E+02,  0.37224625E+02
  0.28669102E+02,  0.37512524E+02
  0.31644140E+02,  0.37887421E+02
  0.34654079E+02,  0.38256908E+02
  0.37681904E+02,  0.38653912E+02
  0.40731270E+02,  0.39072197E+02
  0.43799023E+02,  0.39513924E+02
  0.46882534E+02,  0.39986412E+02
  0.49980667E+02,  0.40493233E+02
  0.53092495E+02,  0.41038326E+02
  0.56217171E+02,  0.41626617E+02
  0.59353901E+02,  0.42263363E+02
  0.62501408E+02,  0.42954597E+02
  0.65658081E+02,  0.43708103E+02
  0.68822678E+02,  0.44536186E+02
  0.71993378E+02,  0.45455410E+02
  0.75167824E+02,  0.46487122E+02
  0.78354172E+02,  0.47680294E+02
  0.81557510E+02,  0.49074673E+02
  0.84740219E+02,  0.50730606E+02
  0.87949692E+02,  0.53145710E+02
  0.91358337E+02,  0.56363091E+02
