PSIP,AVEIB2_per_T2
  0.00000000E+00,  0.33322386E-01
  0.26496535E-01,  0.33302553E-01
  0.11100256E+00,  0.33240039E-01
  0.26428449E+00,  0.33135012E-01
  0.49941573E+00,  0.32991998E-01
  0.83145916E+00,  0.32817725E-01
  0.12734567E+01,  0.32621197E-01
  0.18356087E+01,  0.32403275E-01
  0.25230684E+01,  0.32163884E-01
  0.33382578E+01,  0.31902116E-01
  0.42815604E+01,  0.31618033E-01
  0.53546038E+01,  0.31312436E-01
  0.65596867E+01,  0.30986900E-01
  0.78978081E+01,  0.30648768E-01
  0.93670282E+01,  0.30309705E-01
  0.10961244E+02,  0.29975379E-01
  0.12671050E+02,  0.29651647E-01
  0.14491280E+02,  0.29324571E-01
  0.16436655E+02,  0.28962914E-01
  0.18513239E+02,  0.28586395E-01
  0.20719482E+02,  0.28189415E-01
  0.23127697E+02,  0.27865143E-01
  0.25801092E+02,  0.27820552E-01
  0.28669102E+02,  0.27700778E-01
  0.31644140E+02,  0.27518082E-01
  0.34654079E+02,  0.27349506E-01
  0.37681904E+02,  0.27172219E-01
  0.40731270E+02,  0.26990261E-01
  0.43799023E+02,  0.26802821E-01
  0.46882534E+02,  0.26605997E-01
  0.49980667E+02,  0.26398377E-01
  0.53092495E+02,  0.26178634E-01
  0.56217171E+02,  0.25944849E-01
  0.59353901E+02,  0.25695136E-01
  0.62501408E+02,  0.25427165E-01
  0.65658081E+02,  0.25137603E-01
  0.68822678E+02,  0.24820574E-01
  0.71993378E+02,  0.24469336E-01
  0.75167824E+02,  0.24074338E-01
  0.78354172E+02,  0.23608621E-01
  0.81557510E+02,  0.23057995E-01
  0.84740219E+02,  0.22363992E-01
  0.87949692E+02,  0.21523302E-01
  0.91358337E+02,  0.20316843E-01
