PSIP,AVEGV2_m4
  0.00000000E+00,  0.86243553E+01
  0.26496535E-01,  0.35857864E+03
  0.11100256E+00,  0.14652272E+04
  0.26428449E+00,  0.33650190E+04
  0.49941573E+00,  0.60576382E+04
  0.83145916E+00,  0.95396074E+04
  0.12734567E+01,  0.13790055E+05
  0.18356087E+01,  0.18832928E+05
  0.25230684E+01,  0.24701789E+05
  0.33382578E+01,  0.31463764E+05
  0.42815604E+01,  0.39179426E+05
  0.53546038E+01,  0.47895414E+05
  0.65596867E+01,  0.57663152E+05
  0.78978081E+01,  0.68536883E+05
  0.93670282E+01,  0.80560797E+05
  0.10961244E+02,  0.93764086E+05
  0.12671050E+02,  0.10816727E+06
  0.14491280E+02,  0.12390985E+06
  0.16436655E+02,  0.14089494E+06
  0.18513239E+02,  0.15903830E+06
  0.20719482E+02,  0.17895897E+06
  0.23127697E+02,  0.19663284E+06
  0.25801092E+02,  0.21056823E+06
  0.28669102E+02,  0.22799752E+06
  0.31644140E+02,  0.24895288E+06
  0.34654079E+02,  0.27184234E+06
  0.37681904E+02,  0.29660950E+06
  0.40731270E+02,  0.32354097E+06
  0.43799023E+02,  0.35285478E+06
  0.46882534E+02,  0.38480384E+06
  0.49980667E+02,  0.41972800E+06
  0.53092495E+02,  0.45800550E+06
  0.56217171E+02,  0.50014012E+06
  0.59353901E+02,  0.54677488E+06
  0.62501408E+02,  0.59879275E+06
  0.65658081E+02,  0.65742906E+06
  0.68822678E+02,  0.72450556E+06
  0.71993378E+02,  0.80228169E+06
  0.75167824E+02,  0.89433481E+06
  0.78354172E+02,  0.10085794E+07
  0.81557510E+02,  0.11554892E+07
  0.84740219E+02,  0.13699569E+07
  0.87949692E+02,  0.15799975E+07
  0.91358337E+02,  0.19459586E+07
