PSIP,AVEGVR2_m2
  0.00000000E+00,  0.11771010E+00
  0.26496535E-01,  0.48926115E+01
  0.11100256E+00,  0.19992365E+02
  0.26428449E+00,  0.45917027E+02
  0.49941573E+00,  0.82676567E+02
  0.83145916E+00,  0.13025284E+03
  0.12734567E+01,  0.18839949E+03
  0.18356087E+01,  0.25746741E+03
  0.25230684E+01,  0.33793100E+03
  0.33382578E+01,  0.43070480E+03
  0.42815604E+01,  0.53663873E+03
  0.53546038E+01,  0.65641278E+03
  0.65596867E+01,  0.79076990E+03
  0.78978081E+01,  0.94054828E+03
  0.93670282E+01,  0.11065035E+04
  0.10961244E+02,  0.12891918E+04
  0.12671050E+02,  0.14891520E+04
  0.14491280E+02,  0.17080618E+04
  0.16436655E+02,  0.19446299E+04
  0.18513239E+02,  0.21984294E+04
  0.20719482E+02,  0.24768613E+04
  0.23127697E+02,  0.27374248E+04
  0.25801092E+02,  0.29679551E+04
  0.28669102E+02,  0.32287725E+04
  0.31644140E+02,  0.35263333E+04
  0.34654079E+02,  0.38518125E+04
  0.37681904E+02,  0.42037441E+04
  0.40731270E+02,  0.45871880E+04
  0.43799023E+02,  0.50054312E+04
  0.46882534E+02,  0.54621289E+04
  0.49980667E+02,  0.59624263E+04
  0.53092495E+02,  0.65121235E+04
  0.56217171E+02,  0.71187832E+04
  0.59353901E+02,  0.77921646E+04
  0.62501408E+02,  0.85455752E+04
  0.65658081E+02,  0.93976328E+04
  0.68822678E+02,  0.10375465E+05
  0.71993378E+02,  0.11514083E+05
  0.75167824E+02,  0.12867843E+05
  0.78354172E+02,  0.14549166E+05
  0.81557510E+02,  0.16730438E+05
  0.84740219E+02,  0.19934088E+05
  0.87949692E+02,  0.23173990E+05
  0.91358337E+02,  0.28762756E+05
