PSIP,AVEGP2
  0.00000000E+00, -0.54287985E-01
  0.26496535E-01,  0.11354418E+01
  0.11100256E+00,  0.50138083E+01
  0.26428449E+00,  0.13001598E+02
  0.49941573E+00,  0.27316111E+02
  0.83145916E+00,  0.50669788E+02
  0.12734567E+01,  0.85124031E+02
  0.18356087E+01,  0.13085425E+03
  0.25230684E+01,  0.18640962E+03
  0.33382578E+01,  0.24952325E+03
  0.42815604E+01,  0.31928079E+03
  0.53546038E+01,  0.39668146E+03
  0.65596867E+01,  0.48156259E+03
  0.78978081E+01,  0.57126575E+03
  0.93670282E+01,  0.66234778E+03
  0.10961244E+02,  0.75285144E+03
  0.12671050E+02,  0.83862213E+03
  0.14491280E+02,  0.92514136E+03
  0.16436655E+02,  0.10394347E+04
  0.18513239E+02,  0.11670480E+04
  0.20719482E+02,  0.12978109E+04
  0.23127697E+02,  0.16663734E+04
  0.25801092E+02,  0.23342520E+04
  0.28669102E+02,  0.26859553E+04
  0.31644140E+02,  0.26660059E+04
  0.34654079E+02,  0.25853650E+04
  0.37681904E+02,  0.25153901E+04
  0.40731270E+02,  0.24398000E+04
  0.43799023E+02,  0.23612656E+04
  0.46882534E+02,  0.22827271E+04
  0.49980667E+02,  0.22038674E+04
  0.53092495E+02,  0.21252620E+04
  0.56217171E+02,  0.20465817E+04
  0.59353901E+02,  0.19670912E+04
  0.62501408E+02,  0.18854083E+04
  0.65658081E+02,  0.18002142E+04
  0.68822678E+02,  0.17108397E+04
  0.71993378E+02,  0.16181671E+04
  0.75167824E+02,  0.15219310E+04
  0.78354172E+02,  0.14220309E+04
  0.81557510E+02,  0.13084404E+04
  0.84740219E+02,  0.11628585E+04
  0.87949692E+02,  0.11755699E+04
  0.91358337E+02,  0.11341835E+04
