PSIP,AVEJPR_MAm2,AVEJTR_MAm2
  0.00000000E+00,  0.55520606E+00, -0.43071041E+00
  0.26496535E-01,  0.56531060E+00, -0.41071618E+00
  0.11100256E+00,  0.59757143E+00, -0.34712911E+00
  0.26428449E+00,  0.65647447E+00, -0.23384571E+00
  0.49941573E+00,  0.74181092E+00, -0.72068200E-01
  0.83145916E+00,  0.83340770E+00,  0.11043528E+00
  0.12734567E+01,  0.89327389E+00,  0.25992310E+00
  0.18356087E+01,  0.92325550E+00,  0.36638966E+00
  0.25230684E+01,  0.92960006E+00,  0.43256840E+00
  0.33382578E+01,  0.91960913E+00,  0.47003427E+00
  0.42815604E+01,  0.91163218E+00,  0.50291032E+00
  0.53546038E+01,  0.90623599E+00,  0.53566825E+00
  0.65596867E+01,  0.89632857E+00,  0.56336564E+00
  0.78978081E+01,  0.87033093E+00,  0.58506531E+00
  0.93670282E+01,  0.83544981E+00,  0.60070252E+00
  0.10961244E+02,  0.80257839E+00,  0.61010611E+00
  0.12671050E+02,  0.77235627E+00,  0.61497623E+00
  0.14491280E+02,  0.77465475E+00,  0.63775444E+00
  0.16436655E+02,  0.84253877E+00,  0.71055430E+00
  0.18513239E+02,  0.88576108E+00,  0.76730382E+00
  0.20719482E+02,  0.10046290E+01,  0.91319990E+00
  0.23127697E+02,  0.18956672E+01,  0.18913242E+01
  0.25801092E+02,  0.19554998E+01,  0.19904971E+01
  0.28669102E+02,  0.83656281E+00,  0.83396941E+00
  0.31644140E+02,  0.43200114E+00,  0.42340910E+00
  0.34654079E+02,  0.36118919E+00,  0.35759357E+00
  0.37681904E+02,  0.32659245E+00,  0.32632613E+00
  0.40731270E+02,  0.30756694E+00,  0.30979836E+00
  0.43799023E+02,  0.29013664E+00,  0.29448998E+00
  0.46882534E+02,  0.27404794E+00,  0.28022224E+00
  0.49980667E+02,  0.26093528E+00,  0.26873329E+00
  0.53092495E+02,  0.24932270E+00,  0.25856149E+00
  0.56217171E+02,  0.23784111E+00,  0.24830697E+00
  0.59353901E+02,  0.22623387E+00,  0.23769452E+00
  0.62501408E+02,  0.21316469E+00,  0.22524659E+00
  0.65658081E+02,  0.20077164E+00,  0.21327825E+00
  0.68822678E+02,  0.18997012E+00,  0.20289029E+00
  0.71993378E+02,  0.18630008E+00,  0.20062026E+00
  0.75167824E+02,  0.18366666E+00,  0.19961059E+00
  0.78354172E+02,  0.18518724E+00,  0.20535868E+00
  0.81557510E+02,  0.18957610E+00,  0.21652962E+00
  0.84740219E+02,  0.21845084E+00,  0.26256108E+00
  0.87949692E+02,  0.67230999E+00,  0.86681485E+00
  0.91358337E+02,  0.70603579E-01,  0.27366075E+00
