PSIP,RRPSI_m
  0.00000000E+00,  0.85609226E+01
  0.26496535E-01,  0.85600462E+01
  0.11100256E+00,  0.85576801E+01
  0.26428449E+00,  0.85537071E+01
  0.49941573E+00,  0.85483942E+01
  0.83145916E+00,  0.85419855E+01
  0.12734567E+01,  0.85348034E+01
  0.18356087E+01,  0.85269794E+01
  0.25230684E+01,  0.85185633E+01
  0.33382578E+01,  0.85094433E+01
  0.42815604E+01,  0.84995022E+01
  0.53546038E+01,  0.84886971E+01
  0.65596867E+01,  0.84769783E+01
  0.78978081E+01,  0.84642525E+01
  0.93670282E+01,  0.84505205E+01
  0.10961244E+02,  0.84359503E+01
  0.12671050E+02,  0.84205484E+01
  0.14491280E+02,  0.84043989E+01
  0.16436655E+02,  0.83873072E+01
  0.18513239E+02,  0.83691740E+01
  0.20719482E+02,  0.83503237E+01
  0.23127697E+02,  0.83303823E+01
  0.25801092E+02,  0.83133659E+01
  0.28669102E+02,  0.82995615E+01
  0.31644140E+02,  0.82855854E+01
  0.34654079E+02,  0.82707872E+01
  0.37681904E+02,  0.82553425E+01
  0.40731270E+02,  0.82391396E+01
  0.43799023E+02,  0.82222052E+01
  0.46882534E+02,  0.82045689E+01
  0.49980667E+02,  0.81859550E+01
  0.53092495E+02,  0.81666040E+01
  0.56217171E+02,  0.81464548E+01
  0.59353901E+02,  0.81253033E+01
  0.62501408E+02,  0.81033659E+01
  0.65658081E+02,  0.80803356E+01
  0.68822678E+02,  0.80563374E+01
  0.71993378E+02,  0.80312309E+01
  0.75167824E+02,  0.80047531E+01
  0.78354172E+02,  0.79766750E+01
  0.81557510E+02,  0.79461737E+01
  0.84740219E+02,  0.79129639E+01
  0.87949692E+02,  0.78731909E+01
  0.91358337E+02,  0.78226166E+01
