PSIP,RSPSI_m
  0.00000000E+00,  0.00000000E+00
  0.26496535E-01,  0.41644368E-01
  0.11100256E+00,  0.84780894E-01
  0.26428449E+00,  0.12951761E+00
  0.49941573E+00,  0.17559856E+00
  0.83145916E+00,  0.22277379E+00
  0.12734567E+01,  0.27072644E+00
  0.18356087E+01,  0.31931388E+00
  0.25230684E+01,  0.36849719E+00
  0.33382578E+01,  0.41838914E+00
  0.42815604E+01,  0.46909356E+00
  0.53546038E+01,  0.52066684E+00
  0.65596867E+01,  0.57315254E+00
  0.78978081E+01,  0.62664437E+00
  0.93670282E+01,  0.68114436E+00
  0.10961244E+02,  0.73648190E+00
  0.12671050E+02,  0.79265118E+00
  0.14491280E+02,  0.84956831E+00
  0.16436655E+02,  0.90742755E+00
  0.18513239E+02,  0.96631908E+00
  0.20719482E+02,  0.10259625E+01
  0.23127697E+02,  0.10866636E+01
  0.25801092E+02,  0.11444645E+01
  0.28669102E+02,  0.11989738E+01
  0.31644140E+02,  0.12537725E+01
  0.34654079E+02,  0.13093162E+01
  0.37681904E+02,  0.13655266E+01
  0.40731270E+02,  0.14225003E+01
  0.43799023E+02,  0.14801999E+01
  0.46882534E+02,  0.15386032E+01
  0.49980667E+02,  0.15979862E+01
  0.53092495E+02,  0.16581039E+01
  0.56217171E+02,  0.17190200E+01
  0.59353901E+02,  0.17809381E+01
  0.62501408E+02,  0.18436430E+01
  0.65658081E+02,  0.19074402E+01
  0.68822678E+02,  0.19722054E+01
  0.71993378E+02,  0.20380876E+01
  0.75167824E+02,  0.21053507E+01
  0.78354172E+02,  0.21742091E+01
  0.81557510E+02,  0.22454371E+01
  0.84740219E+02,  0.23195465E+01
  0.87949692E+02,  0.23998230E+01
  0.91358337E+02,  0.24883020E+01
