PSIP,ELIPPSI
  0.00000000E+00,  0.16183563E+01
  0.26496535E-01,  0.16183563E+01
  0.11100256E+00,  0.16008799E+01
  0.26428449E+00,  0.15819068E+01
  0.49941573E+00,  0.15575314E+01
  0.83145916E+00,  0.15328029E+01
  0.12734567E+01,  0.15090142E+01
  0.18356087E+01,  0.14882234E+01
  0.25230684E+01,  0.14707773E+01
  0.33382578E+01,  0.14563690E+01
  0.42815604E+01,  0.14445558E+01
  0.53546038E+01,  0.14345483E+01
  0.65596867E+01,  0.14257600E+01
  0.78978081E+01,  0.14178797E+01
  0.93670282E+01,  0.14108539E+01
  0.10961244E+02,  0.14047841E+01
  0.12671050E+02,  0.13998023E+01
  0.14491280E+02,  0.13963863E+01
  0.16436655E+02,  0.13926213E+01
  0.18513239E+02,  0.13879303E+01
  0.20719482E+02,  0.13855745E+01
  0.23127697E+02,  0.13793055E+01
  0.25801092E+02,  0.13697937E+01
  0.28669102E+02,  0.13631641E+01
  0.31644140E+02,  0.13588151E+01
  0.34654079E+02,  0.13562815E+01
  0.37681904E+02,  0.13557470E+01
  0.40731270E+02,  0.13570753E+01
  0.43799023E+02,  0.13602856E+01
  0.46882534E+02,  0.13653550E+01
  0.49980667E+02,  0.13721256E+01
  0.53092495E+02,  0.13808892E+01
  0.56217171E+02,  0.13916934E+01
  0.59353901E+02,  0.14046098E+01
  0.62501408E+02,  0.14200901E+01
  0.65658081E+02,  0.14383353E+01
  0.68822678E+02,  0.14601676E+01
  0.71993378E+02,  0.14863677E+01
  0.75167824E+02,  0.15180542E+01
  0.78354172E+02,  0.15575693E+01
  0.81557510E+02,  0.16087246E+01
  0.84740219E+02,  0.16791929E+01
  0.87949692E+02,  0.17791156E+01
  0.91358337E+02,  0.18730652E+01
