PSIP,TRIGPSI
  0.00000000E+00,  0.00000000E+00
  0.26496535E-01,  0.95987944E-02
  0.11100256E+00,  0.21793406E-01
  0.26428449E+00,  0.30844191E-01
  0.49941573E+00,  0.37698865E-01
  0.83145916E+00,  0.42103846E-01
  0.12734567E+01,  0.44986159E-01
  0.18356087E+01,  0.47273748E-01
  0.25230684E+01,  0.49558286E-01
  0.33382578E+01,  0.52151069E-01
  0.42815604E+01,  0.55042684E-01
  0.53546038E+01,  0.58141213E-01
  0.65596867E+01,  0.61493490E-01
  0.78978081E+01,  0.64735323E-01
  0.93670282E+01,  0.68250403E-01
  0.10961244E+02,  0.72020248E-01
  0.12671050E+02,  0.75902261E-01
  0.14491280E+02,  0.79693772E-01
  0.16436655E+02,  0.83747074E-01
  0.18513239E+02,  0.87225862E-01
  0.20719482E+02,  0.89543574E-01
  0.23127697E+02,  0.91285110E-01
  0.25801092E+02,  0.91424875E-01
  0.28669102E+02,  0.90243168E-01
  0.31644140E+02,  0.90113878E-01
  0.34654079E+02,  0.92717007E-01
  0.37681904E+02,  0.96354909E-01
  0.40731270E+02,  0.10128523E+00
  0.43799023E+02,  0.10810288E+00
  0.46882534E+02,  0.11646730E+00
  0.49980667E+02,  0.12621146E+00
  0.53092495E+02,  0.13735926E+00
  0.56217171E+02,  0.15044995E+00
  0.59353901E+02,  0.16499838E+00
  0.62501408E+02,  0.18181784E+00
  0.65658081E+02,  0.20050402E+00
  0.68822678E+02,  0.22218111E+00
  0.71993378E+02,  0.24709655E+00
  0.75167824E+02,  0.27625924E+00
  0.78354172E+02,  0.31060439E+00
  0.81557510E+02,  0.35331646E+00
  0.84740219E+02,  0.40751690E+00
  0.87949692E+02,  0.47453597E+00
  0.91358337E+02,  0.53395361E+00
