PSIP,DVDPSIP_m3perWb
  0.00000000E+00,  0.17988894E+02
  0.26496535E-01,  0.17770914E+02
  0.11100256E+00,  0.17094980E+02
  0.26428449E+00,  0.16087753E+02
  0.49941573E+00,  0.14891630E+02
  0.83145916E+00,  0.13721156E+02
  0.12734567E+01,  0.12727904E+02
  0.18356087E+01,  0.11996789E+02
  0.25230684E+01,  0.11511450E+02
  0.33382578E+01,  0.11229226E+02
  0.42815604E+01,  0.11077522E+02
  0.53546038E+01,  0.10988187E+02
  0.65596867E+01,  0.10942658E+02
  0.78978081E+01,  0.10953252E+02
  0.93670282E+01,  0.11028561E+02
  0.10961244E+02,  0.11159986E+02
  0.12671050E+02,  0.11357030E+02
  0.14491280E+02,  0.11573078E+02
  0.16436655E+02,  0.11642575E+02
  0.18513239E+02,  0.11673646E+02
  0.20719482E+02,  0.11742783E+02
  0.23127697E+02,  0.10862803E+02
  0.25801092E+02,  0.94977903E+01
  0.28669102E+02,  0.92133093E+01
  0.31644140E+02,  0.96633568E+01
  0.34654079E+02,  0.10254102E+02
  0.37681904E+02,  0.10859000E+02
  0.40731270E+02,  0.11515625E+02
  0.43799023E+02,  0.12224344E+02
  0.46882534E+02,  0.12983527E+02
  0.49980667E+02,  0.13800385E+02
  0.53092495E+02,  0.14680103E+02
  0.56217171E+02,  0.15632604E+02
  0.59353901E+02,  0.16672167E+02
  0.62501408E+02,  0.17821144E+02
  0.65658081E+02,  0.19110073E+02
  0.68822678E+02,  0.20578617E+02
  0.71993378E+02,  0.22266489E+02
  0.75167824E+02,  0.24241114E+02
  0.78354172E+02,  0.26631802E+02
  0.81557510E+02,  0.29717070E+02
  0.84740219E+02,  0.34323380E+02
  0.87949692E+02,  0.36660973E+02
  0.91358337E+02,  0.41421436E+02
