PSIP,DVDPSIT_m3perWb
  0.00000000E+00,  0.98187752E+01
  0.26496535E-01,  0.98136721E+01
  0.11100256E+00,  0.97976227E+01
  0.26428449E+00,  0.97710791E+01
  0.49941573E+00,  0.97357855E+01
  0.83145916E+00,  0.96937532E+01
  0.12734567E+01,  0.96470432E+01
  0.18356087E+01,  0.95957603E+01
  0.25230684E+01,  0.95394869E+01
  0.33382578E+01,  0.94774256E+01
  0.42815604E+01,  0.94092979E+01
  0.53546038E+01,  0.93351288E+01
  0.65596867E+01,  0.92550316E+01
  0.78978081E+01,  0.91701880E+01
  0.93670282E+01,  0.90824347E+01
  0.10961244E+02,  0.89928484E+01
  0.12671050E+02,  0.89028540E+01
  0.14491280E+02,  0.88091640E+01
  0.16436655E+02,  0.87066555E+01
  0.18513239E+02,  0.86010246E+01
  0.20719482E+02,  0.84892778E+01
  0.23127697E+02,  0.84051752E+01
  0.25801092E+02,  0.84113932E+01
  0.28669102E+02,  0.83738232E+01
  0.31644140E+02,  0.82945766E+01
  0.34654079E+02,  0.82130260E+01
  0.37681904E+02,  0.81264381E+01
  0.40731270E+02,  0.80362282E+01
  0.43799023E+02,  0.79426155E+01
  0.46882534E+02,  0.78446832E+01
  0.49980667E+02,  0.77421556E+01
  0.53092495E+02,  0.76348333E+01
  0.56217171E+02,  0.75223083E+01
  0.59353901E+02,  0.74041939E+01
  0.62501408E+02,  0.72800336E+01
  0.65658081E+02,  0.71492429E+01
  0.68822678E+02,  0.70107617E+01
  0.71993378E+02,  0.68633442E+01
  0.75167824E+02,  0.67053566E+01
  0.78354172E+02,  0.65319004E+01
  0.81557510E+02,  0.63404560E+01
  0.84740219E+02,  0.61267796E+01
  0.87949692E+02,  0.58510075E+01
  0.91358337E+02,  0.55195618E+01
