theta_rad / psi_index,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50
  0.00000000E+00,  0.85609226E+01,  0.86016903E+01,  0.86424580E+01,  0.86832247E+01,  0.87239923E+01,  0.87647600E+01,  0.88055267E+01,  0.88462944E+01,  0.88870621E+01,  0.89278288E+01,  0.89685965E+01,  0.90093641E+01,  0.90501308E+01,  0.90908985E+01,  0.91316662E+01,  0.91724329E+01,  0.92132006E+01,  0.92539682E+01,  0.92947350E+01,  0.93355026E+01,  0.93762703E+01,  0.94170370E+01,  0.94578047E+01,  0.94985723E+01,  0.95393391E+01,  0.95801067E+01,  0.96208744E+01,  0.96616411E+01,  0.97024088E+01,  0.97431765E+01,  0.97839432E+01,  0.98247108E+01,  0.98654785E+01,  0.99062452E+01,  0.99470129E+01,  0.99877806E+01,  0.10028547E+02,  0.10069315E+02,  0.10110083E+02,  0.10150850E+02,  0.10191617E+02,  0.10232385E+02,  0.10273152E+02,  0.10313919E+02,  0.10343071E+02,  0.10372223E+02,  0.10401374E+02,  0.10430526E+02,  0.10459678E+02,  0.10488829E+02
  0.98174770E-01,  0.85609226E+01,  0.86015205E+01,  0.86421108E+01,  0.86826935E+01,  0.87232704E+01,  0.87638416E+01,  0.88044071E+01,  0.88449717E+01,  0.88855324E+01,  0.89260883E+01,  0.89666395E+01,  0.90071850E+01,  0.90477228E+01,  0.90882587E+01,  0.91287909E+01,  0.91693106E+01,  0.92098179E+01,  0.92503433E+01,  0.92908678E+01,  0.93313398E+01,  0.93718710E+01,  0.94125071E+01,  0.94529467E+01,  0.94933834E+01,  0.95339918E+01,  0.95745411E+01,  0.96150446E+01,  0.96555567E+01,  0.96960602E+01,  0.97365465E+01,  0.97770166E+01,  0.98174706E+01,  0.98579006E+01,  0.98983021E+01,  0.99386683E+01,  0.99789886E+01,  0.10019252E+02,  0.10059432E+02,  0.10099494E+02,  0.10139447E+02,  0.10179194E+02,  0.10218237E+02,  0.10256752E+02,  0.10296069E+02,  0.10324924E+02,  0.10353779E+02,  0.10382634E+02,  0.10411489E+02,  0.10440343E+02,  0.10469198E+02
  0.19634954E+00,  0.85609226E+01,  0.86010733E+01,  0.86411867E+01,  0.86812553E+01,  0.87212944E+01,  0.87613058E+01,  0.88012905E+01,  0.88412647E+01,  0.88812189E+01,  0.89211512E+01,  0.89610538E+01,  0.90009317E+01,  0.90407705E+01,  0.90805912E+01,  0.91203947E+01,  0.91601496E+01,  0.91998358E+01,  0.92395630E+01,  0.92793379E+01,  0.93188934E+01,  0.93584452E+01,  0.93985577E+01,  0.94383726E+01,  0.94777460E+01,  0.95175991E+01,  0.95574694E+01,  0.95971413E+01,  0.96367722E+01,  0.96763763E+01,  0.97159081E+01,  0.97553625E+01,  0.97947369E+01,  0.98340158E+01,  0.98731823E+01,  0.99122114E+01,  0.99510756E+01,  0.99897385E+01,  0.10028152E+02,  0.10066216E+02,  0.10103825E+02,  0.10140945E+02,  0.10176916E+02,  0.10210350E+02,  0.10243220E+02,  0.10271196E+02,  0.10299172E+02,  0.10327148E+02,  0.10355124E+02,  0.10383100E+02,  0.10411076E+02
  0.29452431E+00,  0.85609226E+01,  0.86003456E+01,  0.86396723E+01,  0.86788931E+01,  0.87180414E+01,  0.87571297E+01,  0.87961588E+01,  0.88351564E+01,  0.88741035E+01,  0.89129992E+01,  0.89518232E+01,  0.89905853E+01,  0.90292673E+01,  0.90678864E+01,  0.91064720E+01,  0.91449842E+01,  0.91833477E+01,  0.92216587E+01,  0.92601023E+01,  0.92983122E+01,  0.93361521E+01,  0.93746119E+01,  0.94136171E+01,  0.94519873E+01,  0.94903479E+01,  0.95288458E+01,  0.95671701E+01,  0.96053600E+01,  0.96434307E+01,  0.96813536E+01,  0.97191133E+01,  0.97566910E+01,  0.97940588E+01,  0.98311834E+01,  0.98680201E+01,  0.99045105E+01,  0.99405689E+01,  0.99760647E+01,  0.10010815E+02,  0.10044580E+02,  0.10076874E+02,  0.10106435E+02,  0.10131245E+02,  0.10154189E+02,  0.10180684E+02,  0.10207180E+02,  0.10233675E+02,  0.10260171E+02,  0.10286666E+02,  0.10313161E+02
  0.39269908E+00,  0.85609226E+01,  0.85993280E+01,  0.86375532E+01,  0.86755886E+01,  0.87134933E+01,  0.87512999E+01,  0.87889986E+01,  0.88266306E+01,  0.88641567E+01,  0.89015932E+01,  0.89389057E+01,  0.89761105E+01,  0.90131941E+01,  0.90501404E+01,  0.90870047E+01,  0.91237698E+01,  0.91603594E+01,  0.91967897E+01,  0.92332478E+01,  0.92695942E+01,  0.93056917E+01,  0.93420315E+01,  0.93787374E+01,  0.94154081E+01,  0.94522362E+01,  0.94889030E+01,  0.95252533E+01,  0.95614014E+01,  0.95973425E+01,  0.96330214E+01,  0.96684132E+01,  0.97034845E+01,  0.97381878E+01,  0.97724667E+01,  0.98062429E+01,  0.98394175E+01,  0.98718452E+01,  0.99033146E+01,  0.99335403E+01,  0.99620304E+01,  0.99878721E+01,  0.10008990E+02,  0.10021441E+02,  0.10031446E+02,  0.10055901E+02,  0.10080355E+02,  0.10104809E+02,  0.10129263E+02,  0.10153717E+02,  0.10178171E+02
  0.49087385E+00,  0.85609226E+01,  0.85980120E+01,  0.86348124E+01,  0.86713209E+01,  0.87076311E+01,  0.87437944E+01,  0.87797709E+01,  0.88156309E+01,  0.88513260E+01,  0.88868780E+01,  0.89222498E+01,  0.89574528E+01,  0.89924831E+01,  0.90273113E+01,  0.90619707E+01,  0.90964508E+01,  0.91306963E+01,  0.91647930E+01,  0.91988668E+01,  0.92326145E+01,  0.92658539E+01,  0.92995939E+01,  0.93342638E+01,  0.93688297E+01,  0.94033365E+01,  0.94376087E+01,  0.94714727E+01,  0.95050383E+01,  0.95382643E+01,  0.95710869E+01,  0.96034698E+01,  0.96353598E+01,  0.96666861E+01,  0.96973619E+01,  0.97272720E+01,  0.97562561E+01,  0.97840986E+01,  0.98104801E+01,  0.98349543E+01,  0.98568163E+01,  0.98745384E+01,  0.98852634E+01,  0.98832340E+01,  0.98759260E+01,  0.98977947E+01,  0.99196625E+01,  0.99415302E+01,  0.99633980E+01,  0.99852667E+01,  0.10007134E+02
  0.58904862E+00,  0.85609226E+01,  0.85963860E+01,  0.86314268E+01,  0.86660671E+01,  0.87004318E+01,  0.87345562E+01,  0.87684126E+01,  0.88020906E+01,  0.88355465E+01,  0.88687963E+01,  0.89017992E+01,  0.89345570E+01,  0.89670601E+01,  0.89992943E+01,  0.90312967E+01,  0.90630484E+01,  0.90944929E+01,  0.91256742E+01,  0.91567307E+01,  0.91874199E+01,  0.92176151E+01,  0.92483568E+01,  0.92801142E+01,  0.93119497E+01,  0.93437490E+01,  0.93751497E+01,  0.94060183E+01,  0.94364653E+01,  0.94664173E+01,  0.94958048E+01,  0.95245752E+01,  0.95526505E+01,  0.95799332E+01,  0.96063032E+01,  0.96315994E+01,  0.96556005E+01,  0.96780090E+01,  0.96983700E+01,  0.97160635E+01,  0.97300911E+01,  0.97384777E+01,  0.97371321E+01,  0.97173262E+01,  0.96913824E+01,  0.97101812E+01,  0.97289801E+01,  0.97477798E+01,  0.97665787E+01,  0.97853775E+01,  0.98041763E+01
  0.68722339E+00,  0.85609226E+01,  0.85944338E+01,  0.86273699E+01,  0.86597986E+01,  0.86918411E+01,  0.87235174E+01,  0.87548542E+01,  0.87859373E+01,  0.88167505E+01,  0.88472824E+01,  0.88774843E+01,  0.89073648E+01,  0.89369154E+01,  0.89661036E+01,  0.89949732E+01,  0.90235100E+01,  0.90516710E+01,  0.90794954E+01,  0.91070967E+01,  0.91342964E+01,  0.91609087E+01,  0.91879435E+01,  0.92163286E+01,  0.92450581E+01,  0.92736731E+01,  0.93017273E+01,  0.93291092E+01,  0.93559246E+01,  0.93820820E+01,  0.94074965E+01,  0.94320955E+01,  0.94557791E+01,  0.94784193E+01,  0.94998579E+01,  0.95198841E+01,  0.95382109E+01,  0.95544386E+01,  0.95679836E+01,  0.95780306E+01,  0.95831976E+01,  0.95809975E+01,  0.95661221E+01,  0.95276909E+01,  0.94801683E+01,  0.94954548E+01,  0.95107412E+01,  0.95260277E+01,  0.95413151E+01,  0.95566015E+01,  0.95718880E+01
  0.78539816E+00,  0.85609226E+01,  0.85921373E+01,  0.86226110E+01,  0.86524744E+01,  0.86817894E+01,  0.87106085E+01,  0.87390213E+01,  0.87671108E+01,  0.87948647E+01,  0.88222523E+01,  0.88492289E+01,  0.88757992E+01,  0.89019499E+01,  0.89276590E+01,  0.89529495E+01,  0.89778070E+01,  0.90022135E+01,  0.90262032E+01,  0.90498753E+01,  0.90731621E+01,  0.90957460E+01,  0.91185446E+01,  0.91432037E+01,  0.91684008E+01,  0.91933041E+01,  0.92175541E+01,  0.92410021E+01,  0.92637062E+01,  0.92855911E+01,  0.93065453E+01,  0.93264771E+01,  0.93452587E+01,  0.93627367E+01,  0.93787079E+01,  0.93929148E+01,  0.94049997E+01,  0.94144650E+01,  0.94205990E+01,  0.94224205E+01,  0.94182043E+01,  0.94048176E+01,  0.93756580E+01,  0.93169174E+01,  0.92480221E+01,  0.92594481E+01,  0.92708740E+01,  0.92823009E+01,  0.92937269E+01,  0.93051529E+01,  0.93165789E+01
  0.88357293E+00,  0.85609226E+01,  0.85894747E+01,  0.86171131E+01,  0.86440306E+01,  0.86702080E+01,  0.86957598E+01,  0.87208395E+01,  0.87455397E+01,  0.87698030E+01,  0.87936306E+01,  0.88169756E+01,  0.88398228E+01,  0.88621674E+01,  0.88839769E+01,  0.89052601E+01,  0.89260302E+01,  0.89462700E+01,  0.89659462E+01,  0.89851637E+01,  0.90039759E+01,  0.90220842E+01,  0.90402546E+01,  0.90607271E+01,  0.90821047E+01,  0.91029234E+01,  0.91228695E+01,  0.91419716E+01,  0.91601524E+01,  0.91773338E+01,  0.91934032E+01,  0.92082376E+01,  0.92216902E+01,  0.92335739E+01,  0.92436523E+01,  0.92516136E+01,  0.92570381E+01,  0.92593288E+01,  0.92576389E+01,  0.92507963E+01,  0.92367172E+01,  0.92117682E+01,  0.91680403E+01,  0.90892773E+01,  0.89993887E+01,  0.90066805E+01,  0.90139723E+01,  0.90212641E+01,  0.90285549E+01,  0.90358467E+01,  0.90431385E+01
