theta_rad / psi_index,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50
  0.00000000E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.88825232E+00,  0.90302354E+00,  0.91779482E+00,  0.93256611E+00,  0.94733739E+00,  0.96210861E+00,  0.97687989E+00
  0.98174770E-01,  0.88825232E+00,  0.89367867E+00,  0.89921904E+00,  0.90487731E+00,  0.91056913E+00,  0.91627324E+00,  0.92196620E+00,  0.92766428E+00,  0.93339205E+00,  0.93917978E+00,  0.94504970E+00,  0.95101249E+00,  0.95706993E+00,  0.96322757E+00,  0.96949244E+00,  0.97586107E+00,  0.98232687E+00,  0.98890674E+00,  0.99560028E+00,  0.10023391E+01,  0.10091757E+01,  0.10160450E+01,  0.10223937E+01,  0.10283464E+01,  0.10344121E+01,  0.10406920E+01,  0.10471703E+01,  0.10538677E+01,  0.10608022E+01,  0.10679884E+01,  0.10754479E+01,  0.10832068E+01,  0.10912954E+01,  0.10997533E+01,  0.11086314E+01,  0.11179999E+01,  0.11279579E+01,  0.11386403E+01,  0.11502308E+01,  0.11630775E+01,  0.11777674E+01,  0.11954185E+01,  0.12184141E+01,  0.12432816E+01,  0.12639568E+01,  0.12846321E+01,  0.13053073E+01,  0.13259826E+01,  0.13466579E+01,  0.13673331E+01
  0.19634954E+00,  0.88825232E+00,  0.89908934E+00,  0.91015214E+00,  0.92144835E+00,  0.93280983E+00,  0.94419414E+00,  0.95555419E+00,  0.96692365E+00,  0.97835112E+00,  0.98989707E+00,  0.10016055E+01,  0.10134981E+01,  0.10255777E+01,  0.10378562E+01,  0.10503484E+01,  0.10630453E+01,  0.10759313E+01,  0.10890472E+01,  0.11023968E+01,  0.11158211E+01,  0.11294289E+01,  0.11431501E+01,  0.11558299E+01,  0.11676635E+01,  0.11797470E+01,  0.11922739E+01,  0.12051837E+01,  0.12185264E+01,  0.12323426E+01,  0.12466584E+01,  0.12615160E+01,  0.12769670E+01,  0.12930719E+01,  0.13099087E+01,  0.13275784E+01,  0.13462193E+01,  0.13660282E+01,  0.13872743E+01,  0.14103209E+01,  0.14358487E+01,  0.14650466E+01,  0.15001714E+01,  0.15458090E+01,  0.15949371E+01,  0.16214603E+01,  0.16479834E+01,  0.16745065E+01,  0.17010297E+01,  0.17275529E+01,  0.17540760E+01
  0.29452431E+00,  0.88825232E+00,  0.90446925E+00,  0.92101920E+00,  0.93791306E+00,  0.95489985E+00,  0.97191715E+00,  0.98889369E+00,  0.10058817E+01,  0.10229524E+01,  0.10401976E+01,  0.10576814E+01,  0.10754374E+01,  0.10934694E+01,  0.11117938E+01,  0.11304377E+01,  0.11493877E+01,  0.11686119E+01,  0.11881626E+01,  0.12080771E+01,  0.12281148E+01,  0.12483648E+01,  0.12687564E+01,  0.12877483E+01,  0.13054670E+01,  0.13234450E+01,  0.13421042E+01,  0.13613575E+01,  0.13812486E+01,  0.14018366E+01,  0.14231658E+01,  0.14452988E+01,  0.14683102E+01,  0.14922893E+01,  0.15173513E+01,  0.15436445E+01,  0.15713730E+01,  0.16008242E+01,  0.16323881E+01,  0.16665982E+01,  0.17044598E+01,  0.17476672E+01,  0.17995203E+01,  0.18668641E+01,  0.19391943E+01,  0.19714423E+01,  0.20036902E+01,  0.20359383E+01,  0.20681863E+01,  0.21004343E+01,  0.21326823E+01
  0.39269908E+00,  0.88825232E+00,  0.90980202E+00,  0.93178469E+00,  0.95421463E+00,  0.97675973E+00,  0.99933976E+00,  0.10218570E+01,  0.10443823E+01,  0.10670084E+01,  0.10898608E+01,  0.11130240E+01,  0.11365433E+01,  0.11604259E+01,  0.11846855E+01,  0.12093620E+01,  0.12344450E+01,  0.12598957E+01,  0.12857634E+01,  0.13120829E+01,  0.13386029E+01,  0.13654672E+01,  0.13924123E+01,  0.14173716E+01,  0.14407972E+01,  0.14646440E+01,  0.14893208E+01,  0.15147574E+01,  0.15410380E+01,  0.15682369E+01,  0.15964072E+01,  0.16256301E+01,  0.16560030E+01,  0.16876411E+01,  0.17206943E+01,  0.17553540E+01,  0.17918849E+01,  0.18306602E+01,  0.18721858E+01,  0.19171556E+01,  0.19668565E+01,  0.20234582E+01,  0.20911846E+01,  0.21787431E+01,  0.22728975E+01,  0.23106949E+01,  0.23484921E+01,  0.23862896E+01,  0.24240868E+01,  0.24618843E+01,  0.24996815E+01
  0.49087385E+00,  0.88825232E+00,  0.91506910E+00,  0.94240856E+00,  0.97029084E+00,  0.99830437E+00,  0.10263517E+01,  0.10543017E+01,  0.10822501E+01,  0.11103116E+01,  0.11386456E+01,  0.11673578E+01,  0.11965036E+01,  0.12260950E+01,  0.12561470E+01,  0.12867001E+01,  0.13177419E+01,  0.13492332E+01,  0.13812622E+01,  0.14138471E+01,  0.14466110E+01,  0.14797245E+01,  0.15130272E+01,  0.15440022E+01,  0.15730171E+01,  0.16024849E+01,  0.16329777E+01,  0.16644098E+01,  0.16968833E+01,  0.17304795E+01,  0.17652632E+01,  0.18013343E+01,  0.18388096E+01,  0.18778284E+01,  0.19185709E+01,  0.19612683E+01,  0.20062366E+01,  0.20539265E+01,  0.21049447E+01,  0.21601191E+01,  0.22210178E+01,  0.22901769E+01,  0.23727219E+01,  0.24790974E+01,  0.25926349E+01,  0.26357493E+01,  0.26788638E+01,  0.27219782E+01,  0.27650928E+01,  0.28082073E+01,  0.28513217E+01
  0.58904862E+00,  0.88825232E+00,  0.92024863E+00,  0.95284474E+00,  0.98607200E+00,  0.10194395E+01,  0.10528206E+01,  0.10860626E+01,  0.11192847E+01,  0.11526288E+01,  0.11862841E+01,  0.12203790E+01,  0.12549760E+01,  0.12900865E+01,  0.13257371E+01,  0.13619778E+01,  0.13987890E+01,  0.14361247E+01,  0.14740717E+01,  0.15126508E+01,  0.15514390E+01,  0.15906825E+01,  0.16301700E+01,  0.16668196E+01,  0.17011515E+01,  0.17360514E+01,  0.17721411E+01,  0.18093349E+01,  0.18477540E+01,  0.18874844E+01,  0.19286047E+01,  0.19712305E+01,  0.20154955E+01,  0.20615597E+01,  0.21096308E+01,  0.21599736E+01,  0.22129519E+01,  0.22690840E+01,  0.23290589E+01,  0.23938203E+01,  0.24651685E+01,  0.25460577E+01,  0.26422181E+01,  0.27650802E+01,  0.28965511E+01,  0.29447196E+01,  0.29928880E+01,  0.30410564E+01,  0.30892248E+01,  0.31373932E+01,  0.31855617E+01
  0.68722339E+00,  0.88825232E+00,  0.92531413E+00,  0.96303862E+00,  0.10014778E+01,  0.10400473E+01,  0.10785897E+01,  0.11169478E+01,  0.11552554E+01,  0.11936941E+01,  0.12324731E+01,  0.12717416E+01,  0.13115766E+01,  0.13519926E+01,  0.13930124E+01,  0.14346969E+01,  0.14770255E+01,  0.15199511E+01,  0.15635748E+01,  0.16079061E+01,  0.16524819E+01,  0.16975701E+01,  0.17428663E+01,  0.17849225E+01,  0.18243508E+01,  0.18644222E+01,  0.19058429E+01,  0.19485191E+01,  0.19925882E+01,  0.20381482E+01,  0.20852857E+01,  0.21341300E+01,  0.21848307E+01,  0.22375655E+01,  0.22925649E+01,  0.23501232E+01,  0.24106448E+01,  0.24747014E+01,  0.25430598E+01,  0.26167552E+01,  0.26977475E+01,  0.27893493E+01,  0.28978436E+01,  0.30359721E+01,  0.31826112E+01,  0.32355366E+01,  0.32884622E+01,  0.33413877E+01,  0.33943131E+01,  0.34472387E+01,  0.35001643E+01
  0.78539816E+00,  0.88825232E+00,  0.93023282E+00,  0.97292364E+00,  0.10164102E+01,  0.10599830E+01,  0.11034737E+01,  0.11467292E+01,  0.11899009E+01,  0.12331978E+01,  0.12768533E+01,  0.13210440E+01,  0.13658574E+01,  0.14113065E+01,  0.14574268E+01,  0.15042747E+01,  0.15518246E+01,  0.16000386E+01,  0.16490332E+01,  0.16988084E+01,  0.17488956E+01,  0.17995331E+01,  0.18502688E+01,  0.18974822E+01,  0.19417231E+01,  0.19866117E+01,  0.20330486E+01,  0.20808961E+01,  0.21302786E+01,  0.21813288E+01,  0.22341335E+01,  0.22888319E+01,  0.23455892E+01,  0.24045987E+01,  0.24661107E+01,  0.25304453E+01,  0.25980434E+01,  0.26695275E+01,  0.27457347E+01,  0.28278053E+01,  0.29178696E+01,  0.30194712E+01,  0.31393034E+01,  0.32907374E+01,  0.34519761E+01,  0.35093811E+01,  0.35667858E+01,  0.36241908E+01,  0.36815958E+01,  0.37390008E+01,  0.37964056E+01
  0.88357293E+00,  0.88825232E+00,  0.93496281E+00,  0.98241729E+00,  0.10307379E+01,  0.10790689E+01,  0.11272494E+01,  0.11751363E+01,  0.12229048E+01,  0.12707642E+01,  0.13190039E+01,  0.13678265E+01,  0.14173188E+01,  0.14675014E+01,  0.15184087E+01,  0.15700954E+01,  0.16225528E+01,  0.16757329E+01,  0.17297221E+01,  0.17845268E+01,  0.18396857E+01,  0.18955220E+01,  0.19513761E+01,  0.20033872E+01,  0.20522025E+01,  0.21015923E+01,  0.21526339E+01,  0.22053077E+01,  0.22596569E+01,  0.23158305E+01,  0.23739357E+01,  0.24341142E+01,  0.24965463E+01,  0.25614412E+01,  0.26290679E+01,  0.26997726E+01,  0.27740312E+01,  0.28525131E+01,  0.29361169E+01,  0.30260592E+01,  0.31246140E+01,  0.32356610E+01,  0.33662159E+01,  0.35305715E+01,  0.37062562E+01,  0.37678897E+01,  0.38295233E+01,  0.38911567E+01,  0.39527903E+01,  0.40144238E+01,  0.40760574E+01
