psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   1,   1,  0.00000000E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   2,  0.98174770E-01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   3,  0.19634954E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   4,  0.29452431E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   5,  0.39269908E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   6,  0.49087385E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   7,  0.58904862E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   8,  0.68722339E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,   9,  0.78539816E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  10,  0.88357293E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  11,  0.98174770E+00,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  12,  0.10799225E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  13,  0.11780972E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  14,  0.12762720E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  15,  0.13744468E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  16,  0.14726216E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  17,  0.15707963E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  18,  0.16689711E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  19,  0.17671459E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  20,  0.18653206E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  21,  0.19634954E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  22,  0.20616702E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  23,  0.21598449E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  24,  0.22580197E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  25,  0.23561945E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  26,  0.24543693E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  27,  0.25525440E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  28,  0.26507188E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  29,  0.27488936E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  30,  0.28470683E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  31,  0.29452431E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  32,  0.30434179E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  33,  0.31415927E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  34,  0.32397674E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  35,  0.33379422E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  36,  0.34361170E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
   1,  37,  0.35342917E+01,  0.85609226E+01,  0.88825232E+00,  0.00000000E+00
