point_index,RSU_m,ZSU_m,RSW_m,ZSW_m
   1,  0.10313919E+02,  0.88825232E+00,  0.10488829E+02,  0.97687989E+00
   2,  0.10307060E+02,  0.11135039E+01,  0.10481500E+02,  0.12244993E+01
   3,  0.10284154E+02,  0.13375897E+01,  0.10457273E+02,  0.14712713E+01
   4,  0.10249957E+02,  0.15603948E+01,  0.10418570E+02,  0.17160826E+01
   5,  0.10198556E+02,  0.17797847E+01,  0.10363580E+02,  0.19577341E+01
   6,  0.10135938E+02,  0.19962065E+01,  0.10292982E+02,  0.21953726E+01
   7,  0.10058371E+02,  0.22078233E+01,  0.10207817E+02,  0.24281285E+01
   8,  0.99673882E+01,  0.24139760E+01,  0.10107877E+02,  0.26548934E+01
   9,  0.98640862E+01,  0.26142573E+01,  0.99940605E+01,  0.28750753E+01
  10,  0.97492609E+01,  0.28081656E+01,  0.98676682E+01,  0.30882666E+01
  11,  0.96229277E+01,  0.29947827E+01,  0.97290049E+01,  0.32936668E+01
  12,  0.94867535E+01,  0.31743507E+01,  0.95791540E+01,  0.34910975E+01
  13,  0.93423748E+01,  0.33473821E+01,  0.94200201E+01,  0.36810846E+01
  14,  0.91901302E+01,  0.35135584E+01,  0.92532177E+01,  0.38644271E+01
  15,  0.90322962E+01,  0.36744308E+01,  0.90793676E+01,  0.40410981E+01
  16,  0.88676138E+01,  0.38283033E+01,  0.88980160E+01,  0.42100253E+01
  17,  0.86962891E+01,  0.39746885E+01,  0.87100534E+01,  0.43715887E+01
  18,  0.85207424E+01,  0.41160011E+01,  0.85169573E+01,  0.45269661E+01
  19,  0.83418207E+01,  0.42530265E+01,  0.83199854E+01,  0.46774321E+01
  20,  0.81593752E+01,  0.43853359E+01,  0.81192570E+01,  0.48228188E+01
  21,  0.79730215E+01,  0.45120611E+01,  0.79143324E+01,  0.49622316E+01
  22,  0.77830467E+01,  0.46333089E+01,  0.77054572E+01,  0.50956898E+01
  23,  0.75893955E+01,  0.47486014E+01,  0.74925838E+01,  0.52226272E+01
  24,  0.73921213E+01,  0.48575182E+01,  0.72751646E+01,  0.53415370E+01
  25,  0.71892571E+01,  0.49556351E+01,  0.70524096E+01,  0.54501810E+01
  26,  0.69807520E+01,  0.50410600E+01,  0.68229938E+01,  0.55437589E+01
  27,  0.67641816E+01,  0.51028862E+01,  0.65851293E+01,  0.56132627E+01
  28,  0.65410800E+01,  0.51331248E+01,  0.63393145E+01,  0.56448746E+01
  29,  0.63173633E+01,  0.51121392E+01,  0.60927253E+01,  0.56223092E+01
  30,  0.61088924E+01,  0.50291142E+01,  0.58652635E+01,  0.55303745E+01
  31,  0.59330158E+01,  0.48890305E+01,  0.56707902E+01,  0.53768535E+01
  32,  0.57905169E+01,  0.47148094E+01,  0.55139661E+01,  0.51854186E+01
  33,  0.56759701E+01,  0.45208716E+01,  0.53881283E+01,  0.49719472E+01
  34,  0.55832219E+01,  0.43155522E+01,  0.52861357E+01,  0.47461414E+01
  35,  0.55083284E+01,  0.41030188E+01,  0.52036328E+01,  0.45124693E+01
  36,  0.54480667E+01,  0.38858857E+01,  0.51376357E+01,  0.42735686E+01
  37,  0.54014297E+01,  0.36654222E+01,  0.50864921E+01,  0.40310893E+01
  38,  0.53688469E+01,  0.34424272E+01,  0.50499854E+01,  0.37859664E+01
  39,  0.53473706E+01,  0.32180874E+01,  0.50267835E+01,  0.35391736E+01
  40,  0.53365049E+01,  0.29929790E+01,  0.50148396E+01,  0.32916076E+01
  41,  0.53341718E+01,  0.27676139E+01,  0.50121856E+01,  0.30437648E+01
  42,  0.53382187E+01,  0.25422676E+01,  0.50166655E+01,  0.27959290E+01
