index,R_m,Z_m
   1,  0.35000000E+01, -0.80000000E+01
   2,  0.35671875E+01, -0.78750000E+01
   3,  0.36343751E+01, -0.77500000E+01
   4,  0.37015624E+01, -0.76250000E+01
   5,  0.37687500E+01, -0.75000000E+01
   6,  0.38359375E+01, -0.73750000E+01
   7,  0.39031250E+01, -0.72500000E+01
   8,  0.39703126E+01, -0.71250000E+01
   9,  0.40374999E+01, -0.70000000E+01
  10,  0.41046877E+01, -0.68750000E+01
  11,  0.41718750E+01, -0.67500000E+01
  12,  0.42390623E+01, -0.66250000E+01
  13,  0.43062501E+01, -0.65000000E+01
  14,  0.43734374E+01, -0.63750000E+01
  15,  0.44406252E+01, -0.62500000E+01
  16,  0.45078125E+01, -0.61250000E+01
  17,  0.45749998E+01, -0.60000000E+01
  18,  0.46421876E+01, -0.58750000E+01
  19,  0.47093749E+01, -0.57500000E+01
  20,  0.47765627E+01, -0.56250000E+01
  21,  0.48437500E+01, -0.55000000E+01
  22,  0.49109373E+01, -0.53750000E+01
  23,  0.49781251E+01, -0.52500000E+01
  24,  0.50453124E+01, -0.51250000E+01
  25,  0.51125002E+01, -0.50000000E+01
  26,  0.51796875E+01, -0.48750000E+01
  27,  0.52468748E+01, -0.47500000E+01
  28,  0.53140626E+01, -0.46250000E+01
  29,  0.53812499E+01, -0.45000000E+01
  30,  0.54484377E+01, -0.43750000E+01
  31,  0.55156250E+01, -0.42500000E+01
  32,  0.55828123E+01, -0.41250000E+01
  33,  0.56500001E+01, -0.40000000E+01
  34,  0.57171874E+01, -0.38750000E+01
  35,  0.57843752E+01, -0.37500000E+01
  36,  0.58515625E+01, -0.36250000E+01
  37,  0.59187498E+01, -0.35000000E+01
  38,  0.59859376E+01, -0.33750000E+01
  39,  0.60531249E+01, -0.32500000E+01
  40,  0.61203127E+01, -0.31250000E+01
  41,  0.61875000E+01, -0.30000000E+01
  42,  0.62546873E+01, -0.28750000E+01
  43,  0.63218751E+01, -0.27500000E+01
  44,  0.63890624E+01, -0.26250000E+01
  45,  0.64562502E+01, -0.25000000E+01
  46,  0.65234375E+01, -0.23750000E+01
  47,  0.65906248E+01, -0.22500000E+01
  48,  0.66578126E+01, -0.21250000E+01
  49,  0.67249999E+01, -0.20000000E+01
  50,  0.67921877E+01, -0.18750000E+01
  51,  0.68593750E+01, -0.17500000E+01
  52,  0.69265623E+01, -0.16250000E+01
  53,  0.69937501E+01, -0.15000000E+01
  54,  0.70609374E+01, -0.13750000E+01
  55,  0.71281252E+01, -0.12500000E+01
  56,  0.71953125E+01, -0.11250000E+01
  57,  0.72624998E+01, -0.10000000E+01
  58,  0.73296876E+01, -0.87500000E+00
  59,  0.73968749E+01, -0.75000000E+00
  60,  0.74640627E+01, -0.62500000E+00
  61,  0.75312500E+01, -0.50000000E+00
  62,  0.75984373E+01, -0.37500000E+00
  63,  0.76656251E+01, -0.25000000E+00
  64,  0.77328124E+01, -0.12500000E+00
  65,  0.78000002E+01,  0.00000000E+00
  66,  0.78671875E+01,  0.12500000E+00
  67,  0.79343748E+01,  0.25000000E+00
  68,  0.80015621E+01,  0.37500000E+00
  69,  0.80687504E+01,  0.50000000E+00
  70,  0.81359377E+01,  0.62500000E+00
  71,  0.82031250E+01,  0.75000000E+00
  72,  0.82703123E+01,  0.87500000E+00
  73,  0.83374996E+01,  0.10000000E+01
  74,  0.84046879E+01,  0.11250000E+01
  75,  0.84718752E+01,  0.12500000E+01
  76,  0.85390625E+01,  0.13750000E+01
  77,  0.86062498E+01,  0.15000000E+01
  78,  0.86734371E+01,  0.16250000E+01
  79,  0.87406254E+01,  0.17500000E+01
  80,  0.88078127E+01,  0.18750000E+01
  81,  0.88750000E+01,  0.20000000E+01
  82,  0.89421873E+01,  0.21250000E+01
  83,  0.90093746E+01,  0.22500000E+01
  84,  0.90765629E+01,  0.23750000E+01
  85,  0.91437502E+01,  0.25000000E+01
  86,  0.92109375E+01,  0.26250000E+01
  87,  0.92781248E+01,  0.27500000E+01
  88,  0.93453121E+01,  0.28750000E+01
  89,  0.94125004E+01,  0.30000000E+01
  90,  0.94796877E+01,  0.31250000E+01
  91,  0.95468750E+01,  0.32500000E+01
  92,  0.96140623E+01,  0.33750000E+01
  93,  0.96812496E+01,  0.35000000E+01
  94,  0.97484379E+01,  0.36250000E+01
  95,  0.98156252E+01,  0.37500000E+01
  96,  0.98828125E+01,  0.38750000E+01
  97,  0.99499998E+01,  0.40000000E+01
  98,  0.10017187E+02,  0.41250000E+01
  99,  0.10084375E+02,  0.42500000E+01
