psi_index,PSIP_normalized
   1,  0.00000000E+00
   2,  0.26496535E-01
   3,  0.11100256E+00
   4,  0.26428449E+00
   5,  0.49941573E+00
   6,  0.83145916E+00
   7,  0.12734567E+01
   8,  0.18356087E+01
   9,  0.25230684E+01
  10,  0.33382578E+01
  11,  0.42815604E+01
  12,  0.53546038E+01
  13,  0.65596867E+01
  14,  0.78978081E+01
  15,  0.93670282E+01
  16,  0.10961244E+02
  17,  0.12671050E+02
  18,  0.14491280E+02
  19,  0.16436655E+02
  20,  0.18513239E+02
  21,  0.20719482E+02
  22,  0.23127697E+02
  23,  0.25801092E+02
  24,  0.28669102E+02
  25,  0.31644140E+02
  26,  0.34654079E+02
  27,  0.37681904E+02
  28,  0.40731270E+02
  29,  0.43799023E+02
  30,  0.46882534E+02
  31,  0.49980667E+02
  32,  0.53092495E+02
  33,  0.56217171E+02
  34,  0.59353901E+02
  35,  0.62501408E+02
  36,  0.65658081E+02
  37,  0.68822678E+02
  38,  0.71993378E+02
  39,  0.75167824E+02
  40,  0.78354172E+02
  41,  0.81557510E+02
  42,  0.84740219E+02
  43,  0.87949692E+02
  44,  0.91358337E+02
  45,  0.94943344E+02
  46,  0.98458778E+02
  47,  0.10192822E+03
  48,  0.10538315E+03
  49,  0.10881106E+03
  50,  0.11221169E+03
