@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.0000000E+00, 0.5000000E+01, 0.5000000E+01, 0.3170981E+01, 0.3163168E+01,
 0.2000000E-02, 0.4998508E+01, 0.4999313E+01, 0.3160928E+01, 0.3148929E+01,
 0.4000000E-02, 0.4997131E+01, 0.4998693E+01, 0.3159269E+01, 0.3143199E+01,
 0.6000000E-02, 0.4995862E+01, 0.4998125E+01, 0.3158282E+01, 0.3138257E+01,
 0.8000000E-02, 0.4994696E+01, 0.4997600E+01, 0.3157344E+01, 0.3133454E+01,
 0.1000000E-01, 0.4993625E+01, 0.4997110E+01, 0.3156388E+01, 0.3128704E+01,
 0.1200000E-01, 0.4992644E+01, 0.4996650E+01, 0.3155415E+01, 0.3124001E+01,
 0.1400000E-01, 0.4991747E+01, 0.4996213E+01, 0.3154435E+01, 0.3119345E+01,
 0.1600000E-01, 0.4990930E+01, 0.4995797E+01, 0.3153454E+01, 0.3114741E+01,
 0.1800000E-01, 0.4990187E+01, 0.4995399E+01, 0.3152477E+01, 0.3110190E+01,
 0.2000000E-01, 0.4989512E+01, 0.4995017E+01, 0.3151509E+01, 0.3105692E+01,
 0.2200000E-01, 0.4988903E+01, 0.4994649E+01, 0.3150551E+01, 0.3101249E+01,
 0.2400000E-01, 0.4988354E+01, 0.4994294E+01, 0.3149606E+01, 0.3096859E+01,
 0.2600000E-01, 0.4987861E+01, 0.4993950E+01, 0.3148674E+01, 0.3092525E+01,
 0.2800000E-01, 0.4987421E+01, 0.4993618E+01, 0.3147756E+01, 0.3088246E+01,
 0.3000000E-01, 0.4987030E+01, 0.4993296E+01, 0.3146852E+01, 0.3084021E+01,
 0.3200000E-01, 0.4986685E+01, 0.4992985E+01, 0.3145963E+01, 0.3079850E+01,
 0.3400000E-01, 0.4986382E+01, 0.4992682E+01, 0.3145087E+01, 0.3075734E+01,
 0.3600000E-01, 0.4986120E+01, 0.4992390E+01, 0.3144226E+01, 0.3071672E+01,
 0.3800000E-01, 0.4985894E+01, 0.4992107E+01, 0.3143378E+01, 0.3067662E+01,
 0.4000000E-01, 0.4985703E+01, 0.4991833E+01, 0.3142544E+01, 0.3063706E+01,
 0.4200000E-01, 0.4985543E+01, 0.4991567E+01, 0.3141722E+01, 0.3059801E+01,
 0.4400000E-01, 0.4985413E+01, 0.4991310E+01, 0.3140913E+01, 0.3055947E+01,
 0.4600000E-01, 0.4985311E+01, 0.4991062E+01, 0.3140115E+01, 0.3052144E+01,
 0.4800000E-01, 0.4985233E+01, 0.4990822E+01, 0.3139330E+01, 0.3048389E+01,
 0.5000000E-01, 0.4985180E+01, 0.4990590E+01, 0.3138555E+01, 0.3044684E+01,
 0.5200000E-01, 0.4985149E+01, 0.4990366E+01, 0.3137792E+01, 0.3041025E+01,
 0.5400000E-01, 0.4985137E+01, 0.4990151E+01, 0.3137039E+01, 0.3037412E+01,
 0.5600000E-01, 0.4985145E+01, 0.4989943E+01, 0.3136296E+01, 0.3033845E+01,
