@IP,IOH,INB,IRF,IBS,IPARA [MA]  vs t@
X,IP,IOH,INB,IRF,IBS,IPARA
 0.0000000E+00, 0.1399702E+02, 0.1357515E+02, 0.0000000E+00, 0.0000000E+00, 0.1174520E+00, 0.1369260E+02,
 0.2000000E-01, 0.1399702E+02, 0.1357626E+02, 0.0000000E+00, 0.0000000E+00, 0.1163396E+00, 0.1369260E+02,
 0.4000000E-01, 0.1399702E+02, 0.1357632E+02, 0.0000000E+00, 0.0000000E+00, 0.1162780E+00, 0.1369260E+02,
 0.6000000E-01, 0.1399702E+02, 0.1357615E+02, 0.0000000E+00, 0.0000000E+00, 0.1164497E+00, 0.1369260E+02,
 0.8000000E-01, 0.1399702E+02, 0.1357582E+02, 0.0000000E+00, 0.0000000E+00, 0.1167787E+00, 0.1369260E+02,
 0.1000000E+00, 0.1399702E+02, 0.1357538E+02, 0.0000000E+00, 0.0000000E+00, 0.1172199E+00, 0.1369260E+02,
 0.1200000E+00, 0.1399702E+02, 0.1357485E+02, 0.0000000E+00, 0.0000000E+00, 0.1177483E+00, 0.1369260E+02,
 0.1400000E+00, 0.1399702E+02, 0.1357425E+02, 0.0000000E+00, 0.0000000E+00, 0.1183462E+00, 0.1369260E+02,
 0.1600000E+00, 0.1399702E+02, 0.1357360E+02, 0.0000000E+00, 0.0000000E+00, 0.1189987E+00, 0.1369260E+02,
 0.1800000E+00, 0.1399702E+02, 0.1357290E+02, 0.0000000E+00, 0.0000000E+00, 0.1196937E+00, 0.1369260E+02,
 0.2000000E+00, 0.1399702E+02, 0.1357218E+02, 0.0000000E+00, 0.0000000E+00, 0.1204216E+00, 0.1369260E+02,
 0.2200000E+00, 0.1399702E+02, 0.1357142E+02, 0.0000000E+00, 0.0000000E+00, 0.1211753E+00, 0.1369260E+02,
 0.2400000E+00, 0.1399702E+02, 0.1357065E+02, 0.0000000E+00, 0.0000000E+00, 0.1219491E+00, 0.1369260E+02,
 0.2600000E+00, 0.1399702E+02, 0.1356986E+02, 0.0000000E+00, 0.0000000E+00, 0.1227390E+00, 0.1369260E+02,
 0.2800000E+00, 0.1399702E+02, 0.1356906E+02, 0.0000000E+00, 0.0000000E+00, 0.1235420E+00, 0.1369260E+02,
 0.3000000E+00, 0.1399702E+02, 0.1356824E+02, 0.0000000E+00, 0.0000000E+00, 0.1243557E+00, 0.1369260E+02,
 0.3200000E+00, 0.1399702E+02, 0.1356742E+02, 0.0000000E+00, 0.0000000E+00, 0.1251782E+00, 0.1369260E+02,
 0.3400000E+00, 0.1399702E+02, 0.1356659E+02, 0.0000000E+00, 0.0000000E+00, 0.1260079E+00, 0.1369260E+02,
 0.3600000E+00, 0.1399702E+02, 0.1356575E+02, 0.0000000E+00, 0.0000000E+00, 0.1268435E+00, 0.1369260E+02,
 0.3800000E+00, 0.1399702E+02, 0.1356491E+02, 0.0000000E+00, 0.0000000E+00, 0.1276835E+00, 0.1369260E+02,
 0.4000000E+00, 0.1399702E+02, 0.1356407E+02, 0.0000000E+00, 0.0000000E+00, 0.1285269E+00, 0.1369260E+02,
 0.4200000E+00, 0.1399702E+02, 0.1356323E+02, 0.0000000E+00, 0.0000000E+00, 0.1293728E+00, 0.1369260E+02,
 0.4400000E+00, 0.1399702E+02, 0.1356238E+02, 0.0000000E+00, 0.0000000E+00, 0.1302203E+00, 0.1369260E+02,
 0.4600000E+00, 0.1399702E+02, 0.1356153E+02, 0.0000000E+00, 0.0000000E+00, 0.1310687E+00, 0.1369260E+02,
 0.4800000E+00, 0.1399702E+02, 0.1356068E+02, 0.0000000E+00, 0.0000000E+00, 0.1319174E+00, 0.1369260E+02,
 0.5000000E+00, 0.1399702E+02, 0.1355983E+02, 0.0000000E+00, 0.0000000E+00, 0.1327658E+00, 0.1369260E+02,
 0.5200000E+00, 0.1399702E+02, 0.1355898E+02, 0.0000000E+00, 0.0000000E+00, 0.1336135E+00, 0.1369260E+02,
 0.5400000E+00, 0.1399702E+02, 0.1355814E+02, 0.0000000E+00, 0.0000000E+00, 0.1344601E+00, 0.1369260E+02,
 0.5600000E+00, 0.1399702E+02, 0.1355729E+02, 0.0000000E+00, 0.0000000E+00, 0.1353052E+00, 0.1369260E+02,
 0.5800000E+00, 0.1399702E+02, 0.1355645E+02, 0.0000000E+00, 0.0000000E+00, 0.1361486E+00, 0.1369260E+02,
 0.6000000E+00, 0.1399702E+02, 0.1355561E+02, 0.0000000E+00, 0.0000000E+00, 0.1369901E+00, 0.1369260E+02,
 0.6200000E+00, 0.1399702E+02, 0.1355477E+02, 0.0000000E+00, 0.0000000E+00, 0.1378294E+00, 0.1369260E+02,
 0.6400000E+00, 0.1399702E+02, 0.1355393E+02, 0.0000000E+00, 0.0000000E+00, 0.1386663E+00, 0.1369260E+02,
 0.6600000E+00, 0.1399702E+02, 0.1355310E+02, 0.0000000E+00, 0.0000000E+00, 0.1395008E+00, 0.1369260E+02,
 0.6800000E+00, 0.1399702E+02, 0.1355227E+02, 0.0000000E+00, 0.0000000E+00, 0.1403327E+00, 0.1369260E+02,
 0.7000000E+00, 0.1399702E+02, 0.1355144E+02, 0.0000000E+00, 0.0000000E+00, 0.1411618E+00, 0.1369260E+02,
 0.7200000E+00, 0.1399702E+02, 0.1355061E+02, 0.0000000E+00, 0.0000000E+00, 0.1419881E+00, 0.1369260E+02,
 0.7400000E+00, 0.1399702E+02, 0.1354979E+02, 0.0000000E+00, 0.0000000E+00, 0.1428116E+00, 0.1369260E+02,
 0.7600000E+00, 0.1399702E+02, 0.1354897E+02, 0.0000000E+00, 0.0000000E+00, 0.1436322E+00, 0.1369260E+02,
 0.7800000E+00, 0.1399702E+02, 0.1354815E+02, 0.0000000E+00, 0.0000000E+00, 0.1444497E+00, 0.1369260E+02,
 0.8000000E+00, 0.1399702E+02, 0.1354733E+02, 0.0000000E+00, 0.0000000E+00, 0.1452643E+00, 0.1369260E+02,
 0.8200000E+00, 0.1399702E+02, 0.1354652E+02, 0.0000000E+00, 0.0000000E+00, 0.1460757E+00, 0.1369260E+02,
 0.8400000E+00, 0.1399702E+02, 0.1354571E+02, 0.0000000E+00, 0.0000000E+00, 0.1468841E+00, 0.1369260E+02,
 0.8600000E+00, 0.1399702E+02, 0.1354491E+02, 0.0000000E+00, 0.0000000E+00, 0.1476894E+00, 0.1369260E+02,
 0.8800000E+00, 0.1399702E+02, 0.1354411E+02, 0.0000000E+00, 0.0000000E+00, 0.1484915E+00, 0.1369260E+02,
 0.9000000E+00, 0.1399702E+02, 0.1354331E+02, 0.0000000E+00, 0.0000000E+00, 0.1492905E+00, 0.1369260E+02,
