@PIN,POH,PNB,PRF,PNF,PEX [MW]  vs t@
X,PIN,POH,PNB,PRF,PNF,PEX
 0.0000000E+00, 0.1252186E+03, 0.7415165E+01, 0.0000000E+00, 0.1050000E+03, 0.1280343E+02, 0.1050000E+03,
 0.2000000E-02, 0.1352909E+03, 0.1750976E+02, 0.0000000E+00, 0.1050000E+03, 0.1278117E+02, 0.1050000E+03,
 0.4000000E-02, 0.1369352E+03, 0.1917434E+02, 0.0000000E+00, 0.1050000E+03, 0.1276089E+02, 0.1050000E+03,
 0.6000000E-02, 0.1370967E+03, 0.1935437E+02, 0.0000000E+00, 0.1050000E+03, 0.1274229E+02, 0.1050000E+03,
 0.8000000E-02, 0.1370576E+03, 0.1933245E+02, 0.0000000E+00, 0.1050000E+03, 0.1272517E+02, 0.1050000E+03,
 0.1000000E-01, 0.1370152E+03, 0.1930581E+02, 0.0000000E+00, 0.1050000E+03, 0.1270938E+02, 0.1050000E+03,
 0.1200000E-01, 0.1369917E+03, 0.1929687E+02, 0.0000000E+00, 0.1050000E+03, 0.1269481E+02, 0.1050000E+03,
 0.1400000E-01, 0.1369836E+03, 0.1930225E+02, 0.0000000E+00, 0.1050000E+03, 0.1268136E+02, 0.1050000E+03,
 0.1600000E-01, 0.1369873E+03, 0.1931830E+02, 0.0000000E+00, 0.1050000E+03, 0.1266898E+02, 0.1050000E+03,
 0.1800000E-01, 0.1369999E+03, 0.1934232E+02, 0.0000000E+00, 0.1050000E+03, 0.1265761E+02, 0.1050000E+03,
 0.2000000E-01, 0.1370196E+03, 0.1937242E+02, 0.0000000E+00, 0.1050000E+03, 0.1264720E+02, 0.1050000E+03,
 0.2200000E-01, 0.1370450E+03, 0.1940726E+02, 0.0000000E+00, 0.1050000E+03, 0.1263772E+02, 0.1050000E+03,
 0.2400000E-01, 0.1370750E+03, 0.1944586E+02, 0.0000000E+00, 0.1050000E+03, 0.1262913E+02, 0.1050000E+03,
 0.2600000E-01, 0.1371089E+03, 0.1948749E+02, 0.0000000E+00, 0.1050000E+03, 0.1262141E+02, 0.1050000E+03,
 0.2800000E-01, 0.1371461E+03, 0.1953160E+02, 0.0000000E+00, 0.1050000E+03, 0.1261454E+02, 0.1050000E+03,
 0.3000000E-01, 0.1371862E+03, 0.1957772E+02, 0.0000000E+00, 0.1050000E+03, 0.1260852E+02, 0.1050000E+03,
 0.3200000E-01, 0.1372288E+03, 0.1962550E+02, 0.0000000E+00, 0.1050000E+03, 0.1260332E+02, 0.1050000E+03,
 0.3400000E-01, 0.1372736E+03, 0.1967465E+02, 0.0000000E+00, 0.1050000E+03, 0.1259894E+02, 0.1050000E+03,
 0.3600000E-01, 0.1373203E+03, 0.1972492E+02, 0.0000000E+00, 0.1050000E+03, 0.1259537E+02, 0.1050000E+03,
 0.3800000E-01, 0.1373687E+03, 0.1977612E+02, 0.0000000E+00, 0.1050000E+03, 0.1259260E+02, 0.1050000E+03,
 0.4000000E-01, 0.1374187E+03, 0.1982806E+02, 0.0000000E+00, 0.1050000E+03, 0.1259061E+02, 0.1050000E+03,
 0.4200000E-01, 0.1374700E+03, 0.1988060E+02, 0.0000000E+00, 0.1050000E+03, 0.1258939E+02, 0.1050000E+03,
 0.4400000E-01, 0.1375225E+03, 0.1993361E+02, 0.0000000E+00, 0.1050000E+03, 0.1258892E+02, 0.1050000E+03,
 0.4600000E-01, 0.1375762E+03, 0.1998699E+02, 0.0000000E+00, 0.1050000E+03, 0.1258920E+02, 0.1050000E+03,
 0.4800000E-01, 0.1376308E+03, 0.2004063E+02, 0.0000000E+00, 0.1050000E+03, 0.1259020E+02, 0.1050000E+03,
 0.5000000E-01, 0.1376864E+03, 0.2009445E+02, 0.0000000E+00, 0.1050000E+03, 0.1259192E+02, 0.1050000E+03,
 0.5200000E-01, 0.1377427E+03, 0.2014837E+02, 0.0000000E+00, 0.1050000E+03, 0.1259434E+02, 0.1050000E+03,
 0.5400000E-01, 0.1377998E+03, 0.2020233E+02, 0.0000000E+00, 0.1050000E+03, 0.1259744E+02, 0.1050000E+03,
 0.5600000E-01, 0.1378575E+03, 0.2025626E+02, 0.0000000E+00, 0.1050000E+03, 0.1260123E+02, 0.1050000E+03,
 0.5800000E-01, 0.1379158E+03, 0.2031009E+02, 0.0000000E+00, 0.1050000E+03, 0.1260568E+02, 0.1050000E+03,
 0.6000000E-01, 0.1379746E+03, 0.2036378E+02, 0.0000000E+00, 0.1050000E+03, 0.1261078E+02, 0.1050000E+03,
 0.6200000E-01, 0.1380338E+03, 0.2041727E+02, 0.0000000E+00, 0.1050000E+03, 0.1261653E+02, 0.1050000E+03,
 0.6400000E-01, 0.1380934E+03, 0.2047049E+02, 0.0000000E+00, 0.1050000E+03, 0.1262292E+02, 0.1050000E+03,
 0.6600000E-01, 0.1381533E+03, 0.2052341E+02, 0.0000000E+00, 0.1050000E+03, 0.1262992E+02, 0.1050000E+03,
 0.6800000E-01, 0.1382135E+03, 0.2057595E+02, 0.0000000E+00, 0.1050000E+03, 0.1263754E+02, 0.1050000E+03,
 0.7000000E-01, 0.1382738E+03, 0.2062808E+02, 0.0000000E+00, 0.1050000E+03, 0.1264577E+02, 0.1050000E+03,
 0.7200000E-01, 0.1383343E+03, 0.2067971E+02, 0.0000000E+00, 0.1050000E+03, 0.1265459E+02, 0.1050000E+03,
 0.7400000E-01, 0.1383948E+03, 0.2073080E+02, 0.0000000E+00, 0.1050000E+03, 0.1266399E+02, 0.1050000E+03,
 0.7600000E-01, 0.1384552E+03, 0.2078126E+02, 0.0000000E+00, 0.1050000E+03, 0.1267396E+02, 0.1050000E+03,
 0.7800000E-01, 0.1385155E+03, 0.2083102E+02, 0.0000000E+00, 0.1050000E+03, 0.1268449E+02, 0.1050000E+03,
 0.8000000E-01, 0.1385756E+03, 0.2087999E+02, 0.0000000E+00, 0.1050000E+03, 0.1269558E+02, 0.1050000E+03,
 0.8200000E-01, 0.1386353E+03, 0.2092806E+02, 0.0000000E+00, 0.1050000E+03, 0.1270721E+02, 0.1050000E+03,
 0.8400000E-01, 0.1386945E+03, 0.2097513E+02, 0.0000000E+00, 0.1050000E+03, 0.1271937E+02, 0.1050000E+03,
 0.8600000E-01, 0.1387531E+03, 0.2102105E+02, 0.0000000E+00, 0.1050000E+03, 0.1273204E+02, 0.1050000E+03,
 0.8800000E-01, 0.1388109E+03, 0.2106566E+02, 0.0000000E+00, 0.1050000E+03, 0.1274523E+02, 0.1050000E+03,
 0.9000000E-01, 0.1388677E+03, 0.2110878E+02, 0.0000000E+00, 0.1050000E+03, 0.1275892E+02, 0.1050000E+03,
 0.9200000E-01, 0.1389232E+03, 0.2115015E+02, 0.0000000E+00, 0.1050000E+03, 0.1277310E+02, 0.1050000E+03,
 0.9400000E-01, 0.1389772E+03, 0.2118950E+02, 0.0000000E+00, 0.1050000E+03, 0.1278775E+02, 0.1050000E+03,
 0.9600000E-01, 0.1390293E+03, 0.2122646E+02, 0.0000000E+00, 0.1050000E+03, 0.1280288E+02, 0.1050000E+03,
 0.9800000E-01, 0.1390790E+03, 0.2126057E+02, 0.0000000E+00, 0.1050000E+03, 0.1281848E+02, 0.1050000E+03,
 0.1000000E+00, 0.1391257E+03, 0.2129123E+02, 0.0000000E+00, 0.1050000E+03, 0.1283452E+02, 0.1050000E+03,
 0.1020000E+00, 0.1391687E+03, 0.2131765E+02, 0.0000000E+00, 0.1050000E+03, 0.1285101E+02, 0.1050000E+03,
 0.1040000E+00, 0.1392067E+03, 0.2133875E+02, 0.0000000E+00, 0.1050000E+03, 0.1286794E+02, 0.1050000E+03,
 0.1060000E+00, 0.1392383E+03, 0.2135303E+02, 0.0000000E+00, 0.1050000E+03, 0.1288529E+02, 0.1050000E+03,
 0.1080000E+00, 0.1392614E+03, 0.2135832E+02, 0.0000000E+00, 0.1050000E+03, 0.1290306E+02, 0.1050000E+03,
 0.1100000E+00, 0.1392725E+03, 0.2135129E+02, 0.0000000E+00, 0.1050000E+03, 0.1292124E+02, 0.1050000E+03,
 0.1120000E+00, 0.1392665E+03, 0.2132664E+02, 0.0000000E+00, 0.1050000E+03, 0.1293982E+02, 0.1050000E+03,
 0.1140000E+00, 0.1392340E+03, 0.2127519E+02, 0.0000000E+00, 0.1050000E+03, 0.1295879E+02, 0.1050000E+03,
 0.1160000E+00, 0.1391575E+03, 0.2117940E+02, 0.0000000E+00, 0.1050000E+03, 0.1297814E+02, 0.1050000E+03,
 0.1180000E+00, 0.1389988E+03, 0.2100095E+02, 0.0000000E+00, 0.1050000E+03, 0.1299786E+02, 0.1050000E+03,
 0.1200000E+00, 0.1386615E+03, 0.2064353E+02, 0.0000000E+00, 0.1050000E+03, 0.1301794E+02, 0.1050000E+03,
 0.1220000E+00, 0.1375075E+03, 0.1946914E+02, 0.0000000E+00, 0.1050000E+03, 0.1303835E+02, 0.1050000E+03,
 0.1240000E+00, 0.1380658E+03, 0.2000672E+02, 0.0000000E+00, 0.1050000E+03, 0.1305908E+02, 0.1050000E+03,
 0.1260000E+00, 0.1387585E+03, 0.2067835E+02, 0.0000000E+00, 0.1050000E+03, 0.1308012E+02, 0.1050000E+03,
 0.1280000E+00, 0.1392829E+03, 0.2118142E+02, 0.0000000E+00, 0.1050000E+03, 0.1310146E+02, 0.1050000E+03,
 0.1300000E+00, 0.1397053E+03, 0.2158222E+02, 0.0000000E+00, 0.1050000E+03, 0.1312312E+02, 0.1050000E+03,
 0.1320000E+00, 0.1400617E+03, 0.2191665E+02, 0.0000000E+00, 0.1050000E+03, 0.1314508E+02, 0.1050000E+03,
 0.1340000E+00, 0.1403722E+03, 0.2220489E+02, 0.0000000E+00, 0.1050000E+03, 0.1316735E+02, 0.1050000E+03,
 0.1360000E+00, 0.1406492E+03, 0.2245924E+02, 0.0000000E+00, 0.1050000E+03, 0.1318991E+02, 0.1050000E+03,
 0.1380000E+00, 0.1409005E+03, 0.2268770E+02, 0.0000000E+00, 0.1050000E+03, 0.1321277E+02, 0.1050000E+03,
 0.1400000E+00, 0.1411317E+03, 0.2289574E+02, 0.0000000E+00, 0.1050000E+03, 0.1323592E+02, 0.1050000E+03,
