@POUT,PCX,PIE,PRL,PCON [MW]  vs t@
X,POUT,PCX,PIE,PRL,PCON
 0.0000000E+00, 0.2026091E+04, 0.0000000E+00, 0.0000000E+00, 0.2832642E+01, 0.2023258E+04,
 0.2000000E-01, 0.3671193E+02, 0.0000000E+00, 0.0000000E+00, 0.2836065E+01, 0.3387587E+02,
 0.4000000E-01, 0.3480455E+02, 0.0000000E+00, 0.0000000E+00, 0.2845110E+01, 0.3195944E+02,
 0.6000000E-01, 0.3415998E+02, 0.0000000E+00, 0.0000000E+00, 0.2853676E+01, 0.3130630E+02,
 0.8000000E-01, 0.3380861E+02, 0.0000000E+00, 0.0000000E+00, 0.2862007E+01, 0.3094660E+02,
 0.1000000E+00, 0.3358490E+02, 0.0000000E+00, 0.0000000E+00, 0.2870193E+01, 0.3071471E+02,
 0.1200000E+00, 0.3342839E+02, 0.0000000E+00, 0.0000000E+00, 0.2878262E+01, 0.3055012E+02,
 0.1400000E+00, 0.3331216E+02, 0.0000000E+00, 0.0000000E+00, 0.2886218E+01, 0.3042595E+02,
 0.1600000E+00, 0.3322231E+02, 0.0000000E+00, 0.0000000E+00, 0.2894059E+01, 0.3032825E+02,
 0.1800000E+00, 0.3315082E+02, 0.0000000E+00, 0.0000000E+00, 0.2901782E+01, 0.3024904E+02,
 0.2000000E+00, 0.3309270E+02, 0.0000000E+00, 0.0000000E+00, 0.2909388E+01, 0.3018331E+02,
 0.2200000E+00, 0.3304466E+02, 0.0000000E+00, 0.0000000E+00, 0.2916875E+01, 0.3012779E+02,
 0.2400000E+00, 0.3300444E+02, 0.0000000E+00, 0.0000000E+00, 0.2924246E+01, 0.3008020E+02,
 0.2600000E+00, 0.3297043E+02, 0.0000000E+00, 0.0000000E+00, 0.2931504E+01, 0.3003892E+02,
 0.2800000E+00, 0.3294142E+02, 0.0000000E+00, 0.0000000E+00, 0.2938651E+01, 0.3000277E+02,
 0.3000000E+00, 0.3291651E+02, 0.0000000E+00, 0.0000000E+00, 0.2945691E+01, 0.2997082E+02,
 0.3200000E+00, 0.3289502E+02, 0.0000000E+00, 0.0000000E+00, 0.2952626E+01, 0.2994240E+02,
 0.3400000E+00, 0.3287640E+02, 0.0000000E+00, 0.0000000E+00, 0.2959461E+01, 0.2991694E+02,
 0.3600000E+00, 0.3286021E+02, 0.0000000E+00, 0.0000000E+00, 0.2966197E+01, 0.2989402E+02,
 0.3800000E+00, 0.3284611E+02, 0.0000000E+00, 0.0000000E+00, 0.2972839E+01, 0.2987327E+02,
