@QF  vs t@
X,QF
 0.0000000E+00, 0.5694708E+00
 0.2000000E-02, 0.5216390E+00
 0.4000000E-02, 0.5138296E+00
 0.6000000E-02, 0.5123378E+00
 0.8000000E-02, 0.5117397E+00
 0.1000000E-01, 0.5112143E+00
 0.1200000E-01, 0.5106647E+00
 0.1400000E-01, 0.5101017E+00
 0.1600000E-01, 0.5095379E+00
 0.1800000E-01, 0.5089822E+00
 0.2000000E-01, 0.5084407E+00
 0.2200000E-01, 0.5079172E+00
 0.2400000E-01, 0.5074146E+00
 0.2600000E-01, 0.5069349E+00
 0.2800000E-01, 0.5064797E+00
 0.3000000E-01, 0.5060503E+00
 0.3200000E-01, 0.5056477E+00
 0.3400000E-01, 0.5052727E+00
 0.3600000E-01, 0.5049259E+00
 0.3800000E-01, 0.5046077E+00
 0.4000000E-01, 0.5043181E+00
 0.4200000E-01, 0.5040570E+00
 0.4400000E-01, 0.5038245E+00
 0.4600000E-01, 0.5036204E+00
 0.4800000E-01, 0.5034444E+00
 0.5000000E-01, 0.5032965E+00
 0.5200000E-01, 0.5031762E+00
 0.5400000E-01, 0.5030835E+00
 0.5600000E-01, 0.5030179E+00
 0.5800000E-01, 0.5029794E+00
 0.6000000E-01, 0.5029676E+00
 0.6200000E-01, 0.5029823E+00
 0.6400000E-01, 0.5030233E+00
 0.6600000E-01, 0.5030904E+00
 0.6800000E-01, 0.5031833E+00
 0.7000000E-01, 0.5033019E+00
 0.7200000E-01, 0.5034459E+00
 0.7400000E-01, 0.5036151E+00
 0.7600000E-01, 0.5038095E+00
 0.7800000E-01, 0.5040289E+00
 0.8000000E-01, 0.5042731E+00
 0.8200000E-01, 0.5045423E+00
 0.8400000E-01, 0.5048363E+00
 0.8600000E-01, 0.5051554E+00
 0.8800000E-01, 0.5054997E+00
 0.9000000E-01, 0.5058696E+00
 0.9200000E-01, 0.5062656E+00
 0.9400000E-01, 0.5066885E+00
 0.9600000E-01, 0.5071395E+00
 0.9800000E-01, 0.5076200E+00
 0.1000000E+00, 0.5081320E+00
 0.1020000E+00, 0.5086784E+00
 0.1040000E+00, 0.5092633E+00
 0.1060000E+00, 0.5098925E+00
 0.1080000E+00, 0.5105743E+00
 0.1100000E+00, 0.5113221E+00
 0.1120000E+00, 0.5121573E+00
 0.1140000E+00, 0.5131171E+00
 0.1160000E+00, 0.5142734E+00
 0.1180000E+00, 0.5157842E+00
 0.1200000E+00, 0.5180504E+00
 0.1220000E+00, 0.5237583E+00
 0.1240000E+00, 0.5223350E+00
 0.1260000E+00, 0.5203806E+00
 0.1280000E+00, 0.5191519E+00
 0.1300000E+00, 0.5183635E+00
 0.1320000E+00, 0.5178628E+00
 0.1340000E+00, 0.5175645E+00
 0.1360000E+00, 0.5174168E+00
 0.1380000E+00, 0.5173861E+00
 0.1400000E+00, 0.5174495E+00
 0.1420000E+00, 0.5175906E+00
 0.1440000E+00, 0.5177941E+00
 0.1460000E+00, 0.5180579E+00
 0.1480000E+00, 0.5183705E+00
 0.1500000E+00, 0.5187268E+00
 0.1520000E+00, 0.5191221E+00
 0.1540000E+00, 0.5195526E+00
 0.1560000E+00, 0.5200155E+00
 0.1580000E+00, 0.5205078E+00
 0.1600000E+00, 0.5210273E+00
 0.1620000E+00, 0.5215722E+00
 0.1640000E+00, 0.5221408E+00
 0.1660000E+00, 0.5227315E+00
 0.1680000E+00, 0.5233430E+00
 0.1700000E+00, 0.5239742E+00
 0.1720000E+00, 0.5246240E+00
 0.1740000E+00, 0.5252915E+00
 0.1760000E+00, 0.5259758E+00
 0.1780000E+00, 0.5266762E+00
 0.1800000E+00, 0.5273920E+00
 0.1820000E+00, 0.5281224E+00
 0.1840000E+00, 0.5288668E+00
 0.1860000E+00, 0.5296248E+00
 0.1880000E+00, 0.5303957E+00
 0.1900000E+00, 0.5311792E+00
 0.1920000E+00, 0.5319747E+00
 0.1940000E+00, 0.5327818E+00
 0.1960000E+00, 0.5336002E+00
 0.1980000E+00, 0.5344293E+00
 0.2000000E+00, 0.5352690E+00
 0.2020000E+00, 0.5361187E+00
 0.2040000E+00, 0.5369782E+00
 0.2060000E+00, 0.5378473E+00
 0.2080000E+00, 0.5387256E+00
 0.2100000E+00, 0.5396128E+00
 0.2120000E+00, 0.5405087E+00
 0.2140000E+00, 0.5414131E+00
 0.2160000E+00, 0.5423257E+00
 0.2180000E+00, 0.5432463E+00
 0.2200000E+00, 0.5441746E+00
 0.2220000E+00, 0.5451105E+00
 0.2240000E+00, 0.5460538E+00
 0.2260000E+00, 0.5470043E+00
 0.2280000E+00, 0.5479619E+00
 0.2300000E+00, 0.5489264E+00
 0.2320000E+00, 0.5498976E+00
 0.2340000E+00, 0.5508754E+00
 0.2360000E+00, 0.5518597E+00
 0.2380000E+00, 0.5528504E+00
 0.2400000E+00, 0.5538473E+00
 0.2420000E+00, 0.5548503E+00
 0.2440000E+00, 0.5558594E+00
 0.2460000E+00, 0.5568745E+00
 0.2480000E+00, 0.5578955E+00
 0.2500000E+00, 0.5589223E+00
 0.2520000E+00, 0.5599548E+00
 0.2540000E+00, 0.5609930E+00
 0.2560000E+00, 0.5620368E+00
 0.2580000E+00, 0.5630862E+00
 0.2600000E+00, 0.5641412E+00
 0.2620000E+00, 0.5652016E+00
 0.2640000E+00, 0.5662676E+00
 0.2660000E+00, 0.5673391E+00
 0.2680000E+00, 0.5684160E+00
 0.2700000E+00, 0.5694984E+00
 0.2720000E+00, 0.5705862E+00
 0.2740000E+00, 0.5716795E+00
 0.2760000E+00, 0.5727782E+00
 0.2780000E+00, 0.5738825E+00
 0.2800000E+00, 0.5749922E+00
 0.2820000E+00, 0.5761076E+00
 0.2840000E+00, 0.5772285E+00
 0.2860000E+00, 0.5783550E+00
 0.2880000E+00, 0.5794871E+00
 0.2900000E+00, 0.5806249E+00
 0.2920000E+00, 0.5817683E+00
 0.2940000E+00, 0.5829174E+00
 0.2960000E+00, 0.5840722E+00
 0.2980000E+00, 0.5852325E+00
 0.3000000E+00, 0.5863982E+00
 0.3020000E+00, 0.5875691E+00
 0.3040000E+00, 0.5887444E+00
 0.3060000E+00, 0.5899242E+00
 0.3080000E+00, 0.5911084E+00
 0.3100000E+00, 0.5922969E+00
 0.3120000E+00, 0.5934896E+00
 0.3140000E+00, 0.5946864E+00
 0.3160000E+00, 0.5958874E+00
 0.3180000E+00, 0.5970923E+00
 0.3200000E+00, 0.5983011E+00
 0.3220000E+00, 0.5995138E+00
 0.3240000E+00, 0.6007336E+00
 0.3260000E+00, 0.6019537E+00
 0.3280000E+00, 0.6031775E+00
 0.3300000E+00, 0.6044049E+00
 0.3320000E+00, 0.6056355E+00
 0.3340000E+00, 0.6068697E+00
 0.3360000E+00, 0.6081073E+00
 0.3380000E+00, 0.6093482E+00
 0.3400000E+00, 0.6105923E+00
 0.3420000E+00, 0.6118395E+00
 0.3440000E+00, 0.6130899E+00
 0.3460000E+00, 0.6143432E+00
 0.3480000E+00, 0.6155995E+00
 0.3500000E+00, 0.6168586E+00
 0.3520000E+00, 0.6181206E+00
 0.3540000E+00, 0.6193852E+00
 0.3560000E+00, 0.6206526E+00
 0.3580000E+00, 0.6219227E+00
 0.3600000E+00, 0.6231952E+00
 0.3620000E+00, 0.6244703E+00
 0.3640000E+00, 0.6257478E+00
 0.3660000E+00, 0.6270277E+00
 0.3680000E+00, 0.6283100E+00
 0.3700000E+00, 0.6295944E+00
 0.3720000E+00, 0.6308812E+00
 0.3740000E+00, 0.6321701E+00
 0.3760000E+00, 0.6334611E+00
 0.3780000E+00, 0.6347542E+00
 0.3800000E+00, 0.6360493E+00
 0.3820000E+00, 0.6373464E+00
 0.3840000E+00, 0.6386454E+00
 0.3860000E+00, 0.6399463E+00
 0.3880000E+00, 0.6412491E+00
 0.3900000E+00, 0.6425536E+00
 0.3920000E+00, 0.6438599E+00
 0.3940000E+00, 0.6451679E+00
 0.3960000E+00, 0.6464776E+00
 0.3980000E+00, 0.6477890E+00
 0.4000000E+00, 0.6491020E+00
 0.4020000E+00, 0.6504166E+00
 0.4040000E+00, 0.6517326E+00
 0.4060000E+00, 0.6530502E+00
 0.4080000E+00, 0.6543693E+00
 0.4100000E+00, 0.6556898E+00
 0.4120000E+00, 0.6570117E+00
 0.4140000E+00, 0.6583351E+00
 0.4160000E+00, 0.6596597E+00
 0.4180000E+00, 0.6609858E+00
 0.4200000E+00, 0.6623132E+00
 0.4220000E+00, 0.6636418E+00
 0.4240000E+00, 0.6649716E+00
 0.4260000E+00, 0.6663028E+00
 0.4280000E+00, 0.6676351E+00
 0.4300000E+00, 0.6689686E+00
 0.4320000E+00, 0.6703033E+00
 0.4340000E+00, 0.6716392E+00
 0.4360000E+00, 0.6729762E+00
 0.4380000E+00, 0.6743143E+00
 0.4400000E+00, 0.6756535E+00
 0.4420000E+00, 0.6769937E+00
 0.4440000E+00, 0.6783351E+00
 0.4460000E+00, 0.6796774E+00
 0.4480000E+00, 0.6810209E+00
 0.4500000E+00, 0.6823652E+00
 0.4520000E+00, 0.6837106E+00
 0.4540000E+00, 0.6850570E+00
 0.4560000E+00, 0.6864043E+00
 0.4580000E+00, 0.6877527E+00
 0.4600000E+00, 0.6891019E+00
 0.4620000E+00, 0.6904520E+00
 0.4640000E+00, 0.6918032E+00
 0.4660000E+00, 0.6931551E+00
