@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.0000000E+00, 0.3170981E+01, 0.3163168E+01, 0.3163168E+01, 0.3170981E+01,
 0.2000000E-02, 0.3160928E+01, 0.3148929E+01, 0.3148903E+01, 0.3156882E+01,
 0.4000000E-02, 0.3159269E+01, 0.3143199E+01, 0.3143137E+01, 0.3151215E+01,
 0.6000000E-02, 0.3158282E+01, 0.3138257E+01, 0.3138155E+01, 0.3146335E+01,
 0.8000000E-02, 0.3157344E+01, 0.3133454E+01, 0.3133310E+01, 0.3141589E+01,
 0.1000000E-01, 0.3156388E+01, 0.3128704E+01, 0.3128518E+01, 0.3136894E+01,
 0.1200000E-01, 0.3155415E+01, 0.3124001E+01, 0.3123773E+01, 0.3132241E+01,
 0.1400000E-01, 0.3154435E+01, 0.3119345E+01, 0.3119078E+01, 0.3127635E+01,
 0.1600000E-01, 0.3153454E+01, 0.3114741E+01, 0.3114435E+01, 0.3123077E+01,
 0.1800000E-01, 0.3152477E+01, 0.3110190E+01, 0.3109847E+01, 0.3118571E+01,
 0.2000000E-01, 0.3151509E+01, 0.3105692E+01, 0.3105314E+01, 0.3114118E+01,
 0.2200000E-01, 0.3150551E+01, 0.3101249E+01, 0.3100836E+01, 0.3109718E+01,
 0.2400000E-01, 0.3149606E+01, 0.3096859E+01, 0.3096414E+01, 0.3105372E+01,
 0.2600000E-01, 0.3148674E+01, 0.3092525E+01, 0.3092048E+01, 0.3101081E+01,
 0.2800000E-01, 0.3147756E+01, 0.3088246E+01, 0.3087737E+01, 0.3096844E+01,
 0.3000000E-01, 0.3146852E+01, 0.3084021E+01, 0.3083482E+01, 0.3092661E+01,
 0.3200000E-01, 0.3145963E+01, 0.3079850E+01, 0.3079281E+01, 0.3088533E+01,
 0.3400000E-01, 0.3145087E+01, 0.3075734E+01, 0.3075136E+01, 0.3084459E+01,
 0.3600000E-01, 0.3144226E+01, 0.3071672E+01, 0.3071044E+01, 0.3080438E+01,
 0.3800000E-01, 0.3143378E+01, 0.3067662E+01, 0.3067007E+01, 0.3076470E+01,
 0.4000000E-01, 0.3142544E+01, 0.3063706E+01, 0.3063022E+01, 0.3072555E+01,
