@TE0,TD0,TT0,TA0 [keV]  vs t@
X,TE0,TD0,TT0,TA0
 0.0000000E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01,
 0.2000000E-01, 0.1005162E+01, 0.1001908E+01, 0.1001862E+01, 0.1001939E+01,
 0.4000000E-01, 0.1009368E+01, 0.1005004E+01, 0.1004944E+01, 0.1005043E+01,
 0.6000000E-01, 0.1013282E+01, 0.1008631E+01, 0.1008570E+01, 0.1008671E+01,
 0.8000000E-01, 0.1017154E+01, 0.1012533E+01, 0.1012475E+01, 0.1012571E+01,
 0.1000000E+00, 0.1021079E+01, 0.1016606E+01, 0.1016554E+01, 0.1016641E+01,
 0.1200000E+00, 0.1025088E+01, 0.1020809E+01, 0.1020763E+01, 0.1020840E+01,
 0.1400000E+00, 0.1029194E+01, 0.1025124E+01, 0.1025084E+01, 0.1025151E+01,
 0.1600000E+00, 0.1033398E+01, 0.1029544E+01, 0.1029511E+01, 0.1029567E+01,
 0.1800000E+00, 0.1037701E+01, 0.1034067E+01, 0.1034039E+01, 0.1034086E+01,
 0.2000000E+00, 0.1042102E+01, 0.1038691E+01, 0.1038670E+01, 0.1038705E+01,
 0.2200000E+00, 0.1046603E+01, 0.1043416E+01, 0.1043401E+01, 0.1043427E+01,
 0.2400000E+00, 0.1051202E+01, 0.1048243E+01, 0.1048235E+01, 0.1048249E+01,
 0.2600000E+00, 0.1055900E+01, 0.1053172E+01, 0.1053170E+01, 0.1053174E+01,
 0.2800000E+00, 0.1060698E+01, 0.1058203E+01, 0.1058208E+01, 0.1058201E+01,
 0.3000000E+00, 0.1065596E+01, 0.1063336E+01, 0.1063348E+01, 0.1063330E+01,
 0.3200000E+00, 0.1070593E+01, 0.1068570E+01, 0.1068589E+01, 0.1068560E+01,
 0.3400000E+00, 0.1075689E+01, 0.1073904E+01, 0.1073930E+01, 0.1073890E+01,
 0.3600000E+00, 0.1080883E+01, 0.1079336E+01, 0.1079369E+01, 0.1079317E+01,
 0.3800000E+00, 0.1086172E+01, 0.1084862E+01, 0.1084902E+01, 0.1084840E+01,
 0.4000000E+00, 0.1091554E+01, 0.1090481E+01, 0.1090528E+01, 0.1090454E+01,
 0.4200000E+00, 0.1097027E+01, 0.1096188E+01, 0.1096241E+01, 0.1096157E+01,
 0.4400000E+00, 0.1102587E+01, 0.1101978E+01, 0.1102038E+01, 0.1101943E+01,
 0.4600000E+00, 0.1108230E+01, 0.1107848E+01, 0.1107914E+01, 0.1107809E+01,
 0.4800000E+00, 0.1113951E+01, 0.1113793E+01, 0.1113865E+01, 0.1113750E+01,
 0.5000000E+00, 0.1119746E+01, 0.1119806E+01, 0.1119885E+01, 0.1119759E+01,
 0.5200000E+00, 0.1125610E+01, 0.1125884E+01, 0.1125969E+01, 0.1125833E+01,
 0.5400000E+00, 0.1131538E+01, 0.1132020E+01, 0.1132111E+01, 0.1131966E+01,
 0.5600000E+00, 0.1137525E+01, 0.1138210E+01, 0.1138306E+01, 0.1138152E+01,
 0.5800000E+00, 0.1143565E+01, 0.1144448E+01, 0.1144549E+01, 0.1144387E+01,
 0.6000000E+00, 0.1149654E+01, 0.1150728E+01, 0.1150835E+01, 0.1150664E+01,
 0.6200000E+00, 0.1155786E+01, 0.1157047E+01, 0.1157159E+01, 0.1156979E+01,
 0.6400000E+00, 0.1161956E+01, 0.1163398E+01, 0.1163515E+01, 0.1163328E+01,
 0.6600000E+00, 0.1168160E+01, 0.1169778E+01, 0.1169900E+01, 0.1169704E+01,
 0.6800000E+00, 0.1174393E+01, 0.1176182E+01, 0.1176308E+01, 0.1176105E+01,
 0.7000000E+00, 0.1180651E+01, 0.1182605E+01, 0.1182736E+01, 0.1182526E+01,
 0.7200000E+00, 0.1186930E+01, 0.1189045E+01, 0.1189180E+01, 0.1188962E+01,
 0.7400000E+00, 0.1193225E+01, 0.1195496E+01, 0.1195635E+01, 0.1195411E+01,
 0.7600000E+00, 0.1199534E+01, 0.1201956E+01, 0.1202099E+01, 0.1201869E+01,
 0.7800000E+00, 0.1205852E+01, 0.1208421E+01, 0.1208568E+01, 0.1208331E+01,
 0.8000000E+00, 0.1212177E+01, 0.1214889E+01, 0.1215039E+01, 0.1214797E+01,
 0.8200000E+00, 0.1218505E+01, 0.1221356E+01, 0.1221510E+01, 0.1221262E+01,
 0.8400000E+00, 0.1224834E+01, 0.1227820E+01, 0.1227978E+01, 0.1227724E+01,
 0.8600000E+00, 0.1231161E+01, 0.1234279E+01, 0.1234440E+01, 0.1234180E+01,
 0.8800000E+00, 0.1237484E+01, 0.1240730E+01, 0.1240894E+01, 0.1240629E+01,
 0.9000000E+00, 0.1243801E+01, 0.1247172E+01, 0.1247339E+01, 0.1247069E+01,
 0.9200000E+00, 0.1250110E+01, 0.1253602E+01, 0.1253772E+01, 0.1253497E+01,
 0.9400000E+00, 0.1256408E+01, 0.1260019E+01, 0.1260192E+01, 0.1259912E+01,
 0.9600000E+00, 0.1262694E+01, 0.1266421E+01, 0.1266598E+01, 0.1266313E+01,
 0.9800000E+00, 0.1268968E+01, 0.1272808E+01, 0.1272987E+01, 0.1272697E+01,
 0.1000000E+01, 0.1275226E+01, 0.1279176E+01, 0.1279358E+01, 0.1279065E+01,
 0.1020000E+01, 0.1281469E+01, 0.1285527E+01, 0.1285711E+01, 0.1285413E+01,
 0.1040000E+01, 0.1287694E+01, 0.1291858E+01, 0.1292045E+01, 0.1291743E+01,
 0.1060000E+01, 0.1293901E+01, 0.1298168E+01, 0.1298358E+01, 0.1298051E+01,
 0.1080000E+01, 0.1300088E+01, 0.1304457E+01, 0.1304649E+01, 0.1304339E+01,
