@NE0,ND0,NT0,NA0,<> [10$+20$=/m$+3$=]  vs t@
X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8
 0.0000000E+00, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2000000E-02, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.4000000E-02, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.6000000E-02, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.8000000E-02, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.1000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.1200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.1400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.1600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.1800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2000000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2200000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2400000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2600000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
 0.2800000E-01, 0.1857781E+01, 0.7990954E+00, 0.7990954E+00, 0.5573344E-01, 0.1149117E+01, 0.5044426E+00, 0.5044426E+00, 0.3447350E-01,
