@WF,WB,WI,WE [MJ]  vs t@
X,WF,WB,WI,WE
 0.0000000E+00, 0.2785330E+02, 0.2785330E+02, 0.2785330E+02, 0.1428374E+02,
 0.2000000E-01, 0.2791876E+02, 0.2791875E+02, 0.2791875E+02, 0.1441277E+02,
 0.4000000E-01, 0.2812433E+02, 0.2812432E+02, 0.2812432E+02, 0.1454660E+02,
 0.6000000E-01, 0.2834113E+02, 0.2834112E+02, 0.2834112E+02, 0.1466864E+02,
 0.8000000E-01, 0.2855908E+02, 0.2855906E+02, 0.2855906E+02, 0.1478508E+02,
 0.1000000E+00, 0.2877531E+02, 0.2877529E+02, 0.2877529E+02, 0.1489819E+02,
 0.1200000E+00, 0.2898883E+02, 0.2898881E+02, 0.2898881E+02, 0.1500886E+02,
 0.1400000E+00, 0.2919929E+02, 0.2919926E+02, 0.2919926E+02, 0.1511748E+02,
 0.1600000E+00, 0.2940658E+02, 0.2940655E+02, 0.2940655E+02, 0.1522424E+02,
 0.1800000E+00, 0.2961072E+02, 0.2961069E+02, 0.2961069E+02, 0.1532925E+02,
 0.2000000E+00, 0.2981178E+02, 0.2981174E+02, 0.2981174E+02, 0.1543261E+02,
 0.2200000E+00, 0.3000984E+02, 0.3000980E+02, 0.3000980E+02, 0.1553439E+02,
 0.2400000E+00, 0.3020500E+02, 0.3020495E+02, 0.3020495E+02, 0.1563464E+02,
 0.2600000E+00, 0.3039736E+02, 0.3039730E+02, 0.3039730E+02, 0.1573343E+02,
 0.2800000E+00, 0.3058700E+02, 0.3058694E+02, 0.3058694E+02, 0.1583081E+02,
 0.3000000E+00, 0.3077404E+02, 0.3077397E+02, 0.3077397E+02, 0.1592683E+02,
 0.3200000E+00, 0.3095857E+02, 0.3095849E+02, 0.3095849E+02, 0.1602155E+02,
 0.3400000E+00, 0.3114067E+02, 0.3114058E+02, 0.3114058E+02, 0.1611501E+02,
 0.3600000E+00, 0.3132042E+02, 0.3132032E+02, 0.3132032E+02, 0.1620724E+02,
 0.3800000E+00, 0.3149791E+02, 0.3149781E+02, 0.3149781E+02, 0.1629831E+02,
 0.4000000E+00, 0.3167322E+02, 0.3167311E+02, 0.3167311E+02, 0.1638825E+02,
 0.4200000E+00, 0.3184642E+02, 0.3184630E+02, 0.3184630E+02, 0.1647709E+02,
 0.4400000E+00, 0.3201757E+02, 0.3201744E+02, 0.3201744E+02, 0.1656487E+02,
 0.4600000E+00, 0.3218674E+02, 0.3218660E+02, 0.3218660E+02, 0.1665163E+02,
 0.4800000E+00, 0.3235398E+02, 0.3235383E+02, 0.3235383E+02, 0.1673740E+02,
 0.5000000E+00, 0.3251937E+02, 0.3251920E+02, 0.3251920E+02, 0.1682220E+02,
 0.5200000E+00, 0.3268293E+02, 0.3268276E+02, 0.3268276E+02, 0.1690607E+02,
 0.5400000E+00, 0.3284474E+02, 0.3284455E+02, 0.3284455E+02, 0.1698903E+02,
 0.5600000E+00, 0.3300483E+02, 0.3300463E+02, 0.3300463E+02, 0.1707110E+02,
 0.5800000E+00, 0.3316325E+02, 0.3316304E+02, 0.3316304E+02, 0.1715231E+02,
 0.6000000E+00, 0.3332004E+02, 0.3331982E+02, 0.3331982E+02, 0.1723268E+02,
 0.6200000E+00, 0.3347525E+02, 0.3347501E+02, 0.3347501E+02, 0.1731223E+02,
 0.6400000E+00, 0.3362891E+02, 0.3362866E+02, 0.3362866E+02, 0.1739099E+02,
 0.6600000E+00, 0.3378106E+02, 0.3378080E+02, 0.3378080E+02, 0.1746897E+02,
 0.6800000E+00, 0.3393174E+02, 0.3393147E+02, 0.3393147E+02, 0.1754619E+02,
 0.7000000E+00, 0.3408098E+02, 0.3408069E+02, 0.3408069E+02, 0.1762267E+02,
 0.7200000E+00, 0.3422882E+02, 0.3422851E+02, 0.3422851E+02, 0.1769842E+02,
 0.7400000E+00, 0.3437527E+02, 0.3437495E+02, 0.3437495E+02, 0.1777347E+02,
 0.7600000E+00, 0.3452039E+02, 0.3452005E+02, 0.3452005E+02, 0.1784782E+02,
 0.7800000E+00, 0.3466418E+02, 0.3466383E+02, 0.3466383E+02, 0.1792150E+02,
 0.8000000E+00, 0.3480669E+02, 0.3480632E+02, 0.3480632E+02, 0.1799451E+02,
 0.8200000E+00, 0.3494793E+02, 0.3494754E+02, 0.3494754E+02, 0.1806687E+02,
 0.8400000E+00, 0.3508794E+02, 0.3508753E+02, 0.3508753E+02, 0.1813860E+02,
 0.8600000E+00, 0.3522673E+02, 0.3522631E+02, 0.3522631E+02, 0.1820970E+02,
 0.8800000E+00, 0.3536433E+02, 0.3536389E+02, 0.3536389E+02, 0.1828019E+02,
 0.9000000E+00, 0.3550076E+02, 0.3550031E+02, 0.3550031E+02, 0.1835007E+02,
 0.9200000E+00, 0.3563605E+02, 0.3563557E+02, 0.3563557E+02, 0.1841937E+02,
 0.9400000E+00, 0.3577021E+02, 0.3576971E+02, 0.3576971E+02, 0.1848809E+02,
 0.9600000E+00, 0.3590326E+02, 0.3590275E+02, 0.3590275E+02, 0.1855624E+02,
 0.9800000E+00, 0.3603522E+02, 0.3603469E+02, 0.3603469E+02, 0.1862383E+02,
 0.1000000E+01, 0.3616612E+02, 0.3616557E+02, 0.3616557E+02, 0.1869086E+02,
 0.1020000E+01, 0.3629596E+02, 0.3629539E+02, 0.3629539E+02, 0.1875736E+02,
 0.1040000E+01, 0.3642477E+02, 0.3642418E+02, 0.3642418E+02, 0.1882332E+02,
 0.1060000E+01, 0.3655256E+02, 0.3655194E+02, 0.3655194E+02, 0.1888877E+02,
 0.1080000E+01, 0.3667934E+02, 0.3667870E+02, 0.3667870E+02, 0.1895369E+02,
 0.1100000E+01, 0.3680513E+02, 0.3680447E+02, 0.3680447E+02, 0.1901810E+02,
 0.1120000E+01, 0.3692994E+02, 0.3692927E+02, 0.3692927E+02, 0.1908202E+02,
 0.1140000E+01, 0.3705380E+02, 0.3705310E+02, 0.3705310E+02, 0.1914544E+02,
 0.1160000E+01, 0.3717670E+02, 0.3717598E+02, 0.3717598E+02, 0.1920837E+02,
 0.1180000E+01, 0.3729867E+02, 0.3729793E+02, 0.3729793E+02, 0.1927082E+02,
 0.1200000E+01, 0.3741971E+02, 0.3741895E+02, 0.3741895E+02, 0.1933279E+02,
 0.1220000E+01, 0.3753984E+02, 0.3753905E+02, 0.3753905E+02, 0.1939430E+02,
 0.1240000E+01, 0.3765906E+02, 0.3765825E+02, 0.3765825E+02, 0.1945534E+02,
 0.1260000E+01, 0.3777739E+02, 0.3777656E+02, 0.3777656E+02, 0.1951592E+02,
 0.1280000E+01, 0.3789484E+02, 0.3789399E+02, 0.3789399E+02, 0.1957605E+02,
 0.1300000E+01, 0.3801142E+02, 0.3801054E+02, 0.3801054E+02, 0.1963573E+02,
 0.1320000E+01, 0.3812713E+02, 0.3812623E+02, 0.3812623E+02, 0.1969497E+02,
 0.1340000E+01, 0.3824199E+02, 0.3824107E+02, 0.3824107E+02, 0.1975377E+02,
 0.1360000E+01, 0.3835601E+02, 0.3835506E+02, 0.3835506E+02, 0.1981214E+02,
 0.1380000E+01, 0.3846919E+02, 0.3846821E+02, 0.3846821E+02, 0.1987008E+02,
 0.1400000E+01, 0.3858154E+02, 0.3858054E+02, 0.3858054E+02, 0.1992759E+02,
 0.1420000E+01, 0.3869307E+02, 0.3869204E+02, 0.3869204E+02, 0.1998468E+02,
 0.1440000E+01, 0.3880379E+02, 0.3880273E+02, 0.3880273E+02, 0.2004135E+02,
 0.1460000E+01, 0.3891370E+02, 0.3891262E+02, 0.3891262E+02, 0.2009761E+02,
 0.1480000E+01, 0.3902281E+02, 0.3902171E+02, 0.3902171E+02, 0.2015346E+02,
 0.1500000E+01, 0.3913113E+02, 0.3913001E+02, 0.3913001E+02, 0.2020891E+02,
 0.1520000E+01, 0.3923867E+02, 0.3923752E+02, 0.3923752E+02, 0.2026395E+02,
 0.1540000E+01, 0.3934544E+02, 0.3934425E+02, 0.3934425E+02, 0.2031859E+02,
 0.1560000E+01, 0.3945143E+02, 0.3945022E+02, 0.3945022E+02, 0.2037284E+02,
 0.1580000E+01, 0.3955665E+02, 0.3955542E+02, 0.3955542E+02, 0.2042669E+02,
 0.1600000E+01, 0.3966112E+02, 0.3965986E+02, 0.3965986E+02, 0.2048016E+02,
 0.1620000E+01, 0.3976484E+02, 0.3976355E+02, 0.3976355E+02, 0.2053324E+02,
 0.1640000E+01, 0.3986781E+02, 0.3986649E+02, 0.3986649E+02, 0.2058594E+02,
 0.1660000E+01, 0.3997004E+02, 0.3996869E+02, 0.3996869E+02, 0.2063826E+02,
 0.1680000E+01, 0.4007153E+02, 0.4007016E+02, 0.4007016E+02, 0.2069020E+02,
 0.1700000E+01, 0.4017229E+02, 0.4017090E+02, 0.4017090E+02, 0.2074176E+02,
 0.1720000E+01, 0.4027234E+02, 0.4027092E+02, 0.4027092E+02, 0.2079296E+02,
 0.1740000E+01, 0.4037167E+02, 0.4037021E+02, 0.4037021E+02, 0.2084379E+02,
 0.1760000E+01, 0.4047028E+02, 0.4046880E+02, 0.4046880E+02, 0.2089425E+02,
 0.1780000E+01, 0.4056818E+02, 0.4056668E+02, 0.4056668E+02, 0.2094435E+02,
 0.1800000E+01, 0.4066539E+02, 0.4066385E+02, 0.4066385E+02, 0.2099409E+02,
 0.1820000E+01, 0.4076190E+02, 0.4076033E+02, 0.4076033E+02, 0.2104348E+02,
 0.1840000E+01, 0.4085772E+02, 0.4085612E+02, 0.4085612E+02, 0.2109251E+02,
 0.1860000E+01, 0.4095285E+02, 0.4095123E+02, 0.4095123E+02, 0.2114119E+02,
 0.1880000E+01, 0.4104731E+02, 0.4104565E+02, 0.4104565E+02, 0.2118952E+02,
 0.1900000E+01, 0.4114108E+02, 0.4113940E+02, 0.4113940E+02, 0.2123750E+02,
 0.1920000E+01, 0.4123419E+02, 0.4123248E+02, 0.4123248E+02, 0.2128514E+02,
