@BETAa,BETA0,[%],BETAN  vs t@
X,Y1,Y2,Y3
 0.0000000E+00, 0.7084784E+00, 0.1791711E+01, 0.7923285E+00,
 0.2000000E-02, 0.7058845E+00, 0.1791861E+01, 0.7894277E+00,
 0.4000000E-02, 0.7051734E+00, 0.1792016E+01, 0.7886325E+00,
 0.6000000E-02, 0.7046190E+00, 0.1792174E+01, 0.7880124E+00,
 0.8000000E-02, 0.7040796E+00, 0.1792332E+01, 0.7874091E+00,
 0.1000000E-01, 0.7035385E+00, 0.1792488E+01, 0.7868040E+00,
 0.1200000E-01, 0.7029957E+00, 0.1792641E+01, 0.7861970E+00,
 0.1400000E-01, 0.7024528E+00, 0.1792791E+01, 0.7855898E+00,
 0.1600000E-01, 0.7019112E+00, 0.1792936E+01, 0.7849841E+00,
 0.1800000E-01, 0.7013718E+00, 0.1793077E+01, 0.7843809E+00,
 0.2000000E-01, 0.7008356E+00, 0.1793214E+01, 0.7837812E+00,
 0.2200000E-01, 0.7003030E+00, 0.1793346E+01, 0.7831855E+00,
 0.2400000E-01, 0.6997745E+00, 0.1793474E+01, 0.7825946E+00,
 0.2600000E-01, 0.6992505E+00, 0.1793597E+01, 0.7820085E+00,
 0.2800000E-01, 0.6987313E+00, 0.1793716E+01, 0.7814279E+00,
 0.3000000E-01, 0.6982169E+00, 0.1793832E+01, 0.7808526E+00,
 0.3200000E-01, 0.6977077E+00, 0.1793943E+01, 0.7802831E+00,
 0.3400000E-01, 0.6972035E+00, 0.1794050E+01, 0.7797193E+00,
 0.3600000E-01, 0.6967047E+00, 0.1794155E+01, 0.7791614E+00,
 0.3800000E-01, 0.6962111E+00, 0.1794255E+01, 0.7786094E+00,
 0.4000000E-01, 0.6957228E+00, 0.1794353E+01, 0.7780633E+00,
 0.4200000E-01, 0.6952399E+00, 0.1794447E+01, 0.7775233E+00,
 0.4400000E-01, 0.6947623E+00, 0.1794539E+01, 0.7769891E+00,
 0.4600000E-01, 0.6942899E+00, 0.1794628E+01, 0.7764608E+00,
 0.4800000E-01, 0.6938227E+00, 0.1794714E+01, 0.7759383E+00,
 0.5000000E-01, 0.6933607E+00, 0.1794798E+01, 0.7754216E+00,
 0.5200000E-01, 0.6929039E+00, 0.1794879E+01, 0.7749107E+00,
 0.5400000E-01, 0.6924520E+00, 0.1794959E+01, 0.7744054E+00,
 0.5600000E-01, 0.6920052E+00, 0.1795036E+01, 0.7739057E+00,
 0.5800000E-01, 0.6915632E+00, 0.1795111E+01, 0.7734114E+00,
 0.6000000E-01, 0.6911259E+00, 0.1795185E+01, 0.7729224E+00,
 0.6200000E-01, 0.6906934E+00, 0.1795257E+01, 0.7724386E+00,
 0.6400000E-01, 0.6902654E+00, 0.1795327E+01, 0.7719600E+00,
 0.6600000E-01, 0.6898418E+00, 0.1795396E+01, 0.7714863E+00,
 0.6800000E-01, 0.6894225E+00, 0.1795463E+01, 0.7710174E+00,
 0.7000000E-01, 0.6890075E+00, 0.1795529E+01, 0.7705532E+00,
 0.7200000E-01, 0.6885964E+00, 0.1795593E+01, 0.7700935E+00,
 0.7400000E-01, 0.6881893E+00, 0.1795657E+01, 0.7696382E+00,
 0.7600000E-01, 0.6877857E+00, 0.1795719E+01, 0.7691869E+00,
 0.7800000E-01, 0.6873858E+00, 0.1795780E+01, 0.7687396E+00,
 0.8000000E-01, 0.6869892E+00, 0.1795841E+01, 0.7682961E+00,
 0.8200000E-01, 0.6865956E+00, 0.1795900E+01, 0.7678559E+00,
 0.8400000E-01, 0.6862050E+00, 0.1795958E+01, 0.7674190E+00,
 0.8600000E-01, 0.6858169E+00, 0.1796016E+01, 0.7669850E+00,
 0.8800000E-01, 0.6854312E+00, 0.1796072E+01, 0.7665536E+00,
 0.9000000E-01, 0.6850475E+00, 0.1796128E+01, 0.7661245E+00,
 0.9200000E-01, 0.6846654E+00, 0.1796184E+01, 0.7656973E+00,
 0.9400000E-01, 0.6842847E+00, 0.1796239E+01, 0.7652715E+00,
 0.9600000E-01, 0.6839046E+00, 0.1796293E+01, 0.7648464E+00,
 0.9800000E-01, 0.6835249E+00, 0.1796346E+01, 0.7644218E+00,
 0.1000000E+00, 0.6831447E+00, 0.1796399E+01, 0.7639966E+00,
 0.1020000E+00, 0.6827634E+00, 0.1796452E+01, 0.7635701E+00,
 0.1040000E+00, 0.6823798E+00, 0.1796504E+01, 0.7631412E+00,
 0.1060000E+00, 0.6819929E+00, 0.1796555E+01, 0.7627085E+00,
 0.1080000E+00, 0.6816012E+00, 0.1796606E+01, 0.7622703E+00,
 0.1100000E+00, 0.6812023E+00, 0.1796657E+01, 0.7618243E+00,
 0.1120000E+00, 0.6807935E+00, 0.1796708E+01, 0.7613670E+00,
 0.1140000E+00, 0.6803702E+00, 0.1796758E+01, 0.7608937E+00,
 0.1160000E+00, 0.6799253E+00, 0.1796808E+01, 0.7603962E+00,
 0.1180000E+00, 0.6794456E+00, 0.1796857E+01, 0.7598596E+00,
 0.1200000E+00, 0.6789021E+00, 0.1796907E+01, 0.7592518E+00,
 0.1220000E+00, 0.6781827E+00, 0.1796956E+01, 0.7584473E+00,
 0.1240000E+00, 0.6773190E+00, 0.1797004E+01, 0.7574814E+00,
 0.1260000E+00, 0.6765824E+00, 0.1797053E+01, 0.7566576E+00,
 0.1280000E+00, 0.6759413E+00, 0.1797101E+01, 0.7559407E+00,
 0.1300000E+00, 0.6753685E+00, 0.1797150E+01, 0.7553000E+00,
 0.1320000E+00, 0.6748480E+00, 0.1797198E+01, 0.7547179E+00,
 0.1340000E+00, 0.6743696E+00, 0.1797246E+01, 0.7541829E+00,
