@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.0000000E+00, 0.6768094E+00, 0.6768094E+00, 0.3339693E+01,
 0.2000000E-01, 0.5624941E+00, 0.6022037E+00, 0.3041044E+01,
 0.4000000E-01, 0.5712547E+00, 0.7219919E+00, 0.3053412E+01,
 0.6000000E-01, 0.5804145E+00, 0.7460327E+00, 0.3066000E+01,
 0.8000000E-01, 0.5893662E+00, 0.7603582E+00, 0.3077742E+01,
 0.1000000E+00, 0.5979538E+00, 0.7712201E+00, 0.3088414E+01,
 0.1200000E+00, 0.6061746E+00, 0.7803921E+00, 0.3098098E+01,
 0.1400000E+00, 0.6140633E+00, 0.7885711E+00, 0.3106935E+01,
 0.1600000E+00, 0.6216601E+00, 0.7960932E+00, 0.3115056E+01,
 0.1800000E+00, 0.6290013E+00, 0.8031434E+00, 0.3122576E+01,
 0.2000000E+00, 0.6361175E+00, 0.8098333E+00, 0.3129582E+01,
 0.2200000E+00, 0.6430334E+00, 0.8162355E+00, 0.3136148E+01,
 0.2400000E+00, 0.6497689E+00, 0.8224000E+00, 0.3142329E+01,
 0.2600000E+00, 0.6563401E+00, 0.8283624E+00, 0.3148170E+01,
 0.2800000E+00, 0.6627604E+00, 0.8341496E+00, 0.3153708E+01,
 0.3000000E+00, 0.6690410E+00, 0.8397822E+00, 0.3158972E+01,
 0.3200000E+00, 0.6751915E+00, 0.8452769E+00, 0.3163987E+01,
 0.3400000E+00, 0.6812204E+00, 0.8506467E+00, 0.3168776E+01,
 0.3600000E+00, 0.6871349E+00, 0.8559028E+00, 0.3173357E+01,
 0.3800000E+00, 0.6929420E+00, 0.8610542E+00, 0.3177747E+01,
 0.4000000E+00, 0.6986480E+00, 0.8661091E+00, 0.3181960E+01,
 0.4200000E+00, 0.7042587E+00, 0.8710743E+00, 0.3186013E+01,
 0.4400000E+00, 0.7097797E+00, 0.8759553E+00, 0.3189916E+01,
 0.4600000E+00, 0.7152156E+00, 0.8807573E+00, 0.3193682E+01,
 0.4800000E+00, 0.7205706E+00, 0.8854845E+00, 0.3197320E+01,
 0.5000000E+00, 0.7258487E+00, 0.8901408E+00, 0.3200838E+01,
 0.5200000E+00, 0.7310533E+00, 0.8947297E+00, 0.3204245E+01,
 0.5400000E+00, 0.7361875E+00, 0.8992543E+00, 0.3207547E+01,
 0.5600000E+00, 0.7412542E+00, 0.9037173E+00, 0.3210750E+01,
 0.5800000E+00, 0.7462561E+00, 0.9081215E+00, 0.3213861E+01,
 0.6000000E+00, 0.7511956E+00, 0.9124691E+00, 0.3216884E+01,
 0.6200000E+00, 0.7560751E+00, 0.9167623E+00, 0.3219825E+01,
 0.6400000E+00, 0.7608966E+00, 0.9210030E+00, 0.3222687E+01,
 0.6600000E+00, 0.7656621E+00, 0.9251932E+00, 0.3225474E+01,
 0.6800000E+00, 0.7703734E+00, 0.9293345E+00, 0.3228191E+01,
 0.7000000E+00, 0.7750323E+00, 0.9334284E+00, 0.3230841E+01,
 0.7200000E+00, 0.7796406E+00, 0.9374765E+00, 0.3233426E+01,
 0.7400000E+00, 0.7841995E+00, 0.9414802E+00, 0.3235950E+01,
 0.7600000E+00, 0.7887107E+00, 0.9454405E+00, 0.3238416E+01,
 0.7800000E+00, 0.7931755E+00, 0.9493589E+00, 0.3240827E+01,
 0.8000000E+00, 0.7975951E+00, 0.9532363E+00, 0.3243184E+01,
 0.8200000E+00, 0.8019709E+00, 0.9570739E+00, 0.3245490E+01,
 0.8400000E+00, 0.8063040E+00, 0.9608725E+00, 0.3247747E+01,
 0.8600000E+00, 0.8105955E+00, 0.9646331E+00, 0.3249957E+01,
 0.8800000E+00, 0.8148465E+00, 0.9683566E+00, 0.3252122E+01,
 0.9000000E+00, 0.8190579E+00, 0.9720437E+00, 0.3254244E+01,
 0.9200000E+00, 0.8232308E+00, 0.9756952E+00, 0.3256325E+01,
 0.9400000E+00, 0.8273662E+00, 0.9793118E+00, 0.3258366E+01,
 0.9600000E+00, 0.8314648E+00, 0.9828941E+00, 0.3260368E+01,
 0.9800000E+00, 0.8355275E+00, 0.9864427E+00, 0.3262334E+01,
 0.1000000E+01, 0.8395553E+00, 0.9899583E+00, 0.3264265E+01,
 0.1020000E+01, 0.8435487E+00, 0.9934413E+00, 0.3266161E+01,
 0.1040000E+01, 0.8475087E+00, 0.9968923E+00, 0.3268025E+01,
 0.1060000E+01, 0.8514358E+00, 0.1000312E+01, 0.3269857E+01,
 0.1080000E+01, 0.8553309E+00, 0.1003700E+01, 0.3271659E+01,
 0.1100000E+01, 0.8591945E+00, 0.1007058E+01, 0.3273432E+01,
 0.1120000E+01, 0.8630273E+00, 0.1010385E+01, 0.3275176E+01,
 0.1140000E+01, 0.8668299E+00, 0.1013682E+01, 0.3276893E+01,
 0.1160000E+01, 0.8706030E+00, 0.1016950E+01, 0.3278584E+01,
 0.1180000E+01, 0.8743469E+00, 0.1020188E+01, 0.3280250E+01,
 0.1200000E+01, 0.8780622E+00, 0.1023398E+01, 0.3281891E+01,
 0.1220000E+01, 0.8817495E+00, 0.1026579E+01, 0.3283508E+01,
 0.1240000E+01, 0.8854092E+00, 0.1029732E+01, 0.3285103E+01,
 0.1260000E+01, 0.8890418E+00, 0.1032856E+01, 0.3286675E+01,
 0.1280000E+01, 0.8926477E+00, 0.1035953E+01, 0.3288226E+01,
 0.1300000E+01, 0.8962274E+00, 0.1039023E+01, 0.3289757E+01,
 0.1320000E+01, 0.8997812E+00, 0.1042065E+01, 0.3291266E+01,
 0.1340000E+01, 0.9033095E+00, 0.1045080E+01, 0.3292757E+01,
 0.1360000E+01, 0.9068127E+00, 0.1048069E+01, 0.3294229E+01,
 0.1380000E+01, 0.9102911E+00, 0.1051031E+01, 0.3295682E+01,
 0.1400000E+01, 0.9137450E+00, 0.1053967E+01, 0.3297117E+01,
 0.1420000E+01, 0.9171748E+00, 0.1056878E+01, 0.3298535E+01,
 0.1440000E+01, 0.9205807E+00, 0.1059762E+01, 0.3299936E+01,
 0.1460000E+01, 0.9239630E+00, 0.1062621E+01, 0.3301321E+01,
 0.1480000E+01, 0.9273221E+00, 0.1065455E+01, 0.3302689E+01,
 0.1500000E+01, 0.9306580E+00, 0.1068264E+01, 0.3304042E+01,
