@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.0000000E+00, 0.1101605E+00, 0.1994666E+00,
 0.2000000E-01, 0.1104194E+00, 0.2001419E+00,
 0.4000000E-01, 0.1112325E+00, 0.2008385E+00,
 0.6000000E-01, 0.1120899E+00, 0.2015597E+00,
 0.8000000E-01, 0.1129519E+00, 0.2023054E+00,
 0.1000000E+00, 0.1138071E+00, 0.2030747E+00,
 0.1200000E+00, 0.1146516E+00, 0.2038664E+00,
 0.1400000E+00, 0.1154839E+00, 0.2046797E+00,
 0.1600000E+00, 0.1163038E+00, 0.2055140E+00,
 0.1800000E+00, 0.1171112E+00, 0.2063687E+00,
 0.2000000E+00, 0.1179064E+00, 0.2072438E+00,
 0.2200000E+00, 0.1186897E+00, 0.2081391E+00,
 0.2400000E+00, 0.1194616E+00, 0.2090546E+00,
 0.2600000E+00, 0.1202223E+00, 0.2099905E+00,
 0.2800000E+00, 0.1209724E+00, 0.2109468E+00,
 0.3000000E+00, 0.1217121E+00, 0.2119235E+00,
 0.3200000E+00, 0.1224419E+00, 0.2129208E+00,
 0.3400000E+00, 0.1231621E+00, 0.2139384E+00,
 0.3600000E+00, 0.1238731E+00, 0.2149761E+00,
 0.3800000E+00, 0.1245751E+00, 0.2160337E+00,
 0.4000000E+00, 0.1252684E+00, 0.2171105E+00,
 0.4200000E+00, 0.1259534E+00, 0.2182061E+00,
 0.4400000E+00, 0.1266303E+00, 0.2193198E+00,
 0.4600000E+00, 0.1272994E+00, 0.2204506E+00,
 0.4800000E+00, 0.1279609E+00, 0.2215978E+00,
 0.5000000E+00, 0.1286149E+00, 0.2227603E+00,
 0.5200000E+00, 0.1292619E+00, 0.2239371E+00,
 0.5400000E+00, 0.1299018E+00, 0.2251273E+00,
 0.5600000E+00, 0.1305349E+00, 0.2263296E+00,
 0.5800000E+00, 0.1311615E+00, 0.2275431E+00,
 0.6000000E+00, 0.1317816E+00, 0.2287667E+00,
 0.6200000E+00, 0.1323955E+00, 0.2299993E+00,
