@VLOOP [V]  vs t@
X,VLOOP
 0.0000000E+00, 0.6968472E+01
 0.2000000E-02, 0.2888976E+02
 0.4000000E-02, 0.3194599E+02
 0.6000000E-02, 0.3235227E+02
 0.8000000E-02, 0.3237267E+02
 0.1000000E-01, 0.3236063E+02
 0.1200000E-01, 0.3236347E+02
 0.1400000E-01, 0.3237975E+02
 0.1600000E-01, 0.3240615E+02
 0.1800000E-01, 0.3243992E+02
 0.2000000E-01, 0.3247915E+02
 0.2200000E-01, 0.3252242E+02
 0.2400000E-01, 0.3256874E+02
 0.2600000E-01, 0.3261734E+02
 0.2800000E-01, 0.3266763E+02
 0.3000000E-01, 0.3271916E+02
 0.3200000E-01, 0.3277156E+02
 0.3400000E-01, 0.3282454E+02
 0.3600000E-01, 0.3287784E+02
 0.3800000E-01, 0.3293128E+02
 0.4000000E-01, 0.3298467E+02
 0.4200000E-01, 0.3303788E+02
 0.4400000E-01, 0.3309077E+02
 0.4600000E-01, 0.3314322E+02
 0.4800000E-01, 0.3319515E+02
 0.5000000E-01, 0.3324645E+02
 0.5200000E-01, 0.3329704E+02
 0.5400000E-01, 0.3334683E+02
 0.5600000E-01, 0.3339575E+02
 0.5800000E-01, 0.3344371E+02
 0.6000000E-01, 0.3349065E+02
 0.6200000E-01, 0.3353648E+02
 0.6400000E-01, 0.3358111E+02
 0.6600000E-01, 0.3362446E+02
 0.6800000E-01, 0.3366643E+02
 0.7000000E-01, 0.3370693E+02
 0.7200000E-01, 0.3374584E+02
 0.7400000E-01, 0.3378304E+02
 0.7600000E-01, 0.3381838E+02
 0.7800000E-01, 0.3385173E+02
 0.8000000E-01, 0.3388288E+02
 0.8200000E-01, 0.3391166E+02
 0.8400000E-01, 0.3393780E+02
 0.8600000E-01, 0.3396104E+02
 0.8800000E-01, 0.3398105E+02
 0.9000000E-01, 0.3399743E+02
 0.9200000E-01, 0.3400970E+02
 0.9400000E-01, 0.3401727E+02
 0.9600000E-01, 0.3401943E+02
 0.9800000E-01, 0.3401524E+02
 0.1000000E+00, 0.3400354E+02
 0.1020000E+00, 0.3398275E+02
 0.1040000E+00, 0.3395081E+02
 0.1060000E+00, 0.3390480E+02
 0.1080000E+00, 0.3384056E+02
 0.1100000E+00, 0.3375184E+02
 0.1120000E+00, 0.3362867E+02
 0.1140000E+00, 0.3345396E+02
 0.1160000E+00, 0.3319533E+02
 0.1180000E+00, 0.3278214E+02
 0.1200000E+00, 0.3203409E+02
 0.1220000E+00, 0.2976319E+02
 0.1240000E+00, 0.3023803E+02
 0.1260000E+00, 0.3111627E+02
 0.1280000E+00, 0.3176246E+02
 0.1300000E+00, 0.3226957E+02
 0.1320000E+00, 0.3268762E+02
 0.1340000E+00, 0.3304435E+02
 0.1360000E+00, 0.3335648E+02
 0.1380000E+00, 0.3363477E+02
 0.1400000E+00, 0.3388651E+02
 0.1420000E+00, 0.3411690E+02
 0.1440000E+00, 0.3433157E+02
 0.1460000E+00, 0.3452937E+02
 0.1480000E+00, 0.3471492E+02
 0.1500000E+00, 0.3488973E+02
 0.1520000E+00, 0.3505516E+02
 0.1540000E+00, 0.3521236E+02
 0.1560000E+00, 0.3536225E+02
 0.1580000E+00, 0.3550561E+02
 0.1600000E+00, 0.3564309E+02
 0.1620000E+00, 0.3577526E+02
 0.1640000E+00, 0.3590258E+02
 0.1660000E+00, 0.3602548E+02
 0.1680000E+00, 0.3614431E+02
 0.1700000E+00, 0.3625938E+02
 0.1720000E+00, 0.3637098E+02
 0.1740000E+00, 0.3647934E+02
 0.1760000E+00, 0.3658469E+02
 0.1780000E+00, 0.3668721E+02
 0.1800000E+00, 0.3678708E+02
 0.1820000E+00, 0.3688446E+02
 0.1840000E+00, 0.3697950E+02
 0.1860000E+00, 0.3707232E+02
 0.1880000E+00, 0.3716302E+02
 0.1900000E+00, 0.3725174E+02
 0.1920000E+00, 0.3733855E+02
 0.1940000E+00, 0.3742356E+02
 0.1960000E+00, 0.3750684E+02
 0.1980000E+00, 0.3758846E+02
 0.2000000E+00, 0.3766851E+02
 0.2020000E+00, 0.3774704E+02
 0.2040000E+00, 0.3782411E+02
 0.2060000E+00, 0.3789978E+02
 0.2080000E+00, 0.3797411E+02
 0.2100000E+00, 0.3804713E+02
 0.2120000E+00, 0.3811890E+02
 0.2140000E+00, 0.3818946E+02
 0.2160000E+00, 0.3825885E+02
 0.2180000E+00, 0.3832710E+02
 0.2200000E+00, 0.3839425E+02
 0.2220000E+00, 0.3846034E+02
 0.2240000E+00, 0.3852539E+02
 0.2260000E+00, 0.3858944E+02
 0.2280000E+00, 0.3865250E+02
 0.2300000E+00, 0.3871462E+02
 0.2320000E+00, 0.3877581E+02
 0.2340000E+00, 0.3883609E+02
 0.2360000E+00, 0.3889550E+02
 0.2380000E+00, 0.3895404E+02
 0.2400000E+00, 0.3901175E+02
 0.2420000E+00, 0.3906863E+02
 0.2440000E+00, 0.3912471E+02
 0.2460000E+00, 0.3918001E+02
 0.2480000E+00, 0.3923454E+02
 0.2500000E+00, 0.3928831E+02
 0.2520000E+00, 0.3934136E+02
 0.2540000E+00, 0.3939368E+02
 0.2560000E+00, 0.3944529E+02
 0.2580000E+00, 0.3949620E+02
 0.2600000E+00, 0.3954644E+02
 0.2620000E+00, 0.3959601E+02
 0.2640000E+00, 0.3964492E+02
 0.2660000E+00, 0.3969318E+02
 0.2680000E+00, 0.3974082E+02
 0.2700000E+00, 0.3978783E+02
 0.2720000E+00, 0.3983422E+02
 0.2740000E+00, 0.3988001E+02
 0.2760000E+00, 0.3992521E+02
 0.2780000E+00, 0.3996983E+02
 0.2800000E+00, 0.4001387E+02
 0.2820000E+00, 0.4005734E+02
 0.2840000E+00, 0.4010026E+02
 0.2860000E+00, 0.4014263E+02
 0.2880000E+00, 0.4018445E+02
 0.2900000E+00, 0.4022575E+02
 0.2920000E+00, 0.4026651E+02
 0.2940000E+00, 0.4030676E+02
 0.2960000E+00, 0.4034650E+02
 0.2980000E+00, 0.4038574E+02
 0.3000000E+00, 0.4042447E+02
 0.3020000E+00, 0.4046272E+02
 0.3040000E+00, 0.4050048E+02
 0.3060000E+00, 0.4053777E+02
 0.3080000E+00, 0.4057458E+02
 0.3100000E+00, 0.4061093E+02
 0.3120000E+00, 0.4064682E+02
 0.3140000E+00, 0.4068225E+02
 0.3160000E+00, 0.4071724E+02
 0.3180000E+00, 0.4075179E+02
 0.3200000E+00, 0.4078590E+02
 0.3220000E+00, 0.4081957E+02
 0.3240000E+00, 0.4085120E+02
 0.3260000E+00, 0.4088403E+02
 0.3280000E+00, 0.4091645E+02
 0.3300000E+00, 0.4094845E+02
 0.3320000E+00, 0.4098018E+02
 0.3340000E+00, 0.4101138E+02
 0.3360000E+00, 0.4104218E+02
 0.3380000E+00, 0.4107259E+02
 0.3400000E+00, 0.4110262E+02
 0.3420000E+00, 0.4113226E+02
 0.3440000E+00, 0.4116151E+02
 0.3460000E+00, 0.4119040E+02
 0.3480000E+00, 0.4121892E+02
 0.3500000E+00, 0.4124707E+02
 0.3520000E+00, 0.4127486E+02
 0.3540000E+00, 0.4130228E+02
 0.3560000E+00, 0.4132936E+02
 0.3580000E+00, 0.4135609E+02
 0.3600000E+00, 0.4138247E+02
 0.3620000E+00, 0.4140851E+02
 0.3640000E+00, 0.4143422E+02
 0.3660000E+00, 0.4145958E+02
 0.3680000E+00, 0.4148462E+02
 0.3700000E+00, 0.4150933E+02
 0.3720000E+00, 0.4153372E+02
 0.3740000E+00, 0.4155779E+02
 0.3760000E+00, 0.4158154E+02
 0.3780000E+00, 0.4160498E+02
 0.3800000E+00, 0.4162811E+02
 0.3820000E+00, 0.4165094E+02
 0.3840000E+00, 0.4167346E+02
 0.3860000E+00, 0.4169569E+02
 0.3880000E+00, 0.4171762E+02
 0.3900000E+00, 0.4173926E+02
 0.3920000E+00, 0.4176060E+02
 0.3940000E+00, 0.4178167E+02
 0.3960000E+00, 0.4180245E+02
 0.3980000E+00, 0.4182295E+02
 0.4000000E+00, 0.4184318E+02
 0.4020000E+00, 0.4186313E+02
 0.4040000E+00, 0.4188282E+02
 0.4060000E+00, 0.4190223E+02
 0.4080000E+00, 0.4192139E+02
 0.4100000E+00, 0.4194028E+02
 0.4120000E+00, 0.4195892E+02
 0.4140000E+00, 0.4197729E+02
 0.4160000E+00, 0.4199542E+02
 0.4180000E+00, 0.4201330E+02
 0.4200000E+00, 0.4203094E+02
 0.4220000E+00, 0.4204832E+02
 0.4240000E+00, 0.4206548E+02
 0.4260000E+00, 0.4208239E+02
 0.4280000E+00, 0.4209906E+02
 0.4300000E+00, 0.4211551E+02
 0.4320000E+00, 0.4213173E+02
 0.4340000E+00, 0.4214771E+02
 0.4360000E+00, 0.4216348E+02
 0.4380000E+00, 0.4217902E+02
 0.4400000E+00, 0.4219435E+02
 0.4420000E+00, 0.4220945E+02
 0.4440000E+00, 0.4222435E+02
 0.4460000E+00, 0.4223903E+02
 0.4480000E+00, 0.4225351E+02
 0.4500000E+00, 0.4226778E+02
 0.4520000E+00, 0.4228184E+02
 0.4540000E+00, 0.4229571E+02
 0.4560000E+00, 0.4230937E+02
 0.4580000E+00, 0.4232284E+02
 0.4600000E+00, 0.4233611E+02
 0.4620000E+00, 0.4234920E+02
 0.4640000E+00, 0.4236209E+02
 0.4660000E+00, 0.4237480E+02
 0.4680000E+00, 0.4238732E+02
 0.4700000E+00, 0.4239965E+02
 0.4720000E+00, 0.4241181E+02
 0.4740000E+00, 0.4242379E+02
 0.4760000E+00, 0.4243560E+02
 0.4780000E+00, 0.4244723E+02
 0.4800000E+00, 0.4245868E+02
 0.4820000E+00, 0.4246997E+02
 0.4840000E+00, 0.4248109E+02
 0.4860000E+00, 0.4249205E+02
 0.4880000E+00, 0.4250284E+02
 0.4900000E+00, 0.4251347E+02
 0.4920000E+00, 0.4252393E+02
 0.4940000E+00, 0.4253424E+02
 0.4960000E+00, 0.4254440E+02
 0.4980000E+00, 0.4255440E+02
 0.5000000E+00, 0.4256425E+02
 0.5020000E+00, 0.4257395E+02
 0.5040000E+00, 0.4258350E+02
 0.5060000E+00, 0.4259290E+02
 0.5080000E+00, 0.4260216E+02
 0.5100000E+00, 0.4261127E+02
 0.5120000E+00, 0.4262024E+02
 0.5140000E+00, 0.4262908E+02
 0.5160000E+00, 0.4263777E+02
 0.5180000E+00, 0.4264633E+02
 0.5200000E+00, 0.4265475E+02
 0.5220000E+00, 0.4266304E+02
 0.5240000E+00, 0.4267120E+02
 0.5260000E+00, 0.4267922E+02
 0.5280000E+00, 0.4268712E+02
 0.5300000E+00, 0.4269489E+02
 0.5320000E+00, 0.4270253E+02
 0.5340000E+00, 0.4271005E+02
 0.5360000E+00, 0.4271744E+02
 0.5380000E+00, 0.4272472E+02
 0.5400000E+00, 0.4273187E+02
 0.5420000E+00, 0.4273890E+02
 0.5440000E+00, 0.4274582E+02
 0.5460000E+00, 0.4275262E+02
 0.5480000E+00, 0.4275930E+02
 0.5500000E+00, 0.4276587E+02
 0.5520000E+00, 0.4277233E+02
 0.5540000E+00, 0.4277868E+02
 0.5560000E+00, 0.4278491E+02
 0.5580000E+00, 0.4279104E+02
 0.5600000E+00, 0.4279706E+02
 0.5620000E+00, 0.4280297E+02
 0.5640000E+00, 0.4280878E+02
 0.5660000E+00, 0.4281448E+02
 0.5680000E+00, 0.4282008E+02
 0.5700000E+00, 0.4282557E+02
 0.5720000E+00, 0.4283097E+02
 0.5740000E+00, 0.4283627E+02
 0.5760000E+00, 0.4284146E+02
 0.5780000E+00, 0.4284656E+02
 0.5800000E+00, 0.4285155E+02
 0.5820000E+00, 0.4285646E+02
 0.5840000E+00, 0.4286127E+02
 0.5860000E+00, 0.4286598E+02
 0.5880000E+00, 0.4287060E+02
 0.5900000E+00, 0.4287513E+02
 0.5920000E+00, 0.4287956E+02
 0.5940000E+00, 0.4288391E+02
 0.5960000E+00, 0.4288816E+02
 0.5980000E+00, 0.4289233E+02
 0.6000000E+00, 0.4289640E+02
 0.6020000E+00, 0.4290039E+02
 0.6040000E+00, 0.4290430E+02
 0.6060000E+00, 0.4290811E+02
 0.6080000E+00, 0.4291185E+02
 0.6100000E+00, 0.4291549E+02
 0.6120000E+00, 0.4291906E+02
 0.6140000E+00, 0.4292254E+02
 0.6160000E+00, 0.4292594E+02
 0.6180000E+00, 0.4292925E+02
 0.6200000E+00, 0.4293249E+02
 0.6220000E+00, 0.4293565E+02
 0.6240000E+00, 0.4293872E+02
 0.6260000E+00, 0.4294172E+02
 0.6280000E+00, 0.4294464E+02
 0.6300000E+00, 0.4294749E+02
 0.6320000E+00, 0.4295026E+02
 0.6340000E+00, 0.4295295E+02
 0.6360000E+00, 0.4295556E+02
 0.6380000E+00, 0.4295811E+02
 0.6400000E+00, 0.4296057E+02
 0.6420000E+00, 0.4296297E+02
 0.6440000E+00, 0.4296529E+02
 0.6460000E+00, 0.4296754E+02
 0.6480000E+00, 0.4296971E+02
 0.6500000E+00, 0.4297182E+02
 0.6520000E+00, 0.4297385E+02
 0.6540000E+00, 0.4297582E+02
 0.6560000E+00, 0.4297771E+02
 0.6580000E+00, 0.4297954E+02
 0.6600000E+00, 0.4298130E+02
 0.6620000E+00, 0.4298299E+02
 0.6640000E+00, 0.4298461E+02
 0.6660000E+00, 0.4298617E+02
 0.6680000E+00, 0.4298766E+02
 0.6700000E+00, 0.4298908E+02
 0.6720000E+00, 0.4299044E+02
 0.6740000E+00, 0.4299173E+02
 0.6760000E+00, 0.4299297E+02
 0.6780000E+00, 0.4299413E+02
 0.6800000E+00, 0.4299523E+02
 0.6820000E+00, 0.4299627E+02
 0.6840000E+00, 0.4299725E+02
 0.6860000E+00, 0.4299817E+02
 0.6880000E+00, 0.4299902E+02
 0.6900000E+00, 0.4299981E+02
 0.6920000E+00, 0.4300055E+02
 0.6940000E+00, 0.4300122E+02
 0.6960000E+00, 0.4300183E+02
 0.6980000E+00, 0.4300238E+02
 0.7000000E+00, 0.4300288E+02
 0.7020000E+00, 0.4300331E+02
 0.7040000E+00, 0.4300369E+02
 0.7060000E+00, 0.4300401E+02
 0.7080000E+00, 0.4300428E+02
