@NE,ND,NT,NA [10$+20$=/m$+3$=]  vs r@
X,NE,ND,NT,NA
 0.1000000E-01, 0.1857569E+01, 0.7990181E+00, 0.7990181E+00, 0.5572707E-01,
 0.3000000E-01, 0.1855870E+01, 0.7983997E+00, 0.7983997E+00, 0.5567610E-01,
 0.5000000E-01, 0.1852437E+01, 0.7971488E+00, 0.7971488E+00, 0.5557311E-01,
 0.7000000E-01, 0.1847303E+01, 0.7952756E+00, 0.7952756E+00, 0.5541908E-01,
 0.9000000E-01, 0.1840466E+01, 0.7927759E+00, 0.7927759E+00, 0.5521397E-01,
 0.1100000E+00, 0.1831925E+01, 0.7896448E+00, 0.7896448E+00, 0.5495774E-01,
 0.1300000E+00, 0.1821693E+01, 0.7858812E+00, 0.7858812E+00, 0.5465078E-01,
 0.1500000E+00, 0.1809849E+01, 0.7815072E+00, 0.7815072E+00, 0.5429547E-01,
 0.1700000E+00, 0.1796437E+01, 0.7765307E+00, 0.7765307E+00, 0.5389310E-01,
 0.1900000E+00, 0.1781453E+01, 0.7709408E+00, 0.7709408E+00, 0.5344359E-01,
 0.2100000E+00, 0.1764923E+01, 0.7647362E+00, 0.7647362E+00, 0.5294770E-01,
 0.2300000E+00, 0.1746908E+01, 0.7579278E+00, 0.7579278E+00, 0.5240723E-01,
 0.2500000E+00, 0.1727456E+01, 0.7505167E+00, 0.7505167E+00, 0.5182368E-01,
 0.2700000E+00, 0.1706438E+01, 0.7423700E+00, 0.7423700E+00, 0.5119314E-01,
 0.2900000E+00, 0.1683744E+01, 0.7334046E+00, 0.7334046E+00, 0.5051233E-01,
 0.3100000E+00, 0.1659444E+01, 0.7236516E+00, 0.7236516E+00, 0.4978333E-01,
 0.3300000E+00, 0.1633581E+01, 0.7131287E+00, 0.7131287E+00, 0.4900742E-01,
 0.3500000E+00, 0.1606190E+01, 0.7018597E+00, 0.7018597E+00, 0.4818571E-01,
 0.3700000E+00, 0.1576274E+01, 0.6894470E+00, 0.6894470E+00, 0.4728821E-01,
 0.3900000E+00, 0.1543402E+01, 0.6757114E+00, 0.6757114E+00, 0.4630207E-01,
 0.4100000E+00, 0.1507771E+01, 0.6607279E+00, 0.6607279E+00, 0.4523314E-01,
 0.4300000E+00, 0.1469533E+01, 0.6445537E+00, 0.6445537E+00, 0.4408598E-01,
 0.4500000E+00, 0.1429314E+01, 0.6274564E+00, 0.6274564E+00, 0.4287941E-01,
 0.4700000E+00, 0.1390143E+01, 0.6107363E+00, 0.6107363E+00, 0.4170429E-01,
 0.4900000E+00, 0.1353187E+01, 0.5949059E+00, 0.5949059E+00, 0.4059561E-01,
 0.5100000E+00, 0.1318223E+01, 0.5798815E+00, 0.5798815E+00, 0.3954669E-01,
 0.5300000E+00, 0.1285196E+01, 0.5656481E+00, 0.5656481E+00, 0.3855589E-01,
 0.5500000E+00, 0.1253978E+01, 0.5521600E+00, 0.5521600E+00, 0.3761935E-01,
 0.5700000E+00, 0.1223867E+01, 0.5391210E+00, 0.5391210E+00, 0.3671602E-01,
 0.5900000E+00, 0.1194555E+01, 0.5264030E+00, 0.5264030E+00, 0.3583666E-01,
 0.6100000E+00, 0.1165997E+01, 0.5139899E+00, 0.5139899E+00, 0.3497992E-01,
 0.6300000E+00, 0.1138167E+01, 0.5018728E+00, 0.5018728E+00, 0.3414501E-01,
 0.6500000E+00, 0.1110875E+01, 0.4899717E+00, 0.4899717E+00, 0.3332623E-01,
 0.6700000E+00, 0.1083776E+01, 0.4781377E+00, 0.4781377E+00, 0.3251329E-01,
 0.6900000E+00, 0.1056870E+01, 0.4663716E+00, 0.4663716E+00, 0.3170611E-01,
 0.7100000E+00, 0.1030184E+01, 0.4546870E+00, 0.4546870E+00, 0.3090551E-01,
 0.7300000E+00, 0.1003712E+01, 0.4430835E+00, 0.4430835E+00, 0.3011135E-01,
 0.7500000E+00, 0.9773082E+00, 0.4314987E+00, 0.4314987E+00, 0.2931925E-01,
 0.7700000E+00, 0.9509699E+00, 0.4199321E+00, 0.4199321E+00, 0.2852910E-01,
 0.7900000E+00, 0.9247386E+00, 0.4084030E+00, 0.4084030E+00, 0.2774216E-01,
 0.8100000E+00, 0.8986172E+00, 0.3969136E+00, 0.3969136E+00, 0.2695852E-01,
 0.8300000E+00, 0.8725683E+00, 0.3854480E+00, 0.3854480E+00, 0.2617705E-01,
 0.8500000E+00, 0.8464799E+00, 0.3739578E+00, 0.3739578E+00, 0.2539440E-01,
 0.8700000E+00, 0.8206192E+00, 0.3625623E+00, 0.3625623E+00, 0.2461857E-01,
 0.8900000E+00, 0.7960028E+00, 0.3517142E+00, 0.3517142E+00, 0.2388008E-01,
 0.9100000E+00, 0.7731052E+00, 0.3416217E+00, 0.3416217E+00, 0.2319316E-01,
 0.9300000E+00, 0.7517575E+00, 0.3322054E+00, 0.3322054E+00, 0.2255272E-01,
 0.9500000E+00, 0.7261763E+00, 0.3209027E+00, 0.3209027E+00, 0.2178529E-01,
 0.9700000E+00, 0.6346374E+00, 0.2803561E+00, 0.2803561E+00, 0.1903912E-01,
 0.9900000E+00, 0.4412114E+00, 0.1935902E+00, 0.1935902E+00, 0.1323634E-01,
