@NB,NF [10$+20$=/m$+3$=]  vs r@
X,NB,NF
 0.1000000E-01, 0.9786434E-02, 0.5318302E-02,
 0.3000000E-01, 0.9654214E-02, 0.5207950E-02,
 0.5000000E-01, 0.9425730E-02, 0.4985498E-02,
 0.7000000E-01, 0.9103050E-02, 0.4663074E-02,
 0.9000000E-01, 0.8697876E-02, 0.4266228E-02,
 0.1100000E+00, 0.8234438E-02, 0.3838288E-02,
 0.1300000E+00, 0.7743789E-02, 0.3426959E-02,
 0.1500000E+00, 0.7248475E-02, 0.3058785E-02,
 0.1700000E+00, 0.6755725E-02, 0.2733393E-02,
 0.1900000E+00, 0.6266433E-02, 0.2441378E-02,
 0.2100000E+00, 0.5789029E-02, 0.2184848E-02,
 0.2300000E+00, 0.5333535E-02, 0.1968577E-02,
 0.2500000E+00, 0.4907117E-02, 0.1794576E-02,
 0.2700000E+00, 0.4514420E-02, 0.1663411E-02,
 0.2900000E+00, 0.4135368E-02, 0.1543890E-02,
 0.3100000E+00, 0.3743907E-02, 0.1395335E-02,
 0.3300000E+00, 0.3363928E-02, 0.1246350E-02,
 0.3500000E+00, 0.2981370E-02, 0.1073876E-02,
 0.3700000E+00, 0.2456401E-02, 0.7050303E-03,
 0.3900000E+00, 0.1822238E-02, 0.2985652E-03,
 0.4100000E+00, 0.1356311E-02, 0.1214476E-03,
 0.4300000E+00, 0.1154208E-02, 0.9076613E-04,
 0.4500000E+00, 0.9643657E-03, 0.6635478E-04,
 0.4700000E+00, 0.7915210E-03, 0.4802070E-04,
 0.4900000E+00, 0.6441626E-03, 0.3417859E-04,
 0.5100000E+00, 0.5207309E-03, 0.2388508E-04,
 0.5300000E+00, 0.4181342E-03, 0.1637377E-04,
 0.5500000E+00, 0.3334629E-03, 0.1099690E-04,
 0.5700000E+00, 0.2640853E-03, 0.7225504E-05,
 0.5900000E+00, 0.2076427E-03, 0.4636308E-05,
 0.6100000E+00, 0.1620509E-03, 0.2898997E-05,
 0.6300000E+00, 0.1254910E-03, 0.1761883E-05,
 0.6500000E+00, 0.9639080E-04, 0.1037546E-05,
 0.6700000E+00, 0.7340669E-04, 0.5898667E-06,
 0.6900000E+00, 0.5539873E-04, 0.3223474E-06,
 0.7100000E+00, 0.4140845E-04, 0.1684523E-06,
 0.7300000E+00, 0.3063618E-04, 0.8366444E-07,
 0.7500000E+00, 0.2241738E-04, 0.3917727E-07,
 0.7700000E+00, 0.1620682E-04, 0.1711804E-07,
 0.7900000E+00, 0.1156093E-04, 0.6883170E-08,
 0.8100000E+00, 0.8123321E-05, 0.2500737E-08,
 0.8300000E+00, 0.5613491E-05, 0.8037615E-09,
 0.8500000E+00, 0.3802780E-05, 0.2202297E-09,
 0.8700000E+00, 0.2508697E-05, 0.4789703E-10,
 0.8900000E+00, 0.1610485E-05, 0.7876422E-11,
 0.9100000E+00, 0.1013668E-05, 0.9766627E-12,
 0.9300000E+00, 0.6257689E-06, 0.8590600E-13,
 0.9500000E+00, 0.3610564E-06, 0.3213590E-14,
 0.9700000E+00, 0.1696953E-06, 0.9761284E-17,
 0.9900000E+00, 0.4579451E-07, 0.7450927E-23,
