@TE,TD,TT,TA [keV]  vs r@
X,TE,TD,TT,TA
 0.1000000E-01, 0.2268462E+02, 0.1984566E+02, 0.1850144E+02, 0.1925239E+02,
 0.3000000E-01, 0.2240985E+02, 0.1968010E+02, 0.1841693E+02, 0.1911341E+02,
 0.5000000E-01, 0.2197285E+02, 0.1927879E+02, 0.1818634E+02, 0.1881047E+02,
 0.7000000E-01, 0.2137179E+02, 0.1867967E+02, 0.1780644E+02, 0.1834668E+02,
 0.9000000E-01, 0.2063157E+02, 0.1793819E+02, 0.1728906E+02, 0.1774086E+02,
 0.1100000E+00, 0.1981269E+02, 0.1713591E+02, 0.1667746E+02, 0.1704707E+02,
 0.1300000E+00, 0.1899379E+02, 0.1635804E+02, 0.1603829E+02, 0.1634041E+02,
 0.1500000E+00, 0.1822569E+02, 0.1565049E+02, 0.1542178E+02, 0.1567254E+02,
 0.1700000E+00, 0.1751197E+02, 0.1501012E+02, 0.1483949E+02, 0.1505138E+02,
 0.1900000E+00, 0.1683736E+02, 0.1441696E+02, 0.1428420E+02, 0.1446566E+02,
 0.2100000E+00, 0.1621316E+02, 0.1387552E+02, 0.1376774E+02, 0.1392539E+02,
 0.2300000E+00, 0.1566019E+02, 0.1339970E+02, 0.1330849E+02, 0.1344784E+02,
 0.2500000E+00, 0.1519513E+02, 0.1300106E+02, 0.1292086E+02, 0.1304655E+02,
 0.2700000E+00, 0.1483196E+02, 0.1268999E+02, 0.1261683E+02, 0.1273296E+02,
 0.2900000E+00, 0.1448956E+02, 0.1239656E+02, 0.1232895E+02, 0.1243696E+02,
 0.3100000E+00, 0.1404319E+02, 0.1201375E+02, 0.1195225E+02, 0.1205075E+02,
 0.3300000E+00, 0.1357133E+02, 0.1160750E+02, 0.1155136E+02, 0.1164132E+02,
 0.3500000E+00, 0.1298685E+02, 0.1110132E+02, 0.1105056E+02, 0.1113196E+02,
 0.3700000E+00, 0.1152059E+02, 0.9830238E+01, 0.9791689E+01, 0.9853001E+01,
 0.3900000E+00, 0.9217803E+01, 0.7816986E+01, 0.7793714E+01, 0.7830789E+01,
 0.4100000E+00, 0.7511028E+01, 0.6272749E+01, 0.6256930E+01, 0.6282979E+01,
 0.4300000E+00, 0.7073310E+01, 0.5862379E+01, 0.5847955E+01, 0.5872131E+01,
 0.4500000E+00, 0.6576137E+01, 0.5477581E+01, 0.5464788E+01, 0.5486294E+01,
 0.4700000E+00, 0.6041477E+01, 0.5133083E+01, 0.5122011E+01, 0.5140481E+01,
 0.4900000E+00, 0.5536239E+01, 0.4801358E+01, 0.4792000E+01, 0.4807461E+01,
 0.5100000E+00, 0.5069120E+01, 0.4479174E+01, 0.4471411E+01, 0.4484138E+01,
 0.5300000E+00, 0.4637436E+01, 0.4167454E+01, 0.4161107E+01, 0.4171453E+01,
 0.5500000E+00, 0.4238203E+01, 0.3866830E+01, 0.3861705E+01, 0.3870025E+01,
 0.5700000E+00, 0.3868724E+01, 0.3577797E+01, 0.3573707E+01, 0.3580327E+01,
 0.5900000E+00, 0.3526462E+01, 0.3300650E+01, 0.3297422E+01, 0.3302634E+01,
 0.6100000E+00, 0.3209074E+01, 0.3035528E+01, 0.3033010E+01, 0.3037068E+01,
 0.6300000E+00, 0.2914435E+01, 0.2782467E+01, 0.2780525E+01, 0.2783649E+01,
 0.6500000E+00, 0.2640615E+01, 0.2541402E+01, 0.2539923E+01, 0.2542299E+01,
 0.6700000E+00, 0.2385932E+01, 0.2312245E+01, 0.2311133E+01, 0.2312916E+01,
 0.6900000E+00, 0.2148901E+01, 0.2094864E+01, 0.2094039E+01, 0.2095360E+01,
 0.7100000E+00, 0.1928241E+01, 0.1889124E+01, 0.1888520E+01, 0.1889486E+01,
 0.7300000E+00, 0.1722858E+01, 0.1694887E+01, 0.1694451E+01, 0.1695148E+01,
 0.7500000E+00, 0.1531670E+01, 0.1511873E+01, 0.1511561E+01, 0.1512059E+01,
 0.7700000E+00, 0.1353676E+01, 0.1339731E+01, 0.1339510E+01, 0.1339863E+01,
 0.7900000E+00, 0.1187914E+01, 0.1178025E+01, 0.1177867E+01, 0.1178119E+01,
 0.8100000E+00, 0.1033547E+01, 0.1026332E+01, 0.1026217E+01, 0.1026401E+01,
 0.8300000E+00, 0.8902994E+00, 0.8846824E+00, 0.8845928E+00, 0.8847350E+00,
 0.8500000E+00, 0.7571341E+00, 0.7522181E+00, 0.7521393E+00, 0.7522640E+00,
 0.8700000E+00, 0.6320861E+00, 0.6270071E+00, 0.6269271E+00, 0.6270539E+00,
 0.8900000E+00, 0.5175908E+00, 0.5114114E+00, 0.5113198E+00, 0.5114665E+00,
 0.9100000E+00, 0.4179997E+00, 0.4098352E+00, 0.4097220E+00, 0.4099075E+00,
 0.9300000E+00, 0.3324789E+00, 0.3221743E+00, 0.3220350E+00, 0.3222669E+00,
 0.9500000E+00, 0.2497852E+00, 0.2387971E+00, 0.2386480E+00, 0.2388970E+00,
 0.9700000E+00, 0.1579978E+00, 0.1497094E+00, 0.1495956E+00, 0.1497858E+00,
 0.9900000E+00, 0.6182753E-01, 0.6030796E-01, 0.6029347E-01, 0.6031954E-01,
