@PE,PD,PT,PA [MPa]  vs r@
X,PE,PD,PT,PA
 0.1000000E-01, 0.1858856E+01, 0.8918903E+00, 0.8522248E+00, 0.6457835E-01,
 0.3000000E-01, 0.1845190E+01, 0.8889973E+00, 0.8497920E+00, 0.6425775E-01,
 0.5000000E-01, 0.1819207E+01, 0.8788807E+00, 0.8410189E+00, 0.6335274E-01,
 0.7000000E-01, 0.1782007E+01, 0.8601236E+00, 0.8242081E+00, 0.6184497E-01,
 0.9000000E-01, 0.1735185E+01, 0.8334532E+00, 0.7997766E+00, 0.5980122E-01,
 0.1100000E+00, 0.1681183E+01, 0.8009529E+00, 0.7696213E+00, 0.5736140E-01,
 0.1300000E+00, 0.1622810E+01, 0.7651324E+00, 0.7361481E+00, 0.5469515E-01,
 0.1500000E+00, 0.1561820E+01, 0.7276769E+00, 0.7010043E+00, 0.5191765E-01,
 0.1700000E+00, 0.1498232E+01, 0.6889754E+00, 0.6645980E+00, 0.4905399E-01,
 0.1900000E+00, 0.1431523E+01, 0.6489332E+00, 0.6268555E+00, 0.4609748E-01,
 0.2100000E+00, 0.1362262E+01, 0.6080408E+00, 0.5882366E+00, 0.4308632E-01,
 0.2300000E+00, 0.1291315E+01, 0.5669191E+00, 0.5493224E+00, 0.4006814E-01,
 0.2500000E+00, 0.1218927E+01, 0.5257853E+00, 0.5103137E+00, 0.3706073E-01,
 0.2700000E+00, 0.1145187E+01, 0.4847362E+00, 0.4712940E+00, 0.3407408E-01,
 0.2900000E+00, 0.1067078E+01, 0.4421655E+00, 0.4307311E+00, 0.3099308E-01,
 0.3100000E+00, 0.9809222E+00, 0.3962155E+00, 0.3868349E+00, 0.2768570E-01,
 0.3300000E+00, 0.8917530E+00, 0.3496815E+00, 0.3422275E+00, 0.2435783E-01,
 0.3500000E+00, 0.7970497E+00, 0.3013394E+00, 0.2957097E+00, 0.2092322E-01,
 0.3700000E+00, 0.6564680E+00, 0.2412175E+00, 0.2376374E+00, 0.1667599E-01,
 0.3900000E+00, 0.4658821E+00, 0.1739721E+00, 0.1722825E+00, 0.1196755E-01,
 0.4100000E+00, 0.3121547E+00, 0.1197484E+00, 0.1191705E+00, 0.8206776E-02,
 0.4300000E+00, 0.2888803E+00, 0.1114135E+00, 0.1109513E+00, 0.7630142E-02,
 0.4500000E+00, 0.2663445E+00, 0.1033066E+00, 0.1029355E+00, 0.7069380E-02,
 0.4700000E+00, 0.2455907E+00, 0.9579989E-01, 0.9549842E-01, 0.6550640E-02,
 0.4900000E+00, 0.2264677E+00, 0.8884195E-01, 0.8859459E-01, 0.6070482E-02,
 0.5100000E+00, 0.2088475E+00, 0.8238906E-01, 0.8218434E-01, 0.5625835E-02,
 0.5300000E+00, 0.1926182E+00, 0.7640348E-01, 0.7623279E-01, 0.5213996E-02,
 0.5500000E+00, 0.1776608E+00, 0.7084681E-01, 0.7070354E-01, 0.4832192E-02,
 0.5700000E+00, 0.1638615E+00, 0.6568101E-01, 0.6556004E-01, 0.4477680E-02,
 0.5900000E+00, 0.1511258E+00, 0.6087567E-01, 0.6077295E-01, 0.4148263E-02,
 0.6100000E+00, 0.1393719E+00, 0.5640507E-01, 0.5631738E-01, 0.3842096E-02,
 0.6300000E+00, 0.1285250E+00, 0.5224590E-01, 0.5217064E-01, 0.3557511E-02,
 0.6500000E+00, 0.1185139E+00, 0.4837587E-01, 0.4831092E-01, 0.3292923E-02,
 0.6700000E+00, 0.1092749E+00, 0.4477521E-01, 0.4471880E-01, 0.3046931E-02,
 0.6900000E+00, 0.1007558E+00, 0.4142830E-01, 0.4137896E-01, 0.2818425E-02,
 0.7100000E+00, 0.9290994E-01, 0.3832152E-01, 0.3827799E-01, 0.2606441E-02,
 0.7300000E+00, 0.8569579E-01, 0.3544282E-01, 0.3540401E-01, 0.2410125E-02,
 0.7500000E+00, 0.7906960E-01, 0.3277884E-01, 0.3274378E-01, 0.2228542E-02,
 0.7700000E+00, 0.7299088E-01, 0.3031716E-01, 0.3028496E-01, 0.2060826E-02,
 0.7900000E+00, 0.6741991E-01, 0.2804526E-01, 0.2801509E-01, 0.1906110E-02,
 0.8100000E+00, 0.6231861E-01, 0.2595086E-01, 0.2592191E-01, 0.1763553E-02,
 0.8300000E+00, 0.5766997E-01, 0.2402995E-01, 0.2400139E-01, 0.1632883E-02,
 0.8500000E+00, 0.5343261E-01, 0.2226811E-01, 0.2223906E-01, 0.1513135E-02,
 0.8700000E+00, 0.4952063E-01, 0.2063200E-01, 0.2060150E-01, 0.1402071E-02,
 0.8900000E+00, 0.4599595E-01, 0.1914965E-01, 0.1911668E-01, 0.1301648E-02,
 0.9100000E+00, 0.4300128E-01, 0.1788361E-01, 0.1784720E-01, 0.1216185E-02,
 0.9300000E+00, 0.4043911E-01, 0.1679533E-01, 0.1675446E-01, 0.1143164E-02,
 0.9500000E+00, 0.4652399E-02, 0.2008349E-02, 0.2010754E-02, 0.1361549E-03,
 0.9700000E+00, 0.2417348E-02, 0.1044247E-02, 0.1044577E-02, 0.7098019E-04,
 0.9900000E+00, 0.4715921E-03, 0.2049718E-03, 0.2050111E-03, 0.1447364E-04,
