@POH,PNB,PNF,PR,PRF [MW/m$+3$=]  vs r@
X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8
 0.1000000E-01, 0.4670133E-05, 0.8476280E-01, 0.2244984E+00, 0.1373400E-01, 0.1829865E+00, 0.1829865E+00, 0.0000000E+00, 0.0000000E+00,
 0.3000000E-01, 0.7206132E-06, 0.8434287E-01, 0.2221802E+00, 0.1364776E-01, 0.1616199E+00, 0.1616199E+00, 0.0000000E+00, 0.0000000E+00,
 0.5000000E-01, 0.4894053E-05, 0.8350922E-01, 0.2163683E+00, 0.1350847E-01, 0.1260800E+00, 0.1260800E+00, 0.0000000E+00, 0.0000000E+00,
 0.7000000E-01, 0.1955225E-04, 0.8227417E-01, 0.2073507E+00, 0.1331418E-01, 0.8687077E-01, 0.8687077E-01, 0.0000000E+00, 0.0000000E+00,
 0.9000000E-01, 0.4743447E-04, 0.8065581E-01, 0.1956985E+00, 0.1307075E-01, 0.5286605E-01, 0.5286605E-01, 0.0000000E+00, 0.0000000E+00,
 0.1100000E+00, 0.7857653E-04, 0.7867754E-01, 0.1825319E+00, 0.1279543E-01, 0.2841553E-01, 0.2841553E-01, 0.0000000E+00, 0.0000000E+00,
 0.1300000E+00, 0.1031245E-03, 0.7636757E-01, 0.1692639E+00, 0.1251253E-01, 0.1348996E-01, 0.1348996E-01, 0.0000000E+00, 0.0000000E+00,
 0.1500000E+00, 0.1218354E-03, 0.7375818E-01, 0.1568226E+00, 0.1223894E-01, 0.5656412E-02, 0.5656412E-02, 0.0000000E+00, 0.0000000E+00,
 0.1700000E+00, 0.1449597E-03, 0.7088502E-01, 0.1453241E+00, 0.1197667E-01, 0.2094823E-02, 0.2094823E-02, 0.0000000E+00, 0.0000000E+00,
 0.1900000E+00, 0.1703075E-03, 0.6778627E-01, 0.1345465E+00, 0.1172128E-01, 0.6852190E-03, 0.6852190E-03, 0.0000000E+00, 0.0000000E+00,
 0.2100000E+00, 0.1881518E-03, 0.6450184E-01, 0.1246600E+00, 0.1147736E-01, 0.1979645E-03, 0.1979645E-03, 0.0000000E+00, 0.0000000E+00,
 0.2300000E+00, 0.1994793E-03, 0.6107246E-01, 0.1159640E+00, 0.1125317E-01, 0.5051507E-04, 0.5051507E-04, 0.0000000E+00, 0.0000000E+00,
 0.2500000E+00, 0.2069725E-03, 0.5753893E-01, 0.1086785E+00, 0.1105586E-01, 0.1138493E-04, 0.1138493E-04, 0.0000000E+00, 0.0000000E+00,
 0.2700000E+00, 0.2005911E-03, 0.5394127E-01, 0.1029705E+00, 0.1089170E-01, 0.2266291E-05, 0.2266291E-05, 0.0000000E+00, 0.0000000E+00,
 0.2900000E+00, 0.2454246E-03, 0.5031803E-01, 0.9761189E-01, 0.1073171E-01, 0.3984526E-06, 0.3984526E-06, 0.0000000E+00, 0.0000000E+00,
 0.3100000E+00, 0.3559128E-03, 0.4670561E-01, 0.9080114E-01, 0.1052942E-01, 0.6187476E-07, 0.6187476E-07, 0.0000000E+00, 0.0000000E+00,
 0.3300000E+00, 0.3414943E-03, 0.4313776E-01, 0.8372052E-01, 0.1031321E-01, 0.8486466E-08, 0.8486452E-08, 0.0000000E+00, 0.0000000E+00,
 0.3500000E+00, 0.5660585E-03, 0.3964506E-01, 0.7519509E-01, 0.1004897E-01, 0.1368841E-08, 0.1028051E-08, 0.0000000E+00, 0.0000000E+00,
 0.3700000E+00, 0.3554714E-02, 0.3625465E-01, 0.5554509E-01, 0.9424636E-02, 0.1115296E-05, 0.1099965E-09, 0.0000000E+00, 0.0000000E+00,
 0.3900000E+00, 0.6668871E-02, 0.3298992E-01, 0.2951979E-01, 0.8391959E-02, 0.5005180E-03, 0.1039486E-10, 0.0000000E+00, 0.0000000E+00,
 0.4100000E+00, 0.1410323E-02, 0.2987046E-01, 0.1487885E-01, 0.7538412E-02, 0.3081093E-01, 0.8676298E-12, 0.0000000E+00, 0.0000000E+00,
 0.4300000E+00, 0.3418859E-04, 0.2691198E-01, 0.1183168E-01, 0.7277342E-02, 0.2601372E+00, 0.6396258E-13, 0.0000000E+00, 0.0000000E+00,
 0.4500000E+00, 0.2759678E-04, 0.2412639E-01, 0.9334836E-02, 0.6977831E-02, 0.3012402E+00, 0.4164792E-14, 0.0000000E+00, 0.0000000E+00,
 0.4700000E+00, 0.1774411E-03, 0.2152197E-01, 0.7389790E-02, 0.6648341E-02, 0.4784492E-01, 0.2395170E-15, 0.0000000E+00, 0.0000000E+00,
 0.4900000E+00, 0.2108943E-03, 0.1910358E-01, 0.5772941E-02, 0.6323805E-02, 0.1042249E-02, 0.1216621E-16, 0.0000000E+00, 0.0000000E+00,
 0.5100000E+00, 0.2267430E-03, 0.1687293E-01, 0.4434589E-02, 0.6010040E-02, 0.3114007E-05, 0.5458208E-18, 0.0000000E+00, 0.0000000E+00,
 0.5300000E+00, 0.2446031E-03, 0.1482892E-01, 0.3346646E-02, 0.5706733E-02, 0.1276087E-08, 0.2162821E-19, 0.0000000E+00, 0.0000000E+00,
 0.5500000E+00, 0.2644343E-03, 0.1296795E-01, 0.2478447E-02, 0.5413264E-02, 0.7172223E-13, 0.7569493E-21, 0.0000000E+00, 0.0000000E+00,
 0.5700000E+00, 0.2890077E-03, 0.1128434E-01, 0.1798923E-02, 0.5129050E-02, 0.5529147E-18, 0.2339855E-22, 0.0000000E+00, 0.0000000E+00,
 0.5900000E+00, 0.3143985E-03, 0.9770663E-02, 0.1277722E-02, 0.4853472E-02, 0.1223405E-23, 0.6388321E-24, 0.0000000E+00, 0.0000000E+00,
 0.6100000E+00, 0.3399745E-03, 0.8418118E-02, 0.8864158E-03, 0.4585903E-02, 0.1540504E-25, 0.1540495E-25, 0.0000000E+00, 0.0000000E+00,
 0.6300000E+00, 0.3633561E-03, 0.7216871E-02, 0.5992978E-03, 0.4325735E-02, 0.3281027E-27, 0.3281027E-27, 0.0000000E+00, 0.0000000E+00,
 0.6500000E+00, 0.3821548E-03, 0.6156388E-02, 0.3937961E-03, 0.4072374E-02, 0.6172129E-29, 0.6172129E-29, 0.0000000E+00, 0.0000000E+00,
 0.6700000E+00, 0.4003240E-03, 0.5225718E-02, 0.2506869E-03, 0.3825293E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6900000E+00, 0.4210069E-03, 0.4413764E-02, 0.1540105E-03, 0.3584009E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7100000E+00, 0.4535773E-03, 0.3709498E-02, 0.9089342E-04, 0.3348108E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7300000E+00, 0.5072760E-03, 0.3102161E-02, 0.5124844E-04, 0.3117244E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7500000E+00, 0.5724938E-03, 0.2581407E-02, 0.2740772E-04, 0.2890995E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7700000E+00, 0.6786600E-03, 0.2137429E-02, 0.1377390E-04, 0.2668917E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7900000E+00, 0.8532350E-03, 0.1761043E-02, 0.6424053E-05, 0.2450496E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8100000E+00, 0.1088699E-02, 0.1443747E-02, 0.2734733E-05, 0.2235221E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8300000E+00, 0.1250123E-02, 0.1177756E-02, 0.1042086E-05, 0.2023084E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8500000E+00, 0.1281743E-02, 0.9560108E-03, 0.3435697E-06, 0.1813117E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8700000E+00, 0.1165604E-02, 0.7721704E-03, 0.9188032E-07, 0.1602899E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8900000E+00, 0.2552444E-02, 0.6205925E-03, 0.1900783E-07, 0.1395237E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9100000E+00, 0.1463363E-01, 0.4962985E-03, 0.3010231E-08, 0.1196288E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9300000E+00, 0.4957747E-01, 0.3949321E-03, 0.3427403E-09, 0.1005599E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9500000E+00, 0.7964995E-01, 0.3127122E-03, 0.1762875E-10, 0.8049975E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9700000E+00, 0.8764828E-01, 0.2463828E-03, 0.9106945E-13, 0.5674972E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9900000E+00, 0.1817613E+00, 0.1931608E-03, 0.2039276E-18, 0.2748756E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
