@POH,PRB,PRC,PRL,PCX,PIE [MW/m$+3$=]  vs r@
X,POH,PRB,PRC,PRL,PCX,PIE
 0.1000000E-01, 0.1481656E-05, 0.1430180E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3000000E-01, 0.9420140E-05, 0.1423134E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5000000E-01, 0.1933414E-04, 0.1409511E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7000000E-01, 0.2403922E-04, 0.1389745E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9000000E-01, 0.2401014E-04, 0.1364430E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.1100000E+00, 0.2367866E-04, 0.1334505E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.1300000E+00, 0.2586038E-04, 0.1301103E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.1500000E+00, 0.3156660E-04, 0.1265037E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.1700000E+00, 0.4023445E-04, 0.1226400E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.1900000E+00, 0.5239832E-04, 0.1185017E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.2100000E+00, 0.6996008E-04, 0.1141186E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.2300000E+00, 0.9478011E-04, 0.1095370E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.2500000E+00, 0.1305059E-03, 0.1047761E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.2700000E+00, 0.1945619E-03, 0.9982597E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.2900000E+00, 0.2780586E-03, 0.9454840E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3100000E+00, 0.3452314E-03, 0.8878554E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3300000E+00, 0.4929554E-03, 0.8275969E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3500000E+00, 0.2754979E-02, 0.7634814E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3700000E+00, 0.3094368E-02, 0.6741867E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.3900000E+00, 0.1008421E-03, 0.5507389E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.4100000E+00, 0.6089499E-04, 0.4356457E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.4300000E+00, 0.3123618E-05, 0.4035698E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.4500000E+00, 0.2754573E-05, 0.3719931E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.4700000E+00, 0.2577712E-05, 0.3428581E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.4900000E+00, 0.1130797E-05, 0.3163878E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5100000E+00, 0.9562917E-06, 0.2922850E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5300000E+00, 0.9306515E-06, 0.2703403E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5500000E+00, 0.9446184E-06, 0.2503301E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5700000E+00, 0.1070075E-05, 0.2318878E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.5900000E+00, 0.1204973E-05, 0.2148115E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6100000E+00, 0.1339114E-05, 0.1989943E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6300000E+00, 0.1373724E-05, 0.1843420E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6500000E+00, 0.1211776E-05, 0.1707292E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6700000E+00, 0.1013327E-05, 0.1580120E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.6900000E+00, 0.8826056E-06, 0.1461414E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7100000E+00, 0.1003445E-05, 0.1350783E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7300000E+00, 0.1582755E-05, 0.1247800E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7500000E+00, 0.2411600E-05, 0.1151773E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7700000E+00, 0.4481204E-05, 0.1062321E-01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.7900000E+00, 0.9209229E-05, 0.9791397E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8100000E+00, 0.1654874E-04, 0.9018582E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8300000E+00, 0.1871246E-04, 0.8301968E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8500000E+00, 0.1287778E-04, 0.7636072E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8700000E+00, 0.3768608E-05, 0.7017432E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.8900000E+00, 0.4357216E-04, 0.6461520E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9100000E+00, 0.7247694E-03, 0.5980387E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9300000E+00, 0.3192905E-03, 0.5561189E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9500000E+00, 0.1173661E-02, 0.1790828E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9700000E+00, 0.4303988E-01, 0.1054341E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
 0.9900000E+00, 0.1468333E+00, 0.2683378E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,
