@AKE,AKNCE,AKDWE [m$+2$=/s]  vs r@
X,AKE,AKNCE,AKDWE
 0.0000000E+00, 0.1678392E+00, 0.4492366E-01, 0.1229156E+00,
 0.2000000E-01, 0.1678392E+00, 0.4492366E-01, 0.1229156E+00,
 0.4000000E-01, 0.1759068E+00, 0.1410000E-01, 0.1618068E+00,
 0.6000000E-01, 0.1860758E+00, 0.6627070E-02, 0.1794488E+00,
 0.8000000E-01, 0.1992815E+00, 0.3653402E-02, 0.1956281E+00,
 0.1000000E+00, 0.2182199E+00, 0.2258402E-02, 0.2159615E+00,
 0.1200000E+00, 0.2442556E+00, 0.1558733E-02, 0.2426969E+00,
 0.1400000E+00, 0.2739124E+00, 0.1179502E-02, 0.2727329E+00,
 0.1600000E+00, 0.3001592E+00, 0.9539187E-03, 0.2992053E+00,
 0.1800000E+00, 0.3204321E+00, 0.8030002E-03, 0.3196291E+00,
 0.2000000E+00, 0.3403431E+00, 0.6962353E-03, 0.3396468E+00,
 0.2200000E+00, 0.3618101E+00, 0.6212915E-03, 0.3611889E+00,
 0.2400000E+00, 0.3819196E+00, 0.5689134E-03, 0.3813507E+00,
 0.2600000E+00, 0.4000289E+00, 0.5323556E-03, 0.3994966E+00,
 0.2800000E+00, 0.3984611E+00, 0.5084111E-03, 0.3979527E+00,
 0.3000000E+00, 0.3768824E+00, 0.4844502E-03, 0.3763980E+00,
 0.3200000E+00, 0.3773623E+00, 0.4550413E-03, 0.3769072E+00,
 0.3400000E+00, 0.3641320E+00, 0.4374324E-03, 0.3636946E+00,
 0.3600000E+00, 0.2914119E+00, 0.4106760E-03, 0.2910012E+00,
 0.3800000E+00, 0.2616752E+00, 0.3295570E-03, 0.2613457E+00,
 0.4000000E+00, 0.3230925E+00, 0.2836900E-03, 0.3228088E+00,
 0.4200000E+00, 0.2211230E+01, 0.2964266E-03, 0.2210933E+01,
 0.4400000E+00, 0.2183669E+01, 0.3150202E-03, 0.2183354E+01,
 0.4600000E+00, 0.2256275E+01, 0.3333460E-03, 0.2255941E+01,
 0.4800000E+00, 0.2321790E+01, 0.3524144E-03, 0.2321438E+01,
 0.5000000E+00, 0.2388541E+01, 0.3733083E-03, 0.2388167E+01,
 0.5200000E+00, 0.2457037E+01, 0.8728933E-03, 0.2456164E+01,
 0.5400000E+00, 0.2524848E+01, 0.9224305E-03, 0.2523926E+01,
 0.5600000E+00, 0.2595105E+01, 0.9746470E-03, 0.2594130E+01,
 0.5800000E+00, 0.2667424E+01, 0.1028994E-02, 0.2666395E+01,
 0.6000000E+00, 0.2741153E+01, 0.1085603E-02, 0.2740067E+01,
 0.6200000E+00, 0.2816322E+01, 0.1144865E-02, 0.2815177E+01,
 0.6400000E+00, 0.2893646E+01, 0.1206995E-02, 0.2892438E+01,
 0.6600000E+00, 0.2975211E+01, 0.1272460E-02, 0.2973938E+01,
 0.6800000E+00, 0.3060428E+01, 0.1341417E-02, 0.3059087E+01,
 0.7000000E+00, 0.3150091E+01, 0.1414421E-02, 0.3148677E+01,
 0.7200000E+00, 0.3245941E+01, 0.1491577E-02, 0.3244449E+01,
 0.7400000E+00, 0.3348006E+01, 0.1572208E-02, 0.3346434E+01,
 0.7600000E+00, 0.3455215E+01, 0.1656739E-02, 0.3453558E+01,
 0.7800000E+00, 0.3564741E+01, 0.1745145E-02, 0.3562995E+01,
 0.8000000E+00, 0.3673638E+01, 0.1838996E-02, 0.3671799E+01,
 0.8200000E+00, 0.3800197E+01, 0.1941291E-02, 0.3798255E+01,
 0.8400000E+00, 0.3929463E+01, 0.2044401E-02, 0.3927418E+01,
 0.8600000E+00, 0.3982772E+01, 0.2159532E-02, 0.3980613E+01,
 0.8800000E+00, 0.4089075E+01, 0.2347106E-02, 0.4086727E+01,
 0.9000000E+00, 0.4478855E+01, 0.2548661E-02, 0.4476306E+01,
 0.9200000E+00, 0.4951066E+01, 0.2556897E-02, 0.4948509E+01,
 0.9400000E+00, 0.3017671E+00, 0.2444562E-02, 0.2993226E+00,
 0.9600000E+00, 0.4702338E+01, 0.1487667E-02, 0.4700850E+01,
 0.9800000E+00, 0.5179792E+01, 0.1618318E-02, 0.5178174E+01,
