@AKD,AKNCD,AKDWD [m$+2$=/s]  vs r@
X,AKD,AKNCD,AKDWD
 0.0000000E+00, 0.5073242E+00, 0.3134435E+00, 0.1938807E+00,
 0.2000000E-01, 0.5073242E+00, 0.3134435E+00, 0.1938807E+00,
 0.4000000E-01, 0.3868352E+00, 0.1082811E+00, 0.2785541E+00,
 0.6000000E-01, 0.3458073E+00, 0.5376744E-01, 0.2920399E+00,
 0.8000000E-01, 0.3227276E+00, 0.3074167E-01, 0.2919859E+00,
 0.1000000E+00, 0.3189090E+00, 0.1951561E-01, 0.2993934E+00,
 0.1200000E+00, 0.3376983E+00, 0.1374761E-01, 0.3239507E+00,
 0.1400000E+00, 0.3741724E+00, 0.1056797E-01, 0.3636045E+00,
 0.1600000E+00, 0.4143256E+00, 0.8650267E-02, 0.4056754E+00,
 0.1800000E+00, 0.4484178E+00, 0.7349144E-02, 0.4410687E+00,
 0.2000000E+00, 0.4930510E+00, 0.6415477E-02, 0.4866355E+00,
 0.2200000E+00, 0.5630335E+00, 0.5749432E-02, 0.5572841E+00,
 0.2400000E+00, 0.6732100E+00, 0.5272349E-02, 0.6679376E+00,
 0.2600000E+00, 0.8604593E+00, 0.4925437E-02, 0.8555338E+00,
 0.2800000E+00, 0.9149158E+00, 0.4682777E-02, 0.9102331E+00,
 0.3000000E+00, 0.7121787E+00, 0.4434254E-02, 0.7077445E+00,
 0.3200000E+00, 0.6751236E+00, 0.4133196E-02, 0.6709904E+00,
 0.3400000E+00, 0.5496622E+00, 0.3934228E-02, 0.5457280E+00,
 0.3600000E+00, 0.2244984E+00, 0.3648444E-02, 0.2208500E+00,
 0.3800000E+00, 0.1449965E+00, 0.2866622E-02, 0.1421298E+00,
 0.4000000E+00, 0.1922511E+00, 0.2360567E-02, 0.1898905E+00,
 0.4200000E+00, 0.7173174E+00, 0.2405636E-02, 0.7149118E+00,
 0.4400000E+00, 0.7634882E+00, 0.2610485E-02, 0.7608777E+00,
 0.4600000E+00, 0.8468224E+00, 0.2820213E-02, 0.8440022E+00,
 0.4800000E+00, 0.8714039E+00, 0.3040600E-02, 0.8683633E+00,
 0.5000000E+00, 0.8862293E+00, 0.3281668E-02, 0.8829476E+00,
 0.5200000E+00, 0.9018699E+00, 0.3538899E-02, 0.8983310E+00,
 0.5400000E+00, 0.9180028E+00, 0.3812838E-02, 0.9141900E+00,
 0.5600000E+00, 0.9347591E+00, 0.4104169E-02, 0.9306549E+00,
 0.5800000E+00, 0.9519985E+00, 0.4412006E-02, 0.9475865E+00,
 0.6000000E+00, 0.9696434E+00, 0.4737150E-02, 0.9649063E+00,
 0.6200000E+00, 0.9876970E+00, 0.5080784E-02, 0.9826162E+00,
 0.6400000E+00, 0.1006104E+01, 0.5443254E-02, 0.1000661E+01,
 0.6600000E+00, 0.1025061E+01, 0.5826763E-02, 0.1019235E+01,
 0.6800000E+00, 0.1044661E+01, 0.6231289E-02, 0.1038429E+01,
 0.7000000E+00, 0.1065142E+01, 0.6656754E-02, 0.1058485E+01,
 0.7200000E+00, 0.1086921E+01, 0.7099962E-02, 0.1079821E+01,
 0.7400000E+00, 0.1109646E+01, 0.7553306E-02, 0.1102093E+01,
 0.7600000E+00, 0.1133242E+01, 0.8012918E-02, 0.1125229E+01,
 0.7800000E+00, 0.1157137E+01, 0.8470411E-02, 0.1148666E+01,
 0.8000000E+00, 0.1180177E+01, 0.8923465E-02, 0.1171254E+01,
 0.8200000E+00, 0.1207709E+01, 0.9378121E-02, 0.1198331E+01,
 0.8400000E+00, 0.1236709E+01, 0.9799865E-02, 0.1226909E+01,
 0.8600000E+00, 0.1242900E+01, 0.1025193E-01, 0.1232648E+01,
 0.8800000E+00, 0.1264018E+01, 0.1105572E-01, 0.1252963E+01,
 0.9000000E+00, 0.1369613E+01, 0.1212229E-01, 0.1357490E+01,
 0.9200000E+00, 0.1568862E+01, 0.1270228E-01, 0.1556160E+01,
 0.9400000E+00, 0.1674790E+01, 0.1296472E-01, 0.1661826E+01,
 0.9600000E+00, 0.1568789E+01, 0.1468400E-01, 0.1554105E+01,
 0.9800000E+00, 0.1657426E+01, 0.1999623E-01, 0.1637430E+01,
