@QP  vs r@
X,QP
 0.0000000E+00, 0.1828669E+01
 0.2000000E-01, 0.1793822E+01
 0.4000000E-01, 0.1689279E+01
 0.6000000E-01, 0.1545806E+01
 0.8000000E-01, 0.1405479E+01
 0.1000000E+00, 0.1293959E+01
 0.1200000E+00, 0.1223654E+01
 0.1400000E+00, 0.1188756E+01
 0.1600000E+00, 0.1177523E+01
 0.1800000E+00, 0.1177275E+01
 0.2000000E+00, 0.1184199E+01
 0.2200000E+00, 0.1199689E+01
 0.2400000E+00, 0.1223600E+01
 0.2600000E+00, 0.1254921E+01
 0.2800000E+00, 0.1294037E+01
 0.3000000E+00, 0.1327058E+01
 0.3200000E+00, 0.1344975E+01
 0.3400000E+00, 0.1372102E+01
 0.3600000E+00, 0.1369229E+01
 0.3800000E+00, 0.1222043E+01
 0.4000000E+00, 0.1099529E+01
 0.4200000E+00, 0.1127042E+01
 0.4400000E+00, 0.1211325E+01
 0.4600000E+00, 0.1298241E+01
 0.4800000E+00, 0.1389565E+01
 0.5000000E+00, 0.1486869E+01
 0.5200000E+00, 0.1589229E+01
 0.5400000E+00, 0.1696969E+01
 0.5600000E+00, 0.1810383E+01
 0.5800000E+00, 0.1929656E+01
 0.6000000E+00, 0.2055342E+01
 0.6200000E+00, 0.2188087E+01
 0.6400000E+00, 0.2328759E+01
 0.6600000E+00, 0.2478572E+01
 0.6800000E+00, 0.2638632E+01
 0.7000000E+00, 0.2810364E+01
 0.7200000E+00, 0.2994865E+01
 0.7400000E+00, 0.3192755E+01
 0.7600000E+00, 0.3405822E+01
 0.7800000E+00, 0.3635799E+01
 0.8000000E+00, 0.3886616E+01
 0.8200000E+00, 0.4164194E+01
 0.8400000E+00, 0.4461901E+01
 0.8600000E+00, 0.4794899E+01
 0.8800000E+00, 0.5240336E+01
 0.9000000E+00, 0.5737780E+01
 0.9200000E+00, 0.6038642E+01
 0.9400000E+00, 0.6140986E+01
 0.9600000E+00, 0.6351068E+01
 0.9800000E+00, 0.6837985E+01
 0.1000000E+01, 0.7504479E+01
