@EZOH [V/m]  vs r@
X,EZOH
 0.1000000E-01, 0.3998961E-04
 0.3000000E-01, 0.1638151E-04
 0.5000000E-01, 0.4462296E-04
 0.7000000E-01, 0.9345931E-04
 0.9000000E-01, 0.1528788E-03
 0.1100000E+00, 0.2069694E-03
 0.1300000E+00, 0.2492724E-03
 0.1500000E+00, 0.2842672E-03
 0.1700000E+00, 0.3246568E-03
 0.1900000E+00, 0.3679590E-03
 0.2100000E+00, 0.4036900E-03
 0.2300000E+00, 0.4326466E-03
 0.2500000E+00, 0.4569686E-03
 0.2700000E+00, 0.4643064E-03
 0.2900000E+00, 0.5295266E-03
 0.3100000E+00, 0.6610051E-03
 0.3300000E+00, 0.6723636E-03
 0.3500000E+00, 0.9050039E-03
 0.3700000E+00, 0.2501174E-02
 0.3900000E+00, 0.4058041E-02
 0.4100000E+00, 0.2177826E-02
 0.4300000E+00, 0.3575452E-03
 0.4500000E+00, 0.3412634E-03
 0.4700000E+00, 0.9259294E-03
 0.4900000E+00, 0.1080898E-02
 0.5100000E+00, 0.1199505E-02
 0.5300000E+00, 0.1332687E-02
 0.5500000E+00, 0.1481596E-02
 0.5700000E+00, 0.1655408E-02
 0.5900000E+00, 0.1844642E-02
 0.6100000E+00, 0.2048892E-02
 0.6300000E+00, 0.2262037E-02
 0.6500000E+00, 0.2477304E-02
 0.6700000E+00, 0.2707886E-02
 0.6900000E+00, 0.2966502E-02
 0.7100000E+00, 0.3290833E-02
 0.7300000E+00, 0.3722136E-02
 0.7500000E+00, 0.4233810E-02
 0.7700000E+00, 0.4943614E-02
 0.7900000E+00, 0.5958174E-02
 0.8100000E+00, 0.7257402E-02
 0.8300000E+00, 0.8422365E-02
 0.8500000E+00, 0.9294478E-02
 0.8700000E+00, 0.9750190E-02
 0.8900000E+00, 0.1605425E-01
 0.9100000E+00, 0.4332187E-01
 0.9300000E+00, 0.9129206E-01
 0.9500000E+00, 0.1378544E+00
 0.9700000E+00, 0.1935172E+00
 0.9900000E+00, 0.5264468E+00
