@JTOT,JOH,JNB,JRF,JBS [MA/m$+2$=]  vs r@
X,JTOT,JOH,JNB,JRF,JBS
 0.1000000E-01, 0.5517244E+00, 0.1167837E+00, 0.2188722E+00, 0.1254307E+00, 0.9063780E-01,
 0.3000000E-01, 0.5984676E+00, 0.4398942E-01, 0.2599922E+00, 0.1057253E+00, 0.1887607E+00,
 0.5000000E-01, 0.6822561E+00, 0.1096757E+00, 0.2909536E+00, 0.7847108E-01, 0.2031557E+00,
 0.7000000E-01, 0.7846269E+00, 0.2092060E+00, 0.3118313E+00, 0.5125963E-01, 0.2123300E+00,
 0.9000000E-01, 0.8734198E+00, 0.3102750E+00, 0.3234385E+00, 0.2945457E-01, 0.2102517E+00,
 0.1100000E+00, 0.9189198E+00, 0.3796529E+00, 0.3278295E+00, 0.1490239E-01, 0.1965351E+00,
 0.1300000E+00, 0.9236012E+00, 0.4137019E+00, 0.3267276E+00, 0.6657189E-02, 0.1765144E+00,
 0.1500000E+00, 0.9103547E+00, 0.4285946E+00, 0.3215615E+00, 0.2628889E-02, 0.1575697E+00,
 0.1700000E+00, 0.9042459E+00, 0.4465016E+00, 0.3131567E+00, 0.9163261E-03, 0.1436713E+00,
 0.1900000E+00, 0.8973373E+00, 0.4628437E+00, 0.3020233E+00, 0.2814031E-03, 0.1321888E+00,
 0.2100000E+00, 0.8743779E+00, 0.4660798E+00, 0.2889246E+00, 0.7619759E-04, 0.1192973E+00,
 0.2300000E+00, 0.8401409E+00, 0.4610675E+00, 0.2746598E+00, 0.1822373E-04, 0.1043954E+00,
 0.2500000E+00, 0.8006070E+00, 0.4529249E+00, 0.2599078E+00, 0.3854437E-05, 0.8777045E-01,
 0.2700000E+00, 0.7549126E+00, 0.4320231E+00, 0.2452397E+00, 0.7212545E-06, 0.7764912E-01,
 0.2900000E+00, 0.7789640E+00, 0.4634793E+00, 0.2299143E+00, 0.1190222E-06, 0.8557037E-01,
 0.3100000E+00, 0.8477975E+00, 0.5384418E+00, 0.2127774E+00, 0.1727006E-07, 0.9657831E-01,
 0.3300000E+00, 0.8107768E+00, 0.5079013E+00, 0.1951606E+00, 0.2212905E-08, 0.1077150E+00,
 0.3500000E+00, 0.9898819E+00, 0.6254764E+00, 0.1764107E+00, 0.5239961E-09, 0.1879948E+00,
 0.3700000E+00, 0.1866036E+01, 0.1421219E+01, 0.1485151E+00, 0.8039536E-06, 0.2963012E+00,
 0.3900000E+00, 0.2028856E+01, 0.1643372E+01, 0.1122870E+00, 0.3015083E-03, 0.2728955E+00,
 0.4100000E+00, 0.8834069E+00, 0.6475830E+00, 0.8450804E-01, 0.1589633E-01, 0.1354196E+00,
 0.4300000E+00, 0.3577497E+00, 0.9562032E-01, 0.7272239E-01, 0.1274898E+00, 0.6191719E-01,
 0.4500000E+00, 0.3484375E+00, 0.8086651E-01, 0.6131288E-01, 0.1393644E+00, 0.6689378E-01,
 0.4700000E+00, 0.3314600E+00, 0.1916357E+00, 0.5066387E-01, 0.2079175E-01, 0.6836874E-01,
 0.4900000E+00, 0.3041492E+00, 0.1951103E+00, 0.4143161E-01, 0.4260231E-03, 0.6718125E-01,
 0.5100000E+00, 0.2882158E+00, 0.1890305E+00, 0.3359714E-01, 0.1200262E-05, 0.6558700E-01,
 0.5300000E+00, 0.2745494E+00, 0.1835412E+00, 0.2701814E-01, 0.4649737E-09, 0.6399005E-01,
 0.5500000E+00, 0.2624466E+00, 0.1784794E+00, 0.2154665E-01, 0.2476665E-13, 0.6242049E-01,
 0.5700000E+00, 0.2524963E+00, 0.1745840E+00, 0.1703803E-01, 0.1813912E-18, 0.6087428E-01,
 0.5900000E+00, 0.2431479E+00, 0.1704388E+00, 0.1335709E-01, 0.2347531E-24, 0.5935200E-01,
 0.6100000E+00, 0.2341668E+00, 0.1659309E+00, 0.1037951E-01, 0.1175795E-26, 0.5785637E-01,
 0.6300000E+00, 0.2250056E+00, 0.1606322E+00, 0.7992151E-02, 0.2350868E-28, 0.5638119E-01,
 0.6500000E+00, 0.2152720E+00, 0.1542623E+00, 0.6095729E-02, 0.0000000E+00, 0.5491395E-01,
 0.6700000E+00, 0.2058751E+00, 0.1478364E+00, 0.4603285E-02, 0.0000000E+00, 0.5343546E-01,
 0.6900000E+00, 0.1972772E+00, 0.1419203E+00, 0.3440062E-02, 0.0000000E+00, 0.5191687E-01,
 0.7100000E+00, 0.1906930E+00, 0.1378306E+00, 0.2542543E-02, 0.0000000E+00, 0.5031988E-01,
 0.7300000E+00, 0.1867528E+00, 0.1362863E+00, 0.1857271E-02, 0.0000000E+00, 0.4860927E-01,
 0.7500000E+00, 0.1833205E+00, 0.1352195E+00, 0.1339693E-02, 0.0000000E+00, 0.4676126E-01,
 0.7700000E+00, 0.1829862E+00, 0.1372801E+00, 0.9531442E-03, 0.0000000E+00, 0.4475296E-01,
 0.7900000E+00, 0.1864322E+00, 0.1432041E+00, 0.6678413E-03, 0.0000000E+00, 0.4256024E-01,
 0.8100000E+00, 0.1905888E+00, 0.1500123E+00, 0.4599564E-03, 0.0000000E+00, 0.4011660E-01,
 0.8300000E+00, 0.1861859E+00, 0.1484289E+00, 0.3108146E-03, 0.0000000E+00, 0.3744615E-01,
 0.8500000E+00, 0.1729373E+00, 0.1379037E+00, 0.2053147E-03, 0.0000000E+00, 0.3482825E-01,
 0.8700000E+00, 0.1518111E+00, 0.1195468E+00, 0.1315618E-03, 0.0000000E+00, 0.3213276E-01,
 0.8900000E+00, 0.1875647E+00, 0.1589886E+00, 0.8170835E-04, 0.0000000E+00, 0.2849436E-01,
 0.9100000E+00, 0.3612662E+00, 0.3377885E+00, 0.4961394E-04, 0.0000000E+00, 0.2342809E-01,
 0.9300000E+00, 0.5612705E+00, 0.5430644E+00, 0.2945988E-04, 0.0000000E+00, 0.1817663E-01,
 0.9500000E+00, 0.5913371E+00, 0.5777831E+00, 0.1617436E-04, 0.0000000E+00, 0.1353778E-01,
 0.9700000E+00, 0.4609748E+00, 0.4529225E+00, 0.7004134E-05, 0.0000000E+00, 0.8045261E-02,
 0.9900000E+00, 0.3497595E+00, 0.3452605E+00, 0.1592912E-05, 0.0000000E+00, 0.4497492E-02,
