@LOG:ETA  vs r @
X,LOG:ETA
 0.1000000E-01,-0.9465435E+01
 0.3000000E-01,-0.9428994E+01
 0.5000000E-01,-0.9390552E+01
 0.7000000E-01,-0.9349952E+01
 0.9000000E-01,-0.9307400E+01
 0.1100000E+00,-0.9263480E+01
 0.1300000E+00,-0.9220014E+01
 0.1500000E+00,-0.9178320E+01
 0.1700000E+00,-0.9138398E+01
 0.1900000E+00,-0.9099635E+01
 0.2100000E+00,-0.9062412E+01
 0.2300000E+00,-0.9027631E+01
 0.2500000E+00,-0.8996140E+01
 0.2700000E+00,-0.8968702E+01
 0.2900000E+00,-0.8942142E+01
 0.3100000E+00,-0.8910933E+01
 0.3300000E+00,-0.8878175E+01
 0.3500000E+00,-0.8839561E+01
 0.3700000E+00,-0.8754517E+01
 0.3900000E+00,-0.8607420E+01
 0.4100000E+00,-0.8473272E+01
 0.4300000E+00,-0.8427219E+01
 0.4500000E+00,-0.8374679E+01
 0.4700000E+00,-0.8315899E+01
 0.4900000E+00,-0.8256495E+01
 0.5100000E+00,-0.8197530E+01
 0.5300000E+00,-0.8139006E+01
 0.5500000E+00,-0.8080858E+01
 0.5700000E+00,-0.8023099E+01
 0.5900000E+00,-0.7965656E+01
 0.6100000E+00,-0.7908408E+01
 0.6300000E+00,-0.7851333E+01
 0.6500000E+00,-0.7794281E+01
 0.6700000E+00,-0.7737151E+01
 0.6900000E+00,-0.7679800E+01
 0.7100000E+00,-0.7622040E+01
 0.7300000E+00,-0.7563660E+01
 0.7500000E+00,-0.7504308E+01
 0.7700000E+00,-0.7443563E+01
 0.7900000E+00,-0.7380842E+01
 0.8100000E+00,-0.7315346E+01
 0.8300000E+00,-0.7246084E+01
 0.8500000E+00,-0.7171351E+01
 0.8700000E+00,-0.7088525E+01
 0.8900000E+00,-0.6995776E+01
 0.9100000E+00,-0.6891938E+01
 0.9300000E+00,-0.6774418E+01
 0.9500000E+00,-0.6622344E+01
 0.9700000E+00,-0.6369304E+01
 0.9900000E+00,-0.5816792E+01
