@G,s,alpha vs r@
X,G,s,alpha
 0.0000000E+00, 0.1964752E+00, 0.0000000E+00, 0.0000000E+00,
 0.2000000E-01, 0.1657377E+00,-0.6970400E-01, 0.9358947E+00,
 0.4000000E-01, 0.7352528E-01,-0.2157768E+00, 0.1854202E+01,
 0.6000000E-01, 0.4875507E-01,-0.4047397E+00, 0.2456750E+01,
 0.8000000E-01, 0.4135792E-01,-0.5267066E+00, 0.2716645E+01,
 0.1000000E+00, 0.4085696E-01,-0.5162991E+00, 0.2757014E+01,
 0.1200000E+00, 0.4375102E-01,-0.3790693E+00, 0.2729063E+01,
 0.1400000E+00, 0.4717398E-01,-0.1996132E+00, 0.2735108E+01,
 0.1600000E+00, 0.4811881E-01,-0.5731593E-01, 0.2833164E+01,
 0.1800000E+00, 0.4649871E-01, 0.3749994E-01, 0.3004751E+01,
 0.2000000E+00, 0.4480785E-01, 0.1390857E+00, 0.3191338E+01,
 0.2200000E+00, 0.4344120E-01, 0.2654796E+00, 0.3390420E+01,
 0.2400000E+00, 0.4147125E-01, 0.3980431E+00, 0.3634700E+01,
 0.2600000E+00, 0.3890150E-01, 0.5361946E+00, 0.3932548E+01,
 0.2800000E+00, 0.3226130E-01, 0.5735047E+00, 0.4477771E+01,
 0.3000000E+00, 0.2404794E-01, 0.4231055E+00, 0.5263064E+01,
 0.3200000E+00, 0.2147460E-01, 0.3937693E+00, 0.5645634E+01,
 0.3400000E+00, 0.1762627E-01, 0.2208184E+00, 0.6269824E+01,
 0.3600000E+00, 0.8652639E-02,-0.1449626E+01, 0.8518076E+01,
 0.3800000E+00, 0.7492627E-02,-0.3081375E+01, 0.7930765E+01,
 0.4000000E+00, 0.1880605E-01,-0.1269847E+01, 0.4506035E+01,
 0.4200000E+00, 0.2466208E+01, 0.1530738E+01, 0.6245527E+00,
 0.4400000E+00, 0.2183776E+01, 0.2284875E+01, 0.6861662E+00,
 0.4600000E+00, 0.2181454E+01, 0.2320470E+01, 0.7148380E+00,
 0.4800000E+00, 0.2167152E+01, 0.2394052E+01, 0.7450601E+00,
 0.5000000E+00, 0.2153900E+01, 0.2466969E+01, 0.7766561E+00,
 0.5200000E+00, 0.2145361E+01, 0.2525863E+01, 0.8083236E+00,
 0.5400000E+00, 0.2136952E+01, 0.2585720E+01, 0.8408924E+00,
 0.5600000E+00, 0.2129342E+01, 0.2644577E+01, 0.8746383E+00,
 0.5800000E+00, 0.2121618E+01, 0.2705256E+01, 0.9094222E+00,
 0.6000000E+00, 0.2112639E+01, 0.2771913E+01, 0.9454416E+00,
 0.6200000E+00, 0.2101986E+01, 0.2846557E+01, 0.9829855E+00,
 0.6400000E+00, 0.2088825E+01, 0.2933230E+01, 0.1022652E+01,
 0.6600000E+00, 0.2073541E+01, 0.3031745E+01, 0.1064923E+01,
 0.6800000E+00, 0.2056420E+01, 0.3141681E+01, 0.1109657E+01,
 0.7000000E+00, 0.2038425E+01, 0.3260143E+01, 0.1157004E+01,
 0.7200000E+00, 0.2021837E+01, 0.3377772E+01, 0.1206647E+01,
 0.7400000E+00, 0.2005416E+01, 0.3499687E+01, 0.1258889E+01,
 0.7600000E+00, 0.1987783E+01, 0.3632499E+01, 0.1314172E+01,
 0.7800000E+00, 0.1966321E+01, 0.3789833E+01, 0.1373224E+01,
 0.8000000E+00, 0.1937029E+01, 0.3996168E+01, 0.1438190E+01,
 0.8200000E+00, 0.1917691E+01, 0.4162298E+01, 0.1506226E+01,
 0.8400000E+00, 0.1893538E+01, 0.4362675E+01, 0.1578550E+01,
 0.8600000E+00, 0.1784752E+01, 0.5129892E+01, 0.1685765E+01,
 0.8800000E+00, 0.1708299E+01, 0.5817639E+01, 0.1817426E+01,
 0.9000000E+00, 0.1900559E+01, 0.4600818E+01, 0.1854564E+01,
 0.9200000E+00, 0.2290179E+01, 0.2257059E+01, 0.1760600E+01,
 0.9400000E+00, 0.2509041E-02, 0.1757130E+01, 0.2502085E+02,
 0.9600000E+00, 0.2023192E+01, 0.3871001E+01, 0.1705521E+01,
 0.9800000E+00, 0.1665086E+01, 0.6073638E+01, 0.1720306E+01,
 0.1000000E+01, 0.1505565E+01, 0.7405616E+01, 0.1452438E+01,
