@LOG:AKE,AKI vs r @
X,LOG:AKE,AKI
 0.0000000E+00,-0.7751065E+00,-0.1673650E+00,
 0.2000000E-01,-0.7751065E+00,-0.1673650E+00,
 0.4000000E-01,-0.7547174E+00,-0.4678873E+00,
 0.6000000E-01,-0.7303100E+00,-0.5776097E+00,
 0.8000000E-01,-0.7005331E+00,-0.6145790E+00,
 0.1000000E+00,-0.6611056E+00,-0.6101736E+00,
 0.1200000E+00,-0.6121554E+00,-0.5798599E+00,
 0.1400000E+00,-0.5623883E+00,-0.5402154E+00,
 0.1600000E+00,-0.5226483E+00,-0.5060917E+00,
 0.1800000E+00,-0.4942640E+00,-0.4810912E+00,
 0.2000000E+00,-0.4680831E+00,-0.4572466E+00,
 0.2200000E+00,-0.4415193E+00,-0.4323594E+00,
 0.2400000E+00,-0.4180280E+00,-0.4100310E+00,
 0.2600000E+00,-0.3979086E+00,-0.3907199E+00,
 0.2800000E+00,-0.3996141E+00,-0.3926802E+00,
 0.3000000E+00,-0.4237941E+00,-0.4167621E+00,
 0.3200000E+00,-0.4232416E+00,-0.4165876E+00,
 0.3400000E+00,-0.4387411E+00,-0.4320482E+00,
 0.3600000E+00,-0.5354927E+00,-0.5275936E+00,
 0.3800000E+00,-0.5822374E+00,-0.5752129E+00,
 0.4000000E+00,-0.4906732E+00,-0.4858806E+00,
 0.4200000E+00, 0.3446338E+00, 0.3453537E+00,
 0.4400000E+00, 0.3391869E+00, 0.3399567E+00,
 0.4600000E+00, 0.3533920E+00, 0.3541754E+00,
 0.4800000E+00, 0.3658230E+00, 0.3666229E+00,
 0.5000000E+00, 0.3781326E+00, 0.3789510E+00,
 0.5200000E+00, 0.3904117E+00, 0.3911648E+00,
 0.5400000E+00, 0.4022352E+00, 0.4030066E+00,
 0.5600000E+00, 0.4141549E+00, 0.4149447E+00,
 0.5800000E+00, 0.4260921E+00, 0.4269002E+00,
 0.6000000E+00, 0.4379332E+00, 0.4387597E+00,
 0.6200000E+00, 0.4496822E+00, 0.4505275E+00,
 0.6400000E+00, 0.4614453E+00, 0.4623097E+00,
 0.6600000E+00, 0.4735177E+00, 0.4744011E+00,
 0.6800000E+00, 0.4857821E+00, 0.4866848E+00,
 0.7000000E+00, 0.4983231E+00, 0.4992453E+00,
 0.7200000E+00, 0.5113406E+00, 0.5122820E+00,
 0.7400000E+00, 0.5247862E+00, 0.5257463E+00,
 0.7600000E+00, 0.5384751E+00, 0.5394537E+00,
 0.7800000E+00, 0.5520279E+00, 0.5530257E+00,
 0.8000000E+00, 0.5650964E+00, 0.5661157E+00,
 0.8200000E+00, 0.5798061E+00, 0.5808456E+00,
 0.8400000E+00, 0.5943332E+00, 0.5953918E+00,
 0.8600000E+00, 0.6001855E+00, 0.6012890E+00,
 0.8800000E+00, 0.6116250E+00, 0.6127944E+00,
 0.9000000E+00, 0.6511670E+00, 0.6523281E+00,
 0.9200000E+00, 0.6946988E+00, 0.6957539E+00,
 0.9400000E+00,-0.5203280E+00,-0.5032699E+00,
 0.9600000E+00, 0.6723139E+00, 0.6736073E+00,
 0.9800000E+00, 0.7143123E+00, 0.7157794E+00,
