@TE [keV]  vs r@
X,TE_1,TE_2,TE_3,TE_4,TE_5,TE_6,TE_7,TE_8,TE_9,TE_10,TE_11,TE_12,TE_13,TE_14,TE_15,TE_16,TE_17,TE_18,TE_19,TE_20,TE_21,TE_22,TE_23,TE_24,TE_25,TE_26,TE_27,TE_28,TE_29,TE_30,TE_31,TE_32,TE_33,TE_34,TE_35,TE_36,TE_37,TE_38,TE_39,TE_40,TE_41,TE_42,TE_43,TE_44,TE_45,TE_46,TE_47,TE_48,TE_49,TE_50,TE_51,TE_52,TE_53,TE_54,TE_55,TE_56,TE_57,TE_58,TE_59,TE_60,TE_61,TE_62,TE_63,TE_64,TE_65,TE_66,TE_67,TE_68,TE_69,TE_70,TE_71,TE_72,TE_73,TE_74,TE_75,TE_76,TE_77,TE_78,TE_79,TE_80,TE_81,TE_82,TE_83,TE_84,TE_85,TE_86,TE_87,TE_88,TE_89,TE_90,TE_91,TE_92,TE_93,TE_94,TE_95,TE_96,TE_97,TE_98,TE_99,TE_100,TE_101,TE_102,TE_103
 0.1000000E-01, 0.9999100E+00, 0.1277582E+01, 0.1560111E+01, 0.1785586E+01, 0.1970671E+01, 0.2127768E+01, 0.2264683E+01, 0.2386221E+01, 0.2495441E+01, 0.2594501E+01, 0.2685066E+01, 0.2768471E+01, 0.2845812E+01, 0.2917995E+01, 0.2985768E+01, 0.3049748E+01, 0.3049748E+01, 0.9561162E+01, 0.1277827E+02, 0.1545698E+02, 0.1765079E+02, 0.1929363E+02, 0.2045417E+02, 0.2124105E+02, 0.2175990E+02, 0.2209602E+02, 0.2231142E+02, 0.2244855E+02, 0.2253550E+02, 0.2259051E+02, 0.2262526E+02, 0.2264719E+02, 0.2266102E+02, 0.2266974E+02, 0.2267524E+02, 0.2267871E+02, 0.2268089E+02, 0.2268089E+02, 0.2268227E+02, 0.2268314E+02, 0.2268369E+02, 0.2268403E+02, 0.2268425E+02, 0.2268438E+02, 0.2268447E+02, 0.2268452E+02, 0.2268456E+02, 0.2268458E+02, 0.2268460E+02, 0.2268460E+02, 0.2268461E+02, 0.2268461E+02, 0.2268461E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02, 0.2268462E+02,
 0.3000000E-01, 0.9991900E+00, 0.1296429E+01, 0.1575997E+01, 0.1798633E+01, 0.1981701E+01, 0.2137333E+01, 0.2273123E+01, 0.2393741E+01, 0.2502173E+01, 0.2600547E+01, 0.2690506E+01, 0.2773372E+01, 0.2850231E+01, 0.2921978E+01, 0.2989353E+01, 0.3052966E+01, 0.3052966E+01, 0.9325578E+01, 0.1253153E+02, 0.1520515E+02, 0.1739269E+02, 0.1903027E+02, 0.2018694E+02, 0.2097114E+02, 0.2148822E+02, 0.2182320E+02, 0.2203787E+02, 0.2217455E+02, 0.2226122E+02, 0.2231605E+02, 0.2235068E+02, 0.2237254E+02, 0.2238633E+02, 0.2239503E+02, 0.2240051E+02, 0.2240396E+02, 0.2240614E+02, 0.2240614E+02, 0.2240751E+02, 0.2240838E+02, 0.2240892E+02, 0.2240927E+02, 0.2240948E+02, 0.2240962E+02, 0.2240970E+02, 0.2240976E+02, 0.2240979E+02, 0.2240981E+02, 0.2240983E+02, 0.2240984E+02, 0.2240984E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02, 0.2240985E+02,
 0.5000000E-01, 0.9977500E+00, 0.1332742E+01, 0.1609486E+01, 0.1828777E+01, 0.2009264E+01, 0.2162938E+01, 0.2297174E+01, 0.2416473E+01, 0.2523739E+01, 0.2621061E+01, 0.2710066E+01, 0.2792063E+01, 0.2868127E+01, 0.2939142E+01, 0.3005839E+01, 0.3068817E+01, 0.3068817E+01, 0.8959167E+01, 0.1214357E+02, 0.1480805E+02, 0.1698514E+02, 0.1861382E+02, 0.1976376E+02, 0.2054318E+02, 0.2105704E+02, 0.2138991E+02, 0.2160322E+02, 0.2173903E+02, 0.2182515E+02, 0.2187964E+02, 0.2191405E+02, 0.2193578E+02, 0.2194948E+02, 0.2195812E+02, 0.2196357E+02, 0.2196700E+02, 0.2196916E+02, 0.2196916E+02, 0.2197053E+02, 0.2197139E+02, 0.2197193E+02, 0.2197227E+02, 0.2197248E+02, 0.2197262E+02, 0.2197271E+02, 0.2197276E+02, 0.2197279E+02, 0.2197282E+02, 0.2197283E+02, 0.2197284E+02, 0.2197284E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02, 0.2197285E+02,
 0.7000000E-01, 0.9955900E+00, 0.1373220E+01, 0.1648250E+01, 0.1864895E+01, 0.2043232E+01, 0.2195239E+01, 0.2328126E+01, 0.2446250E+01, 0.2552446E+01, 0.2648781E+01, 0.2736873E+01, 0.2818025E+01, 0.2893304E+01, 0.2963588E+01, 0.3029598E+01, 0.3091925E+01, 0.3091925E+01, 0.8473295E+01, 0.1162162E+02, 0.1427023E+02, 0.1643041E+02, 0.1804500E+02, 0.1918436E+02, 0.1995631E+02, 0.2046512E+02, 0.2079468E+02, 0.2100587E+02, 0.2114031E+02, 0.2122557E+02, 0.2127951E+02, 0.2131358E+02, 0.2133509E+02, 0.2134865E+02, 0.2135721E+02, 0.2136260E+02, 0.2136600E+02, 0.2136814E+02, 0.2136814E+02, 0.2136949E+02, 0.2137034E+02, 0.2137088E+02, 0.2137122E+02, 0.2137143E+02, 0.2137156E+02, 0.2137165E+02, 0.2137170E+02, 0.2137174E+02, 0.2137176E+02, 0.2137177E+02, 0.2137178E+02, 0.2137178E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02, 0.2137179E+02,
 0.9000000E-01, 0.9927100E+00, 0.1414441E+01, 0.1688980E+01, 0.1903520E+01, 0.2080024E+01, 0.2230592E+01, 0.2362295E+01, 0.2479350E+01, 0.2584538E+01, 0.2679921E+01, 0.2767115E+01, 0.2847425E+01, 0.2921914E+01, 0.2991455E+01, 0.3056763E+01, 0.3118414E+01, 0.3118414E+01, 0.7902771E+01, 0.1099634E+02, 0.1361979E+02, 0.1575504E+02, 0.1734952E+02, 0.1847406E+02, 0.1923564E+02, 0.1973748E+02, 0.2006249E+02, 0.2027073E+02, 0.2040331E+02, 0.2048738E+02, 0.2054057E+02, 0.2057417E+02, 0.2059538E+02, 0.2060876E+02, 0.2061719E+02, 0.2062251E+02, 0.2062586E+02, 0.2062797E+02, 0.2062797E+02, 0.2062930E+02, 0.2063014E+02, 0.2063067E+02, 0.2063101E+02, 0.2063122E+02, 0.2063135E+02, 0.2063143E+02, 0.2063148E+02, 0.2063152E+02, 0.2063154E+02, 0.2063155E+02, 0.2063156E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02, 0.2063157E+02,
 0.1100000E+00, 0.9891100E+00, 0.1451491E+01, 0.1727658E+01, 0.1940919E+01, 0.2116097E+01, 0.2265617E+01, 0.2396426E+01, 0.2512603E+01, 0.2616899E+01, 0.2711392E+01, 0.2797718E+01, 0.2877193E+01, 0.2950886E+01, 0.3019667E+01, 0.3084245E+01, 0.3145182E+01, 0.3145182E+01, 0.7311947E+01, 0.1033088E+02, 0.1291805E+02, 0.1501948E+02, 0.1658759E+02, 0.1769305E+02, 0.1844143E+02, 0.1893446E+02, 0.1925371E+02, 0.1945826E+02, 0.1958848E+02, 0.1967106E+02, 0.1972331E+02, 0.1975631E+02, 0.1977714E+02, 0.1979028E+02, 0.1979856E+02, 0.1980379E+02, 0.1980708E+02, 0.1980915E+02, 0.1980915E+02, 0.1981046E+02, 0.1981129E+02, 0.1981181E+02, 0.1981213E+02, 0.1981234E+02, 0.1981247E+02, 0.1981255E+02, 0.1981260E+02, 0.1981264E+02, 0.1981266E+02, 0.1981267E+02, 0.1981268E+02, 0.1981268E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02, 0.1981269E+02,
 0.1300000E+00, 0.9847900E+00, 0.1478879E+01, 0.1760767E+01, 0.1974261E+01, 0.2149069E+01, 0.2298294E+01, 0.2428752E+01, 0.2544393E+01, 0.2647995E+01, 0.2741705E+01, 0.2827210E+01, 0.2905859E+01, 0.2978739E+01, 0.3046724E+01, 0.3110518E+01, 0.3170656E+01, 0.3170656E+01, 0.6769730E+01, 0.9698694E+01, 0.1223920E+02, 0.1429898E+02, 0.1583544E+02, 0.1691835E+02, 0.1765126E+02, 0.1813400E+02, 0.1844656E+02, 0.1864681E+02, 0.1877430E+02, 0.1885514E+02, 0.1890628E+02, 0.1893859E+02, 0.1895899E+02, 0.1897185E+02, 0.1897996E+02, 0.1898507E+02, 0.1898830E+02, 0.1899033E+02, 0.1899033E+02, 0.1899161E+02, 0.1899242E+02, 0.1899293E+02, 0.1899325E+02, 0.1899345E+02, 0.1899358E+02, 0.1899366E+02, 0.1899371E+02, 0.1899374E+02, 0.1899376E+02, 0.1899377E+02, 0.1899378E+02, 0.1899378E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02, 0.1899379E+02,
 0.1500000E+00, 0.9797500E+00, 0.1490111E+01, 0.1785570E+01, 0.2002362E+01, 0.2178809E+01, 0.2329257E+01, 0.2460352E+01, 0.2576007E+01, 0.2679191E+01, 0.2772227E+01, 0.2856920E+01, 0.2934691E+01, 0.3006667E+01, 0.3073731E+01, 0.3136581E+01, 0.3195698E+01, 0.3195698E+01, 0.6309960E+01, 0.9140633E+01, 0.1162682E+02, 0.1363940E+02, 0.1514059E+02, 0.1619862E+02, 0.1691457E+02, 0.1738605E+02, 0.1769130E+02, 0.1788686E+02, 0.1801135E+02, 0.1809029E+02, 0.1814024E+02, 0.1817179E+02, 0.1819170E+02, 0.1820426E+02, 0.1821218E+02, 0.1821718E+02, 0.1822033E+02, 0.1822231E+02, 0.1822231E+02, 0.1822356E+02, 0.1822435E+02, 0.1822485E+02, 0.1822516E+02, 0.1822536E+02, 0.1822548E+02, 0.1822556E+02, 0.1822561E+02, 0.1822564E+02, 0.1822566E+02, 0.1822567E+02, 0.1822568E+02, 0.1822568E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02, 0.1822569E+02,
 0.1700000E+00, 0.9739900E+00, 0.1492315E+01, 0.1798267E+01, 0.2022452E+01, 0.2203915E+01, 0.2357880E+01, 0.2490837E+01, 0.2607096E+01, 0.2710132E+01, 0.2802590E+01, 0.2886464E+01, 0.2963291E+01, 0.3034247E+01, 0.3100230E+01, 0.3161916E+01, 0.3219655E+01, 0.3219655E+01, 0.5926555E+01, 0.8654434E+01, 0.1108045E+02, 0.1304167E+02, 0.1450494E+02, 0.1553637E+02, 0.1623423E+02, 0.1669375E+02, 0.1699122E+02, 0.1718179E+02, 0.1730310E+02, 0.1738003E+02, 0.1742870E+02, 0.1745945E+02, 0.1747885E+02, 0.1749109E+02, 0.1749881E+02, 0.1750368E+02, 0.1750674E+02, 0.1750868E+02, 0.1750868E+02, 0.1750990E+02, 0.1751066E+02, 0.1751115E+02, 0.1751145E+02, 0.1751164E+02, 0.1751176E+02, 0.1751184E+02, 0.1751189E+02, 0.1751192E+02, 0.1751194E+02, 0.1751195E+02, 0.1751196E+02, 0.1751196E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02, 0.1751197E+02,
 0.1900000E+00, 0.9675100E+00, 0.1486269E+01, 0.1795605E+01, 0.2030255E+01, 0.2219592E+01, 0.2377845E+01, 0.2512657E+01, 0.2629462E+01, 0.2732375E+01, 0.2824337E+01, 0.2907507E+01, 0.2983513E+01, 0.3053556E+01, 0.3118531E+01, 0.3179045E+01, 0.3235178E+01, 0.3235178E+01, 0.5601820E+01, 0.8223532E+01, 0.1058398E+02, 0.1249004E+02, 0.1391294E+02, 0.1491616E+02, 0.1559489E+02, 0.1604177E+02, 0.1633103E+02, 0.1651633E+02, 0.1663428E+02, 0.1670908E+02, 0.1675640E+02, 0.1678629E+02, 0.1680516E+02, 0.1681706E+02, 0.1682456E+02, 0.1682930E+02, 0.1683228E+02, 0.1683416E+02, 0.1683416E+02, 0.1683534E+02, 0.1683609E+02, 0.1683656E+02, 0.1683686E+02, 0.1683704E+02, 0.1683716E+02, 0.1683724E+02, 0.1683728E+02, 0.1683731E+02, 0.1683733E+02, 0.1683734E+02, 0.1683735E+02, 0.1683735E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02, 0.1683736E+02,
