@TD [keV]  vs r@
X,TD_1,TD_2,TD_3,TD_4,TD_5,TD_6,TD_7,TD_8,TD_9,TD_10,TD_11,TD_12,TD_13,TD_14,TD_15,TD_16,TD_17,TD_18,TD_19,TD_20,TD_21,TD_22,TD_23,TD_24,TD_25,TD_26,TD_27,TD_28,TD_29,TD_30,TD_31,TD_32,TD_33,TD_34,TD_35,TD_36,TD_37,TD_38,TD_39,TD_40,TD_41,TD_42,TD_43,TD_44,TD_45,TD_46,TD_47,TD_48,TD_49,TD_50,TD_51,TD_52,TD_53,TD_54,TD_55,TD_56,TD_57,TD_58,TD_59,TD_60,TD_61,TD_62,TD_63,TD_64,TD_65,TD_66,TD_67,TD_68,TD_69,TD_70,TD_71,TD_72,TD_73,TD_74,TD_75,TD_76,TD_77,TD_78,TD_79,TD_80,TD_81,TD_82,TD_83,TD_84,TD_85,TD_86,TD_87,TD_88,TD_89,TD_90,TD_91,TD_92,TD_93,TD_94,TD_95,TD_96,TD_97,TD_98,TD_99,TD_100,TD_101,TD_102,TD_103
 0.1000000E-01, 0.9999100E+00, 0.1280917E+01, 0.1567070E+01, 0.1794661E+01, 0.1981237E+01, 0.2139484E+01, 0.2277314E+01, 0.2399566E+01, 0.2509324E+01, 0.2608778E+01, 0.2699618E+01, 0.2783205E+01, 0.2860651E+01, 0.2932876E+01, 0.3000635E+01, 0.3064551E+01, 0.3064551E+01, 0.8757510E+01, 0.1160129E+02, 0.1393327E+02, 0.1578744E+02, 0.1713931E+02, 0.1807730E+02, 0.1870601E+02, 0.1911757E+02, 0.1938299E+02, 0.1955261E+02, 0.1966040E+02, 0.1972869E+02, 0.1977186E+02, 0.1979911E+02, 0.1981631E+02, 0.1982716E+02, 0.1983400E+02, 0.1983831E+02, 0.1984103E+02, 0.1984274E+02, 0.1984274E+02, 0.1984382E+02, 0.1984450E+02, 0.1984493E+02, 0.1984520E+02, 0.1984537E+02, 0.1984548E+02, 0.1984555E+02, 0.1984559E+02, 0.1984562E+02, 0.1984563E+02, 0.1984564E+02, 0.1984565E+02, 0.1984565E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02, 0.1984566E+02,
 0.3000000E-01, 0.9991900E+00, 0.1294837E+01, 0.1577699E+01, 0.1802794E+01, 0.1987768E+01, 0.2144935E+01, 0.2281986E+01, 0.2403636E+01, 0.2512907E+01, 0.2611955E+01, 0.2702454E+01, 0.2785749E+01, 0.2862942E+01, 0.2934945E+01, 0.3002508E+01, 0.3066248E+01, 0.3066248E+01, 0.8645607E+01, 0.1147894E+02, 0.1380225E+02, 0.1564713E+02, 0.1699126E+02, 0.1792347E+02, 0.1854812E+02, 0.1895696E+02, 0.1922060E+02, 0.1938906E+02, 0.1949612E+02, 0.1956393E+02, 0.1960681E+02, 0.1963388E+02, 0.1965096E+02, 0.1966173E+02, 0.1966852E+02, 0.1967280E+02, 0.1967550E+02, 0.1967720E+02, 0.1967720E+02, 0.1967828E+02, 0.1967895E+02, 0.1967938E+02, 0.1967965E+02, 0.1967982E+02, 0.1967992E+02, 0.1967999E+02, 0.1968003E+02, 0.1968006E+02, 0.1968007E+02, 0.1968009E+02, 0.1968009E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02, 0.1968010E+02,
 0.5000000E-01, 0.9977500E+00, 0.1325237E+01, 0.1604075E+01, 0.1825191E+01, 0.2007234E+01, 0.2162243E+01, 0.2297630E+01, 0.2417921E+01, 0.2526035E+01, 0.2624082E+01, 0.2713704E+01, 0.2796225E+01, 0.2872731E+01, 0.2944118E+01, 0.3011123E+01, 0.3074354E+01, 0.3074354E+01, 0.8354449E+01, 0.1116225E+02, 0.1346693E+02, 0.1529309E+02, 0.1662223E+02, 0.1754354E+02, 0.1816068E+02, 0.1856453E+02, 0.1882493E+02, 0.1899132E+02, 0.1909707E+02, 0.1916405E+02, 0.1920639E+02, 0.1923313E+02, 0.1925000E+02, 0.1926064E+02, 0.1926735E+02, 0.1927158E+02, 0.1927425E+02, 0.1927593E+02, 0.1927593E+02, 0.1927699E+02, 0.1927765E+02, 0.1927807E+02, 0.1927834E+02, 0.1927851E+02, 0.1927861E+02, 0.1927868E+02, 0.1927872E+02, 0.1927874E+02, 0.1927876E+02, 0.1927877E+02, 0.1927878E+02, 0.1927878E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02, 0.1927879E+02,
 0.7000000E-01, 0.9955900E+00, 0.1360526E+01, 0.1637022E+01, 0.1854979E+01, 0.2034473E+01, 0.2187501E+01, 0.2321287E+01, 0.2440198E+01, 0.2547080E+01, 0.2644011E+01, 0.2732619E+01, 0.2814217E+01, 0.2889878E+01, 0.2960489E+01, 0.3026776E+01, 0.3089332E+01, 0.3089332E+01, 0.7912345E+01, 0.1068204E+02, 0.1296055E+02, 0.1476026E+02, 0.1606831E+02, 0.1697431E+02, 0.1758093E+02, 0.1797781E+02, 0.1823369E+02, 0.1839719E+02, 0.1850110E+02, 0.1856692E+02, 0.1860853E+02, 0.1863481E+02, 0.1865138E+02, 0.1866184E+02, 0.1866843E+02, 0.1867259E+02, 0.1867521E+02, 0.1867686E+02, 0.1867686E+02, 0.1867790E+02, 0.1867856E+02, 0.1867897E+02, 0.1867923E+02, 0.1867940E+02, 0.1867950E+02, 0.1867956E+02, 0.1867961E+02, 0.1867963E+02, 0.1867965E+02, 0.1867966E+02, 0.1867966E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02, 0.1867967E+02,
 0.9000000E-01, 0.9927100E+00, 0.1396978E+01, 0.1672749E+01, 0.1888385E+01, 0.2065870E+01, 0.2217317E+01, 0.2349799E+01, 0.2467537E+01, 0.2573321E+01, 0.2669220E+01, 0.2756861E+01, 0.2837556E+01, 0.2912375E+01, 0.2982196E+01, 0.3047740E+01, 0.3109585E+01, 0.3109585E+01, 0.7371388E+01, 0.1009124E+02, 0.1233686E+02, 0.1410295E+02, 0.1538416E+02, 0.1627072E+02, 0.1686399E+02, 0.1725203E+02, 0.1750219E+02, 0.1766202E+02, 0.1776360E+02, 0.1782795E+02, 0.1786863E+02, 0.1789432E+02, 0.1791053E+02, 0.1792075E+02, 0.1792720E+02, 0.1793126E+02, 0.1793382E+02, 0.1793544E+02, 0.1793544E+02, 0.1793645E+02, 0.1793710E+02, 0.1793750E+02, 0.1793775E+02, 0.1793791E+02, 0.1793801E+02, 0.1793808E+02, 0.1793812E+02, 0.1793814E+02, 0.1793816E+02, 0.1793817E+02, 0.1793818E+02, 0.1793818E+02, 0.1793818E+02, 0.1793818E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02, 0.1793819E+02,
 0.1100000E+00, 0.9891100E+00, 0.1430884E+01, 0.1708254E+01, 0.1922578E+01, 0.2098719E+01, 0.2249111E+01, 0.2380693E+01, 0.2497544E+01, 0.2602424E+01, 0.2697422E+01, 0.2784182E+01, 0.2864030E+01, 0.2938041E+01, 0.3007091E+01, 0.3071894E+01, 0.3133011E+01, 0.3133011E+01, 0.6806354E+01, 0.9465976E+01, 0.1167297E+02, 0.1339943E+02, 0.1464910E+02, 0.1551284E+02, 0.1609047E+02, 0.1646816E+02, 0.1671161E+02, 0.1686715E+02, 0.1696600E+02, 0.1702862E+02, 0.1706821E+02, 0.1709321E+02, 0.1710899E+02, 0.1711894E+02, 0.1712521E+02, 0.1712917E+02, 0.1713166E+02, 0.1713323E+02, 0.1713323E+02, 0.1713422E+02, 0.1713484E+02, 0.1713524E+02, 0.1713548E+02, 0.1713564E+02, 0.1713574E+02, 0.1713580E+02, 0.1713584E+02, 0.1713587E+02, 0.1713588E+02, 0.1713589E+02, 0.1713590E+02, 0.1713590E+02, 0.1713590E+02, 0.1713590E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02, 0.1713591E+02,
 0.1300000E+00, 0.9847900E+00, 0.1457107E+01, 0.1740247E+01, 0.1954872E+01, 0.2130717E+01, 0.2280882E+01, 0.2412163E+01, 0.2528511E+01, 0.2632721E+01, 0.2726953E+01, 0.2812906E+01, 0.2891938E+01, 0.2965145E+01, 0.3033405E+01, 0.3097427E+01, 0.3157746E+01, 0.3157746E+01, 0.6289928E+01, 0.8881823E+01, 0.1104597E+02, 0.1272891E+02, 0.1394420E+02, 0.1478318E+02, 0.1534384E+02, 0.1571030E+02, 0.1594646E+02, 0.1609734E+02, 0.1619323E+02, 0.1625397E+02, 0.1629237E+02, 0.1631663E+02, 0.1633193E+02, 0.1634158E+02, 0.1634766E+02, 0.1635150E+02, 0.1635392E+02, 0.1635544E+02, 0.1635544E+02, 0.1635640E+02, 0.1635701E+02, 0.1635739E+02, 0.1635763E+02, 0.1635778E+02, 0.1635788E+02, 0.1635794E+02, 0.1635797E+02, 0.1635800E+02, 0.1635801E+02, 0.1635802E+02, 0.1635803E+02, 0.1635803E+02, 0.1635803E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02, 0.1635804E+02,
 0.1500000E+00, 0.9797500E+00, 0.1468799E+01, 0.1764974E+01, 0.1982908E+01, 0.2160457E+01, 0.2311882E+01, 0.2443808E+01, 0.2560172E+01, 0.2663965E+01, 0.2757526E+01, 0.2842670E+01, 0.2920830E+01, 0.2993137E+01, 0.3060480E+01, 0.3123559E+01, 0.3182851E+01, 0.3182851E+01, 0.5856480E+01, 0.8376088E+01, 0.1049435E+02, 0.1213180E+02, 0.1331159E+02, 0.1412512E+02, 0.1466837E+02, 0.1502330E+02, 0.1525200E+02, 0.1539809E+02, 0.1549092E+02, 0.1554973E+02, 0.1558691E+02, 0.1561039E+02, 0.1562521E+02, 0.1563455E+02, 0.1564044E+02, 0.1564415E+02, 0.1564650E+02, 0.1564797E+02, 0.1564797E+02, 0.1564890E+02, 0.1564949E+02, 0.1564986E+02, 0.1565009E+02, 0.1565024E+02, 0.1565033E+02, 0.1565039E+02, 0.1565042E+02, 0.1565045E+02, 0.1565046E+02, 0.1565047E+02, 0.1565048E+02, 0.1565048E+02, 0.1565048E+02, 0.1565048E+02, 0.1565048E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02, 0.1565049E+02,
 0.1700000E+00, 0.9739900E+00, 0.1470755E+01, 0.1777367E+01, 0.2002597E+01, 0.2185110E+01, 0.2339950E+01, 0.2473644E+01, 0.2590547E+01, 0.2694149E+01, 0.2787102E+01, 0.2871407E+01, 0.2948607E+01, 0.3019881E+01, 0.3086132E+01, 0.3148032E+01, 0.3205918E+01, 0.3205918E+01, 0.5500341E+01, 0.7943727E+01, 0.1001280E+02, 0.1160315E+02, 0.1274681E+02, 0.1353462E+02, 0.1406034E+02, 0.1440367E+02, 0.1462483E+02, 0.1476609E+02, 0.1485585E+02, 0.1491271E+02, 0.1494866E+02, 0.1497136E+02, 0.1498568E+02, 0.1499471E+02, 0.1500041E+02, 0.1500400E+02, 0.1500626E+02, 0.1500769E+02, 0.1500769E+02, 0.1500859E+02, 0.1500916E+02, 0.1500951E+02, 0.1500974E+02, 0.1500988E+02, 0.1500997E+02, 0.1501003E+02, 0.1501006E+02, 0.1501009E+02, 0.1501010E+02, 0.1501011E+02, 0.1501011E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02, 0.1501012E+02,
 0.1900000E+00, 0.9675100E+00, 0.1464360E+01, 0.1774825E+01, 0.2010514E+01, 0.2201004E+01, 0.2360261E+01, 0.2495877E+01, 0.2613344E+01, 0.2716806E+01, 0.2809220E+01, 0.2892762E+01, 0.2969069E+01, 0.3039343E+01, 0.3104483E+01, 0.3165077E+01, 0.3221141E+01, 0.3221141E+01, 0.5204188E+01, 0.7566671E+01, 0.9582161E+01, 0.1112335E+02, 0.1223004E+02, 0.1299177E+02, 0.1349977E+02, 0.1383140E+02, 0.1404497E+02, 0.1418136E+02, 0.1426802E+02, 0.1432292E+02, 0.1435762E+02, 0.1437953E+02, 0.1439336E+02, 0.1440208E+02, 0.1440758E+02, 0.1441105E+02, 0.1441323E+02, 0.1441461E+02, 0.1441461E+02, 0.1441548E+02, 0.1441602E+02, 0.1441637E+02, 0.1441659E+02, 0.1441672E+02, 0.1441681E+02, 0.1441686E+02, 0.1441690E+02, 0.1441692E+02, 0.1441693E+02, 0.1441694E+02, 0.1441695E+02, 0.1441695E+02, 0.1441695E+02, 0.1441695E+02, 0.1441695E+02, 0.1441695E+02, 0.1441695E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02, 0.1441696E+02,
