@TT [keV]  vs r@
X,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,TT_20,TT_21,TT_22,TT_23,TT_24,TT_25,TT_26,TT_27,TT_28,TT_29,TT_30,TT_31,TT_32,TT_33,TT_34,TT_35,TT_36,TT_37,TT_38,TT_39,TT_40,TT_41,TT_42,TT_43,TT_44,TT_45,TT_46,TT_47,TT_48,TT_49,TT_50,TT_51,TT_52,TT_53,TT_54,TT_55,TT_56,TT_57,TT_58,TT_59,TT_60,TT_61,TT_62,TT_63,TT_64,TT_65,TT_66,TT_67,TT_68,TT_69,TT_70,TT_71,TT_72,TT_73,TT_74,TT_75,TT_76,TT_77,TT_78,TT_79,TT_80,TT_81,TT_82,TT_83,TT_84,TT_85,TT_86,TT_87,TT_88,TT_89,TT_90,TT_91,TT_92,TT_93,TT_94,TT_95,TT_96,TT_97,TT_98,TT_99,TT_100,TT_101,TT_102,TT_103
 0.1000000E-01, 0.4999505E+01, 0.4986533E+01, 0.4987803E+01, 0.4993229E+01, 0.4999715E+01, 0.5006485E+01, 0.5013321E+01, 0.5020145E+01, 0.5026937E+01, 0.5033726E+01, 0.5040596E+01, 0.5047716E+01, 0.5055390E+01, 0.5064136E+01, 0.5074876E+01, 0.5089406E+01, 0.5089406E+01, 0.5111371E+01, 0.5147354E+01, 0.5204982E+01, 0.5287773E+01, 0.5394596E+01, 0.5522475E+01, 0.5668515E+01, 0.5830539E+01, 0.6007117E+01, 0.6197431E+01, 0.6401151E+01, 0.6618358E+01, 0.6849482E+01, 0.7095192E+01, 0.7356297E+01, 0.7633719E+01, 0.7928423E+01, 0.8241441E+01, 0.8573920E+01, 0.8927032E+01, 0.8927032E+01, 0.9302092E+01, 0.9700510E+01, 0.1012375E+02, 0.1057349E+02, 0.1105146E+02, 0.1155968E+02, 0.1210043E+02, 0.1267646E+02, 0.1329111E+02, 0.1394817E+02, 0.1465182E+02, 0.1540691E+02, 0.1621844E+02, 0.1708695E+02, 0.1799432E+02, 0.1890784E+02, 0.1980436E+02, 0.2068159E+02, 0.2154613E+02, 0.2240470E+02, 0.2326268E+02, 0.2412428E+02, 0.2499278E+02, 0.2587075E+02, 0.2676017E+02, 0.2766253E+02, 0.2857893E+02, 0.2951008E+02, 0.3045637E+02, 0.3141790E+02, 0.3239450E+02, 0.3338578E+02, 0.3439109E+02, 0.3540964E+02, 0.3644042E+02, 0.3748228E+02, 0.3853394E+02, 0.3959400E+02, 0.4066096E+02, 0.4173325E+02, 0.4280941E+02, 0.4388846E+02, 0.4496986E+02, 0.4605301E+02, 0.4713694E+02, 0.4822028E+02, 0.4930138E+02, 0.5037845E+02, 0.5144961E+02, 0.5251301E+02, 0.5356687E+02, 0.5460948E+02, 0.5563924E+02, 0.5665467E+02, 0.5765440E+02, 0.5863718E+02, 0.5960189E+02, 0.6054750E+02, 0.6147314E+02, 0.6237801E+02, 0.6326147E+02, 0.6412293E+02, 0.6496196E+02, 0.6577818E+02, 0.6657133E+02,
 0.3000000E-01, 0.4995545E+01, 0.4984700E+01, 0.4986048E+01, 0.4991498E+01, 0.4997984E+01, 0.5004737E+01, 0.5011543E+01, 0.5018329E+01, 0.5025082E+01, 0.5031836E+01, 0.5038686E+01, 0.5045814E+01, 0.5053546E+01, 0.5062434E+01, 0.5073470E+01, 0.5088598E+01, 0.5088598E+01, 0.5111765E+01, 0.5149928E+01, 0.5210577E+01, 0.5296425E+01, 0.5405693E+01, 0.5535268E+01, 0.5682389E+01, 0.5845053E+01, 0.6021960E+01, 0.6212383E+01, 0.6416056E+01, 0.6633107E+01, 0.6863997E+01, 0.7109411E+01, 0.7370165E+01, 0.7647187E+01, 0.7941438E+01, 0.8253954E+01, 0.8585884E+01, 0.8938396E+01, 0.8938396E+01, 0.9312816E+01, 0.9710547E+01, 0.1013306E+02, 0.1058203E+02, 0.1105920E+02, 0.1156658E+02, 0.1210648E+02, 0.1268164E+02, 0.1329544E+02, 0.1395167E+02, 0.1465452E+02, 0.1540883E+02, 0.1621958E+02, 0.1708672E+02, 0.1799097E+02, 0.1889954E+02, 0.1979051E+02, 0.2066267E+02, 0.2152274E+02, 0.2237728E+02, 0.2323155E+02, 0.2408970E+02, 0.2495495E+02, 0.2582981E+02, 0.2671625E+02, 0.2761572E+02, 0.2852931E+02, 0.2945770E+02, 0.3040128E+02, 0.3136013E+02, 0.3233409E+02, 0.3332274E+02, 0.3432545E+02, 0.3534140E+02, 0.3636959E+02, 0.3740888E+02, 0.3845798E+02, 0.3951548E+02, 0.4057988E+02, 0.4164963E+02, 0.4272328E+02, 0.4379987E+02, 0.4487886E+02, 0.4595965E+02, 0.4704125E+02, 0.4812229E+02, 0.4920110E+02, 0.5027588E+02, 0.5134476E+02, 0.5240589E+02, 0.5345749E+02, 0.5449784E+02, 0.5552536E+02, 0.5653857E+02, 0.5753610E+02, 0.5851670E+02, 0.5947925E+02, 0.6042274E+02, 0.6134628E+02, 0.6224910E+02, 0.6313054E+02, 0.6399002E+02, 0.6482710E+02, 0.6564141E+02, 0.6643270E+02,
 0.5000000E-01, 0.4987625E+01, 0.4979539E+01, 0.4981193E+01, 0.4986725E+01, 0.4993197E+01, 0.4999869E+01, 0.5006547E+01, 0.5013177E+01, 0.5019771E+01, 0.5026390E+01, 0.5033167E+01, 0.5040344E+01, 0.5048331E+01, 0.5057835E+01, 0.5070144E+01, 0.5087847E+01, 0.5087847E+01, 0.5116201E+01, 0.5163646E+01, 0.5236076E+01, 0.5332105E+01, 0.5448647E+01, 0.5583113E+01, 0.5733438E+01, 0.5898138E+01, 0.6076257E+01, 0.6267301E+01, 0.6471166E+01, 0.6688097E+01, 0.6918637E+01, 0.7163503E+01, 0.7423527E+01, 0.7699636E+01, 0.7992775E+01, 0.8303988E+01, 0.8634417E+01, 0.8985215E+01, 0.8985215E+01, 0.9357729E+01, 0.9753329E+01, 0.1017350E+02, 0.1061990E+02, 0.1109426E+02, 0.1159862E+02, 0.1213529E+02, 0.1270707E+02, 0.1331739E+02, 0.1396999E+02, 0.1466909E+02, 0.1541956E+02, 0.1622598E+02, 0.1708543E+02, 0.1797279E+02, 0.1885608E+02, 0.1972221E+02, 0.2057367E+02, 0.2141576E+02, 0.2225410E+02, 0.2309344E+02, 0.2393762E+02, 0.2478961E+02, 0.2565179E+02, 0.2652598E+02, 0.2741356E+02, 0.2831550E+02, 0.2923246E+02, 0.3016476E+02, 0.3111246E+02, 0.3207536E+02, 0.3305302E+02, 0.3404480E+02, 0.3504986E+02, 0.3606721E+02, 0.3709568E+02, 0.3813400E+02, 0.3918076E+02, 0.4023447E+02, 0.4129357E+02, 0.4235668E+02, 0.4342295E+02, 0.4449187E+02, 0.4556281E+02, 0.4663470E+02, 0.4770613E+02, 0.4877539E+02, 0.4984066E+02, 0.5090008E+02, 0.5195178E+02, 0.5299401E+02, 0.5402505E+02, 0.5504335E+02, 0.5604742E+02, 0.5703591E+02, 0.5800759E+02, 0.5896134E+02, 0.5989617E+02, 0.6081120E+02, 0.6170566E+02, 0.6257889E+02, 0.6343035E+02, 0.6425957E+02, 0.6506622E+02, 0.6585003E+02,
 0.7000000E-01, 0.4975745E+01, 0.4969892E+01, 0.4972010E+01, 0.4977608E+01, 0.4983959E+01, 0.4990377E+01, 0.4996711E+01, 0.5002954E+01, 0.5009176E+01, 0.5015510E+01, 0.5022186E+01, 0.5029600E+01, 0.5038398E+01, 0.5049709E+01, 0.5065709E+01, 0.5090914E+01, 0.5090914E+01, 0.5134281E+01, 0.5203254E+01, 0.5293533E+01, 0.5402382E+01, 0.5527939E+01, 0.5668657E+01, 0.5823292E+01, 0.5990930E+01, 0.6170999E+01, 0.6363264E+01, 0.6567808E+01, 0.6785017E+01, 0.7015522E+01, 0.7260065E+01, 0.7519490E+01, 0.7794709E+01, 0.8086632E+01, 0.8396317E+01, 0.8724868E+01, 0.9073424E+01, 0.9073424E+01, 0.9443351E+01, 0.9835941E+01, 0.1025272E+02, 0.1069525E+02, 0.1116531E+02, 0.1166485E+02, 0.1219625E+02, 0.1276235E+02, 0.1336656E+02, 0.1401243E+02, 0.1470408E+02, 0.1544609E+02, 0.1624115E+02, 0.1707521E+02, 0.1791206E+02, 0.1873677E+02, 0.1955394E+02, 0.2036465E+02, 0.2117152E+02, 0.2197829E+02, 0.2278862E+02, 0.2360564E+02, 0.2443189E+02, 0.2526940E+02, 0.2611975E+02, 0.2698413E+02, 0.2786338E+02, 0.2875802E+02, 0.2966830E+02, 0.3059421E+02, 0.3153550E+02, 0.3249168E+02, 0.3346209E+02, 0.3444588E+02, 0.3544205E+02, 0.3644942E+02, 0.3746671E+02, 0.3849253E+02, 0.3952539E+02, 0.4056376E+02, 0.4160640E+02, 0.4265266E+02, 0.4370209E+02, 0.4475394E+02, 0.4580706E+02, 0.4685991E+02, 0.4791072E+02, 0.4895764E+02, 0.4999880E+02, 0.5103236E+02, 0.5205657E+02, 0.5306975E+02, 0.5407035E+02, 0.5505692E+02, 0.5602813E+02, 0.5698278E+02, 0.5791977E+02, 0.5883812E+02, 0.5973697E+02, 0.6061556E+02, 0.6147326E+02, 0.6230953E+02, 0.6312392E+02, 0.6391609E+02, 0.6468578E+02,
 0.9000000E-01, 0.4959905E+01, 0.4954947E+01, 0.4957213E+01, 0.4962544E+01, 0.4968385E+01, 0.4974117E+01, 0.4979662E+01, 0.4985121E+01, 0.4990685E+01, 0.4996641E+01, 0.5003453E+01, 0.5011898E+01, 0.5023216E+01, 0.5039699E+01, 0.5066227E+01, 0.5113171E+01, 0.5113171E+01, 0.5187001E+01, 0.5278581E+01, 0.5385358E+01, 0.5506084E+01, 0.5640154E+01, 0.5786952E+01, 0.5945916E+01, 0.6116609E+01, 0.6298793E+01, 0.6492467E+01, 0.6697888E+01, 0.6915575E+01, 0.7146231E+01, 0.7390607E+01, 0.7649555E+01, 0.7923951E+01, 0.8214672E+01, 0.8522797E+01, 0.8849368E+01, 0.9195521E+01, 0.9195521E+01, 0.9562629E+01, 0.9951880E+01, 0.1036485E+02, 0.1080297E+02, 0.1126807E+02, 0.1176196E+02, 0.1228707E+02, 0.1284624E+02, 0.1344275E+02, 0.1407961E+02, 0.1476042E+02, 0.1548816E+02, 0.1625561E+02, 0.1701700E+02, 0.1775936E+02, 0.1850436E+02, 0.1925414E+02, 0.2000761E+02, 0.2076468E+02, 0.2152678E+02, 0.2229603E+02, 0.2307458E+02, 0.2386430E+02, 0.2466677E+02, 0.2548322E+02, 0.2631456E+02, 0.2716145E+02, 0.2802425E+02, 0.2890307E+02, 0.2979782E+02, 0.3070817E+02, 0.3163360E+02, 0.3257340E+02, 0.3352670E+02, 0.3449247E+02, 0.3546956E+02, 0.3645668E+02, 0.3745245E+02, 0.3845539E+02, 0.3946403E+02, 0.4047737E+02, 0.4149502E+02, 0.4251658E+02, 0.4354116E+02, 0.4456739E+02, 0.4559361E+02, 0.4661798E+02, 0.4763860E+02, 0.4865361E+02, 0.4966119E+02, 0.5065960E+02, 0.5164723E+02, 0.5262254E+02, 0.5358413E+02, 0.5453071E+02, 0.5546109E+02, 0.5637421E+02, 0.5726912E+02, 0.5814497E+02, 0.5900105E+02, 0.5983672E+02, 0.6065145E+02, 0.6144483E+02, 0.6221651E+02, 0.6296626E+02,
 0.1100000E+00, 0.4940105E+01, 0.4934647E+01, 0.4936128E+01, 0.4940344E+01, 0.4944814E+01, 0.4949039E+01, 0.4953125E+01, 0.4957386E+01, 0.4962250E+01, 0.4968307E+01, 0.4976617E+01, 0.4988924E+01, 0.5008159E+01, 0.5040315E+01, 0.5099461E+01, 0.5183467E+01, 0.5183467E+01, 0.5281961E+01, 0.5392527E+01, 0.5513778E+01, 0.5645501E+01, 0.5787796E+01, 0.5940680E+01, 0.6104093E+01, 0.6277989E+01, 0.6462423E+01, 0.6657617E+01, 0.6864000E+01, 0.7082231E+01, 0.7313062E+01, 0.7557239E+01, 0.7815618E+01, 0.8089011E+01, 0.8378278E+01, 0.8684517E+01, 0.9008671E+01, 0.9351916E+01, 0.9351916E+01, 0.9715584E+01, 0.1010075E+02, 0.1050907E+02, 0.1094175E+02, 0.1140070E+02, 0.1188759E+02, 0.1240477E+02, 0.1295523E+02, 0.1354172E+02, 0.1416618E+02, 0.1483028E+02, 0.1552830E+02, 0.1620122E+02, 0.1684061E+02, 0.1748974E+02, 0.1815251E+02, 0.1882944E+02, 0.1951849E+02, 0.2021811E+02, 0.2092805E+02, 0.2164902E+02, 0.2238214E+02, 0.2312859E+02, 0.2388941E+02, 0.2466544E+02, 0.2545732E+02, 0.2626544E+02, 0.2709001E+02, 0.2793100E+02, 0.2878820E+02, 0.2966121E+02, 0.3054945E+02, 0.3145218E+02, 0.3236851E+02, 0.3329741E+02, 0.3423770E+02, 0.3518813E+02, 0.3614731E+02, 0.3711381E+02, 0.3808625E+02, 0.3906397E+02, 0.4004691E+02, 0.4103463E+02, 0.4202600E+02, 0.4301945E+02, 0.4401315E+02, 0.4500517E+02, 0.4599361E+02, 0.4697661E+02, 0.4795238E+02, 0.4891924E+02, 0.4987561E+02, 0.5082000E+02, 0.5175106E+02, 0.5266753E+02, 0.5356827E+02, 0.5445225E+02, 0.5531856E+02, 0.5616638E+02, 0.5699500E+02, 0.5780382E+02, 0.5859234E+02, 0.5936014E+02, 0.6010690E+02, 0.6083239E+02,
 0.1300000E+00, 0.4916345E+01, 0.4909495E+01, 0.4909068E+01, 0.4910942E+01, 0.4912873E+01, 0.4914760E+01, 0.4917099E+01, 0.4920549E+01, 0.4925910E+01, 0.4934488E+01, 0.4949022E+01, 0.4974189E+01, 0.5020033E+01, 0.5099092E+01, 0.5196629E+01, 0.5307513E+01, 0.5307513E+01, 0.5428044E+01, 0.5556676E+01, 0.5692740E+01, 0.5836376E+01, 0.5987993E+01, 0.6147998E+01, 0.6316723E+01, 0.6494476E+01, 0.6681611E+01, 0.6878600E+01, 0.7086089E+01, 0.7304900E+01, 0.7535808E+01, 0.7779527E+01, 0.8036920E+01, 0.8308663E+01, 0.8595640E+01, 0.8898958E+01, 0.9219366E+01, 0.9558205E+01, 0.9558205E+01, 0.9916594E+01, 0.1029554E+02, 0.1069675E+02, 0.1112114E+02, 0.1157065E+02, 0.1204692E+02, 0.1255193E+02, 0.1308891E+02, 0.1365915E+02, 0.1426210E+02, 0.1488876E+02, 0.1545949E+02, 0.1599868E+02, 0.1655448E+02, 0.1712605E+02, 0.1771618E+02, 0.1832488E+02, 0.1895079E+02, 0.1959227E+02, 0.2024833E+02, 0.2091880E+02, 0.2160399E+02, 0.2230448E+02, 0.2302081E+02, 0.2375348E+02, 0.2450283E+02, 0.2526903E+02, 0.2605211E+02, 0.2685192E+02, 0.2766815E+02, 0.2850031E+02, 0.2934779E+02, 0.3020981E+02, 0.3108546E+02, 0.3197371E+02, 0.3287339E+02, 0.3378326E+02, 0.3470197E+02, 0.3562811E+02, 0.3656046E+02, 0.3749888E+02, 0.3844355E+02, 0.3939388E+02, 0.4034848E+02, 0.4130551E+02, 0.4226301E+02, 0.4321900E+02, 0.4417155E+02, 0.4511882E+02, 0.4605910E+02, 0.4699073E+02, 0.4791220E+02, 0.4882209E+02, 0.4971907E+02, 0.5060196E+02, 0.5146964E+02, 0.5232114E+02, 0.5315556E+02, 0.5397213E+02, 0.5477017E+02, 0.5554910E+02, 0.5630842E+02, 0.5704774E+02, 0.5776677E+02, 0.5846527E+02,
 0.1500000E+00, 0.4888625E+01, 0.4879894E+01, 0.4876438E+01, 0.4874698E+01, 0.4873442E+01, 0.4873340E+01, 0.4875310E+01, 0.4880394E+01, 0.4890176E+01, 0.4908816E+01, 0.4945127E+01, 0.5018123E+01, 0.5122381E+01, 0.5240011E+01, 0.5368343E+01, 0.5504260E+01, 0.5504260E+01, 0.5645699E+01, 0.5791756E+01, 0.5942301E+01, 0.6097703E+01, 0.6258589E+01, 0.6425654E+01, 0.6599554E+01, 0.6780921E+01, 0.6970412E+01, 0.7168768E+01, 0.7376881E+01, 0.7595732E+01, 0.7826015E+01, 0.8068419E+01, 0.8323784E+01, 0.8592563E+01, 0.8875809E+01, 0.9174507E+01, 0.9489162E+01, 0.9821500E+01, 0.9821500E+01, 0.1017196E+02, 0.1054189E+02, 0.1093253E+02, 0.1134481E+02, 0.1177999E+02, 0.1224035E+02, 0.1272638E+02, 0.1324065E+02, 0.1377831E+02, 0.1432523E+02, 0.1477573E+02, 0.1523413E+02, 0.1570879E+02, 0.1619999E+02, 0.1670894E+02, 0.1723729E+02, 0.1778564E+02, 0.1835361E+02, 0.1894008E+02, 0.1954400E+02, 0.2016477E+02, 0.2080225E+02, 0.2145653E+02, 0.2212781E+02, 0.2281627E+02, 0.2352201E+02, 0.2424502E+02, 0.2498517E+02, 0.2574220E+02, 0.2651570E+02, 0.2730515E+02, 0.2810988E+02, 0.2892910E+02, 0.2976189E+02, 0.3060723E+02, 0.3146397E+02, 0.3233088E+02, 0.3320666E+02, 0.3408993E+02, 0.3497977E+02, 0.3587664E+02, 0.3678088E+02, 0.3769162E+02, 0.3860714E+02, 0.3952535E+02, 0.4044418E+02, 0.4136160E+02, 0.4227571E+02, 0.4318472E+02, 0.4408696E+02, 0.4498084E+02, 0.4586492E+02, 0.4673782E+02, 0.4759830E+02, 0.4844521E+02, 0.4927748E+02, 0.5009418E+02, 0.5089446E+02, 0.5167758E+02, 0.5244287E+02, 0.5318979E+02, 0.5391787E+02, 0.5462674E+02, 0.5531610E+02, 0.5598573E+02,
 0.1700000E+00, 0.4856945E+01, 0.4845551E+01, 0.4837423E+01, 0.4831546E+01, 0.4828429E+01, 0.4829104E+01, 0.4834712E+01, 0.4847284E+01, 0.4871792E+01, 0.4932157E+01, 0.5043267E+01, 0.5172552E+01, 0.5313335E+01, 0.5460742E+01, 0.5612416E+01, 0.5766344E+01, 0.5766344E+01, 0.5922487E+01, 0.6080696E+01, 0.6241229E+01, 0.6404637E+01, 0.6571692E+01, 0.6743268E+01, 0.6920244E+01, 0.7103487E+01, 0.7293881E+01, 0.7492389E+01, 0.7700109E+01, 0.7918072E+01, 0.8146734E+01, 0.8386853E+01, 0.8639134E+01, 0.8903815E+01, 0.9182375E+01, 0.9475278E+01, 0.9783031E+01, 0.1010784E+02, 0.1010784E+02, 0.1044873E+02, 0.1080840E+02, 0.1118593E+02, 0.1158398E+02, 0.1200018E+02, 0.1243912E+02, 0.1289783E+02, 0.1336995E+02, 0.1379643E+02, 0.1414180E+02, 0.1453969E+02, 0.1494289E+02, 0.1536480E+02, 0.1580300E+02, 0.1625895E+02, 0.1673382E+02, 0.1722877E+02, 0.1774416E+02, 0.1827945E+02, 0.1883379E+02, 0.1940652E+02, 0.1999724E+02, 0.2060577E+02, 0.2123204E+02, 0.2187599E+02, 0.2253753E+02, 0.2321651E+02, 0.2391267E+02, 0.2462565E+02, 0.2535500E+02, 0.2610013E+02, 0.2686037E+02, 0.2763490E+02, 0.2842283E+02, 0.2922314E+02, 0.3003472E+02, 0.3085638E+02, 0.3168684E+02, 0.3252482E+02, 0.3336984E+02, 0.3422306E+02, 0.3508482E+02, 0.3595380E+02, 0.3682790E+02, 0.3770485E+02, 0.3858247E+02, 0.3945874E+02, 0.4033179E+02, 0.4119991E+02, 0.4206148E+02, 0.4291502E+02, 0.4375912E+02, 0.4459249E+02, 0.4541396E+02, 0.4622241E+02, 0.4701685E+02, 0.4779638E+02, 0.4856019E+02, 0.4930758E+02, 0.5003791E+02, 0.5075067E+02, 0.5144540E+02, 0.5212176E+02, 0.5277946E+02, 0.5341830E+02,
 0.1900000E+00, 0.4821305E+01, 0.4804367E+01, 0.4790149E+01, 0.4782496E+01, 0.4781980E+01, 0.4789266E+01, 0.4807260E+01, 0.4844528E+01, 0.4933564E+01, 0.5058737E+01, 0.5197727E+01, 0.5348299E+01, 0.5504149E+01, 0.5663502E+01, 0.5824727E+01, 0.5986624E+01, 0.5986624E+01, 0.6149294E+01, 0.6312917E+01, 0.6477902E+01, 0.6644875E+01, 0.6814656E+01, 0.6988182E+01, 0.7166418E+01, 0.7350336E+01, 0.7540937E+01, 0.7739310E+01, 0.7946674E+01, 0.8163937E+01, 0.8391285E+01, 0.8629686E+01, 0.8879512E+01, 0.9141029E+01, 0.9416198E+01, 0.9704518E+01, 0.1000718E+02, 0.1032627E+02, 0.1032627E+02, 0.1065940E+02, 0.1101138E+02, 0.1137717E+02, 0.1176331E+02, 0.1216072E+02, 0.1257228E+02, 0.1299262E+02, 0.1327112E+02, 0.1356894E+02, 0.1389815E+02, 0.1424201E+02, 0.1460119E+02, 0.1497729E+02, 0.1536960E+02, 0.1577892E+02, 0.1620625E+02, 0.1665314E+02, 0.1712040E+02, 0.1760792E+02, 0.1811517E+02, 0.1864154E+02, 0.1918657E+02, 0.1974990E+02, 0.2033129E+02, 0.2093052E+02, 0.2154734E+02, 0.2218148E+02, 0.2283260E+02, 0.2350026E+02, 0.2418397E+02, 0.2488313E+02, 0.2559702E+02, 0.2632487E+02, 0.2706578E+02, 0.2781878E+02, 0.2858279E+02, 0.2935668E+02, 0.3013921E+02, 0.3092921E+02, 0.3172693E+02, 0.3253426E+02, 0.3335123E+02, 0.3417596E+02, 0.3500597E+02, 0.3583880E+02, 0.3667226E+02, 0.3750438E+02, 0.3833333E+02, 0.3915751E+02, 0.3997537E+02, 0.4078552E+02, 0.4158665E+02, 0.4237753E+02, 0.4315705E+02, 0.4392418E+02, 0.4467796E+02, 0.4541755E+02, 0.4614218E+02, 0.4685118E+02, 0.4754397E+02, 0.4822005E+02, 0.4887899E+02, 0.4952045E+02, 0.5014419E+02, 0.5075000E+02,
