@TA [keV]  vs r@
X,TA_1,TA_2,TA_3,TA_4,TA_5,TA_6,TA_7,TA_8,TA_9,TA_10,TA_11,TA_12,TA_13,TA_14,TA_15,TA_16,TA_17,TA_18,TA_19,TA_20,TA_21,TA_22,TA_23,TA_24,TA_25,TA_26,TA_27,TA_28,TA_29,TA_30,TA_31,TA_32,TA_33,TA_34,TA_35,TA_36,TA_37,TA_38,TA_39,TA_40,TA_41,TA_42,TA_43,TA_44,TA_45,TA_46,TA_47,TA_48,TA_49,TA_50,TA_51,TA_52,TA_53,TA_54,TA_55,TA_56,TA_57,TA_58,TA_59,TA_60,TA_61,TA_62,TA_63,TA_64,TA_65,TA_66,TA_67,TA_68,TA_69,TA_70,TA_71,TA_72,TA_73,TA_74,TA_75,TA_76,TA_77,TA_78,TA_79,TA_80,TA_81,TA_82,TA_83,TA_84,TA_85,TA_86,TA_87,TA_88,TA_89,TA_90,TA_91,TA_92,TA_93,TA_94,TA_95,TA_96,TA_97,TA_98,TA_99,TA_100,TA_101,TA_102,TA_103
 0.1000000E-01, 0.9999100E+00, 0.1280815E+01, 0.1566918E+01, 0.1794485E+01, 0.1981047E+01, 0.2139285E+01, 0.2277109E+01, 0.2399358E+01, 0.2509114E+01, 0.2608567E+01, 0.2699409E+01, 0.2782999E+01, 0.2860449E+01, 0.2932678E+01, 0.3000441E+01, 0.3064363E+01, 0.3064363E+01, 0.8459356E+01, 0.1119456E+02, 0.1344656E+02, 0.1524901E+02, 0.1657222E+02, 0.1749575E+02, 0.1811770E+02, 0.1852629E+02, 0.1879047E+02, 0.1895959E+02, 0.1906721E+02, 0.1913543E+02, 0.1917858E+02, 0.1920583E+02, 0.1922304E+02, 0.1923388E+02, 0.1924073E+02, 0.1924504E+02, 0.1924776E+02, 0.1924947E+02, 0.1924947E+02, 0.1925055E+02, 0.1925123E+02, 0.1925166E+02, 0.1925193E+02, 0.1925210E+02, 0.1925221E+02, 0.1925228E+02, 0.1925232E+02, 0.1925235E+02, 0.1925237E+02, 0.1925237E+02, 0.1925238E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02, 0.1925239E+02,
 0.3000000E-01, 0.9991900E+00, 0.1294817E+01, 0.1577634E+01, 0.1802700E+01, 0.1987651E+01, 0.2144800E+01, 0.2281837E+01, 0.2403477E+01, 0.2512739E+01, 0.2611782E+01, 0.2702276E+01, 0.2785568E+01, 0.2862760E+01, 0.2934761E+01, 0.3002324E+01, 0.3066065E+01, 0.3066065E+01, 0.8364127E+01, 0.1109210E+02, 0.1333816E+02, 0.1513312E+02, 0.1644960E+02, 0.1736791E+02, 0.1798609E+02, 0.1839210E+02, 0.1865457E+02, 0.1882258E+02, 0.1892947E+02, 0.1899723E+02, 0.1904010E+02, 0.1906717E+02, 0.1908425E+02, 0.1909503E+02, 0.1910183E+02, 0.1910611E+02, 0.1910881E+02, 0.1911051E+02, 0.1911051E+02, 0.1911159E+02, 0.1911226E+02, 0.1911269E+02, 0.1911296E+02, 0.1911312E+02, 0.1911323E+02, 0.1911330E+02, 0.1911334E+02, 0.1911337E+02, 0.1911338E+02, 0.1911340E+02, 0.1911340E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02, 0.1911341E+02,
 0.5000000E-01, 0.9977500E+00, 0.1325299E+01, 0.1604114E+01, 0.1825210E+01, 0.2007236E+01, 0.2162231E+01, 0.2297606E+01, 0.2417886E+01, 0.2525992E+01, 0.2624031E+01, 0.2713647E+01, 0.2796163E+01, 0.2872665E+01, 0.2944048E+01, 0.3011052E+01, 0.3074280E+01, 0.3074280E+01, 0.8129518E+01, 0.1084676E+02, 0.1308473E+02, 0.1486793E+02, 0.1617357E+02, 0.1708333E+02, 0.1769531E+02, 0.1809706E+02, 0.1835670E+02, 0.1852287E+02, 0.1862858E+02, 0.1869559E+02, 0.1873798E+02, 0.1876475E+02, 0.1878164E+02, 0.1879230E+02, 0.1879902E+02, 0.1880325E+02, 0.1880592E+02, 0.1880761E+02, 0.1880761E+02, 0.1880867E+02, 0.1880934E+02, 0.1880976E+02, 0.1881002E+02, 0.1881019E+02, 0.1881030E+02, 0.1881036E+02, 0.1881040E+02, 0.1881043E+02, 0.1881045E+02, 0.1881046E+02, 0.1881046E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02, 0.1881047E+02,
 0.7000000E-01, 0.9955900E+00, 0.1360642E+01, 0.1637126E+01, 0.1855070E+01, 0.2034553E+01, 0.2187571E+01, 0.2321349E+01, 0.2440253E+01, 0.2547128E+01, 0.2644054E+01, 0.2732657E+01, 0.2814251E+01, 0.2889909E+01, 0.2960517E+01, 0.3026802E+01, 0.3089357E+01, 0.3089357E+01, 0.7760052E+01, 0.1046163E+02, 0.1268926E+02, 0.1445641E+02, 0.1574707E+02, 0.1664498E+02, 0.1724836E+02, 0.1764420E+02, 0.1789992E+02, 0.1806354E+02, 0.1816762E+02, 0.1823359E+02, 0.1827531E+02, 0.1830166E+02, 0.1831829E+02, 0.1832878E+02, 0.1833540E+02, 0.1833957E+02, 0.1834220E+02, 0.1834385E+02, 0.1834385E+02, 0.1834490E+02, 0.1834555E+02, 0.1834597E+02, 0.1834623E+02, 0.1834639E+02, 0.1834650E+02, 0.1834656E+02, 0.1834661E+02, 0.1834663E+02, 0.1834665E+02, 0.1834666E+02, 0.1834666E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834667E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02, 0.1834668E+02,
 0.9000000E-01, 0.9927100E+00, 0.1397141E+01, 0.1672901E+01, 0.1888527E+01, 0.2066004E+01, 0.2217442E+01, 0.2349917E+01, 0.2467650E+01, 0.2573428E+01, 0.2669323E+01, 0.2756961E+01, 0.2837652E+01, 0.2912469E+01, 0.2982288E+01, 0.3047831E+01, 0.3109675E+01, 0.3109675E+01, 0.7284801E+01, 0.9960883E+01, 0.1217333E+02, 0.1391862E+02, 0.1518945E+02, 0.1607189E+02, 0.1666414E+02, 0.1705238E+02, 0.1730307E+02, 0.1746343E+02, 0.1756542E+02, 0.1763006E+02, 0.1767094E+02, 0.1769676E+02, 0.1771305E+02, 0.1772333E+02, 0.1772981E+02, 0.1773389E+02, 0.1773647E+02, 0.1773809E+02, 0.1773809E+02, 0.1773912E+02, 0.1773976E+02, 0.1774017E+02, 0.1774042E+02, 0.1774059E+02, 0.1774069E+02, 0.1774075E+02, 0.1774079E+02, 0.1774082E+02, 0.1774083E+02, 0.1774084E+02, 0.1774085E+02, 0.1774085E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02, 0.1774086E+02,
 0.1100000E+00, 0.9891100E+00, 0.1431075E+01, 0.1708434E+01, 0.1922749E+01, 0.2098881E+01, 0.2249265E+01, 0.2380840E+01, 0.2497685E+01, 0.2602561E+01, 0.2697554E+01, 0.2784311E+01, 0.2864156E+01, 0.2938165E+01, 0.3007214E+01, 0.3072015E+01, 0.3133132E+01, 0.3133132E+01, 0.6765814E+01, 0.9402354E+01, 0.1159196E+02, 0.1330836E+02, 0.1455416E+02, 0.1541755E+02, 0.1599626E+02, 0.1637533E+02, 0.1661999E+02, 0.1677645E+02, 0.1687595E+02, 0.1693900E+02, 0.1697887E+02, 0.1700406E+02, 0.1701995E+02, 0.1702998E+02, 0.1703629E+02, 0.1704028E+02, 0.1704279E+02, 0.1704437E+02, 0.1704437E+02, 0.1704537E+02, 0.1704600E+02, 0.1704640E+02, 0.1704665E+02, 0.1704680E+02, 0.1704690E+02, 0.1704697E+02, 0.1704701E+02, 0.1704703E+02, 0.1704705E+02, 0.1704706E+02, 0.1704706E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02, 0.1704707E+02,
 0.1300000E+00, 0.9847900E+00, 0.1457310E+01, 0.1740437E+01, 0.1955052E+01, 0.2130887E+01, 0.2281043E+01, 0.2412316E+01, 0.2528658E+01, 0.2632863E+01, 0.2727091E+01, 0.2813040E+01, 0.2892070E+01, 0.2965274E+01, 0.3033533E+01, 0.3097554E+01, 0.3157872E+01, 0.3157872E+01, 0.6275377E+01, 0.8858230E+01, 0.1101636E+02, 0.1269726E+02, 0.1391366E+02, 0.1475518E+02, 0.1531858E+02, 0.1568735E+02, 0.1592526E+02, 0.1607737E+02, 0.1617409E+02, 0.1623537E+02, 0.1627413E+02, 0.1629860E+02, 0.1631405E+02, 0.1632379E+02, 0.1632994E+02, 0.1633381E+02, 0.1633625E+02, 0.1633779E+02, 0.1633779E+02, 0.1633876E+02, 0.1633937E+02, 0.1633975E+02, 0.1634000E+02, 0.1634015E+02, 0.1634024E+02, 0.1634031E+02, 0.1634034E+02, 0.1634037E+02, 0.1634038E+02, 0.1634039E+02, 0.1634040E+02, 0.1634040E+02, 0.1634040E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02, 0.1634041E+02,
 0.1500000E+00, 0.9797500E+00, 0.1468995E+01, 0.1765165E+01, 0.1983089E+01, 0.2160627E+01, 0.2312043E+01, 0.2443961E+01, 0.2560318E+01, 0.2664107E+01, 0.2757663E+01, 0.2842805E+01, 0.2920962E+01, 0.2993267E+01, 0.3060608E+01, 0.3123686E+01, 0.3182977E+01, 0.3182977E+01, 0.5854217E+01, 0.8372651E+01, 0.1049175E+02, 0.1213221E+02, 0.1331631E+02, 0.1413428E+02, 0.1468134E+02, 0.1503920E+02, 0.1526998E+02, 0.1541750E+02, 0.1551128E+02, 0.1557070E+02, 0.1560828E+02, 0.1563201E+02, 0.1564699E+02, 0.1565643E+02, 0.1566239E+02, 0.1566614E+02, 0.1566851E+02, 0.1567000E+02, 0.1567000E+02, 0.1567094E+02, 0.1567153E+02, 0.1567191E+02, 0.1567214E+02, 0.1567229E+02, 0.1567238E+02, 0.1567244E+02, 0.1567248E+02, 0.1567250E+02, 0.1567252E+02, 0.1567253E+02, 0.1567253E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02, 0.1567254E+02,
 0.1700000E+00, 0.9739900E+00, 0.1470951E+01, 0.1777561E+01, 0.2002782E+01, 0.2185285E+01, 0.2340117E+01, 0.2473806E+01, 0.2590703E+01, 0.2694301E+01, 0.2787251E+01, 0.2871552E+01, 0.2948750E+01, 0.3020022E+01, 0.3086271E+01, 0.3148171E+01, 0.3206056E+01, 0.3206056E+01, 0.5503014E+01, 0.7948964E+01, 0.1002246E+02, 0.1161860E+02, 0.1276837E+02, 0.1356167E+02, 0.1409178E+02, 0.1443835E+02, 0.1466177E+02, 0.1480456E+02, 0.1489532E+02, 0.1495283E+02, 0.1498919E+02, 0.1501215E+02, 0.1502665E+02, 0.1503579E+02, 0.1504155E+02, 0.1504518E+02, 0.1504747E+02, 0.1504891E+02, 0.1504891E+02, 0.1504982E+02, 0.1505040E+02, 0.1505076E+02, 0.1505099E+02, 0.1505113E+02, 0.1505122E+02, 0.1505128E+02, 0.1505131E+02, 0.1505134E+02, 0.1505135E+02, 0.1505136E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505137E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02, 0.1505138E+02,
 0.1900000E+00, 0.9675100E+00, 0.1464560E+01, 0.1775016E+01, 0.2010696E+01, 0.2201174E+01, 0.2360421E+01, 0.2496030E+01, 0.2613492E+01, 0.2716950E+01, 0.2809362E+01, 0.2892901E+01, 0.2969206E+01, 0.3039480E+01, 0.3104621E+01, 0.3165215E+01, 0.3221283E+01, 0.3221283E+01, 0.5208412E+01, 0.7574875E+01, 0.9596363E+01, 0.1114461E+02, 0.1225822E+02, 0.1302589E+02, 0.1353851E+02, 0.1387347E+02, 0.1408935E+02, 0.1422728E+02, 0.1431495E+02, 0.1437049E+02, 0.1440561E+02, 0.1442778E+02, 0.1444178E+02, 0.1445061E+02, 0.1445617E+02, 0.1445968E+02, 0.1446189E+02, 0.1446329E+02, 0.1446329E+02, 0.1446416E+02, 0.1446472E+02, 0.1446507E+02, 0.1446529E+02, 0.1446543E+02, 0.1446551E+02, 0.1446557E+02, 0.1446560E+02, 0.1446562E+02, 0.1446564E+02, 0.1446565E+02, 0.1446565E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02, 0.1446566E+02,
