@QP  vs r@
X,QP_1,QP_2,QP_3,QP_4,QP_5,QP_6,QP_7,QP_8,QP_9,QP_10,QP_11,QP_12,QP_13,QP_14,QP_15,QP_16,QP_17,QP_18,QP_19,QP_20,QP_21,QP_22,QP_23,QP_24,QP_25,QP_26,QP_27,QP_28,QP_29,QP_30,QP_31,QP_32,QP_33,QP_34,QP_35,QP_36,QP_37,QP_38,QP_39,QP_40,QP_41,QP_42,QP_43,QP_44,QP_45,QP_46,QP_47,QP_48,QP_49,QP_50,QP_51,QP_52,QP_53,QP_54,QP_55,QP_56,QP_57,QP_58,QP_59,QP_60,QP_61,QP_62,QP_63,QP_64,QP_65,QP_66,QP_67,QP_68,QP_69,QP_70,QP_71,QP_72,QP_73,QP_74,QP_75,QP_76,QP_77,QP_78,QP_79,QP_80,QP_81,QP_82,QP_83,QP_84,QP_85,QP_86,QP_87,QP_88,QP_89,QP_90,QP_91,QP_92,QP_93,QP_94,QP_95,QP_96,QP_97,QP_98,QP_99,QP_100,QP_101,QP_102,QP_103
 0.0000000E+00, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01, 0.1828669E+01,
 0.2000000E-01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01, 0.1793822E+01,
 0.4000000E-01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01, 0.1689279E+01,
 0.6000000E-01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01, 0.1545806E+01,
 0.8000000E-01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01, 0.1405479E+01,
 0.1000000E+00, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01, 0.1293959E+01,
 0.1200000E+00, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01, 0.1223654E+01,
 0.1400000E+00, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01, 0.1188756E+01,
 0.1600000E+00, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01, 0.1177523E+01,
 0.1800000E+00, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01, 0.1177275E+01,
