@EZ [V/m]  vs r@
X,EZ_1,EZ_2,EZ_3,EZ_4,EZ_5,EZ_6,EZ_7,EZ_8,EZ_9,EZ_10,EZ_11,EZ_12,EZ_13,EZ_14,EZ_15,EZ_16,EZ_17,EZ_18,EZ_19,EZ_20,EZ_21,EZ_22,EZ_23,EZ_24,EZ_25,EZ_26,EZ_27,EZ_28,EZ_29,EZ_30,EZ_31,EZ_32,EZ_33,EZ_34,EZ_35,EZ_36,EZ_37,EZ_38,EZ_39,EZ_40,EZ_41,EZ_42,EZ_43,EZ_44,EZ_45,EZ_46,EZ_47,EZ_48,EZ_49,EZ_50,EZ_51,EZ_52,EZ_53,EZ_54,EZ_55,EZ_56,EZ_57,EZ_58,EZ_59,EZ_60,EZ_61,EZ_62,EZ_63,EZ_64,EZ_65,EZ_66,EZ_67,EZ_68,EZ_69,EZ_70,EZ_71,EZ_72,EZ_73,EZ_74,EZ_75,EZ_76,EZ_77,EZ_78,EZ_79,EZ_80,EZ_81,EZ_82,EZ_83,EZ_84,EZ_85,EZ_86,EZ_87,EZ_88,EZ_89,EZ_90,EZ_91,EZ_92,EZ_93,EZ_94,EZ_95,EZ_96,EZ_97,EZ_98,EZ_99,EZ_100,EZ_101,EZ_102,EZ_103
 0.1000000E-01, 0.1519837E-01, 0.1071341E-01, 0.8053610E-02, 0.6642255E-02, 0.5770775E-02, 0.5173369E-02, 0.4733852E-02, 0.4394533E-02, 0.4123582E-02, 0.3901633E-02, 0.3716026E-02, 0.3558074E-02, 0.3421612E-02, 0.3302149E-02, 0.3196348E-02, 0.3101694E-02, 0.2998351E-02, 0.4005553E-03, 0.2180889E-03, 0.1406193E-03, 0.9926125E-04, 0.7592716E-04, 0.6217502E-04, 0.5382695E-04, 0.4866882E-04, 0.4544927E-04, 0.4342875E-04, 0.4215725E-04, 0.4135610E-04, 0.4085106E-04, 0.4053265E-04, 0.4033191E-04, 0.4020537E-04, 0.4012560E-04, 0.4007532E-04, 0.4004363E-04, 0.4002365E-04, 0.4002365E-04, 0.4001107E-04, 0.4000313E-04, 0.3999813E-04, 0.3999498E-04, 0.3999300E-04, 0.3999174E-04, 0.3999095E-04, 0.3999046E-04, 0.3999015E-04, 0.3998995E-04, 0.3998982E-04, 0.3998975E-04, 0.3998970E-04, 0.3998967E-04, 0.3998965E-04, 0.3998963E-04, 0.3998963E-04, 0.3998962E-04, 0.3998962E-04, 0.3998962E-04, 0.3998962E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04, 0.3998961E-04,
 0.3000000E-01, 0.1658682E-01, 0.1149361E-01, 0.8724071E-02, 0.7242550E-02, 0.6320341E-02, 0.5684580E-02, 0.5214971E-02, 0.4851358E-02, 0.4560337E-02, 0.4321489E-02, 0.4121412E-02, 0.3950892E-02, 0.3803375E-02, 0.3674079E-02, 0.3559446E-02, 0.3456787E-02, 0.3365030E-02, 0.3949826E-03, 0.1965738E-03, 0.1170009E-03, 0.7536291E-04, 0.5211365E-04, 0.3847194E-04, 0.3019015E-04, 0.2506161E-04, 0.2185167E-04, 0.1983206E-04, 0.1855853E-04, 0.1775488E-04, 0.1724772E-04, 0.1692772E-04, 0.1672588E-04, 0.1659860E-04, 0.1651835E-04, 0.1646776E-04, 0.1643587E-04, 0.1641577E-04, 0.1641577E-04, 0.1640310E-04, 0.1639512E-04, 0.1639009E-04, 0.1638692E-04, 0.1638492E-04, 0.1638366E-04, 0.1638286E-04, 0.1638236E-04, 0.1638205E-04, 0.1638185E-04, 0.1638172E-04, 0.1638165E-04, 0.1638160E-04, 0.1638156E-04, 0.1638154E-04, 0.1638153E-04, 0.1638152E-04, 0.1638152E-04, 0.1638152E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04, 0.1638151E-04,
 0.5000000E-01, 0.1912936E-01, 0.1280987E-01, 0.9861766E-02, 0.8267863E-02, 0.7264121E-02, 0.6565962E-02, 0.6046816E-02, 0.5642849E-02, 0.5318269E-02, 0.5050999E-02, 0.4826466E-02, 0.4634609E-02, 0.4468244E-02, 0.4322119E-02, 0.4192314E-02, 0.4075866E-02, 0.4003249E-02, 0.5270574E-03, 0.2765037E-03, 0.1750764E-03, 0.1215065E-03, 0.9136383E-04, 0.7357595E-04, 0.6273867E-04, 0.5601477E-04, 0.5180258E-04, 0.4915157E-04, 0.4747986E-04, 0.4642504E-04, 0.4575945E-04, 0.4533957E-04, 0.4507474E-04, 0.4490775E-04, 0.4480247E-04, 0.4473610E-04, 0.4469427E-04, 0.4466790E-04, 0.4466790E-04, 0.4465129E-04, 0.4464082E-04, 0.4463421E-04, 0.4463005E-04, 0.4462744E-04, 0.4462578E-04, 0.4462474E-04, 0.4462408E-04, 0.4462367E-04, 0.4462341E-04, 0.4462324E-04, 0.4462314E-04, 0.4462308E-04, 0.4462304E-04, 0.4462301E-04, 0.4462299E-04, 0.4462298E-04, 0.4462298E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462297E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04, 0.4462296E-04,
 0.7000000E-01, 0.2238964E-01, 0.1445574E-01, 0.1128479E-01, 0.9552779E-02, 0.8449298E-02, 0.7674598E-02, 0.7094440E-02, 0.6640606E-02, 0.6274442E-02, 0.5971874E-02, 0.5716909E-02, 0.5498450E-02, 0.5308550E-02, 0.5141379E-02, 0.4992581E-02, 0.4858852E-02, 0.4807760E-02, 0.7677207E-03, 0.4202118E-03, 0.2771650E-03, 0.2015187E-03, 0.1589998E-03, 0.1339564E-03, 0.1187396E-03, 0.1093256E-03, 0.1034436E-03, 0.9974972E-04, 0.9742431E-04, 0.9595887E-04, 0.9503502E-04, 0.9445258E-04, 0.9408539E-04, 0.9385392E-04, 0.9370802E-04, 0.9361606E-04, 0.9355810E-04, 0.9352156E-04, 0.9352156E-04, 0.9349854E-04, 0.9348404E-04, 0.9347489E-04, 0.9346913E-04, 0.9346550E-04, 0.9346321E-04, 0.9346176E-04, 0.9346085E-04, 0.9346029E-04, 0.9345992E-04, 0.9345970E-04, 0.9345955E-04, 0.9345946E-04, 0.9345941E-04, 0.9345937E-04, 0.9345935E-04, 0.9345933E-04, 0.9345933E-04, 0.9345932E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04, 0.9345931E-04,
 0.9000000E-01, 0.2549819E-01, 0.1588813E-01, 0.1255479E-01, 0.1071954E-01, 0.9537403E-02, 0.8699913E-02, 0.8068413E-02, 0.7571951E-02, 0.7169855E-02, 0.6836524E-02, 0.6554841E-02, 0.6312879E-02, 0.6102069E-02, 0.5916108E-02, 0.5750280E-02, 0.5601009E-02, 0.5569183E-02, 0.1090643E-02, 0.6059498E-03, 0.4053946E-03, 0.3004470E-03, 0.2419395E-03, 0.2076914E-03, 0.1869894E-03, 0.1742365E-03, 0.1662952E-03, 0.1613209E-03, 0.1581953E-03, 0.1562283E-03, 0.1549895E-03, 0.1542089E-03, 0.1537170E-03, 0.1534071E-03, 0.1532117E-03, 0.1530886E-03, 0.1530110E-03, 0.1529621E-03, 0.1529621E-03, 0.1529313E-03, 0.1529119E-03, 0.1528997E-03, 0.1528919E-03, 0.1528871E-03, 0.1528840E-03, 0.1528821E-03, 0.1528809E-03, 0.1528801E-03, 0.1528796E-03, 0.1528793E-03, 0.1528791E-03, 0.1528790E-03, 0.1528789E-03, 0.1528789E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03, 0.1528788E-03,
 0.1100000E+00, 0.2755567E-01, 0.1664664E-01, 0.1327065E-01, 0.1140878E-01, 0.1019908E-01, 0.9335306E-02, 0.8680203E-02, 0.8163163E-02, 0.7743174E-02, 0.7394150E-02, 0.7098551E-02, 0.6844119E-02, 0.6622028E-02, 0.6425785E-02, 0.6250523E-02, 0.6092565E-02, 0.6075057E-02, 0.1435608E-02, 0.7948264E-03, 0.5306258E-03, 0.3946368E-03, 0.3196338E-03, 0.2760444E-03, 0.2498360E-03, 0.2337553E-03, 0.2237713E-03, 0.2175310E-03, 0.2136161E-03, 0.2111549E-03, 0.2096060E-03, 0.2086306E-03, 0.2080162E-03, 0.2076290E-03, 0.2073851E-03, 0.2072314E-03, 0.2071345E-03, 0.2070735E-03, 0.2070735E-03, 0.2070350E-03, 0.2070107E-03, 0.2069955E-03, 0.2069858E-03, 0.2069798E-03, 0.2069759E-03, 0.2069735E-03, 0.2069720E-03, 0.2069711E-03, 0.2069704E-03, 0.2069701E-03, 0.2069698E-03, 0.2069697E-03, 0.2069696E-03, 0.2069695E-03, 0.2069695E-03, 0.2069695E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03, 0.2069694E-03,
 0.1300000E+00, 0.2851463E-01, 0.1683058E-01, 0.1346681E-01, 0.1163187E-01, 0.1043436E-01, 0.9574384E-02, 0.8919589E-02, 0.8401704E-02, 0.7980430E-02, 0.7629869E-02, 0.7332568E-02, 0.7076322E-02, 0.6852348E-02, 0.6654195E-02, 0.6477035E-02, 0.6317241E-02, 0.6308749E-02, 0.1757875E-02, 0.9636214E-03, 0.6377432E-03, 0.4728814E-03, 0.3828885E-03, 0.3309290E-03, 0.2998319E-03, 0.2808148E-03, 0.2690358E-03, 0.2616859E-03, 0.2570804E-03, 0.2541874E-03, 0.2523678E-03, 0.2512224E-03, 0.2505010E-03, 0.2500466E-03, 0.2497603E-03, 0.2495799E-03, 0.2494662E-03, 0.2493945E-03, 0.2493945E-03, 0.2493494E-03, 0.2493209E-03, 0.2493030E-03, 0.2492917E-03, 0.2492846E-03, 0.2492801E-03, 0.2492773E-03, 0.2492755E-03, 0.2492744E-03, 0.2492737E-03, 0.2492732E-03, 0.2492729E-03, 0.2492727E-03, 0.2492726E-03, 0.2492726E-03, 0.2492725E-03, 0.2492725E-03, 0.2492725E-03, 0.2492725E-03, 0.2492725E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03, 0.2492724E-03,
 0.1500000E+00, 0.2896958E-01, 0.1692104E-01, 0.1346682E-01, 0.1165183E-01, 0.1047084E-01, 0.9620834E-02, 0.8973408E-02, 0.8462020E-02, 0.8046500E-02, 0.7700888E-02, 0.7407763E-02, 0.7154999E-02, 0.6933924E-02, 0.6738205E-02, 0.6563128E-02, 0.6405215E-02, 0.6401584E-02, 0.2054275E-02, 0.1116031E-02, 0.7317869E-03, 0.5403232E-03, 0.4366943E-03, 0.3771780E-03, 0.3416904E-03, 0.3200459E-03, 0.3066649E-03, 0.2983267E-03, 0.2931067E-03, 0.2898300E-03, 0.2877699E-03, 0.2864735E-03, 0.2856572E-03, 0.2851430E-03, 0.2848190E-03, 0.2846149E-03, 0.2844863E-03, 0.2844053E-03, 0.2844053E-03, 0.2843542E-03, 0.2843220E-03, 0.2843018E-03, 0.2842890E-03, 0.2842809E-03, 0.2842759E-03, 0.2842727E-03, 0.2842706E-03, 0.2842694E-03, 0.2842685E-03, 0.2842681E-03, 0.2842677E-03, 0.2842675E-03, 0.2842674E-03, 0.2842673E-03, 0.2842673E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03, 0.2842672E-03,
 0.1700000E+00, 0.2968218E-01, 0.1726833E-01, 0.1366338E-01, 0.1179740E-01, 0.1059391E-01, 0.9731042E-02, 0.9078510E-02, 0.8566717E-02, 0.8152841E-02, 0.7809582E-02, 0.7518916E-02, 0.7268452E-02, 0.7049446E-02, 0.6855601E-02, 0.6682275E-02, 0.6526239E-02, 0.6524870E-02, 0.2370004E-02, 0.1282299E-02, 0.8355540E-03, 0.6156290E-03, 0.4973503E-03, 0.4296942E-03, 0.3894736E-03, 0.3649971E-03, 0.3498901E-03, 0.3404875E-03, 0.3346062E-03, 0.3309165E-03, 0.3285976E-03, 0.3271388E-03, 0.3262203E-03, 0.3256419E-03, 0.3252775E-03, 0.3250479E-03, 0.3249033E-03, 0.3248121E-03, 0.3248121E-03, 0.3247547E-03, 0.3247185E-03, 0.3246957E-03, 0.3246813E-03, 0.3246722E-03, 0.3246665E-03, 0.3246629E-03, 0.3246607E-03, 0.3246592E-03, 0.3246583E-03, 0.3246577E-03, 0.3246574E-03, 0.3246572E-03, 0.3246570E-03, 0.3246569E-03, 0.3246569E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03, 0.3246568E-03,
 0.1900000E+00, 0.3040529E-01, 0.1770756E-01, 0.1398478E-01, 0.1200892E-01, 0.1075214E-01, 0.9865629E-02, 0.9203073E-02, 0.8687323E-02, 0.8272017E-02, 0.7928416E-02, 0.7637862E-02, 0.7387656E-02, 0.7168948E-02, 0.6975427E-02, 0.6802422E-02, 0.6646796E-02, 0.6646340E-02, 0.2685946E-02, 0.1453073E-02, 0.9430829E-03, 0.6943953E-03, 0.5612516E-03, 0.4853191E-03, 0.4402850E-03, 0.4129296E-03, 0.3960694E-03, 0.3855864E-03, 0.3790340E-03, 0.3749254E-03, 0.3723441E-03, 0.3707205E-03, 0.3696985E-03, 0.3690549E-03, 0.3686495E-03, 0.3683941E-03, 0.3682332E-03, 0.3681318E-03, 0.3681318E-03, 0.3680679E-03, 0.3680276E-03, 0.3680022E-03, 0.3679863E-03, 0.3679762E-03, 0.3679698E-03, 0.3679658E-03, 0.3679633E-03, 0.3679617E-03, 0.3679607E-03, 0.3679601E-03, 0.3679597E-03, 0.3679594E-03, 0.3679593E-03, 0.3679592E-03, 0.3679591E-03, 0.3679591E-03, 0.3679591E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03, 0.3679590E-03,
