@AJOH [MA/m^2]  vs r@
X,AJOH_1,AJOH_2,AJOH_3,AJOH_4,AJOH_5,AJOH_6,AJOH_7,AJOH_8,AJOH_9,AJOH_10,AJOH_11,AJOH_12,AJOH_13,AJOH_14,AJOH_15,AJOH_16,AJOH_17,AJOH_18,AJOH_19,AJOH_20,AJOH_21,AJOH_22,AJOH_23,AJOH_24,AJOH_25,AJOH_26,AJOH_27,AJOH_28,AJOH_29,AJOH_30,AJOH_31,AJOH_32,AJOH_33,AJOH_34,AJOH_35,AJOH_36,AJOH_37,AJOH_38,AJOH_39,AJOH_40,AJOH_41,AJOH_42,AJOH_43,AJOH_44,AJOH_45,AJOH_46,AJOH_47,AJOH_48,AJOH_49,AJOH_50,AJOH_51,AJOH_52,AJOH_53,AJOH_54,AJOH_55,AJOH_56,AJOH_57,AJOH_58,AJOH_59,AJOH_60,AJOH_61,AJOH_62,AJOH_63,AJOH_64,AJOH_65,AJOH_66,AJOH_67,AJOH_68,AJOH_69,AJOH_70,AJOH_71,AJOH_72,AJOH_73,AJOH_74,AJOH_75,AJOH_76,AJOH_77,AJOH_78,AJOH_79,AJOH_80,AJOH_81,AJOH_82,AJOH_83,AJOH_84,AJOH_85,AJOH_86,AJOH_87,AJOH_88,AJOH_89,AJOH_90,AJOH_91,AJOH_92,AJOH_93,AJOH_94,AJOH_95,AJOH_96,AJOH_97,AJOH_98,AJOH_99,AJOH_100,AJOH_101,AJOH_102,AJOH_103
 0.1000000E-01, 0.5498202E+00, 0.5498045E+00, 0.5497957E+00, 0.5498008E+00, 0.5498003E+00, 0.5497932E+00, 0.5497808E+00, 0.5497647E+00, 0.5497465E+00, 0.5497282E+00, 0.5497122E+00, 0.5497018E+00, 0.5497018E+00, 0.5497203E+00, 0.5497712E+00, 0.5498835E+00, 0.5498835E+00, 0.5501169E+00, 0.5505835E+00, 0.5515443E+00, 0.5532970E+00, 0.5554187E+00, 0.5573303E+00, 0.5588902E+00, 0.5601695E+00, 0.5612580E+00, 0.5622208E+00, 0.5631006E+00, 0.5639277E+00, 0.5647237E+00, 0.5654987E+00, 0.5662510E+00, 0.5669708E+00, 0.5676357E+00, 0.5682197E+00, 0.5686927E+00, 0.5690110E+00, 0.5690110E+00, 0.5691335E+00, 0.5690045E+00, 0.5685588E+00, 0.5677305E+00, 0.5664393E+00, 0.5646136E+00, 0.5621912E+00, 0.5591399E+00, 0.5554820E+00, 0.5512660E+00, 0.5466102E+00, 0.5418100E+00, 0.5372024E+00, 0.5328885E+00, 0.5282951E+00, 0.5211883E+00, 0.5033154E+00, 0.4735991E+00, 0.4443768E+00, 0.4199498E+00, 0.3995239E+00, 0.3820201E+00, 0.3667009E+00, 0.3530771E+00, 0.3408096E+00, 0.3296525E+00, 0.3194202E+00, 0.3099682E+00, 0.3011818E+00, 0.2929679E+00, 0.2852503E+00, 0.2779657E+00, 0.2710612E+00, 0.2644925E+00, 0.2582219E+00, 0.2522179E+00, 0.2464533E+00, 0.2409053E+00, 0.2355544E+00, 0.2303856E+00, 0.2254036E+00, 0.2206411E+00, 0.2161163E+00, 0.2118101E+00, 0.2076824E+00, 0.2036935E+00, 0.1998126E+00, 0.1960191E+00, 0.1923011E+00, 0.1886526E+00, 0.1850714E+00, 0.1815578E+00, 0.1781134E+00, 0.1747405E+00, 0.1714416E+00, 0.1682193E+00, 0.1650759E+00, 0.1620136E+00, 0.1590340E+00, 0.1561386E+00, 0.1533284E+00, 0.1506042E+00, 0.1479665E+00, 0.1454152E+00, 0.1429502E+00,
 0.3000000E-01, 0.5920060E+00, 0.5923944E+00, 0.5925016E+00, 0.5925557E+00, 0.5925643E+00, 0.5925381E+00, 0.5924859E+00, 0.5924158E+00, 0.5923366E+00, 0.5922584E+00, 0.5921939E+00, 0.5921615E+00, 0.5921884E+00, 0.5923181E+00, 0.5926304E+00, 0.5932902E+00, 0.5932902E+00, 0.5946594E+00, 0.5977441E+00, 0.6042204E+00, 0.6120433E+00, 0.6188574E+00, 0.6242540E+00, 0.6285378E+00, 0.6320679E+00, 0.6351035E+00, 0.6378117E+00, 0.6403009E+00, 0.6426471E+00, 0.6449026E+00, 0.6470857E+00, 0.6491871E+00, 0.6511769E+00, 0.6529941E+00, 0.6545774E+00, 0.6558511E+00, 0.6567106E+00, 0.6567106E+00, 0.6570666E+00, 0.6567830E+00, 0.6557214E+00, 0.6537293E+00, 0.6506342E+00, 0.6462713E+00, 0.6405047E+00, 0.6332420E+00, 0.6244820E+00, 0.6141896E+00, 0.6024118E+00, 0.5894183E+00, 0.5755851E+00, 0.5609844E+00, 0.5449183E+00, 0.5166230E+00, 0.4584762E+00, 0.3861705E+00, 0.3217369E+00, 0.2687279E+00, 0.2244535E+00, 0.1864871E+00, 0.1532293E+00, 0.1236225E+00, 0.9693307E-01, 0.7262720E-01, 0.5030141E-01, 0.2964169E-01, 0.1039818E-01,-0.7631177E-02,-0.2461185E-01,-0.4068057E-01,-0.5595113E-01,-0.7051870E-01,-0.8446322E-01,-0.9785193E-01,-0.1107415E+00,-0.1231798E+00,-0.1352070E+00,-0.1468523E+00,-0.1580964E+00,-0.1688588E+00,-0.1790997E+00,-0.1888657E+00,-0.1982469E+00,-0.2073315E+00,-0.2161867E+00,-0.2248559E+00,-0.2333641E+00,-0.2417230E+00,-0.2499357E+00,-0.2580002E+00,-0.2659118E+00,-0.2736641E+00,-0.2812504E+00,-0.2886644E+00,-0.2958998E+00,-0.3029514E+00,-0.3098146E+00,-0.3164858E+00,-0.3229622E+00,-0.3292416E+00,-0.3353231E+00,-0.3412060E+00,-0.3468907E+00,
 0.5000000E-01, 0.6702167E+00, 0.6709481E+00, 0.6712167E+00, 0.6713202E+00, 0.6713147E+00, 0.6712282E+00, 0.6710816E+00, 0.6708955E+00, 0.6706942E+00, 0.6705067E+00, 0.6703708E+00, 0.6703420E+00, 0.6705031E+00, 0.6709898E+00, 0.6720600E+00, 0.6742854E+00, 0.6742854E+00, 0.6795451E+00, 0.6911528E+00, 0.7045575E+00, 0.7159253E+00, 0.7245345E+00, 0.7310467E+00, 0.7361877E+00, 0.7404310E+00, 0.7440658E+00, 0.7472730E+00, 0.7501717E+00, 0.7528477E+00, 0.7553551E+00, 0.7577015E+00, 0.7598677E+00, 0.7618077E+00, 0.7634443E+00, 0.7647138E+00, 0.7655254E+00, 0.7657698E+00, 0.7657698E+00, 0.7653651E+00, 0.7641587E+00, 0.7620372E+00, 0.7588407E+00, 0.7544302E+00, 0.7486455E+00, 0.7413891E+00, 0.7325859E+00, 0.7222040E+00, 0.7100706E+00, 0.6960615E+00, 0.6800857E+00, 0.6620122E+00, 0.6409760E+00, 0.6082187E+00, 0.5424585E+00, 0.4539633E+00, 0.3701980E+00, 0.3004599E+00, 0.2428389E+00, 0.1941503E+00, 0.1520208E+00, 0.1148596E+00, 0.8158404E-01, 0.5142606E-01, 0.2381893E-01,-0.1669556E-02,-0.2537733E-01,-0.4757363E-01,-0.6847597E-01,-0.8826187E-01,-0.1070773E+00,-0.1250431E+00,-0.1422596E+00,-0.1588102E+00,-0.1747646E+00,-0.1901810E+00,-0.2051079E+00,-0.2195856E+00,-0.2336393E+00,-0.2472256E+00,-0.2602381E+00,-0.2726400E+00,-0.2844971E+00,-0.2959179E+00,-0.3070033E+00,-0.3178272E+00,-0.3284363E+00,-0.3388561E+00,-0.3490976E+00,-0.3591623E+00,-0.3690462E+00,-0.3787426E+00,-0.3882431E+00,-0.3975390E+00,-0.4066223E+00,-0.4154853E+00,-0.4241214E+00,-0.4325253E+00,-0.4406923E+00,-0.4486191E+00,-0.4563033E+00,-0.4637436E+00,-0.4709395E+00,-0.4778915E+00,
 0.7000000E-01, 0.7671327E+00, 0.7674451E+00, 0.7675623E+00, 0.7675313E+00, 0.7673699E+00, 0.7670973E+00, 0.7667418E+00, 0.7663438E+00, 0.7659556E+00, 0.7656409E+00, 0.7654877E+00, 0.7656294E+00, 0.7662653E+00, 0.7677419E+00, 0.7708237E+00, 0.7784082E+00, 0.7784082E+00, 0.7939872E+00, 0.8109398E+00, 0.8241066E+00, 0.8333309E+00, 0.8402227E+00, 0.8455500E+00, 0.8497723E+00, 0.8532016E+00, 0.8560451E+00, 0.8584420E+00, 0.8604900E+00, 0.8622621E+00, 0.8637978E+00, 0.8650914E+00, 0.8661212E+00, 0.8668364E+00, 0.8671682E+00, 0.8670701E+00, 0.8664573E+00, 0.8652515E+00, 0.8652515E+00, 0.8633922E+00, 0.8607491E+00, 0.8572615E+00, 0.8527875E+00, 0.8472554E+00, 0.8405346E+00, 0.8325812E+00, 0.8233756E+00, 0.8128574E+00, 0.8008043E+00, 0.7870567E+00, 0.7713505E+00, 0.7530228E+00, 0.7232025E+00, 0.6560803E+00, 0.5634236E+00, 0.4743463E+00, 0.3974624E+00, 0.3317025E+00, 0.2753669E+00, 0.2265014E+00, 0.1834393E+00, 0.1449301E+00, 0.1100579E+00, 0.7814297E-01, 0.4866933E-01, 0.2123697E-01,-0.4469783E-02,-0.2870342E-01,-0.5166805E-01,-0.7352991E-01,-0.9442522E-01,-0.1144661E+00,-0.1337452E+00,-0.1523393E+00,-0.1703120E+00,-0.1877163E+00,-0.2045962E+00,-0.2209881E+00,-0.2369074E+00,-0.2522784E+00,-0.2669801E+00,-0.2809961E+00,-0.2944162E+00,-0.3073619E+00,-0.3199379E+00,-0.3322183E+00,-0.3442486E+00,-0.3560528E+00,-0.3676408E+00,-0.3790134E+00,-0.3901663E+00,-0.4010922E+00,-0.4117829E+00,-0.4222300E+00,-0.4324254E+00,-0.4423621E+00,-0.4520340E+00,-0.4614360E+00,-0.4705643E+00,-0.4794163E+00,-0.4879902E+00,-0.4962855E+00,-0.5043026E+00,-0.5120425E+00,
 0.9000000E-01, 0.8514103E+00, 0.8510436E+00, 0.8506727E+00, 0.8502373E+00, 0.8496912E+00, 0.8490422E+00, 0.8483436E+00, 0.8476776E+00, 0.8471444E+00, 0.8468633E+00, 0.8470219E+00, 0.8479151E+00, 0.8500074E+00, 0.8543102E+00, 0.8655173E+00, 0.8838429E+00, 0.8838429E+00, 0.9023853E+00, 0.9155416E+00, 0.9248676E+00, 0.9319748E+00, 0.9374236E+00, 0.9416394E+00, 0.9449202E+00, 0.9474849E+00, 0.9494908E+00, 0.9510519E+00, 0.9522535E+00, 0.9531609E+00, 0.9538019E+00, 0.9541643E+00, 0.9542282E+00, 0.9539409E+00, 0.9532481E+00, 0.9521164E+00, 0.9504651E+00, 0.9482456E+00, 0.9482456E+00, 0.9454017E+00, 0.9418216E+00, 0.9374712E+00, 0.9322081E+00, 0.9259923E+00, 0.9186960E+00, 0.9102721E+00, 0.9007325E+00, 0.8899183E+00, 0.8775013E+00, 0.8631267E+00, 0.8460587E+00, 0.8176836E+00, 0.7514043E+00, 0.6621526E+00, 0.5779239E+00, 0.5044081E+00, 0.4389316E+00, 0.3806601E+00, 0.3289059E+00, 0.2827314E+00, 0.2411580E+00, 0.2033428E+00, 0.1686118E+00, 0.1364363E+00, 0.1064006E+00, 0.7817547E-01, 0.5149775E-01, 0.2615554E-01, 0.1977274E-02,-0.2117661E-01,-0.4342003E-01,-0.6484628E-01,-0.8553198E-01,-0.1055403E+00,-0.1249233E+00,-0.1437243E+00,-0.1619792E+00,-0.1797175E+00,-0.1969374E+00,-0.2135244E+00,-0.2293576E+00,-0.2444553E+00,-0.2589312E+00,-0.2729127E+00,-0.2865013E+00,-0.2997656E+00,-0.3127464E+00,-0.3254648E+00,-0.3379290E+00,-0.3501394E+00,-0.3620917E+00,-0.3737795E+00,-0.3851958E+00,-0.3963331E+00,-0.4071850E+00,-0.4177458E+00,-0.4280108E+00,-0.4379763E+00,-0.4476400E+00,-0.4570004E+00,-0.4660572E+00,-0.4748110E+00,-0.4832634E+00,-0.4914166E+00,
 0.1100000E+00, 0.8932235E+00, 0.8923279E+00, 0.8914151E+00, 0.8904353E+00, 0.8893550E+00, 0.8882570E+00, 0.8872807E+00, 0.8865746E+00, 0.8862901E+00, 0.8866360E+00, 0.8880342E+00, 0.8911963E+00, 0.8983783E+00, 0.9144498E+00, 0.9347022E+00, 0.9537305E+00, 0.9537305E+00, 0.9663727E+00, 0.9761790E+00, 0.9841002E+00, 0.9904712E+00, 0.9955067E+00, 0.9994326E+00, 0.1002450E+01, 0.1004730E+01, 0.1006410E+01, 0.1007601E+01, 0.1008396E+01, 0.1008864E+01, 0.1009027E+01, 0.1008865E+01, 0.1008356E+01, 0.1007434E+01, 0.1006051E+01, 0.1004175E+01, 0.1001709E+01, 0.9986300E+00, 0.9986300E+00, 0.9948553E+00, 0.9902782E+00, 0.9848688E+00, 0.9784603E+00, 0.9710236E+00, 0.9624360E+00, 0.9526206E+00, 0.9416633E+00, 0.9292427E+00, 0.9148377E+00, 0.8974730E+00, 0.8667170E+00, 0.7999122E+00, 0.7165489E+00, 0.6430490E+00, 0.5791742E+00, 0.5203977E+00, 0.4660033E+00, 0.4158713E+00, 0.3698762E+00, 0.3276812E+00, 0.2888086E+00, 0.2527695E+00, 0.2191298E+00, 0.1875253E+00, 0.1576570E+00, 0.1292819E+00, 0.1022024E+00, 0.7625858E-01, 0.5132059E-01, 0.2728343E-01, 0.4062065E-02,-0.1841233E-01,-0.4019554E-01,-0.6133290E-01,-0.8186140E-01,-0.1018114E+00,-0.1212079E+00,-0.1400707E+00,-0.1583707E+00,-0.1759501E+00,-0.1927055E+00,-0.2086976E+00,-0.2240602E+00,-0.2389195E+00,-0.2533685E+00,-0.2674665E+00,-0.2812476E+00,-0.2947289E+00,-0.3079165E+00,-0.3208100E+00,-0.3334059E+00,-0.3456988E+00,-0.3576830E+00,-0.3693529E+00,-0.3807039E+00,-0.3917320E+00,-0.4024345E+00,-0.4128097E+00,-0.4228567E+00,-0.4325761E+00,-0.4419688E+00,-0.4510372E+00,-0.4597841E+00,-0.4682132E+00,
 0.1300000E+00, 0.8946364E+00, 0.8934913E+00, 0.8921555E+00, 0.8906477E+00, 0.8891546E+00, 0.8879486E+00, 0.8872423E+00, 0.8872018E+00, 0.8880357E+00, 0.8903082E+00, 0.8953618E+00, 0.9088376E+00, 0.9302094E+00, 0.9528661E+00, 0.9712865E+00, 0.9838768E+00, 0.9838768E+00, 0.9944552E+00, 0.1003313E+01, 0.1010767E+01, 0.1016916E+01, 0.1021852E+01, 0.1025705E+01, 0.1028624E+01, 0.1030753E+01, 0.1032227E+01, 0.1033160E+01, 0.1033658E+01, 0.1033799E+01, 0.1033585E+01, 0.1032992E+01, 0.1031989E+01, 0.1030484E+01, 0.1028444E+01, 0.1025822E+01, 0.1022499E+01, 0.1018481E+01, 0.1018481E+01, 0.1013620E+01, 0.1007833E+01, 0.1001044E+01, 0.9930683E+00, 0.9838189E+00, 0.9732035E+00, 0.9609919E+00, 0.9472641E+00, 0.9313023E+00, 0.9120423E+00, 0.8736136E+00, 0.8059632E+00, 0.7294838E+00, 0.6685966E+00, 0.6155835E+00, 0.5658175E+00, 0.5183259E+00, 0.4729921E+00, 0.4299521E+00, 0.3893167E+00, 0.3510527E+00, 0.3149902E+00, 0.2808942E+00, 0.2485222E+00, 0.2176521E+00, 0.1880919E+00, 0.1596803E+00, 0.1322844E+00, 0.1057960E+00, 0.8012822E-01, 0.5521186E-01, 0.3099248E-01, 0.7427524E-02,-0.1551600E-01,-0.3786357E-01,-0.5963490E-01,-0.8084528E-01,-0.1015067E+00,-0.1216262E+00,-0.1411335E+00,-0.1598253E+00,-0.1776338E+00,-0.1946654E+00,-0.2110676E+00,-0.2269604E+00,-0.2424246E+00,-0.2575086E+00,-0.2722389E+00,-0.2866276E+00,-0.3006783E+00,-0.3143898E+00,-0.3277587E+00,-0.3407805E+00,-0.3534510E+00,-0.3657664E+00,-0.3777239E+00,-0.3893216E+00,-0.4005586E+00,-0.4114353E+00,-0.4219528E+00,-0.4321133E+00,-0.4419200E+00,-0.4513765E+00,-0.4604875E+00,-0.4692581E+00,
 0.1500000E+00, 0.8782894E+00, 0.8769997E+00, 0.8751706E+00, 0.8733063E+00, 0.8719959E+00, 0.8715330E+00, 0.8720410E+00, 0.8737094E+00, 0.8771086E+00, 0.8872401E+00, 0.9094735E+00, 0.9346807E+00, 0.9584312E+00, 0.9747645E+00, 0.9870219E+00, 0.9969674E+00, 0.9969674E+00, 0.1005232E+01, 0.1012174E+01, 0.1017985E+01, 0.1022741E+01, 0.1026500E+01, 0.1029347E+01, 0.1031386E+01, 0.1032729E+01, 0.1033483E+01, 0.1033750E+01, 0.1033625E+01, 0.1033171E+01, 0.1032362E+01, 0.1031175E+01, 0.1029563E+01, 0.1027425E+01, 0.1024754E+01, 0.1021476E+01, 0.1017472E+01, 0.1012774E+01, 0.1012774E+01, 0.1007155E+01, 0.1000589E+01, 0.9928825E+00, 0.9838864E+00, 0.9733017E+00, 0.9611207E+00, 0.9464861E+00, 0.9283854E+00, 0.9061154E+00, 0.8571084E+00, 0.7908778E+00, 0.7225260E+00, 0.6734427E+00, 0.6294723E+00, 0.5878736E+00, 0.5474113E+00, 0.5077724E+00, 0.4690004E+00, 0.4312819E+00, 0.3948015E+00, 0.3596585E+00, 0.3258472E+00, 0.2932893E+00, 0.2618732E+00, 0.2314816E+00, 0.2020051E+00, 0.1733485E+00, 0.1454329E+00, 0.1181947E+00, 0.9158492E-01, 0.6556689E-01, 0.4011458E-01, 0.1521053E-01,-0.9155872E-02,-0.3299011E-01,-0.5629388E-01,-0.7906639E-01,-0.1013052E+00,-0.1230010E+00,-0.1440219E+00,-0.1641226E+00,-0.1832905E+00,-0.2016784E+00,-0.2194418E+00,-0.2366901E+00,-0.2534897E+00,-0.2698771E+00,-0.2858699E+00,-0.3014744E+00,-0.3166909E+00,-0.3315164E+00,-0.3459469E+00,-0.3599785E+00,-0.3736078E+00,-0.3868323E+00,-0.3996510E+00,-0.4120637E+00,-0.4240715E+00,-0.4356768E+00,-0.4468827E+00,-0.4576935E+00,-0.4681140E+00,-0.4781501E+00,-0.4878080E+00,-0.4970949E+00,
 0.1700000E+00, 0.8691458E+00, 0.8671712E+00, 0.8646985E+00, 0.8632326E+00, 0.8632090E+00, 0.8645728E+00, 0.8675159E+00, 0.8729865E+00, 0.8888186E+00, 0.9126506E+00, 0.9366084E+00, 0.9547160E+00, 0.9655463E+00, 0.9743066E+00, 0.9812132E+00, 0.9866276E+00, 0.9866276E+00, 0.9910204E+00, 0.9946349E+00, 0.9975755E+00, 0.9998862E+00, 0.1001593E+01, 0.1002733E+01, 0.1003356E+01, 0.1003521E+01, 0.1003290E+01, 0.1002725E+01, 0.1001890E+01, 0.1000812E+01, 0.9994478E+00, 0.9977765E+00, 0.9957436E+00, 0.9932658E+00, 0.9903498E+00, 0.9869116E+00, 0.9828567E+00, 0.9782246E+00, 0.9782246E+00, 0.9727538E+00, 0.9664814E+00, 0.9591056E+00, 0.9505681E+00, 0.9402646E+00, 0.9284597E+00, 0.9134637E+00, 0.8896926E+00, 0.8371006E+00, 0.7752982E+00, 0.7192258E+00, 0.6799511E+00, 0.6430317E+00, 0.6077216E+00, 0.5730186E+00, 0.5384766E+00, 0.5040004E+00, 0.4696573E+00, 0.4356117E+00, 0.4020487E+00, 0.3691099E+00, 0.3368651E+00, 0.3053215E+00, 0.2744476E+00, 0.2441947E+00, 0.2145113E+00, 0.1853503E+00, 0.1566736E+00, 0.1284526E+00, 0.1006689E+00, 0.7331313E-01, 0.4638364E-01, 0.1988536E-01,-0.6171796E-02,-0.3177427E-01,-0.5690613E-01,-0.8155019E-01,-0.1056888E+00,-0.1292911E+00,-0.1521354E+00,-0.1739490E+00,-0.1947984E+00,-0.2148809E+00,-0.2343533E+00,-0.2533101E+00,-0.2718006E+00,-0.2898473E+00,-0.3074573E+00,-0.3246294E+00,-0.3413590E+00,-0.3576401E+00,-0.3734669E+00,-0.3888347E+00,-0.4037404E+00,-0.4181822E+00,-0.4321601E+00,-0.4456755E+00,-0.4587313E+00,-0.4713316E+00,-0.4834817E+00,-0.4951877E+00,-0.5064567E+00,-0.5172966E+00,-0.5277159E+00,-0.5377233E+00,
 0.1900000E+00, 0.8592832E+00, 0.8557558E+00, 0.8535912E+00, 0.8540548E+00, 0.8565311E+00, 0.8610287E+00, 0.8716874E+00, 0.8981358E+00, 0.9293373E+00, 0.9554608E+00, 0.9690053E+00, 0.9785154E+00, 0.9856503E+00, 0.9911641E+00, 0.9955352E+00, 0.9991453E+00, 0.9991453E+00, 0.1002037E+01, 0.1004351E+01, 0.1006152E+01, 0.1007464E+01, 0.1008292E+01, 0.1008643E+01, 0.1008536E+01, 0.1008009E+01, 0.1007109E+01, 0.1005899E+01, 0.1004453E+01, 0.1002769E+01, 0.1000748E+01, 0.9983616E+00, 0.9955063E+00, 0.9920529E+00, 0.9880689E+00, 0.9833783E+00, 0.9778496E+00, 0.9716458E+00, 0.9716458E+00, 0.9641387E+00, 0.9557129E+00, 0.9453915E+00, 0.9338123E+00, 0.9180545E+00, 0.9028818E+00, 0.8648319E+00, 0.8120738E+00, 0.7554781E+00, 0.7159138E+00, 0.6835898E+00, 0.6529556E+00, 0.6229258E+00, 0.5931294E+00, 0.5631374E+00, 0.5327939E+00, 0.5020956E+00, 0.4710875E+00, 0.4398892E+00, 0.4086556E+00, 0.3775273E+00, 0.3466009E+00, 0.3159261E+00, 0.2855178E+00, 0.2553715E+00, 0.2254752E+00, 0.1958170E+00, 0.1663897E+00, 0.1371924E+00, 0.1082314E+00, 0.7952034E-01, 0.5107877E-01, 0.2293159E-01,-0.4892373E-02,-0.3236149E-01,-0.5944256E-01,-0.8610183E-01,-0.1123058E+00,-0.1379925E+00,-0.1628167E+00,-0.1865138E+00,-0.2092535E+00,-0.2312699E+00,-0.2527109E+00,-0.2736493E+00,-0.2941137E+00,-0.3141093E+00,-0.3336302E+00,-0.3526655E+00,-0.3712034E+00,-0.3892330E+00,-0.4067452E+00,-0.4237333E+00,-0.4401930E+00,-0.4561223E+00,-0.4715216E+00,-0.4863934E+00,-0.5007417E+00,-0.5145722E+00,-0.5278922E+00,-0.5407097E+00,-0.5530340E+00,-0.5648752E+00,-0.5762438E+00,-0.5871511E+00,
