@AJBS [MA/m^2]  vs r@
X,AJBS_1,AJBS_2,AJBS_3,AJBS_4,AJBS_5,AJBS_6,AJBS_7,AJBS_8,AJBS_9,AJBS_10,AJBS_11,AJBS_12,AJBS_13,AJBS_14,AJBS_15,AJBS_16,AJBS_17,AJBS_18,AJBS_19,AJBS_20,AJBS_21,AJBS_22,AJBS_23,AJBS_24,AJBS_25,AJBS_26,AJBS_27,AJBS_28,AJBS_29,AJBS_30,AJBS_31,AJBS_32,AJBS_33,AJBS_34,AJBS_35,AJBS_36,AJBS_37,AJBS_38,AJBS_39,AJBS_40,AJBS_41,AJBS_42,AJBS_43,AJBS_44,AJBS_45,AJBS_46,AJBS_47,AJBS_48,AJBS_49,AJBS_50,AJBS_51,AJBS_52,AJBS_53,AJBS_54,AJBS_55,AJBS_56,AJBS_57,AJBS_58,AJBS_59,AJBS_60,AJBS_61,AJBS_62,AJBS_63,AJBS_64,AJBS_65,AJBS_66,AJBS_67,AJBS_68,AJBS_69,AJBS_70,AJBS_71,AJBS_72,AJBS_73,AJBS_74,AJBS_75,AJBS_76,AJBS_77,AJBS_78,AJBS_79,AJBS_80,AJBS_81,AJBS_82,AJBS_83,AJBS_84,AJBS_85,AJBS_86,AJBS_87,AJBS_88,AJBS_89,AJBS_90,AJBS_91,AJBS_92,AJBS_93,AJBS_94,AJBS_95,AJBS_96,AJBS_97,AJBS_98,AJBS_99,AJBS_100,AJBS_101,AJBS_102,AJBS_103
 0.1000000E-01, 0.1904132E-02, 0.1919879E-02, 0.1928679E-02, 0.1923594E-02, 0.1924063E-02, 0.1931171E-02, 0.1943573E-02, 0.1959700E-02, 0.1977865E-02, 0.1996155E-02, 0.2012200E-02, 0.2022655E-02, 0.2022578E-02, 0.2004119E-02, 0.1953152E-02, 0.1840826E-02, 0.1840826E-02, 0.1607492E-02, 0.1140911E-02, 0.1800519E-03,-0.1572643E-02,-0.3694303E-02,-0.5605877E-02,-0.7165764E-02,-0.8445065E-02,-0.9533671E-02,-0.1049638E-01,-0.1137622E-01,-0.1220332E-01,-0.1299935E-01,-0.1377432E-01,-0.1452664E-01,-0.1524643E-01,-0.1591135E-01,-0.1649531E-01,-0.1696834E-01,-0.1728659E-01,-0.1728659E-01,-0.1740911E-01,-0.1728013E-01,-0.1683438E-01,-0.1600613E-01,-0.1471492E-01,-0.1288923E-01,-0.1046683E-01,-0.7415531E-02,-0.3757618E-02, 0.4583861E-03, 0.5114164E-02, 0.9914350E-02, 0.1452196E-01, 0.1883586E-01, 0.2342928E-01, 0.3053608E-01, 0.4840901E-01, 0.7812531E-01, 0.1073476E+00, 0.1317745E+00, 0.1522005E+00, 0.1697043E+00, 0.1850235E+00, 0.1986473E+00, 0.2109147E+00, 0.2220719E+00, 0.2323042E+00, 0.2417562E+00, 0.2505426E+00, 0.2587565E+00, 0.2664741E+00, 0.2737587E+00, 0.2806632E+00, 0.2872319E+00, 0.2935024E+00, 0.2995065E+00, 0.3052711E+00, 0.3108191E+00, 0.3161700E+00, 0.3213388E+00, 0.3263208E+00, 0.3310833E+00, 0.3356081E+00, 0.3399143E+00, 0.3440419E+00, 0.3480308E+00, 0.3519118E+00, 0.3557053E+00, 0.3594232E+00, 0.3630717E+00, 0.3666529E+00, 0.3701665E+00, 0.3736109E+00, 0.3769839E+00, 0.3802827E+00, 0.3835050E+00, 0.3866484E+00, 0.3897108E+00, 0.3926904E+00, 0.3955858E+00, 0.3983960E+00, 0.4011201E+00, 0.4037579E+00, 0.4063092E+00, 0.4087742E+00,
 0.3000000E-01, 0.6461592E-02, 0.6073276E-02, 0.5965981E-02, 0.5911932E-02, 0.5903274E-02, 0.5929483E-02, 0.5981707E-02, 0.6051796E-02, 0.6131013E-02, 0.6209235E-02, 0.6273701E-02, 0.6306102E-02, 0.6279239E-02, 0.6149469E-02, 0.5837147E-02, 0.5177455E-02, 0.5177455E-02, 0.3808168E-02, 0.7234943E-03,-0.5752822E-02,-0.1357571E-01,-0.2038985E-01,-0.2578638E-01,-0.3007021E-01,-0.3360032E-01,-0.3663594E-01,-0.3934410E-01,-0.4183330E-01,-0.4417948E-01,-0.4643498E-01,-0.4861804E-01,-0.5071954E-01,-0.5270926E-01,-0.5452649E-01,-0.5610976E-01,-0.5738351E-01,-0.5824293E-01,-0.5824293E-01,-0.5859898E-01,-0.5831539E-01,-0.5725379E-01,-0.5526168E-01,-0.5216660E-01,-0.4780371E-01,-0.4203708E-01,-0.3477434E-01,-0.2601442E-01,-0.1572202E-01,-0.3944187E-02, 0.9049307E-02, 0.2288247E-01, 0.3748320E-01, 0.5354929E-01, 0.8184458E-01, 0.1399914E+00, 0.2122971E+00, 0.2767307E+00, 0.3297397E+00, 0.3740141E+00, 0.4119805E+00, 0.4452384E+00, 0.4748451E+00, 0.5015345E+00, 0.5258404E+00, 0.5481662E+00, 0.5688259E+00, 0.5880694E+00, 0.6060988E+00, 0.6230795E+00, 0.6391482E+00, 0.6544188E+00, 0.6689863E+00, 0.6829308E+00, 0.6963195E+00, 0.7092091E+00, 0.7216474E+00, 0.7336746E+00, 0.7453199E+00, 0.7565640E+00, 0.7673264E+00, 0.7775673E+00, 0.7873333E+00, 0.7967145E+00, 0.8057991E+00, 0.8146543E+00, 0.8233235E+00, 0.8318318E+00, 0.8401906E+00, 0.8484033E+00, 0.8564678E+00, 0.8643793E+00, 0.8721316E+00, 0.8797181E+00, 0.8871320E+00, 0.8943674E+00, 0.9014190E+00, 0.9082822E+00, 0.9149534E+00, 0.9214298E+00, 0.9277092E+00, 0.9337907E+00, 0.9396736E+00, 0.9453583E+00,
 0.5000000E-01, 0.1203939E-01, 0.1130802E-01, 0.1103943E-01, 0.1093587E-01, 0.1094139E-01, 0.1102784E-01, 0.1117451E-01, 0.1136059E-01, 0.1156189E-01, 0.1174940E-01, 0.1188531E-01, 0.1191409E-01, 0.1175299E-01, 0.1126626E-01, 0.1019611E-01, 0.7970748E-02, 0.7970748E-02, 0.2710991E-02,-0.8896733E-02,-0.2230146E-01,-0.3366920E-01,-0.4227836E-01,-0.4879061E-01,-0.5393162E-01,-0.5817490E-01,-0.6180976E-01,-0.6501687E-01,-0.6791559E-01,-0.7059159E-01,-0.7309899E-01,-0.7544537E-01,-0.7761163E-01,-0.7955166E-01,-0.8118824E-01,-0.8245772E-01,-0.8326932E-01,-0.8351377E-01,-0.8351377E-01,-0.8310902E-01,-0.8190258E-01,-0.7978115E-01,-0.7658459E-01,-0.7217416E-01,-0.6638944E-01,-0.5913300E-01,-0.5032980E-01,-0.3994792E-01,-0.2781446E-01,-0.1380540E-01, 0.2170383E-02, 0.2024394E-01, 0.4128009E-01, 0.7403740E-01, 0.1397975E+00, 0.2282927E+00, 0.3120581E+00, 0.3817962E+00, 0.4394172E+00, 0.4881058E+00, 0.5302353E+00, 0.5673965E+00, 0.6006721E+00, 0.6308300E+00, 0.6584371E+00, 0.6839256E+00, 0.7076334E+00, 0.7298297E+00, 0.7507321E+00, 0.7705179E+00, 0.7893334E+00, 0.8072993E+00, 0.8245156E+00, 0.8410662E+00, 0.8570207E+00, 0.8724371E+00, 0.8873640E+00, 0.9018416E+00, 0.9158954E+00, 0.9294817E+00, 0.9424942E+00, 0.9548961E+00, 0.9667532E+00, 0.9781740E+00, 0.9892594E+00, 0.1000083E+01, 0.1010692E+01, 0.1021112E+01, 0.1031354E+01, 0.1041418E+01, 0.1051302E+01, 0.1060999E+01, 0.1070499E+01, 0.1079795E+01, 0.1088878E+01, 0.1097741E+01, 0.1106377E+01, 0.1114781E+01, 0.1122948E+01, 0.1130875E+01, 0.1138559E+01, 0.1146000E+01, 0.1153196E+01, 0.1160148E+01,
 0.7000000E-01, 0.1749424E-01, 0.1718176E-01, 0.1706468E-01, 0.1709560E-01, 0.1725705E-01, 0.1752965E-01, 0.1788512E-01, 0.1828306E-01, 0.1867135E-01, 0.1898609E-01, 0.1913927E-01, 0.1899749E-01, 0.1836159E-01, 0.1688497E-01, 0.1380324E-01, 0.6218764E-02, 0.6218764E-02,-0.9360271E-02,-0.2631291E-01,-0.3947969E-01,-0.4870402E-01,-0.5559573E-01,-0.6092308E-01,-0.6514537E-01,-0.6857465E-01,-0.7141821E-01,-0.7381508E-01,-0.7586310E-01,-0.7763523E-01,-0.7917086E-01,-0.8046450E-01,-0.8149428E-01,-0.8220942E-01,-0.8254134E-01,-0.8244323E-01,-0.8183042E-01,-0.8062458E-01,-0.8062458E-01,-0.7876524E-01,-0.7612216E-01,-0.7263459E-01,-0.6816054E-01,-0.6262851E-01,-0.5590771E-01,-0.4795431E-01,-0.3874866E-01,-0.2823051E-01,-0.1617741E-01,-0.2429765E-02, 0.1327639E-01, 0.3160407E-01, 0.6142439E-01, 0.1285466E+00, 0.2212034E+00, 0.3102807E+00, 0.3871645E+00, 0.4529244E+00, 0.5092601E+00, 0.5581256E+00, 0.6011876E+00, 0.6396968E+00, 0.6745690E+00, 0.7064840E+00, 0.7359576E+00, 0.7633899E+00, 0.7890967E+00, 0.8133304E+00, 0.8362949E+00, 0.8581568E+00, 0.8790522E+00, 0.8990930E+00, 0.9183722E+00, 0.9369662E+00, 0.9549389E+00, 0.9723432E+00, 0.9892231E+00, 0.1005615E+01, 0.1021534E+01, 0.1036905E+01, 0.1051607E+01, 0.1065623E+01, 0.1079043E+01, 0.1091989E+01, 0.1104565E+01, 0.1116845E+01, 0.1128875E+01, 0.1140680E+01, 0.1152268E+01, 0.1163640E+01, 0.1174793E+01, 0.1185719E+01, 0.1196410E+01, 0.1206857E+01, 0.1217052E+01, 0.1226989E+01, 0.1236661E+01, 0.1246063E+01, 0.1255191E+01, 0.1264043E+01, 0.1272617E+01, 0.1280912E+01, 0.1288929E+01, 0.1296669E+01,
 0.9000000E-01, 0.2200949E-01, 0.2237615E-01, 0.2274714E-01, 0.2318252E-01, 0.2372869E-01, 0.2437760E-01, 0.2507628E-01, 0.2574217E-01, 0.2627547E-01, 0.2655652E-01, 0.2639787E-01, 0.2550479E-01, 0.2341239E-01, 0.1910967E-01, 0.7902530E-02,-0.1042305E-01,-0.1042305E-01,-0.2896545E-01,-0.4212179E-01,-0.5144776E-01,-0.5855496E-01,-0.6400377E-01,-0.6821959E-01,-0.7150042E-01,-0.7406504E-01,-0.7607103E-01,-0.7763209E-01,-0.7883362E-01,-0.7974109E-01,-0.8038210E-01,-0.8074452E-01,-0.8080842E-01,-0.8052108E-01,-0.7982824E-01,-0.7869654E-01,-0.7704526E-01,-0.7482584E-01,-0.7482584E-01,-0.7198186E-01,-0.6840175E-01,-0.6405141E-01,-0.5878831E-01,-0.5257246E-01,-0.4527615E-01,-0.3685226E-01,-0.2731273E-01,-0.1649843E-01,-0.4081517E-02, 0.1029314E-01, 0.2736116E-01, 0.5573621E-01, 0.1220155E+00, 0.2112672E+00, 0.2954959E+00, 0.3690118E+00, 0.4344882E+00, 0.4927597E+00, 0.5445139E+00, 0.5906885E+00, 0.6322618E+00, 0.6700770E+00, 0.7048080E+00, 0.7369835E+00, 0.7670192E+00, 0.7952443E+00, 0.8219221E+00, 0.8472643E+00, 0.8714426E+00, 0.8945964E+00, 0.9168398E+00, 0.9382661E+00, 0.9589518E+00, 0.9789601E+00, 0.9983431E+00, 0.1017144E+01, 0.1035399E+01, 0.1053137E+01, 0.1070357E+01, 0.1086944E+01, 0.1102777E+01, 0.1117875E+01, 0.1132351E+01, 0.1146333E+01, 0.1159921E+01, 0.1173185E+01, 0.1186166E+01, 0.1198885E+01, 0.1211349E+01, 0.1223559E+01, 0.1235512E+01, 0.1247199E+01, 0.1258616E+01, 0.1269753E+01, 0.1280605E+01, 0.1291166E+01, 0.1301431E+01, 0.1311396E+01, 0.1321060E+01, 0.1330420E+01, 0.1339477E+01, 0.1348231E+01, 0.1356683E+01, 0.1364836E+01,
 0.1100000E+00, 0.2569637E-01, 0.2659190E-01, 0.2750473E-01, 0.2848448E-01, 0.2956481E-01, 0.3066284E-01, 0.3163911E-01, 0.3234524E-01, 0.3262976E-01, 0.3228388E-01, 0.3088558E-01, 0.2772354E-01, 0.2054157E-01, 0.4470024E-02,-0.1578234E-01,-0.3481061E-01,-0.3481061E-01,-0.4745286E-01,-0.5725915E-01,-0.6518032E-01,-0.7155135E-01,-0.7658687E-01,-0.8051272E-01,-0.8353012E-01,-0.8580965E-01,-0.8748984E-01,-0.8868147E-01,-0.8947579E-01,-0.8994454E-01,-0.9010705E-01,-0.8994491E-01,-0.8943643E-01,-0.8851382E-01,-0.8713081E-01,-0.8525490E-01,-0.8278948E-01,-0.7971018E-01,-0.7971018E-01,-0.7593550E-01,-0.7135842E-01,-0.6594893E-01,-0.5954044E-01,-0.5210378E-01,-0.4351614E-01,-0.3370072E-01,-0.2274345E-01,-0.1032287E-01, 0.4082140E-02, 0.2144686E-01, 0.5220280E-01, 0.1190076E+00, 0.2023710E+00, 0.2758708E+00, 0.3397456E+00, 0.3985221E+00, 0.4529165E+00, 0.5030486E+00, 0.5490436E+00, 0.5912386E+00, 0.6301113E+00, 0.6661503E+00, 0.6997900E+00, 0.7313945E+00, 0.7612628E+00, 0.7896379E+00, 0.8167174E+00, 0.8426613E+00, 0.8675992E+00, 0.8916364E+00, 0.9148577E+00, 0.9373322E+00, 0.9591154E+00, 0.9802527E+00, 0.1000781E+01, 0.1020731E+01, 0.1040128E+01, 0.1058990E+01, 0.1077291E+01, 0.1094870E+01, 0.1111625E+01, 0.1127617E+01, 0.1142980E+01, 0.1157839E+01, 0.1172288E+01, 0.1186386E+01, 0.1200167E+01, 0.1213649E+01, 0.1226836E+01, 0.1239730E+01, 0.1252326E+01, 0.1264619E+01, 0.1276603E+01, 0.1288273E+01, 0.1299624E+01, 0.1310652E+01, 0.1321354E+01, 0.1331730E+01, 0.1341777E+01, 0.1351496E+01, 0.1360889E+01, 0.1369957E+01, 0.1378704E+01, 0.1387133E+01,
 0.1300000E+00, 0.2896479E-01, 0.3010988E-01, 0.3144569E-01, 0.3295343E-01, 0.3444656E-01, 0.3565259E-01, 0.3635889E-01, 0.3639935E-01, 0.3556545E-01, 0.3329296E-01, 0.2823931E-01, 0.1476353E-01,-0.6608248E-02,-0.2926496E-01,-0.4768530E-01,-0.6027566E-01,-0.6027566E-01,-0.7085399E-01,-0.7971183E-01,-0.8716564E-01,-0.9331486E-01,-0.9825108E-01,-0.1021042E+00,-0.1050224E+00,-0.1071519E+00,-0.1086255E+00,-0.1095593E+00,-0.1100572E+00,-0.1101980E+00,-0.1099842E+00,-0.1093911E+00,-0.1083880E+00,-0.1068826E+00,-0.1048428E+00,-0.1022211E+00,-0.9889752E-01,-0.9487943E-01,-0.9487943E-01,-0.9001881E-01,-0.8423146E-01,-0.7744255E-01,-0.6946718E-01,-0.6021772E-01,-0.4960237E-01,-0.3739069E-01,-0.2366295E-01,-0.7701176E-02, 0.1155888E-01, 0.4998756E-01, 0.1176379E+00, 0.1941174E+00, 0.2550046E+00, 0.3080176E+00, 0.3577836E+00, 0.4052753E+00, 0.4506090E+00, 0.4936490E+00, 0.5342845E+00, 0.5725484E+00, 0.6086109E+00, 0.6427069E+00, 0.6750790E+00, 0.7059491E+00, 0.7355093E+00, 0.7639208E+00, 0.7913167E+00, 0.8178051E+00, 0.8434730E+00, 0.8683893E+00, 0.8926086E+00, 0.9161736E+00, 0.9391171E+00, 0.9614647E+00, 0.9832361E+00, 0.1004446E+01, 0.1025108E+01, 0.1045227E+01, 0.1064735E+01, 0.1083426E+01, 0.1101235E+01, 0.1118266E+01, 0.1134669E+01, 0.1150562E+01, 0.1166026E+01, 0.1181110E+01, 0.1195840E+01, 0.1210229E+01, 0.1224279E+01, 0.1237991E+01, 0.1251360E+01, 0.1264382E+01, 0.1277052E+01, 0.1289368E+01, 0.1301325E+01, 0.1312923E+01, 0.1324160E+01, 0.1335036E+01, 0.1345554E+01, 0.1355714E+01, 0.1365521E+01, 0.1374978E+01, 0.1384089E+01, 0.1392859E+01,
 0.1500000E+00, 0.3206530E-01, 0.3335505E-01, 0.3518407E-01, 0.3704844E-01, 0.3835884E-01, 0.3882170E-01, 0.3831372E-01, 0.3664531E-01, 0.3324617E-01, 0.2311463E-01, 0.8812608E-03,-0.2432598E-01,-0.4807650E-01,-0.6440983E-01,-0.7666717E-01,-0.8661265E-01,-0.8661265E-01,-0.9487706E-01,-0.1018193E+00,-0.1076307E+00,-0.1123859E+00,-0.1161456E+00,-0.1189926E+00,-0.1210314E+00,-0.1223739E+00,-0.1231282E+00,-0.1233953E+00,-0.1232706E+00,-0.1228161E+00,-0.1220077E+00,-0.1208202E+00,-0.1192079E+00,-0.1170707E+00,-0.1143995E+00,-0.1111210E+00,-0.1071172E+00,-0.1024192E+00,-0.1024192E+00,-0.9680005E-01,-0.9023378E-01,-0.8252776E-01,-0.7353163E-01,-0.6294701E-01,-0.5076599E-01,-0.3613132E-01,-0.1803075E-01, 0.4239368E-02, 0.5324635E-01, 0.1194769E+00, 0.1878287E+00, 0.2369120E+00, 0.2808824E+00, 0.3224811E+00, 0.3629434E+00, 0.4025823E+00, 0.4413543E+00, 0.4790728E+00, 0.5155532E+00, 0.5506963E+00, 0.5845075E+00, 0.6170654E+00, 0.6484815E+00, 0.6788731E+00, 0.7083496E+00, 0.7370062E+00, 0.7649218E+00, 0.7921600E+00, 0.8187698E+00, 0.8447878E+00, 0.8702402E+00, 0.8951442E+00, 0.9195106E+00, 0.9433448E+00, 0.9666486E+00, 0.9894211E+00, 0.1011660E+01, 0.1033356E+01, 0.1054377E+01, 0.1074477E+01, 0.1093645E+01, 0.1112033E+01, 0.1129797E+01, 0.1147045E+01, 0.1163844E+01, 0.1180232E+01, 0.1196225E+01, 0.1211829E+01, 0.1227046E+01, 0.1241871E+01, 0.1256302E+01, 0.1270333E+01, 0.1283962E+01, 0.1297187E+01, 0.1310006E+01, 0.1322418E+01, 0.1334426E+01, 0.1346032E+01, 0.1357237E+01, 0.1368048E+01, 0.1378469E+01, 0.1388505E+01, 0.1398163E+01, 0.1407450E+01,
 0.1700000E+00, 0.3510006E-01, 0.3707472E-01, 0.3954734E-01, 0.4101331E-01, 0.4103692E-01, 0.3967305E-01, 0.3673004E-01, 0.3125943E-01, 0.1542729E-01,-0.8404770E-02,-0.3236251E-01,-0.5047014E-01,-0.6130038E-01,-0.7006067E-01,-0.7696730E-01,-0.8238177E-01,-0.8238177E-01,-0.8677452E-01,-0.9038897E-01,-0.9332965E-01,-0.9564034E-01,-0.9734749E-01,-0.9848697E-01,-0.9910978E-01,-0.9927490E-01,-0.9904394E-01,-0.9847932E-01,-0.9764439E-01,-0.9656586E-01,-0.9520195E-01,-0.9353060E-01,-0.9149773E-01,-0.8901994E-01,-0.8610394E-01,-0.8266570E-01,-0.7861082E-01,-0.7397869E-01,-0.7397869E-01,-0.6850787E-01,-0.6223548E-01,-0.5485963E-01,-0.4632216E-01,-0.3601877E-01,-0.2421378E-01,-0.9217772E-02, 0.1455331E-01, 0.6714533E-01, 0.1289476E+00, 0.1850201E+00, 0.2242948E+00, 0.2612142E+00, 0.2965243E+00, 0.3312273E+00, 0.3657693E+00, 0.4002455E+00, 0.4345886E+00, 0.4686342E+00, 0.5021972E+00, 0.5351360E+00, 0.5673808E+00, 0.5989244E+00, 0.6297983E+00, 0.6600512E+00, 0.6897346E+00, 0.7188956E+00, 0.7475723E+00, 0.7757933E+00, 0.8035769E+00, 0.8309327E+00, 0.8578622E+00, 0.8843606E+00, 0.9104177E+00, 0.9360201E+00, 0.9611520E+00, 0.9857961E+00, 0.1009935E+01, 0.1033537E+01, 0.1056381E+01, 0.1078195E+01, 0.1099044E+01, 0.1119127E+01, 0.1138599E+01, 0.1157556E+01, 0.1176046E+01, 0.1194093E+01, 0.1211703E+01, 0.1228875E+01, 0.1245605E+01, 0.1261886E+01, 0.1277713E+01, 0.1293081E+01, 0.1307986E+01, 0.1322428E+01, 0.1336406E+01, 0.1349921E+01, 0.1362977E+01, 0.1375577E+01, 0.1387727E+01, 0.1399434E+01, 0.1410703E+01, 0.1421543E+01, 0.1431962E+01, 0.1441969E+01,
 0.1900000E+00, 0.3805404E-01, 0.4158143E-01, 0.4374605E-01, 0.4328245E-01, 0.4080609E-01, 0.3630850E-01, 0.2564987E-01,-0.7986153E-03,-0.3200009E-01,-0.5812359E-01,-0.7166813E-01,-0.8117819E-01,-0.8831304E-01,-0.9382683E-01,-0.9819797E-01,-0.1018081E+00,-0.1018081E+00,-0.1047000E+00,-0.1070136E+00,-0.1088145E+00,-0.1101266E+00,-0.1109546E+00,-0.1113053E+00,-0.1111992E+00,-0.1106718E+00,-0.1097718E+00,-0.1085619E+00,-0.1071161E+00,-0.1054313E+00,-0.1034107E+00,-0.1010243E+00,-0.9816906E-01,-0.9471560E-01,-0.9073170E-01,-0.8604106E-01,-0.8051239E-01,-0.7430859E-01,-0.7430859E-01,-0.6680145E-01,-0.5837564E-01,-0.4805421E-01,-0.3647500E-01,-0.2071724E-01,-0.5544587E-02, 0.3250538E-01, 0.8526350E-01, 0.1418591E+00, 0.1814234E+00, 0.2137475E+00, 0.2443817E+00, 0.2744115E+00, 0.3042079E+00, 0.3341999E+00, 0.3645433E+00, 0.3952416E+00, 0.4262497E+00, 0.4574480E+00, 0.4886816E+00, 0.5198100E+00, 0.5507363E+00, 0.5814111E+00, 0.6118194E+00, 0.6419658E+00, 0.6718621E+00, 0.7015202E+00, 0.7309476E+00, 0.7601449E+00, 0.7891058E+00, 0.8178169E+00, 0.8462585E+00, 0.8744057E+00, 0.9022296E+00, 0.9296987E+00, 0.9567798E+00, 0.9834391E+00, 0.1009643E+01, 0.1035330E+01, 0.1060154E+01, 0.1083851E+01, 0.1106591E+01, 0.1128607E+01, 0.1150048E+01, 0.1170987E+01, 0.1191451E+01, 0.1211447E+01, 0.1230967E+01, 0.1250003E+01, 0.1268541E+01, 0.1286570E+01, 0.1304083E+01, 0.1321071E+01, 0.1337530E+01, 0.1353459E+01, 0.1368859E+01, 0.1383731E+01, 0.1398079E+01, 0.1411909E+01, 0.1425229E+01, 0.1438047E+01, 0.1450371E+01, 0.1462212E+01, 0.1473581E+01, 0.1484488E+01,
