@PIN [MW/m^3]  vs r@
X,PIN_1,PIN_2,PIN_3,PIN_4,PIN_5,PIN_6,PIN_7,PIN_8,PIN_9,PIN_10,PIN_11,PIN_12,PIN_13,PIN_14,PIN_15,PIN_16,PIN_17,PIN_18,PIN_19,PIN_20,PIN_21,PIN_22,PIN_23,PIN_24,PIN_25,PIN_26,PIN_27,PIN_28,PIN_29,PIN_30,PIN_31,PIN_32,PIN_33,PIN_34,PIN_35,PIN_36,PIN_37,PIN_38,PIN_39,PIN_40,PIN_41,PIN_42,PIN_43,PIN_44,PIN_45,PIN_46,PIN_47,PIN_48,PIN_49,PIN_50,PIN_51,PIN_52,PIN_53,PIN_54,PIN_55,PIN_56,PIN_57,PIN_58,PIN_59,PIN_60,PIN_61,PIN_62,PIN_63,PIN_64,PIN_65,PIN_66,PIN_67,PIN_68,PIN_69,PIN_70,PIN_71,PIN_72,PIN_73,PIN_74,PIN_75,PIN_76,PIN_77,PIN_78,PIN_79,PIN_80,PIN_81,PIN_82,PIN_83,PIN_84,PIN_85,PIN_86,PIN_87,PIN_88,PIN_89,PIN_90,PIN_91,PIN_92,PIN_93,PIN_94,PIN_95,PIN_96,PIN_97,PIN_98,PIN_99,PIN_100,PIN_101,PIN_102,PIN_103
 0.1000000E-01, 0.5501659E-02, 0.2669151E-02, 0.8856492E-03,-0.1031507E-03,-0.7254838E-03,-0.1150904E-02,-0.1456976E-02,-0.1683831E-02,-0.1854562E-02,-0.1983825E-02,-0.2081575E-02,-0.2154850E-02,-0.2208761E-02,-0.2247087E-02,-0.2272660E-02,-0.2287635E-02, 0.3635731E+00, 0.4565026E+00, 0.4959922E+00, 0.5323408E+00, 0.5658855E+00, 0.5936629E+00, 0.6149109E+00, 0.6303054E+00, 0.6410083E+00, 0.6482230E+00, 0.6529797E+00, 0.6560678E+00, 0.6580520E+00, 0.6593181E+00, 0.6601224E+00, 0.6606319E+00, 0.6609540E+00, 0.6611574E+00, 0.6612858E+00, 0.6613668E+00, 0.6614178E+00, 0.6614178E+00, 0.6614500E+00, 0.6614702E+00, 0.6614830E+00, 0.6614911E+00, 0.6614962E+00, 0.6614994E+00, 0.6615014E+00, 0.6615027E+00, 0.6615035E+00, 0.6615040E+00, 0.6615043E+00, 0.6615045E+00, 0.6615046E+00, 0.6615047E+00, 0.6615047E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00, 0.6615048E+00,
 0.3000000E-01, 0.7043981E-02, 0.3629155E-02, 0.1660552E-02, 0.5668140E-03,-0.1248490E-03,-0.6000355E-03,-0.9439104E-03,-0.1200642E-02,-0.1395683E-02,-0.1545182E-02,-0.1660099E-02,-0.1748173E-02,-0.1815020E-02,-0.1864792E-02,-0.1900603E-02,-0.1924823E-02, 0.3212063E+00, 0.4130088E+00, 0.4517786E+00, 0.4878147E+00, 0.5211496E+00, 0.5487540E+00, 0.5698647E+00, 0.5851545E+00, 0.5957806E+00, 0.6029412E+00, 0.6076607E+00, 0.6107240E+00, 0.6126919E+00, 0.6139475E+00, 0.6147450E+00, 0.6152502E+00, 0.6155696E+00, 0.6157712E+00, 0.6158985E+00, 0.6159788E+00, 0.6160294E+00, 0.6160294E+00, 0.6160613E+00, 0.6160814E+00, 0.6160941E+00, 0.6161021E+00, 0.6161072E+00, 0.6161103E+00, 0.6161123E+00, 0.6161135E+00, 0.6161144E+00, 0.6161149E+00, 0.6161152E+00, 0.6161154E+00, 0.6161155E+00, 0.6161156E+00, 0.6161156E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00, 0.6161157E+00,
 0.5000000E-01, 0.1017031E-01, 0.5468626E-02, 0.3154321E-02, 0.1865702E-02, 0.1045196E-02, 0.4771019E-03, 0.6231571E-04,-0.2506573E-03,-0.4915777E-03,-0.6793585E-03,-0.8268225E-03,-0.9430169E-03,-0.1034500E-02,-0.1106121E-02,-0.1161518E-02,-0.1203461E-02, 0.2508579E+00, 0.3396613E+00, 0.3766943E+00, 0.4119494E+00, 0.4447921E+00, 0.4720371E+00, 0.4928853E+00, 0.5079848E+00, 0.5184753E+00, 0.5255417E+00, 0.5301976E+00, 0.5332186E+00, 0.5351590E+00, 0.5363968E+00, 0.5371830E+00, 0.5376810E+00, 0.5379958E+00, 0.5381945E+00, 0.5383200E+00, 0.5383991E+00, 0.5384490E+00, 0.5384490E+00, 0.5384804E+00, 0.5385002E+00, 0.5385128E+00, 0.5385206E+00, 0.5385256E+00, 0.5385287E+00, 0.5385307E+00, 0.5385319E+00, 0.5385327E+00, 0.5385332E+00, 0.5385335E+00, 0.5385337E+00, 0.5385338E+00, 0.5385339E+00, 0.5385339E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00, 0.5385340E+00,
 0.7000000E-01, 0.1468929E-01, 0.8045588E-02, 0.5262832E-02, 0.3709099E-02, 0.2712431E-02, 0.2016649E-02, 0.1504003E-02, 0.1113196E-02, 0.8086554E-03, 0.5677118E-03, 0.3749908E-03, 0.2196518E-03, 0.9383896E-04,-0.8255251E-05,-0.9099262E-04,-0.1576957E-03, 0.1735036E+00, 0.2577767E+00, 0.2921084E+00, 0.3261178E+00, 0.3581764E+00, 0.3848633E+00, 0.4053125E+00, 0.4201269E+00, 0.4304166E+00, 0.4373447E+00, 0.4419074E+00, 0.4448670E+00, 0.4467674E+00, 0.4479795E+00, 0.4487492E+00, 0.4492367E+00, 0.4495449E+00, 0.4497395E+00, 0.4498622E+00, 0.4499397E+00, 0.4499885E+00, 0.4499885E+00, 0.4500193E+00, 0.4500387E+00, 0.4500510E+00, 0.4500586E+00, 0.4500635E+00, 0.4500666E+00, 0.4500685E+00, 0.4500697E+00, 0.4500705E+00, 0.4500709E+00, 0.4500713E+00, 0.4500715E+00, 0.4500716E+00, 0.4500717E+00, 0.4500717E+00, 0.4500717E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00, 0.4500718E+00,
 0.9000000E-01, 0.1939586E-01, 0.1054722E-01, 0.7349865E-02, 0.5559217E-02, 0.4401514E-02, 0.3586829E-02, 0.2981885E-02, 0.2517068E-02, 0.2151693E-02, 0.1859685E-02, 0.1623324E-02, 0.1430106E-02, 0.1270970E-02, 0.1139209E-02, 0.1029786E-02, 0.9388594E-03, 0.1066152E+00, 0.1856596E+00, 0.2164808E+00, 0.2487834E+00, 0.2797340E+00, 0.3056331E+00, 0.3255230E+00, 0.3399414E+00, 0.3499548E+00, 0.3566940E+00, 0.3611304E+00, 0.3640070E+00, 0.3658535E+00, 0.3670310E+00, 0.3677787E+00, 0.3682521E+00, 0.3685514E+00, 0.3687404E+00, 0.3688596E+00, 0.3689348E+00, 0.3689822E+00, 0.3689822E+00, 0.3690121E+00, 0.3690310E+00, 0.3690428E+00, 0.3690503E+00, 0.3690550E+00, 0.3690580E+00, 0.3690599E+00, 0.3690611E+00, 0.3690618E+00, 0.3690623E+00, 0.3690626E+00, 0.3690628E+00, 0.3690629E+00, 0.3690630E+00, 0.3690630E+00, 0.3690630E+00, 0.3690630E+00, 0.3690630E+00, 0.3690630E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00, 0.3690631E+00,
 0.1100000E+00, 0.2245150E-01, 0.1192360E-01, 0.8546392E-02, 0.6656180E-02, 0.5426199E-02, 0.4555074E-02, 0.3904735E-02, 0.3402796E-02, 0.3006513E-02, 0.2688275E-02, 0.2429265E-02, 0.2216190E-02, 0.2039413E-02, 0.1891802E-02, 0.1767994E-02, 0.1663894E-02, 0.5846266E-01, 0.1326018E+00, 0.1594840E+00, 0.1897230E+00, 0.2192679E+00, 0.2441552E+00, 0.2633265E+00, 0.2772387E+00, 0.2869009E+00, 0.2934018E+00, 0.2976797E+00, 0.3004524E+00, 0.3022318E+00, 0.3033663E+00, 0.3040866E+00, 0.3045426E+00, 0.3048308E+00, 0.3050129E+00, 0.3051277E+00, 0.3052001E+00, 0.3052458E+00, 0.3052458E+00, 0.3052746E+00, 0.3052927E+00, 0.3053041E+00, 0.3053114E+00, 0.3053159E+00, 0.3053188E+00, 0.3053206E+00, 0.3053217E+00, 0.3053224E+00, 0.3053229E+00, 0.3053232E+00, 0.3053233E+00, 0.3053235E+00, 0.3053235E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053236E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00, 0.3053237E+00,
 0.1300000E+00, 0.2347273E-01, 0.1212068E-01, 0.8753031E-02, 0.6889042E-02, 0.5672731E-02, 0.4807863E-02, 0.4160502E-02, 0.3660288E-02, 0.3265110E-02, 0.2947525E-02, 0.2688797E-02, 0.2475698E-02, 0.2298644E-02, 0.2150550E-02, 0.2026091E-02, 0.1921179E-02, 0.2888534E-01, 0.9893563E-01, 0.1219523E+00, 0.1499825E+00, 0.1779337E+00, 0.2016516E+00, 0.2199872E+00, 0.2333108E+00, 0.2425664E+00, 0.2487924E+00, 0.2528880E+00, 0.2555418E+00, 0.2572444E+00, 0.2583298E+00, 0.2590187E+00, 0.2594549E+00, 0.2597306E+00, 0.2599047E+00, 0.2600145E+00, 0.2600838E+00, 0.2601275E+00, 0.2601275E+00, 0.2601550E+00, 0.2601724E+00, 0.2601833E+00, 0.2601902E+00, 0.2601945E+00, 0.2601973E+00, 0.2601990E+00, 0.2602001E+00, 0.2602008E+00, 0.2602012E+00, 0.2602015E+00, 0.2602017E+00, 0.2602018E+00, 0.2602018E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00, 0.2602019E+00,
 0.1500000E+00, 0.2351737E-01, 0.1194512E-01, 0.8537958E-02, 0.6726607E-02, 0.5550148E-02, 0.4713125E-02, 0.4087220E-02, 0.3604944E-02, 0.3225048E-02, 0.2920478E-02, 0.2672835E-02, 0.2469199E-02, 0.2300250E-02, 0.2159135E-02, 0.2040699E-02, 0.1940954E-02, 0.1324714E-01, 0.7986598E-01, 0.9940984E-01, 0.1252708E+00, 0.1515617E+00, 0.1740354E+00, 0.1914739E+00, 0.2041642E+00, 0.2129828E+00, 0.2189139E+00, 0.2228144E+00, 0.2253412E+00, 0.2269620E+00, 0.2279949E+00, 0.2286506E+00, 0.2290657E+00, 0.2293280E+00, 0.2294937E+00, 0.2295982E+00, 0.2296641E+00, 0.2297056E+00, 0.2297056E+00, 0.2297318E+00, 0.2297483E+00, 0.2297587E+00, 0.2297653E+00, 0.2297694E+00, 0.2297720E+00, 0.2297737E+00, 0.2297747E+00, 0.2297754E+00, 0.2297758E+00, 0.2297760E+00, 0.2297762E+00, 0.2297763E+00, 0.2297764E+00, 0.2297764E+00, 0.2297764E+00, 0.2297764E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00, 0.2297765E+00,
 0.1700000E+00, 0.2399427E-01, 0.1213841E-01, 0.8600917E-02, 0.6761137E-02, 0.5578948E-02, 0.4741251E-02, 0.4119799E-02, 0.3645083E-02, 0.3273622E-02, 0.2977216E-02, 0.2737012E-02, 0.2539946E-02, 0.2376711E-02, 0.2240536E-02, 0.2126324E-02, 0.2030100E-02, 0.6217265E-02, 0.6967501E-01, 0.8615672E-01, 0.1099379E+00, 0.1345505E+00, 0.1557434E+00, 0.1722511E+00, 0.1842825E+00, 0.1926463E+00, 0.1982711E+00, 0.2019693E+00, 0.2043644E+00, 0.2059004E+00, 0.2068792E+00, 0.2075004E+00, 0.2078937E+00, 0.2081422E+00, 0.2082991E+00, 0.2083981E+00, 0.2084606E+00, 0.2084999E+00, 0.2084999E+00, 0.2085247E+00, 0.2085404E+00, 0.2085502E+00, 0.2085564E+00, 0.2085603E+00, 0.2085628E+00, 0.2085644E+00, 0.2085654E+00, 0.2085660E+00, 0.2085664E+00, 0.2085666E+00, 0.2085668E+00, 0.2085669E+00, 0.2085669E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00, 0.2085670E+00,
 0.1900000E+00, 0.2444905E-01, 0.1240052E-01, 0.8777746E-02, 0.6852149E-02, 0.5636117E-02, 0.4787936E-02, 0.4165694E-02, 0.3694252E-02, 0.3327255E-02, 0.3035337E-02, 0.2799219E-02, 0.2605664E-02, 0.2445291E-02, 0.2311327E-02, 0.2198400E-02, 0.2101795E-02, 0.3471414E-02, 0.6394218E-01, 0.7773001E-01, 0.9951759E-01, 0.1224432E+00, 0.1423293E+00, 0.1578805E+00, 0.1692333E+00, 0.1771287E+00, 0.1824382E+00, 0.1859283E+00, 0.1881882E+00, 0.1896372E+00, 0.1905605E+00, 0.1911464E+00, 0.1915173E+00, 0.1917517E+00, 0.1918996E+00, 0.1919930E+00, 0.1920518E+00, 0.1920890E+00, 0.1920890E+00, 0.1921124E+00, 0.1921271E+00, 0.1921364E+00, 0.1921423E+00, 0.1921460E+00, 0.1921483E+00, 0.1921498E+00, 0.1921507E+00, 0.1921513E+00, 0.1921516E+00, 0.1921519E+00, 0.1921520E+00, 0.1921521E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00, 0.1921522E+00,
