@POH [MW/m^3]  vs r@
X,POH_1,POH_2,POH_3,POH_4,POH_5,POH_6,POH_7,POH_8,POH_9,POH_10,POH_11,POH_12,POH_13,POH_14,POH_15,POH_16,POH_17,POH_18,POH_19,POH_20,POH_21,POH_22,POH_23,POH_24,POH_25,POH_26,POH_27,POH_28,POH_29,POH_30,POH_31,POH_32,POH_33,POH_34,POH_35,POH_36,POH_37,POH_38,POH_39,POH_40,POH_41,POH_42,POH_43,POH_44,POH_45,POH_46,POH_47,POH_48,POH_49,POH_50,POH_51,POH_52,POH_53,POH_54,POH_55,POH_56,POH_57,POH_58,POH_59,POH_60,POH_61,POH_62,POH_63,POH_64,POH_65,POH_66,POH_67,POH_68,POH_69,POH_70,POH_71,POH_72,POH_73,POH_74,POH_75,POH_76,POH_77,POH_78,POH_79,POH_80,POH_81,POH_82,POH_83,POH_84,POH_85,POH_86,POH_87,POH_88,POH_89,POH_90,POH_91,POH_92,POH_93,POH_94,POH_95,POH_96,POH_97,POH_98,POH_99,POH_100,POH_101,POH_102,POH_103
 0.1000000E-01, 0.7419009E-03, 0.7444344E-03, 0.7425268E-03, 0.7409796E-03, 0.7394956E-03, 0.7379815E-03, 0.7364363E-03, 0.7348760E-03, 0.7333147E-03, 0.7317610E-03, 0.7302154E-03, 0.7286685E-03, 0.7270965E-03, 0.7254546E-03, 0.7236662E-03, 0.7215998E-03, 0.7215998E-03, 0.7190098E-03, 0.7154179E-03, 0.7102550E-03, 0.7029033E-03, 0.6916610E-03, 0.6756578E-03, 0.6557277E-03, 0.6331566E-03, 0.6089880E-03, 0.5839469E-03, 0.5585201E-03, 0.5330338E-03, 0.5077053E-03, 0.4826704E-03, 0.4580131E-03, 0.4337898E-03, 0.4100347E-03, 0.3867809E-03, 0.3640589E-03, 0.3418870E-03, 0.3418870E-03, 0.3202948E-03, 0.2992990E-03, 0.2789161E-03, 0.2591683E-03, 0.2400713E-03, 0.2216524E-03, 0.2039466E-03, 0.1870034E-03, 0.1708931E-03, 0.1556784E-03, 0.1414354E-03, 0.1282922E-03, 0.1163370E-03, 0.1055144E-03, 0.9553257E-04, 0.8566598E-04, 0.7375570E-04, 0.6060858E-04, 0.4986743E-04, 0.4187561E-04, 0.3580945E-04, 0.3105209E-04, 0.2722079E-04, 0.2407153E-04, 0.2144086E-04, 0.1921443E-04, 0.1730945E-04, 0.1566433E-04, 0.1423219E-04, 0.1297669E-04, 0.1186924E-04, 0.1088703E-04, 0.1001162E-04, 0.9228000E-05, 0.8523769E-05, 0.7888640E-05, 0.7313992E-05, 0.6792552E-05, 0.6318144E-05, 0.5885569E-05, 0.5491177E-05, 0.5132926E-05, 0.4808189E-05, 0.4512969E-05, 0.4242935E-05, 0.3994334E-05, 0.3764244E-05, 0.3550471E-05, 0.3351361E-05, 0.3165626E-05, 0.2992217E-05, 0.2830246E-05, 0.2678935E-05, 0.2537578E-05, 0.2405531E-05, 0.2282193E-05, 0.2167001E-05, 0.2059430E-05, 0.1958982E-05, 0.1865192E-05, 0.1777620E-05, 0.1695856E-05, 0.1619512E-05, 0.1548225E-05, 0.1481656E-05,
 0.3000000E-01, 0.8848549E-03, 0.8893609E-03, 0.8874954E-03, 0.8858194E-03, 0.8841039E-03, 0.8822776E-03, 0.8803605E-03, 0.8783891E-03, 0.8763993E-03, 0.8744231E-03, 0.8724892E-03, 0.8706268E-03, 0.8688678E-03, 0.8672561E-03, 0.8658786E-03, 0.8649488E-03, 0.8649488E-03, 0.8649984E-03, 0.8679111E-03, 0.8766144E-03, 0.8828534E-03, 0.8795041E-03, 0.8669193E-03, 0.8476264E-03, 0.8239066E-03, 0.7973830E-03, 0.7691404E-03, 0.7399013E-03, 0.7101560E-03, 0.6802307E-03, 0.6503105E-03, 0.6204952E-03, 0.5908355E-03, 0.5613366E-03, 0.5320214E-03, 0.5029053E-03, 0.4739844E-03, 0.4739844E-03, 0.4453021E-03, 0.4168603E-03, 0.3886922E-03, 0.3608398E-03, 0.3333522E-03, 0.3063094E-03, 0.2798324E-03, 0.2540771E-03, 0.2292500E-03, 0.2054968E-03, 0.1829877E-03, 0.1619691E-03, 0.1426522E-03, 0.1250223E-03, 0.1087565E-03, 0.9014413E-04, 0.6565941E-04, 0.4334689E-04, 0.2818047E-04, 0.1851260E-04, 0.1221447E-04, 0.8002485E-05, 0.5142538E-05, 0.3193907E-05, 0.1877690E-05, 0.1009809E-05, 0.4648178E-06, 0.1551189E-06, 0.1837011E-07, 0.9534070E-08, 0.9567752E-07, 0.2524778E-06, 0.4618228E-06, 0.7101311E-06, 0.9871593E-06, 0.1285142E-05, 0.1598167E-05, 0.1921712E-05, 0.2252302E-05, 0.2587098E-05, 0.2922222E-05, 0.3251748E-05, 0.3571283E-05, 0.3880192E-05, 0.4180297E-05, 0.4474032E-05, 0.4763442E-05, 0.5049901E-05, 0.5334172E-05, 0.5616546E-05, 0.5896995E-05, 0.6175285E-05, 0.6451062E-05, 0.6723910E-05, 0.6993388E-05, 0.7259056E-05, 0.7520494E-05, 0.7777308E-05, 0.8029140E-05, 0.8275667E-05, 0.8516606E-05, 0.8751711E-05, 0.8980777E-05, 0.9203632E-05, 0.9420140E-05,
 0.5000000E-01, 0.1182808E-02, 0.1189502E-02, 0.1187426E-02, 0.1185303E-02, 0.1182973E-02, 0.1180385E-02, 0.1177597E-02, 0.1174687E-02, 0.1171749E-02, 0.1168875E-02, 0.1166176E-02, 0.1163795E-02, 0.1161935E-02, 0.1160919E-02, 0.1161388E-02, 0.1164850E-02, 0.1164850E-02, 0.1176843E-02, 0.1206362E-02, 0.1232454E-02, 0.1241830E-02, 0.1234758E-02, 0.1215473E-02, 0.1188001E-02, 0.1155165E-02, 0.1118843E-02, 0.1080290E-02, 0.1040363E-02, 0.9996572E-03, 0.9585611E-03, 0.9172825E-03, 0.8759426E-03, 0.8346000E-03, 0.7932700E-03, 0.7520206E-03, 0.7108863E-03, 0.6699048E-03, 0.6699048E-03, 0.6291848E-03, 0.5887487E-03, 0.5487184E-03, 0.5091696E-03, 0.4702393E-03, 0.4320505E-03, 0.3948066E-03, 0.3587154E-03, 0.3239945E-03, 0.2907137E-03, 0.2589872E-03, 0.2289360E-03, 0.2006332E-03, 0.1737458E-03, 0.1443641E-03, 0.1061116E-03, 0.6904649E-04, 0.4291565E-04, 0.2655589E-04, 0.1636639E-04, 0.9906463E-05, 0.5769250E-05, 0.3136608E-05, 0.1510533E-05, 0.5740371E-06, 0.1179871E-06, 0.5562833E-09, 0.1235148E-06, 0.4177099E-06, 0.8338324E-06, 0.1336366E-05, 0.1899521E-05, 0.2504454E-05, 0.3137328E-05, 0.3787950E-05, 0.4448789E-05, 0.5114273E-05, 0.5780279E-05, 0.6443741E-05, 0.7101885E-05, 0.7748464E-05, 0.8373333E-05, 0.8970702E-05, 0.9542016E-05, 0.1009252E-04, 0.1062781E-04, 0.1115229E-04, 0.1166886E-04, 0.1217918E-04, 0.1268400E-04, 0.1318345E-04, 0.1367729E-04, 0.1416503E-04, 0.1464608E-04, 0.1511980E-04, 0.1558555E-04, 0.1604271E-04, 0.1649070E-04, 0.1692901E-04, 0.1735719E-04, 0.1777482E-04, 0.1818158E-04, 0.1857718E-04, 0.1896143E-04, 0.1933414E-04,
 0.7000000E-01, 0.1629758E-02, 0.1636313E-02, 0.1632449E-02, 0.1628819E-02, 0.1624989E-02, 0.1620814E-02, 0.1616369E-02, 0.1611817E-02, 0.1607359E-02, 0.1603224E-02, 0.1599712E-02, 0.1597260E-02, 0.1596504E-02, 0.1598569E-02, 0.1606085E-02, 0.1630044E-02, 0.1630044E-02, 0.1681533E-02, 0.1723811E-02, 0.1738358E-02, 0.1728286E-02, 0.1702294E-02, 0.1665314E-02, 0.1620680E-02, 0.1570836E-02, 0.1517528E-02, 0.1461992E-02, 0.1405102E-02, 0.1347485E-02, 0.1289539E-02, 0.1231484E-02, 0.1173479E-02, 0.1115614E-02, 0.1057966E-02, 0.1000681E-02, 0.9438355E-03, 0.8875565E-03, 0.8875565E-03, 0.8320128E-03, 0.7772709E-03, 0.7235447E-03, 0.6709212E-03, 0.6196172E-03, 0.5697575E-03, 0.5215750E-03, 0.4752929E-03, 0.4310433E-03, 0.3887902E-03, 0.3485812E-03, 0.3103774E-03, 0.2738755E-03, 0.2335703E-03, 0.1778125E-03, 0.1219814E-03, 0.8087064E-04, 0.5332576E-04, 0.3500604E-04, 0.2281377E-04, 0.1463954E-04, 0.9130923E-05, 0.5432314E-05, 0.2991745E-05, 0.1442970E-05, 0.5363991E-06, 0.9801783E-07, 0.4172827E-08, 0.1655840E-06, 0.5169088E-06, 0.1009759E-05, 0.1607931E-05, 0.2284091E-05, 0.3017433E-05, 0.3792011E-05, 0.4595525E-05, 0.5418439E-05, 0.6253319E-05, 0.7094330E-05, 0.7935879E-05, 0.8767139E-05, 0.9574003E-05, 0.1034985E-04, 0.1109684E-04, 0.1182100E-04, 0.1252837E-04, 0.1322349E-04, 0.1390926E-04, 0.1458718E-04, 0.1525779E-04, 0.1592100E-04, 0.1657630E-04, 0.1722298E-04, 0.1786021E-04, 0.1848714E-04, 0.1910294E-04, 0.1970682E-04, 0.2029807E-04, 0.2087604E-04, 0.2144016E-04, 0.2198997E-04, 0.2252507E-04, 0.2304512E-04, 0.2354990E-04, 0.2403922E-04,
 0.9000000E-01, 0.2116867E-02, 0.2121854E-02, 0.2114474E-02, 0.2107944E-02, 0.2101440E-02, 0.2094713E-02, 0.2087943E-02, 0.2081478E-02, 0.2075715E-02, 0.2071106E-02, 0.2068369E-02, 0.2068626E-02, 0.2073662E-02, 0.2087629E-02, 0.2132023E-02, 0.2201512E-02, 0.2201512E-02, 0.2250570E-02, 0.2261140E-02, 0.2244734E-02, 0.2211180E-02, 0.2164664E-02, 0.2108624E-02, 0.2045728E-02, 0.1978065E-02, 0.1907221E-02, 0.1834369E-02, 0.1760372E-02, 0.1685851E-02, 0.1611190E-02, 0.1536613E-02, 0.1462316E-02, 0.1388410E-02, 0.1315044E-02, 0.1242420E-02, 0.1170643E-02, 0.1099922E-02, 0.1099922E-02, 0.1030438E-02, 0.9622950E-03, 0.8957555E-03, 0.8308887E-03, 0.7679531E-03, 0.7070532E-03, 0.6483982E-03, 0.5922352E-03, 0.5385489E-03, 0.4871772E-03, 0.4379929E-03, 0.3905816E-03, 0.3381247E-03, 0.2646457E-03, 0.1917707E-03, 0.1370429E-03, 0.9823695E-04, 0.7018071E-04, 0.4991922E-04, 0.3532933E-04, 0.2480402E-04, 0.1718187E-04, 0.1165331E-04, 0.7656809E-05, 0.4798461E-05, 0.2797280E-05, 0.1449387E-05, 0.6044617E-06, 0.1500352E-06, 0.8259884E-09, 0.9137141E-07, 0.3708541E-06, 0.7994189E-06, 0.1345517E-05, 0.1983969E-05, 0.2694531E-05, 0.3460827E-05, 0.4269538E-05, 0.5109751E-05, 0.5970893E-05, 0.6836541E-05, 0.7689531E-05, 0.8522350E-05, 0.9335959E-05, 0.1013454E-04, 0.1092220E-04, 0.1170181E-04, 0.1247491E-04, 0.1324196E-04, 0.1400270E-04, 0.1475640E-04, 0.1550205E-04, 0.1623853E-04, 0.1696469E-04, 0.1767939E-04, 0.1838157E-04, 0.1907026E-04, 0.1974456E-04, 0.2040372E-04, 0.2104706E-04, 0.2167402E-04, 0.2228413E-04, 0.2287703E-04, 0.2345243E-04, 0.2401014E-04,
 0.1100000E+00, 0.2456162E-02, 0.2459949E-02, 0.2449396E-02, 0.2439814E-02, 0.2430456E-02, 0.2421452E-02, 0.2413384E-02, 0.2406846E-02, 0.2402394E-02, 0.2400820E-02, 0.2403909E-02, 0.2414730E-02, 0.2444356E-02, 0.2517173E-02, 0.2593850E-02, 0.2640127E-02, 0.2640127E-02, 0.2641461E-02, 0.2619983E-02, 0.2583016E-02, 0.2533539E-02, 0.2473688E-02, 0.2405645E-02, 0.2331412E-02, 0.2252725E-02, 0.2170999E-02, 0.2087343E-02, 0.2002608E-02, 0.1917419E-02, 0.1832121E-02, 0.1746934E-02, 0.1662069E-02, 0.1577625E-02, 0.1493813E-02, 0.1410865E-02, 0.1328876E-02, 0.1248152E-02, 0.1248152E-02, 0.1168838E-02, 0.1091085E-02, 0.1015189E-02, 0.9412025E-03, 0.8694346E-03, 0.8000244E-03, 0.7331529E-03, 0.6691940E-03, 0.6079227E-03, 0.5489915E-03, 0.4916863E-03, 0.4262123E-03, 0.3374818E-03, 0.2538737E-03, 0.1925706E-03, 0.1474740E-03, 0.1125984E-03, 0.8552518E-04, 0.6462183E-04, 0.4857715E-04, 0.3629103E-04, 0.2687792E-04, 0.1965958E-04, 0.1412889E-04, 0.9908287E-05, 0.6714899E-05, 0.4334646E-05, 0.2603599E-05, 0.1394734E-05, 0.6084620E-06, 0.1658235E-06, 0.3548069E-08, 0.7043854E-07, 0.3246994E-06, 0.7319447E-06, 0.1263698E-05, 0.1896246E-05, 0.2609758E-05, 0.3387534E-05, 0.4213063E-05, 0.5063806E-05, 0.5919732E-05, 0.6771950E-05, 0.7619273E-05, 0.8463136E-05, 0.9304975E-05, 0.1014540E-04, 0.1098413E-04, 0.1182025E-04, 0.1265238E-04, 0.1347893E-04, 0.1429821E-04, 0.1510853E-04, 0.1590829E-04, 0.1669599E-04, 0.1747026E-04, 0.1822987E-04, 0.1897376E-04, 0.1970099E-04, 0.2041076E-04, 0.2110241E-04, 0.2177540E-04, 0.2242930E-04, 0.2306380E-04, 0.2367866E-04,
 0.1300000E+00, 0.2592206E-02, 0.2596234E-02, 0.2584296E-02, 0.2572886E-02, 0.2562532E-02, 0.2554259E-02, 0.2548804E-02, 0.2546627E-02, 0.2548407E-02, 0.2556713E-02, 0.2578072E-02, 0.2643255E-02, 0.2743022E-02, 0.2820316E-02, 0.2854725E-02, 0.2846044E-02, 0.2846044E-02, 0.2819681E-02, 0.2779645E-02, 0.2729117E-02, 0.2669485E-02, 0.2601907E-02, 0.2527715E-02, 0.2448322E-02, 0.2365072E-02, 0.2279135E-02, 0.2191483E-02, 0.2102890E-02, 0.2013915E-02, 0.1924801E-02, 0.1835741E-02, 0.1746924E-02, 0.1658401E-02, 0.1570455E-02, 0.1483289E-02, 0.1396973E-02, 0.1311919E-02, 0.1311919E-02, 0.1228134E-02, 0.1145875E-02, 0.1065368E-02, 0.9866955E-03, 0.9100996E-03, 0.8358508E-03, 0.7639357E-03, 0.6948013E-03, 0.6278177E-03, 0.5622119E-03, 0.4810856E-03, 0.3822399E-03, 0.2952148E-03, 0.2345729E-03, 0.1884247E-03, 0.1510265E-03, 0.1203567E-03, 0.9526654E-04, 0.7489751E-04, 0.5849180E-04, 0.4535214E-04, 0.3486030E-04, 0.2649886E-04, 0.1985126E-04, 0.1458807E-04, 0.1044987E-04, 0.7231748E-05, 0.4770763E-05, 0.2936232E-05, 0.1622363E-05, 0.7426868E-06, 0.2258665E-06, 0.1253304E-07, 0.5289135E-07, 0.3048955E-06, 0.7328488E-06, 0.1306318E-05, 0.1999277E-05, 0.2789303E-05, 0.3653138E-05, 0.4560836E-05, 0.5489177E-05, 0.6428025E-05, 0.7374383E-05, 0.8327329E-05, 0.9285916E-05, 0.1024863E-04, 0.1121342E-04, 0.1217789E-04, 0.1313946E-04, 0.1409556E-04, 0.1504370E-04, 0.1598153E-04, 0.1690692E-04, 0.1781795E-04, 0.1871290E-04, 0.1959028E-04, 0.2044880E-04, 0.2128739E-04, 0.2210513E-04, 0.2290128E-04, 0.2367526E-04, 0.2442663E-04, 0.2515507E-04, 0.2586038E-04,
 0.1500000E+00, 0.2622550E-02, 0.2627379E-02, 0.2614495E-02, 0.2603320E-02, 0.2596275E-02, 0.2593929E-02, 0.2596163E-02, 0.2603401E-02, 0.2618221E-02, 0.2668924E-02, 0.2784862E-02, 0.2889787E-02, 0.2953754E-02, 0.2961686E-02, 0.2937803E-02, 0.2896370E-02, 0.2896370E-02, 0.2843747E-02, 0.2783502E-02, 0.2717461E-02, 0.2646439E-02, 0.2571005E-02, 0.2491808E-02, 0.2409609E-02, 0.2325190E-02, 0.2239276E-02, 0.2152492E-02, 0.2065356E-02, 0.1978194E-02, 0.1891074E-02, 0.1804148E-02, 0.1717523E-02, 0.1631230E-02, 0.1545588E-02, 0.1460691E-02, 0.1376613E-02, 0.1293779E-02, 0.1293779E-02, 0.1211993E-02, 0.1131654E-02, 0.1052705E-02, 0.9753543E-03, 0.8994512E-03, 0.8255115E-03, 0.7525971E-03, 0.6797973E-03, 0.6072085E-03, 0.5087953E-03, 0.4070069E-03, 0.3222267E-03, 0.2659748E-03, 0.2210577E-03, 0.1835525E-03, 0.1516023E-03, 0.1243108E-03, 0.1011143E-03, 0.8156755E-04, 0.6524730E-04, 0.5172786E-04, 0.4059545E-04, 0.3147290E-04, 0.2403389E-04, 0.1800449E-04, 0.1315797E-04, 0.9307496E-05, 0.6298797E-05, 0.4003873E-05, 0.2315776E-05, 0.1144446E-05, 0.4134494E-06, 0.5742666E-07, 0.2012085E-07, 0.2528439E-06, 0.7132826E-06, 0.1364560E-05, 0.2174482E-05, 0.3114620E-05, 0.4152803E-05, 0.5249110E-05, 0.6377263E-05, 0.7526802E-05, 0.8693681E-05, 0.9875091E-05, 0.1106792E-04, 0.1226853E-04, 0.1347300E-04, 0.1467725E-04, 0.1587732E-04, 0.1706944E-04, 0.1825013E-04, 0.1941625E-04, 0.2056499E-04, 0.2169392E-04, 0.2280091E-04, 0.2388418E-04, 0.2494222E-04, 0.2597382E-04, 0.2697796E-04, 0.2795389E-04, 0.2890104E-04, 0.2981902E-04, 0.3070757E-04, 0.3156660E-04,
 0.1700000E+00, 0.2691591E-02, 0.2694326E-02, 0.2680550E-02, 0.2674797E-02, 0.2677232E-02, 0.2685948E-02, 0.2701265E-02, 0.2728127E-02, 0.2814004E-02, 0.2926830E-02, 0.2990925E-02, 0.3001061E-02, 0.2959138E-02, 0.2902394E-02, 0.2835251E-02, 0.2762002E-02, 0.2762002E-02, 0.2685789E-02, 0.2608327E-02, 0.2530240E-02, 0.2451660E-02, 0.2372550E-02, 0.2292910E-02, 0.2212853E-02, 0.2132558E-02, 0.2052236E-02, 0.1972090E-02, 0.1892297E-02, 0.1812900E-02, 0.1733829E-02, 0.1655189E-02, 0.1577010E-02, 0.1499335E-02, 0.1422459E-02, 0.1346361E-02, 0.1271138E-02, 0.1197131E-02, 0.1197131E-02, 0.1124011E-02, 0.1052274E-02, 0.9815379E-03, 0.9122151E-03, 0.8435121E-03, 0.7764529E-03, 0.7089510E-03, 0.6339249E-03, 0.5276022E-03, 0.4291220E-03, 0.3522760E-03, 0.3005698E-03, 0.2567694E-03, 0.2191408E-03, 0.1861987E-03, 0.1571686E-03, 0.1316248E-03, 0.1092793E-03, 0.8990078E-04, 0.7325664E-04, 0.5909034E-04, 0.4712711E-04, 0.3709397E-04, 0.2873699E-04, 0.2183002E-04, 0.1617639E-04, 0.1160703E-04, 0.7977043E-05, 0.5162074E-05, 0.3054898E-05, 0.1562509E-05, 0.6037174E-06, 0.1072043E-06, 0.9986443E-08, 0.2562032E-06, 0.7961660E-06, 0.1585605E-05, 0.2585060E-05, 0.3758582E-05, 0.5060710E-05, 0.6438793E-05, 0.7864341E-05, 0.9326955E-05, 0.1082113E-04, 0.1234146E-04, 0.1388182E-04, 0.1543566E-04, 0.1699632E-04, 0.1855733E-04, 0.2011262E-04, 0.2165661E-04, 0.2318430E-04, 0.2469127E-04, 0.2617368E-04, 0.2762824E-04, 0.2905220E-04, 0.3044325E-04, 0.3179954E-04, 0.3311958E-04, 0.3440224E-04, 0.3564670E-04, 0.3685238E-04, 0.3801896E-04, 0.3914630E-04, 0.4023445E-04,
 0.1900000E+00, 0.2754713E-02, 0.2751879E-02, 0.2744801E-02, 0.2753192E-02, 0.2770326E-02, 0.2795284E-02, 0.2853812E-02, 0.3007326E-02, 0.3150084E-02, 0.3217977E-02, 0.3191192E-02, 0.3130130E-02, 0.3053882E-02, 0.2969639E-02, 0.2882257E-02, 0.2795062E-02, 0.2795062E-02, 0.2708320E-02, 0.2622702E-02, 0.2538333E-02, 0.2455041E-02, 0.2372521E-02, 0.2290497E-02, 0.2208815E-02, 0.2127442E-02, 0.2046437E-02, 0.1965922E-02, 0.1886035E-02, 0.1806648E-02, 0.1727487E-02, 0.1648670E-02, 0.1570078E-02, 0.1491687E-02, 0.1414023E-02, 0.1336792E-02, 0.1260126E-02, 0.1184680E-02, 0.1184680E-02, 0.1109320E-02, 0.1035507E-02, 0.9614133E-03, 0.8891824E-03, 0.8138538E-03, 0.7445237E-03, 0.6457853E-03, 0.5366481E-03, 0.4441011E-03, 0.3820773E-03, 0.3341714E-03, 0.2924803E-03, 0.2553481E-03, 0.2220403E-03, 0.1919444E-03, 0.1647485E-03, 0.1402706E-03, 0.1183674E-03, 0.9892958E-04, 0.8184418E-04, 0.6696989E-04, 0.5413553E-04, 0.4315299E-04, 0.3383289E-04, 0.2599552E-04, 0.1947631E-04, 0.1412740E-04, 0.9817060E-05, 0.6428160E-05, 0.3856353E-05, 0.2008290E-05, 0.8000518E-06, 0.1558290E-06, 0.6860333E-08, 0.2905881E-06, 0.9500017E-06, 0.1933124E-05, 0.3192596E-05, 0.4683315E-05, 0.6340347E-05, 0.8096994E-05, 0.9925033E-05, 0.1181463E-04, 0.1375804E-04, 0.1574604E-04, 0.1776825E-04, 0.1981388E-04, 0.2187233E-04, 0.2393358E-04, 0.2598840E-04, 0.2802845E-04, 0.3004637E-04, 0.3203574E-04, 0.3399106E-04, 0.3590769E-04, 0.3778177E-04, 0.3961019E-04, 0.4139045E-04, 0.4312062E-04, 0.4479932E-04, 0.4642553E-04, 0.4799867E-04, 0.4951848E-04, 0.5098495E-04, 0.5239832E-04,
